🚀 智能量化選股報告 - 2026-03-26
==========================================================================================

【🚀超級強勢】(數量: 183)
------------------------------------------------------------------------------------------
3533.TW  | 嘉澤         | B6: 12.85% | DMA:349.400 | 💎流入 | 🚀DMA趨勢+多頭強勢
3532.TW  | 台勝科        | B6:  6.57% | DMA:  4.670 | 💎流入 | 🚀DMA趨勢+多頭強勢
4543.TWO | 萬在         | B6:  6.45% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
1582.TW  | 信錦         | B6:  6.44% | DMA: 14.250 | 💸流出 | 🚀DMA趨勢+多頭強勢
6588.TWO | 東典光電       | B6:  6.40% | DMA: 22.792 | 💸流出 | 🚀DMA趨勢+多頭強勢
2367.TW  | 燿華         | B6:  6.13% | DMA: 17.954 | 💎流入 | 🚀DMA趨勢+放量攻擊
3105.TWO | 穩懋         | B6:  6.12% | DMA: 59.930 | 💸流出 | 🚀DMA趨勢+多頭強勢
5292.TW  | 華懋         | B6:  6.00% | DMA:  7.350 | 💎流入 | 🚀DMA趨勢+放量攻擊
2481.TW  | 強茂         | B6:  5.97% | DMA:  8.154 | 💎流入 | 🚀DMA趨勢+多頭強勢
6937.TW  | 天虹         | B6:  5.93% | DMA: 29.990 | 💸流出 | 🚀DMA趨勢+多頭強勢
3081.TWO | 聯亞         | B6:  5.88% | DMA:395.700 | 💎流入 | 🚀DMA趨勢+放量攻擊
1721.TW  | 三晃         | B6:  5.74% | DMA:  1.098 | 💸流出 | 🚀DMA趨勢+多頭強勢
00992A.TW | 主動群益科技創新   | B6:  5.66% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
7734.TWO | 印能科技       | B6:  5.48% | DMA:388.880 | 💸流出 | 🚀DMA趨勢+多頭強勢
2313.TW  | 華通         | B6:  5.38% | DMA: 42.250 | 💎流入 | 🚀DMA趨勢+放量攻擊
4577.TWO | 達航科技       | B6:  5.38% | DMA: 22.894 | 💸流出 | 🚀DMA趨勢+多頭強勢
8047.TWO | 星雲         | B6:  5.31% | DMA:  4.484 | 💎流入 | 🚀DMA趨勢+放量攻擊
2355.TW  | 敬鵬         | B6:  5.26% | DMA:  5.583 | 💎流入 | 🚀DMA趨勢+放量攻擊
2357.TW  | 華碩         | B6:  5.23% | DMA: 47.610 | 💎流入 | 🚀DMA趨勢+多頭強勢
2308.TW  | 台達電        | B6:  5.20% | DMA:185.800 | 💎流入 | 🚀DMA趨勢+多頭強勢
6274.TWO | 台燿         | B6:  5.13% | DMA: 32.950 | 💎流入 | 🚀DMA趨勢+多頭強勢
00994A.TW | 主動第一金台股優   | B6:  5.07% | DMA:  1.229 | 💎流入 | 🚀DMA趨勢+多頭強勢
00981A.TW | 主動統一台股增長   | B6:  5.04% | DMA:  2.594 | 💸流出 | 🚀DMA趨勢+多頭強勢
6415.TW  | 矽力*-KY     | B6:  5.04% | DMA: 18.472 | 💎流入 | 🚀DMA趨勢+多頭強勢
4938.TW  | 和碩         | B6:  5.03% | DMA:  5.470 | 💎流入 | 🚀DMA趨勢+放量攻擊
2467.TW  | 志聖         | B6:  4.80% | DMA: 75.470 | 💎流入 | 🚀DMA趨勢+放量攻擊
2455.TW  | 全新         | B6:  4.76% | DMA: 42.980 | 💎流入 | 🚀DMA趨勢+放量攻擊
6199.TWO | 天品         | B6:  4.68% | DMA: -0.526 | 💎流入 | 🚀多頭強勢
3576.TW  | 聯合再生       | B6:  4.64% | DMA:  7.297 | 💸流出 | 🚀DMA趨勢+多頭強勢
4764.TW  | 雙鍵         | B6:  4.59% | DMA: 17.280 | 💸流出 | 🚀DMA趨勢+多頭強勢
7812.TWO | 稜研科技*      | B6:  4.50% | DMA:  2.740 | 💎流入 | 🚀DMA趨勢+放量攻擊
3580.TWO | 友威科        | B6:  4.48% | DMA:  3.260 | 💎流入 | 🚀DMA趨勢+多頭強勢
2059.TW  | 川湖         | B6:  4.43% | DMA:163.000 | 💎流入 | 🚀DMA趨勢+多頭強勢
3030.TW  | 德律         | B6:  4.29% | DMA: 45.330 | 💎流入 | 🚀DMA趨勢+多頭強勢
8028.TW  | 昇陽半導體      | B6:  4.25% | DMA:  9.330 | 💸流出 | 🚀DMA趨勢+多頭強勢
6206.TW  | 飛捷         | B6:  4.12% | DMA:  6.990 | 💸流出 | 🚀DMA趨勢+多頭強勢
8996.TW  | 高力         | B6:  3.83% | DMA: 87.360 | 💸流出 | 🚀DMA趨勢+多頭強勢
2855.TW  | 統一證        | B6:  3.83% | DMA:  2.420 | 💎流入 | 🚀DMA趨勢+多頭強勢
3234.TWO | 光環         | B6:  3.73% | DMA: 20.093 | 💎流入 | 🚀DMA趨勢+多頭強勢
3293.TWO | 鈊象         | B6:  3.67% | DMA: 20.520 | 💎流入 | 🚀DMA趨勢+放量攻擊
1313.TW  | 聯成         | B6:  3.64% | DMA:  1.340 | 💎流入 | 🚀DMA趨勢+多頭強勢
3206.TWO | 志豐         | B6:  3.55% | DMA:  4.020 | 💎流入 | 🚀DMA趨勢+放量攻擊
8021.TW  | 尖點         | B6:  3.35% | DMA: 21.031 | 💎流入 | 🚀DMA趨勢+多頭強勢
7750.TW  | 新代         | B6:  3.33% | DMA:220.700 | 💸流出 | 🚀DMA趨勢+多頭強勢
6182.TWO | 合晶         | B6:  3.29% | DMA: -0.875 | 💎流入 | 🚀多頭強勢
1762.TW  | 中化生        | B6:  3.24% | DMA:  2.235 | 💸流出 | 🚀DMA趨勢+多頭強勢
7805.TWO | 威聯通        | B6:  3.16% | DMA: 46.180 | 💸流出 | 🚀DMA趨勢+多頭強勢
2548.TW  | 華固         | B6:  3.12% | DMA:  6.680 | 💎流入 | 🚀DMA趨勢+多頭強勢
4720.TW  | 德淵         | B6:  3.10% | DMA:  0.186 | 💸流出 | 🚀DMA趨勢+多頭強勢
3380.TW  | 明泰         | B6:  3.05% | DMA:  1.853 | 💸流出 | 🚀DMA趨勢+多頭強勢
3577.TWO | 泓格         | B6:  2.86% | DMA:  1.208 | 💎流入 | 🚀DMA趨勢+多頭強勢
2755.TWO | 揚秦         | B6:  2.82% | DMA: 16.730 | 💸流出 | 🚀DMA趨勢+多頭強勢
1312.TW  | 國喬         | B6:  2.81% | DMA:  0.622 | 💸流出 | 🚀DMA趨勢+多頭強勢
5478.TWO | 智冠         | B6:  2.76% | DMA:  4.346 | 💸流出 | 🚀DMA趨勢+多頭強勢
2441.TW  | 超豐         | B6:  2.70% | DMA: -1.148 | 💎流入 | 🚀多頭強勢
4532.TW  | 瑞智         | B6:  2.63% | DMA:  1.015 | 💎流入 | 🚀DMA趨勢+多頭強勢
3158.TWO | 嘉實         | B6:  2.62% | DMA:  2.390 | 💎流入 | 🚀DMA趨勢+多頭強勢
3615.TWO | 安可         | B6:  2.55% | DMA:  4.431 | 💎流入 | 🚀DMA趨勢+多頭強勢
2254.TW  | 巨鎧精密-創     | B6:  2.53% | DMA:  6.378 | 💎流入 | 🚀DMA趨勢+放量攻擊
6230.TW  | 尼得科超眾      | B6:  2.52% | DMA: 26.810 | 💸流出 | 🚀DMA趨勢+多頭強勢
5475.TWO | 德宏         | B6:  2.50% | DMA: 54.580 | 💎流入 | 🚀DMA趨勢+多頭強勢
2419.TW  | 仲琦         | B6:  2.47% | DMA:  0.658 | 💎流入 | 🚀DMA趨勢+放量攻擊
6854.TW  | 錼創科技-KY創   | B6:  2.38% | DMA: 12.300 | 💎流入 | 🚀DMA趨勢+放量攻擊
00988A.TW | 主動統一全球創新   | B6:  2.35% | DMA:  1.631 | 💸流出 | 🚀DMA趨勢+多頭強勢
3211.TWO | 順達         | B6:  2.30% | DMA: 11.700 | 💎流入 | 🚀DMA趨勢+多頭強勢
00980A.TW | 主動野村臺灣優選   | B6:  2.27% | DMA:  1.102 | 💸流出 | 🚀DMA趨勢+多頭強勢
00993A.TW | 主動安聯台灣     | B6:  2.27% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
4419.TWO | 皇家美食       | B6:  2.23% | DMA: -0.190 | 💎流入 | 🚀放量攻擊
3490.TWO | 單井         | B6:  2.12% | DMA:  0.473 | 💎流入 | 🚀DMA趨勢+放量攻擊
4760.TWO | 勤凱         | B6:  2.05% | DMA:  3.690 | 💎流入 | 🚀DMA趨勢+放量攻擊
2103.TW  | 台橡         | B6:  2.00% | DMA:  2.956 | 💸流出 | 🚀DMA趨勢+多頭強勢
5871.TW  | 中租-KY      | B6:  2.00% | DMA:  1.160 | 💎流入 | 🚀DMA趨勢+放量攻擊
00910.TW | 第一金太空衛星    | B6:  1.98% | DMA:  2.080 | 💎流入 | 🚀DMA趨勢+放量攻擊
00985A.TW | 主動野村台灣50   | B6:  1.90% | DMA:  0.977 | 💸流出 | 🚀DMA趨勢+多頭強勢
2353.TW  | 宏��        | B6:  1.86% | DMA:  0.717 | 💸流出 | 🚀DMA趨勢+多頭強勢
00909.TW | 國泰數位支付服務   | B6:  1.83% | DMA: -0.847 | 💎流入 | 🚀多頭強勢
4138.TWO | 曜亞         | B6:  1.81% | DMA:  1.262 | 💸流出 | 🚀DMA趨勢+多頭強勢
2248.TW  | 華勝-KY      | B6:  1.80% | DMA:  1.076 | 💎流入 | 🚀DMA趨勢+多頭強勢
2724.TWO | 藝舍-KY      | B6:  1.79% | DMA: -0.018 | 💸流出 | 🚀多頭強勢
2233.TW  | 宇隆         | B6:  1.79% | DMA: -1.150 | 💎流入 | 🚀多頭強勢
8016.TW  | 矽創         | B6:  1.75% | DMA:  6.260 | 💎流入 | 🚀DMA趨勢+多頭強勢
5548.TWO | 安倉         | B6:  1.72% | DMA:  0.485 | 💎流入 | 🚀DMA趨勢+放量攻擊
4927.TW  | 泰鼎-KY      | B6:  1.68% | DMA:  5.394 | 💸流出 | 🚀DMA趨勢+多頭強勢
00936.TW | 台新永續高息中小   | B6:  1.68% | DMA:  0.466 | 💎流入 | 🚀DMA趨勢+多頭強勢
4527.TWO | 方土霖        | B6:  1.67% | DMA:  1.140 | 💎流入 | 🚀DMA趨勢+多頭強勢
1323.TW  | 永裕         | B6:  1.59% | DMA:  0.133 | 💎流入 | 🚀DMA趨勢+多頭強勢
5520.TWO | 力泰         | B6:  1.51% | DMA: -0.170 | 💸流出 | 🚀多頭強勢
5272.TWO | 笙科         | B6:  1.49% | DMA:  0.950 | 💎流入 | 🚀DMA趨勢+放量攻擊
6488.TWO | 環球晶        | B6:  1.47% | DMA:-15.600 | 💎流入 | 🚀多頭強勢
1808.TW  | 潤隆         | B6:  1.42% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
6525.TW  | 捷敏-KY      | B6:  1.42% | DMA:  3.118 | 💎流入 | 🚀DMA趨勢+多頭強勢
6290.TWO | 良維         | B6:  1.41% | DMA: 27.340 | 💸流出 | 🚀DMA趨勢+多頭強勢
00935.TW | 野村臺灣新科技50  | B6:  1.40% | DMA:  2.465 | 💸流出 | 🚀DMA趨勢+多頭強勢
8462.TW  | 柏文         | B6:  1.39% | DMA: -0.890 | 💎流入 | 🚀多頭強勢
6965.TW  | 中傑-KY      | B6:  1.39% | DMA: -0.042 | 💎流入 | 🚀多頭強勢
2379.TW  | 瑞昱         | B6:  1.32% | DMA:-11.750 | 💎流入 | 🚀多頭強勢
3218.TWO | 大學光        | B6:  1.31% | DMA: -3.467 | 💸流出 | 🚀多頭強勢
6152.TW  | 百一         | B6:  1.28% | DMA:  3.102 | 💸流出 | 🚀DMA趨勢+多頭強勢
7740.TW  | 熙特爾-創      | B6:  1.22% | DMA: 19.490 | 💸流出 | 🚀DMA趨勢+多頭強勢
4530.TWO | 宏易         | B6:  1.22% | DMA:  0.826 | 💎流入 | 🚀DMA趨勢+放量攻擊
8930.TWO | 青鋼         | B6:  1.21% | DMA:  0.750 | 💎流入 | 🚀DMA趨勢+放量攻擊
00990A.TW | 主動元大AI新經濟  | B6:  1.14% | DMA:  0.729 | 💎流入 | 🚀DMA趨勢+多頭強勢
4576.TW  | 大銀微系統      | B6:  1.12% | DMA:  4.560 | 💎流入 | 🚀DMA趨勢+放量攻擊
2903.TW  | 遠百         | B6:  1.10% | DMA:  0.556 | 💸流出 | 🚀DMA趨勢+多頭強勢
8086.TWO | 宏捷科        | B6:  1.06% | DMA:  8.480 | 💸流出 | 🚀DMA趨勢+多頭強勢
2739.TW  | 寒舍         | B6:  1.05% | DMA: -0.074 | 💎流入 | 🚀多頭強勢
00666R.TW | 富邦恒生國企反1   | B6:  1.01% | DMA:  0.345 | 💎流入 | 🚀DMA趨勢+多頭強勢
00946.TW | 群益科技高息成長   | B6:  0.94% | DMA:  0.067 | 💎流入 | 🚀DMA趨勢+多頭強勢
009805.TW | 新光美國電力基建   | B6:  0.93% | DMA:  0.969 | 💎流入 | 🚀DMA趨勢+多頭強勢
2108.TW  | 南帝         | B6:  0.92% | DMA:  0.808 | 💎流入 | 🚀DMA趨勢+多頭強勢
6443.TW  | 元晶         | B6:  0.87% | DMA:  5.938 | 💎流入 | 🚀DMA趨勢+多頭強勢
2838.TW  | 聯邦銀        | B6:  0.84% | DMA:  0.825 | 💎流入 | 🚀DMA趨勢+多頭強勢
00891.TW | 中信關鍵半導體    | B6:  0.82% | DMA:  1.184 | 💸流出 | 🚀DMA趨勢+多頭強勢
2520.TW  | 冠德         | B6:  0.80% | DMA:  0.077 | 💎流入 | 🚀DMA趨勢+多頭強勢
1213.TW  | 大飲         | B6:  0.78% | DMA: -0.087 | 💸流出 | 🚀多頭強勢
00877.TWO | 復華中國5G     | B6:  0.77% | DMA:  0.848 | 💸流出 | 🚀DMA趨勢+多頭強勢
2897.TW  | 王道銀行       | B6:  0.75% | DMA:  0.421 | 💸流出 | 🚀DMA趨勢+多頭強勢
00881.TW | 國泰台灣科技龍頭   | B6:  0.64% | DMA:  1.910 | 💸流出 | 🚀DMA趨勢+多頭強勢
6136.TW  | 富爾特        | B6:  0.61% | DMA:  0.028 | 💎流入 | 🚀DMA趨勢+多頭強勢
3252.TWO | 海灣         | B6:  0.60% | DMA:  0.926 | 💎流入 | 🚀DMA趨勢+多頭強勢
8937.TWO | 合騏         | B6:  0.56% | DMA:  6.410 | 💎流入 | 🚀DMA趨勢+多頭強勢
6870.TWO | 騰雲         | B6:  0.52% | DMA: -5.290 | 💸流出 | 🚀多頭強勢
4305.TWO | 世坤         | B6:  0.52% | DMA:  0.896 | 💎流入 | 🚀DMA趨勢+多頭強勢
3313.TWO | 斐成         | B6:  0.51% | DMA: -0.610 | 💎流入 | 🚀多頭強勢
3708.TW  | 上緯投控       | B6:  0.48% | DMA:  4.240 | 💸流出 | 🚀DMA趨勢+多頭強勢
4433.TWO | 興采         | B6:  0.47% | DMA: -0.541 | 💸流出 | 🚀多頭強勢
3594.TWO | 磐儀         | B6:  0.45% | DMA:  2.008 | 💸流出 | 🚀DMA趨勢+多頭強勢
2395.TW  | 研華         | B6:  0.41% | DMA: 27.530 | 💎流入 | 🚀DMA趨勢+多頭強勢
6423.TWO | 億而得        | B6:  0.37% | DMA:  0.572 | 💸流出 | 🚀DMA趨勢+多頭強勢
4406.TWO | 新昕纖        | B6:  0.35% | DMA: -0.003 | 💎流入 | 🚀多頭強勢
2752.TWO | 豆府         | B6:  0.32% | DMA:  2.280 | 💸流出 | 🚀DMA趨勢+多頭強勢
00981B.TWO | 第一金優選非投債   | B6:  0.30% | DMA: -0.001 | 💎流入 | 🚀多頭強勢
8926.TW  | 台汽電        | B6:  0.29% | DMA:  1.920 | 💎流入 | 🚀DMA趨勢+多頭強勢
3003.TW  | 健和興        | B6:  0.29% | DMA:  1.275 | 💎流入 | 🚀DMA趨勢+多頭強勢
2887I.TW | TS FINANCIAL HOLDING CO LTD | B6:  0.28% | DMA:  0.028 | 💎流入 | 🚀DMA趨勢+放量攻擊
00637L.TW | 元大滬深300正2  | B6:  0.28% | DMA: -0.476 | 💸流出 | 🚀多頭強勢
00940.TW | 元大台灣價值高息   | B6:  0.24% | DMA:  0.088 | 💎流入 | 🚀DMA趨勢+多頭強勢
00953B.TW | 群益優選非投等債   | B6:  0.22% | DMA:  0.013 | 💸流出 | 🚀DMA趨勢+多頭強勢
1219.TW  | 福壽         | B6:  0.21% | DMA:  0.080 | 💎流入 | 🚀DMA趨勢+放量攻擊
6277.TW  | 宏正         | B6:  0.20% | DMA:  0.058 | 💎流入 | 🚀DMA趨勢+放量攻擊
00655L.TW | CATHAY SECS INV TRUST CO LTD FT | B6:  0.17% | DMA: -0.882 | 💸流出 | 🚀多頭強勢
9918.TW  | 欣天然        | B6:  0.17% | DMA:  4.358 | 💸流出 | 🚀DMA趨勢+多頭強勢
8423.TWO | 保綠-KY      | B6:  0.14% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
8067.TWO | 志旭         | B6:  0.14% | DMA:  0.037 | 💸流出 | 🚀DMA趨勢+多頭強勢
6692.TWO | 進能服        | B6:  0.12% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
3548.TWO | 兆利         | B6:  0.11% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
4971.TWO | IET-KY     | B6:  0.10% | DMA: 61.670 | 💎流入 | 🚀DMA趨勢+放量攻擊
7556.TWO | 意德士        | B6:  0.08% | DMA:  6.470 | 💎流入 | 🚀DMA趨勢+多頭強勢
009803.TW | 保德信市值動能50  | B6:  0.04% | DMA:  0.728 | 💸流出 | 🚀DMA趨勢+多頭強勢
1815.TWO | 富喬         | B6:  0.04% | DMA:  7.000 | 💸流出 | 🚀DMA趨勢+多頭強勢
3454.TW  | 晶睿         | B6:  0.03% | DMA:  0.244 | 💸流出 | 🚀DMA趨勢+多頭強勢

【❄️跌深反彈】(數量: 121)
------------------------------------------------------------------------------------------
2609.TW  | 陽明         | B6: -5.00% | DMA: -0.218 | 💸流出 | ❄️跌深轉強
6243.TW  | 迅杰         | B6: -5.02% | DMA: -2.789 | 💸流出 | ❄️跌深轉強
6928.TW  | 攸泰科技       | B6: -5.02% | DMA: -3.784 | 💸流出 | ❄️跌深轉強
3528.TW  | 安馳         | B6: -5.04% | DMA: -4.646 | 💎流入 | ❄️底部反彈
3664.TWO | 安瑞-KY      | B6: -5.06% | DMA: -1.738 | 💸流出 | ❄️跌深轉強
6921.TW  | 嘉雨思-創      | B6: -5.13% | DMA: -1.242 | 💸流出 | ❄️跌深轉強
6753.TW  | 龍德造船       | B6: -5.13% | DMA: -8.400 | 💸流出 | ❄️跌深轉強
2428.TW  | 興勤         | B6: -5.18% | DMA:-11.230 | 💸流出 | ❄️跌深轉強
00852L.TW | CATHAY SECS INV TRUST CO LTD CA | B6: -5.21% | DMA: -2.546 | 💎流入 | ❄️跌深轉強
00640L.TW | 富邦日本正2     | B6: -5.22% | DMA: -3.081 | 💸流出 | ❄️跌深轉強
5906.TW  | 台南-KY      | B6: -5.22% | DMA: -2.920 | 💸流出 | ❄️跌深轉強
2321.TW  | 東訊         | B6: -5.26% | DMA: -1.500 | 💸流出 | ❄️底部反彈
9802.TW  | 鈺齊-KY      | B6: -5.33% | DMA: -9.069 | 💸流出 | ❄️跌深轉強
5516.TWO | 雙喜         | B6: -5.34% | DMA: -1.298 | 💸流出 | ❄️跌深轉強
6885.TW  | 全福生技       | B6: -5.42% | DMA: -2.508 | 💸流出 | ❄️跌深轉強
7777.TWO | 能率亞洲       | B6: -5.45% | DMA: -2.341 | 💸流出 | ❄️底部反彈
8422.TW  | 可寧衛*       | B6: -5.54% | DMA: -5.710 | 💸流出 | ❄️跌深轉強
5245.TWO | 智晶         | B6: -5.57% | DMA: -2.115 | 💸流出 | ❄️跌深轉強
6887.TW  | 寶綠特-KY     | B6: -5.65% | DMA: -9.764 | 💸流出 | ❄️跌深轉強
1414.TW  | 東和         | B6: -5.67% | DMA: -0.732 | 💸流出 | ❄️跌深轉強
6617.TWO | 共信-KY      | B6: -5.67% | DMA: -4.216 | 💸流出 | ❄️底部反彈
8935.TWO | 邦泰         | B6: -5.69% | DMA: -1.126 | 💸流出 | ❄️跌深轉強
1476.TW  | 儒鴻         | B6: -5.71% | DMA:-34.520 | 💸流出 | ❄️跌深轉強
4523.TWO | 永彰         | B6: -5.77% | DMA: -0.221 | 💎流入 | ❄️跌深轉強
6716.TWO | 應廣         | B6: -5.82% | DMA: 10.120 | 💸流出 | ❄️跌深轉強
3308.TW  | 聯德         | B6: -5.88% | DMA: -1.198 | 💸流出 | ❄️跌深轉強
8249.TW  | 菱光         | B6: -5.89% | DMA: -4.861 | 💸流出 | ❄️跌深轉強
3441.TWO | 聯一光        | B6: -5.89% | DMA: -3.526 | 💸流出 | ❄️跌深轉強
4552.TW  | 力達-KY      | B6: -5.97% | DMA: -1.814 | 💸流出 | ❄️跌深轉強
4402.TWO | 郡都開發       | B6: -6.03% | DMA: -1.698 | 💎流入 | ❄️跌深轉強
2597.TW  | 潤弘         | B6: -6.03% | DMA:-12.250 | 💸流出 | ❄️跌深轉強
6988.TW  | 威力暘-創      | B6: -6.04% | DMA: -2.167 | 💎流入 | ❄️跌深轉強
7792.TWO | 安葆         | B6: -6.11% | DMA: -9.180 | 💸流出 | ❄️跌深轉強
1591.TWO | 駿吉-KY      | B6: -6.13% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
2431.TW  | 聯昌         | B6: -6.13% | DMA: -1.199 | 💎流入 | ❄️跌深轉強
6620.TWO | 漢達         | B6: -6.16% | DMA: -8.404 | 💸流出 | ❄️跌深轉強
6796.TW  | 晉弘         | B6: -6.22% | DMA:-10.030 | 💸流出 | ❄️跌深轉強
1536.TW  | 和大         | B6: -6.23% | DMA: -6.132 | 💸流出 | ❄️跌深轉強
2115.TW  | 六暉-KY      | B6: -6.24% | DMA: -2.328 | 💸流出 | ❄️跌深轉強
6949.TW  | 沛爾生醫-創     | B6: -6.28% | DMA: 28.520 | 💸流出 | ❄️跌深轉強
4113.TWO | 聯上         | B6: -6.30% | DMA: -2.553 | 💸流出 | ❄️跌深轉強
00635U.TW | 期元大S&P黃金   | B6: -6.33% | DMA: -1.931 | 💸流出 | ❄️跌深轉強
4994.TW  | 傳奇         | B6: -6.35% | DMA: -7.294 | 💸流出 | ❄️跌深轉強
2905.TW  | 三商         | B6: -6.37% | DMA: -0.903 | 💸流出 | ❄️跌深轉強
3624.TWO | 光頡         | B6: -6.37% | DMA: -6.595 | 💸流出 | ❄️跌深轉強
2612.TW  | 中航         | B6: -6.40% | DMA: -3.924 | 💸流出 | ❄️跌深轉強
2317.TW  | 鴻海         | B6: -6.46% | DMA:-16.020 | 💸流出 | ❄️跌深轉強
9945.TW  | 潤泰新        | B6: -6.47% | DMA: -2.402 | 💸流出 | ❄️跌深轉強
1603.TW  | 華電         | B6: -6.52% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
4939.TWO | 亞電         | B6: -6.53% | DMA: -4.934 | 💸流出 | ❄️跌深轉強
8213.TW  | 志超         | B6: -6.67% | DMA: -2.075 | 💸流出 | ❄️跌深轉強
5314.TWO | 世紀*        | B6: -6.71% | DMA:-12.830 | 💸流出 | ❄️跌深轉強
5607.TW  | 遠雄港        | B6: -6.75% | DMA: -1.656 | 💸流出 | ❄️跌深轉強
6128.TW  | 上福         | B6: -6.77% | DMA: -1.280 | 💸流出 | ❄️跌深轉強
2371.TW  | 大同         | B6: -6.83% | DMA: -4.287 | 💸流出 | ❄️跌深轉強
8054.TWO | 安國         | B6: -6.86% | DMA:-16.616 | 💎流入 | ❄️底部反彈
6535.TWO | 順藥         | B6: -6.87% | DMA:-21.820 | 💎流入 | ❄️跌深轉強
1504.TW  | 東元         | B6: -6.88% | DMA:-10.960 | 💸流出 | ❄️跌深轉強
6863.TW  | 永道-KY      | B6: -6.97% | DMA:-16.464 | 💸流出 | ❄️跌深轉強
4561.TWO | 健椿         | B6: -7.05% | DMA: -4.830 | 💸流出 | ❄️跌深轉強
1590.TW  | 亞德客-KY     | B6: -7.08% | DMA:-68.560 | 💸流出 | ❄️底部反彈
