advice,prev_eps,eps,est_price,rev_yoy,gm,status,prev_eps_yoy,om,name,price,expansion,pe,date,symbol,prev_year,prev_rev_yoy,eps_yoy
⚠️ 追價風險,5.45,8.13,264.15000000000003,95.35,42.12%,🚀 利潤擴張,790.16,18.24%,大量,755.0,379.12,42.87336740488358,2025-12,3167.TW,2025,119.15,474.47
💎 強力關注,0.43,0.45,16.499999999999996,-9.55,2.52%,🧐 疑業外收益,326.32,0.23%,宏洲,9.6400003433,374.26,8.763636675727275,2025-12,1413.TW,2025,-6.34,364.71
⚠️ 追價風險,0.62,1.22,38.849999999999994,5.46,23.49%,🚀 利潤擴張,187.32,7.74%,雙鍵,330.0,371.81,127.41312741312743,2025-12,4764.TW,2025,6.23,377.27
💎 強力關注,1.26,1.69,68.4,12.01,N/A,🚀 利潤擴張,916.67,N/A,同亨,28.5,370.34000000000003,6.249999999999999,2025-12,5490.TWO,2025,13.03,382.35
💎 強力關注,0.02,0.55,42.0,-6.42,N/A,🧐 疑業外收益,103.23,N/A,新天地,18.3999996185,364.75,6.571428435178572,2025-12,8940.TW,2025,-10.3,358.33
⚪ 中性觀察,1.65,1.52,59.699999999999996,49.68,69.49%,🏰 高護城河,179.66,-15.39%,倚強科,67.1999969482,356.99,16.884421343768846,2025-12,3219.TWO,2025,43.11,406.67
💎 強力關注,0.52,0.9,38.1,0.41,10.73%,🚀 利潤擴張,185.25,-2.70%,友達,18.3500003815,327.09,7.224409599015748,2025-12,2409.TW,2025,-0.15,327.5
💎 強力關注,7.71,7.73,321.90000000000003,29.26,15.60%,🚀 利潤擴張,114.76,0.97%,冠星-KY,98.9000015259,316.98,4.608574162437092,2025-12,4439.TW,2025,30.37,346.24
⚪ 數據不足,-0.11,0.15,-2.7000000000000006,-14.09,8.40%,🔄 轉虧為盈,-222.22,-12.67%,映泰,43.5,289.09,0.0,2025-12,2399.TW,2025,-14.04,275.0
💎 強力關注,7.88,7.21,359.25,-5.85,34.44%,🧐 疑業外收益,352.24,-79.17%,宏達電,40.4500007629,281.70000000000005,1.6889353136910228,2025-12,2498.TW,2025,-0.73,275.85
💎 強力關注,4.81,4.01,194.10000000000002,-9.71,N/A,🧐 疑業外收益,-18.34,N/A,美利達,56.0999984741,281.08,4.3353940088176195,2025-12,9914.TW,2025,-8.55,271.37
⚪ 數據不足,3.02,4.02,0.0,12.97,N/A,🚀 利潤擴張,410.34,N/A,浪凡,0.0,275.27,0.0,2025-12,6165.TW,2025,12.63,288.24
⚠️ 追價風險,1.26,2.01,65.55,20.44,38.42%,🚀 利潤擴張,447.83,13.23%,大銀微系統,242.0,273.68,55.37757437070938,2025-12,4576.TW,2025,19.84,294.12
⚪ 數據不足,0.98,0.25,-8.100000000000001,-14.27,-4.21%,🧐 疑業外收益,230.67,-53.06%,冠西電,53.2000007629,255.45000000000002,0.0,2025-12,2466.TW,2025,-6.66,241.18
💎 強力關注,4.75,5.5,174.45,0.02,9.17%,🚀 利潤擴張,241.94,6.96%,華榮,34.2999992371,254.79,2.949269065958728,2025-12,1608.TW,2025,-0.36,254.81
⚠️ 追價風險,0.19,0.09,3.9000000000000004,-0.24,41.46%,🧐 疑業外收益,-11.76,18.72%,中纖,6.3499999046,250.24,24.423076556153845,2025-12,1718.TW,2025,4.96,250.0
⚪ 中性觀察,1.48,1.91,68.25,-0.48,N/A,🧐 疑業外收益,180.87,N/A,有成精密,98.0999984741,241.22,21.560439225076927,2025-12,4949.TW,2025,-1.75,240.74
⚪ 數據不足,-0.9,1.74,-2.4000000000000004,7.93,29.82%,🔄 轉虧為盈,10.89,25.89%,三地開發,20.1000003815,229.07999999999998,0.0,2025-12,1438.TW,2025,-98.23,237.01
💎 強力關注,-0.9,3.41,22.050000000000004,-20.46,46.73%,🔄 轉虧為盈,15.89,248.16%,怡華,14.1999998093,227.67000000000002,9.659863815850338,2025-12,1456.TW,2025,-26.31,207.21
⚠️ 追價風險,0.47,1.74,31.349999999999998,6.6,31.94%,🚀 利潤擴張,-50.0,14.09%,晶相光,67.5,224.23000000000002,32.29665071770335,2025-12,3530.TW,2025,-5.41,230.83
⚠️ 追價風險,0.33,0.21,14.399999999999999,-13.63,5.45%,🧐 疑業外收益,94.12,-1.87%,允強,21.5499992371,213.63,22.447915871979166,2025-12,2034.TW,2025,-4.98,200.0
💎 強力關注,1.43,1.72,83.1,-1.28,30.12%,🧐 疑業外收益,237.21,9.56%,松瑞藥,18.75,204.79,3.384476534296029,2025-12,4167.TWO,2025,-6.23,203.51
💎 強力關注,1.0,2.51,66.44999999999999,12.21,42.43%,🚀 利潤擴張,400.0,14.38%,皇將,32.5,203.79,7.336343115124154,2025-12,4744.TWO,2025,14.04,216.0
⚠️ 追價風險,0.23,1.58,31.349999999999998,20.92,N/A,🚀 利潤擴張,119.47,N/A,GOGOLOOK,102.5,201.66000000000003,49.04306220095694,2025-12,6902.TW,2025,20.7,222.58
💎 強力關注,10.81,13.38,468.90000000000003,12.25,5.71%,🚀 利潤擴張,260.07,-7.46%,楠梓電,116.5,200.22,3.7268074216250797,2025-12,2316.TW,2025,8.72,212.47
⚠️ 追價風險,0.31,0.7,20.249999999999996,29.92,31.84%,🚀 利潤擴張,150.0,10.64%,金穎生技,38.3499984741,199.70999999999998,28.40740627711111,2025-12,1796.TWO,2025,36.52,229.63
⚪ 中性觀察,1.18,1.58,51.15,8.46,N/A,🚀 利潤擴張,76.12,N/A,東研信超,66.6999969482,197.42,19.560116407096775,2025-12,6840.TWO,2025,5.51,205.88
⚠️ 追價風險,0.55,0.51,7.2,-7.75,29.43%,🧐 疑業外收益,219.57,-10.81%,雲嘉南,13.8000001907,197.22,28.750000397291664,2025-12,3191.TWO,2025,-1.51,189.47
💎 強力關注,1.14,2.01,60.59999999999999,2.05,3.50%,🚀 利潤擴張,153.27,1.71%,益登,42.0999984741,193.66,10.420791701509902,2025-12,3048.TW,2025,5.31,195.71
⚠️ 追價風險,0.62,0.76,34.199999999999996,22.23,N/A,🚀 利潤擴張,191.04,N/A,盛群,57.5,191.41,25.219298245614038,2025-12,6202.TW,2025,31.27,213.64
⚪ 數據不足,-0.25,0.41,-9.6,3.52,17.05%,🔄 轉虧為盈,62.12,3.38%,環科,45.2000007629,189.66,0.0,2025-12,2413.TW,2025,8.02,193.18
⚠️ 追價風險,0.1,0.04,0.30000000000000027,-87.0,5.36%,🧐 疑業外收益,-70.59,-14.33%,川飛,21.8500003815,187.65,1092.500019074999,2025-12,1516.TW,2025,-90.58,100.65
✅ 穩健價值,1.2,1.82,56.25,18.84,N/A,🚀 利潤擴張,-3.23,N/A,邁達特,45.2000007629,184.49,12.053333536773332,2025-12,6112.TW,2025,20.56,203.33
⚠️ 追價風險,-0.04,1.14,11.099999999999998,6.56,N/A,🔄 轉虧為盈,97.79,N/A,臺龍,17.7999992371,179.8,24.05405302310811,2025-12,6246.TWO,2025,11.15,186.36
⚪ 數據不足,2.44,3.67,0.0,2.54,41.59%,🚀 利潤擴張,39.43,21.37%,台耀,0.0,177.61,0.0,2025-12,4746.TW,2025,4.96,180.15
💎 強力關注,7.31,6.42,163.5,70.72,8.05%,🚀 利潤擴張,314.37,-11.23%,三一東林,22.6000003815,177.55,2.073394530412844,2025-12,3609.TWO,2025,27.17,248.27
💎 強力關注,1.61,1.23,20.7,-13.43,N/A,🧐 疑業外收益,228.8,N/A,虹揚-KY,12.6999998093,176.83,9.202898412536232,2025-12,6573.TW,2025,-11.95,163.4
✅ 穩健價值,4.25,6.58,213.00000000000003,23.89,N/A,🚀 利潤擴張,89.73,N/A,力智,188.0,174.75,13.239436619718308,2025-12,6719.TW,2025,22.77,198.64
⚠️ 追價風險,0.91,0.47,29.999999999999996,-1.13,N/A,🧐 疑業外收益,275.0,N/A,九豪,48.0,174.57,24.000000000000004,2025-12,6127.TWO,2025,-0.97,173.44
⚠️ 追價風險,0.49,0.92,24.750000000000004,-3.75,42.07%,🧐 疑業外收益,172.22,14.30%,旭然,43.3499984741,174.34,26.27272634793939,2025-12,4556.TWO,2025,-8.55,170.59
✅ 穩健價值,0.09,0.53,13.5,5.62,N/A,🚀 利潤擴張,175.0,N/A,亞都,14.0,173.32999999999998,15.555555555555555,2025-12,5703.TWO,2025,4.04,178.95
⚠️ 追價風險,0.49,0.92,22.800000000000004,50.65,N/A,🚀 利潤擴張,190.57,N/A,今國光,72.1999969482,172.01999999999998,47.49999799223683,2025-12,6209.TW,2025,39.08,222.67
⚠️ 追價風險,0.81,0.89,33.150000000000006,12.23,N/A,🚀 利潤擴張,1700.0,N/A,長佳智能,61.4000015259,171.64000000000001,27.78280612031674,2025-12,6841.TWO,2025,2.1,183.87
⚪ 數據不足,1.75,5.45,0.0,27.9,N/A,🚀 利潤擴張,3.33,N/A,聯友金屬-創,0.0,166.18,0.0,2025-12,7610.TW,2025,-4.54,194.08
⚠️ 追價風險,0.24,0.37,10.35,23.11,18.05%,🚀 利潤擴張,155.81,2.96%,吉茂,32.5499992371,164.99,47.1739119378261,2025-12,1587.TW,2025,19.92,188.1
⚠️ 追價風險,0.16,0.22,4.65,10.09,15.86%,🚀 利潤擴張,300.0,1.35%,一詮,278.0,164.91,896.7741935483871,2025-12,2486.TW,2025,13.26,175.0
⚪ 數據不足,1.13,6.34,0.0,164.5,N/A,🚀 利潤擴張,47.95,N/A,富威電力,0.0,164.37,0.0,2025-12,6994.TW,2025,21.0,328.87
💎 強力關注,17.41,18.83,693.9,78.68,N/A,🚀 利潤擴張,241.37,N/A,寬宏藝術,98.8000030518,164.31,2.1357544974448768,2025-12,6596.TWO,2025,97.52,242.99
⚪ 數據不足,-0.24,0.68,-11.25,62.85,N/A,🔄 轉虧為盈,-271.43,N/A,方土昶,43.4000015259,160.96,0.0,2025-12,6265.TWO,2025,25.19,223.81
✅ 穩健價值,9.52,13.74,435.15,130.83,N/A,🚀 利潤擴張,280.8,N/A,高技,407.0,160.61999999999998,14.029644950017236,2025-12,5439.TWO,2025,130.37,291.45
⚪ 數據不足,-0.13,-0.09,-4.95,-69.84,10.14%,🧐 疑業外收益,23.53,3.61%,森寶,21.9500007629,159.73000000000002,0.0,2025-12,3489.TWO,2025,-54.34,89.89
💎 強力關注,2.61,1.81,106.8,-6.62,7.66%,🧐 疑業外收益,271.05,-21.47%,東台,36.2000007629,157.18,5.084269770070224,2025-12,4526.TW,2025,-1.22,150.56
💎 強力關注,2.19,1.86,91.05,19.21,4.18%,🚀 利潤擴張,219.44,-22.27%,新鉅科,27.6000003815,153.81,4.546952286902801,2025-12,3630.TWO,2025,18.28,173.02
💎 強力關注,3.24,1.57,189.75000000000003,-15.36,N/A,🧐 疑業外收益,203.85,N/A,安格,51.0,152.56,4.031620553359683,2025-12,6684.TWO,2025,-15.66,137.2
⚪ 數據不足,-0.24,-0.55,-13.5,-93.38,N/A,🧐 疑業外收益,77.78,N/A,台新藥,26.7000007629,152.03,0.0,2025-12,6838.TW,2025,-95.44,58.65
⚪ 數據不足,-0.22,0.06,-5.8500000000000005,72.24,98.33%,🔄 轉虧為盈,-1000.0,81.17%,太景*-KY,9.720000267,147.76,0.0,2025-12,4157.TWO,2025,-79.84,220.0
⚠️ 追價風險,-0.1,0.13,2.4,-3.71,43.11%,🔄 轉虧為盈,54.55,22.84%,海灣,18.7999992371,145.65,117.49999523187499,2025-12,3252.TWO,2025,-4.86,141.94
⚪ 中性觀察,1.25,1.7,67.05000000000001,65.48,11.59%,🚀 利潤擴張,292.31,1.68%,精確,95.9000015259,143.77999999999997,21.4541390438255,2025-12,3162.TWO,2025,89.71,209.26
💎 強力關注,2.56,2.71,107.1,-8.77,5.83%,🧐 疑業外收益,55.15,-0.68%,TPK-KY,60.5,142.39000000000001,8.473389355742297,2025-12,3673.TW,2025,-8.66,133.62
⚠️ 追價風險,0.05,0.08,4.050000000000001,-20.68,N/A,🧐 疑業外收益,111.11,N/A,中湛,19.0499992371,140.19,70.55555272999999,2025-12,6236.TWO,2025,-18.24,119.51
⚠️ 追價風險,0.05,0.25,6.449999999999999,42.33,N/A,🚀 利潤擴張,119.23,N/A,天擎,42.5,138.32,98.83720930232559,2025-12,6708.TWO,2025,48.16,180.65
⚠️ 追價風險,2.99,0.17,9.450000000000005,-32.24,N/A,🧐 疑業外收益,199.67,N/A,立凱-KY,20.7999992371,137.15,33.015871804920614,2025-12,5227.TWO,2025,-19.06,104.91
⚠️ 追價風險,-0.32,0.71,18.9,16.84,N/A,🔄 轉虧為盈,70.64,N/A,點序,86.6999969482,135.37,68.80952138746031,2025-12,6485.TWO,2025,14.7,152.21
⚪ 數據不足,-1.45,2.13,-28.5,95.09,49.05%,🔄 轉虧為盈,-28.32,39.15%,南亞科,287.0,134.79,0.0,2025-12,2408.TW,2025,32.43,229.88
💎 強力關注,3.61,7.11,205.50000000000003,44.32,8.09%,🚀 利潤擴張,167.46,5.14%,鑫聯大投控,84.5,133.87,6.167883211678832,2025-12,3709.TWO,2025,55.41,178.19
⚪ 數據不足,-0.81,-1.11,-57.45,-72.48,-8.98%,🧐 疑業外收益,65.77,-223.66%,德晉,40.8499984741,131.46,0.0,2025-12,3466.TWO,2025,-68.41,58.98
⚠️ 追價風險,4.66,3.44,183.0,515.18,54.76%,🏰 高護城河,884.75,41.27%,聯亞,2660.0,130.47000000000003,218.0327868852459,2026-03,3081.TWO,2025,82.29,645.65
⚪ 數據不足,-0.67,-0.95,-35.85,-75.71,-156.07%,🧐 疑業外收益,16.25,-456.27%,太極,18.9500007629,129.82,0.0,2025-12,4934.TW,2025,-81.44,54.11
💎 強力關注,2.72,3.56,130.35,-19.52,18.52%,🧐 疑業外收益,139.38,6.32%,榮運,48.0,127.97999999999999,5.523590333716916,2025-12,2607.TW,2025,-19.69,108.46
⚠️ 追價風險,3.03,8.61,229.49999999999997,32.59,N/A,🚀 利潤擴張,103.38,N/A,青雲,522.0,126.62,34.11764705882353,2025-12,5386.TWO,2025,12.38,159.21
💎 強力關注,2.46,3.76,66.44999999999999,35.14,N/A,🚀 利潤擴張,128.3,N/A,美好證,34.9000015259,126.13000000000001,7.8781041819187365,2025-12,6021.TWO,2025,13.11,161.27
⚪ 數據不足,0.47,0.74,0.0,29.09,27.46%,🚀 利潤擴張,147.47,-3.44%,曜越,0.0,126.13,0.0,2025-12,3540.TWO,2025,30.74,155.22
💎 強力關注,2.05,2.55,105.44999999999999,51.31,N/A,🚀 利潤擴張,130.34,N/A,山林水,35.4000015259,125.85999999999999,5.035562094722618,2025-12,8473.TW,2025,62.88,177.17
⚠️ 追價風險,1.57,4.0,69.75,-4.69,31.80%,🧐 疑業外收益,-40.53,13.87%,穩懋,500.0,125.67999999999999,107.5268817204301,2025-12,3105.TWO,2025,-13.87,120.99
💎 強力關注,0.66,0.92,43.650000000000006,20.19,N/A,🚀 利潤擴張,128.33,N/A,安鈦克,29.8999996185,122.4,10.274913958247422,2025-12,6276.TWO,2025,28.81,142.59
⚠️ 追價風險,0.04,0.19,3.75,8.09,28.43%,🚀 利潤擴張,111.76,-3.62%,瑞利,7.2800002098,119.85,29.1200008392,2025-12,1512.TW,2025,2.64,127.94
💎 強力關注,1.04,1.86,67.5,59.65,32.97%,🚀 利潤擴張,425.0,26.41%,綠意,28.6000003815,117.96000000000001,6.355555640333333,2025-12,2596.TWO,2025,217.33,177.61
⚠️ 追價風險,0.2,0.12,10.350000000000001,22.38,N/A,🚀 利潤擴張,190.91,N/A,泰霖,29.5499992371,116.91,42.82608585086956,2025-12,8080.TWO,2025,34.06,139.29
⚠️ 追價風險,-0.02,0.19,0.6000000000000001,7.47,31.93%,🔄 轉虧為盈,97.22,2.93%,氣立,42.0,114.62,1049.9999999999998,2025-12,4555.TW,2025,8.77,122.09
⚪ 數據不足,-0.12,-0.23,-7.5,-90.1,N/A,🧐 疑業外收益,55.56,N/A,瑞築,21.75,113.42999999999999,0.0,2025-12,6198.TWO,2025,-92.7,23.33
⚠️ 追價風險,0.23,0.88,5.250000000000002,-61.59,35.38%,🧐 疑業外收益,-14.81,-88.29%,中美實,9.6899995804,113.31,27.68571308685713,2025-12,4702.TWO,2025,-60.26,51.72
💎 強力關注,10.08,23.18,592.05,32.13,48.37%,🚀 利潤擴張,19.56,35.36%,威剛,461.5,112.57,11.692424626298456,2025-12,3260.TWO,2025,22.8,144.7
⚪ 數據不足,-0.41,-0.18,-17.700000000000003,-22.64,-19.82%,🧐 疑業外收益,28.07,14.50%,千興,11.9499998093,109.96,0.0,2025-12,2025.TW,2025,-15.81,87.32
⚪ 數據不足,0.02,0.02,-4.95,-6.4,N/A,🧐 疑業外收益,104.35,N/A,大拓-KY,25.7000007629,109.10000000000001,0.0,2025-12,8455.TWO,2025,-7.04,102.7
⚪ 數據不足,-0.37,0.54,-5.399999999999999,26.06,N/A,🔄 轉虧為盈,50.67,N/A,佳龍,30.1499996185,108.56,0.0,2025-12,9955.TW,2025,17.8,134.62
✅ 穩健價值,3.47,13.06,279.75000000000006,2.46,N/A,🚀 利潤擴張,-46.86,N/A,十銓,297.0,107.85000000000001,15.924932975871313,2025-12,4967.TW,2025,-15.55,110.31
⚪ 數據不足,-0.62,-0.92,-38.4,-52.73,N/A,🧐 疑業外收益,80.0,N/A,創業家,13.6000003815,106.5,0.0,2025-12,8477.TWO,2025,-51.54,53.77
💎 強力關注,1.91,2.83,94.35,1.8,26.51%,🚀 利潤擴張,127.38,17.13%,國建,23.5,106.29,3.7360890302066774,2025-12,2501.TW,2025,7.39,108.09
⚪ 數據不足,-0.75,0.86,-14.549999999999999,63.6,N/A,🔄 轉虧為盈,29.25,N/A,威潤,49.9000015259,104.65,0.0,2025-12,6465.TWO,2025,5.09,168.25
⚪ 中性觀察,1.5,6.33,131.09999999999997,39.88,19.12%,🚀 利潤擴張,-29.03,16.62%,凌航,169.5,103.75999999999999,19.39359267734554,2025-12,3135.TW,2025,34.74,143.64
✅ 穩健價值,1.55,2.63,79.8,61.2,N/A,🚀 利潤擴張,156.36,N/A,撼訊,72.5999984741,102.95,13.646616254530077,2025-12,6150.TWO,2025,77.79,164.15
⚠️ 追價風險,0.09,0.43,19.2,5.42,10.44%,🚀 利潤擴張,102.43,2.26%,麗臺,86.3000030518,101.99,67.42187738421875,2025-12,2465.TW,2025,32.51,107.41
⚠️ 追價風險,0.34,0.54,19.05,1.84,40.82%,🚀 利潤擴張,241.67,-1.48%,誠品生活,37.2000007629,98.16,29.291339183385823,2025-12,2926.TWO,2025,2.58,100.0
💎 強力關注,1.32,2.32,65.7,21.45,19.55%,🚀 利潤擴張,41.94,7.07%,錩泰,23.25,97.42,5.308219178082192,2025-12,1541.TW,2025,28.08,118.87
💎 強力關注,0.47,0.72,29.099999999999998,13.61,24.41%,🚀 利潤擴張,133.57,0.24%,虹光,5.6500000954,96.7,2.9123711831958765,2025-12,2380.TW,2025,9.38,110.31
⚪ 數據不足,0.09,1.65,-7.0500000000000025,50.49,N/A,🚀 利潤擴張,103.17,N/A,IET-KY,750.0,96.47999999999999,0.0,2025-12,4971.TWO,2025,54.63,146.97
⚪ 數據不足,0.34,0.16,-7.35,8.41,N/A,🚀 利潤擴張,116.43,N/A,雙喜,10.9499998093,96.02000000000001,0.0,2025-12,5516.TWO,2025,7.31,104.43
⚠️ 追價風險,0.37,0.16,10.65,38.72,12.43%,🚀 利潤擴張,317.65,-9.15%,上詮,815.0,95.32,1147.8873239436618,2025-12,3363.TWO,2025,49.52,134.04
⚠️ 追價風險,10.13,16.13,520.3499999999999,96.69,N/A,🚀 利潤擴張,167.2,N/A,竹陞科技,1370.0,95.30000000000001,39.492649178437595,2025-12,6739.TWO,2025,94.38,191.99
⚠️ 追價風險,0.13,0.1,4.65,23.69,N/A,🚀 利潤擴張,123.21,N/A,廣運,59.2000007629,94.49000000000001,190.9677443964516,2025-12,6125.TWO,2025,15.42,118.18
💎 強力關注,4.47,4.67,159.3,6.13,39.69%,🚀 利潤擴張,151.12,12.64%,歐買尬,66.1999969482,94.30000000000001,6.233521369887004,2025-12,3687.TWO,2025,5.19,100.43
⚪ 數據不足,0.05,0.04,-2.1,7.27,912.85%,🏰 高護城河,-58.33,-2853.40%,大將,11.6999998093,92.73,0.0,2025-12,1453.TW,2025,4.56,100.0
