🚀 智能量化選股報告 - 2026-03-16
==========================================================================================

【🚀超級強勢】(數量: 191)
------------------------------------------------------------------------------------------
3563.TW  | 牧德         | B6: 12.35% | DMA:105.910 | 💎流入 | 🚀DMA趨勢+多頭強勢
1307.TW  | 三芳         | B6:  1.84% | DMA:  1.264 | 💎流入 | 🚀DMA趨勢+多頭強勢
00877.TWO | 復華中國5G     | B6:  1.84% | DMA:  0.908 | 💎流入 | 🚀DMA趨勢+多頭強勢
6958.TW  | 日盛台駿       | B6:  1.83% | DMA:  1.142 | 💸流出 | 🚀DMA趨勢+多頭強勢
00995A.TW | 主動中信台灣卓越   | B6:  1.82% | DMA:  0.000 | 💎流入 | 🚀多頭強勢
3706.TW  | 神達         | B6:  1.72% | DMA: -1.916 | 💎流入 | 🚀多頭強勢
00641R.TW | 富邦日本反1     | B6:  1.70% | DMA: -0.070 | 💎流入 | 🚀多頭強勢
3071.TWO | 協禧         | B6:  1.64% | DMA:  0.541 | 💎流入 | 🚀DMA趨勢+多頭強勢
6592.TW  | 和潤企業       | B6:  1.62% | DMA:  0.432 | 💎流入 | 🚀DMA趨勢+放量攻擊
3168.TW  | 眾福科        | B6:  1.61% | DMA:  0.293 | 💸流出 | 🚀DMA趨勢+多頭強勢
4739.TW  | 康普         | B6:  1.58% | DMA:  1.666 | 💎流入 | 🚀DMA趨勢+多頭強勢
2313.TW  | 華通         | B6:  1.57% | DMA: 43.842 | 💎流入 | 🚀DMA趨勢+放量攻擊
2377.TW  | 微星         | B6:  1.56% | DMA: -1.052 | 💎流入 | 🚀放量攻擊
5450.TWO | 南良         | B6:  1.52% | DMA:  0.224 | 💎流入 | 🚀DMA趨勢+多頭強勢
2010.TW  | 春源         | B6:  1.48% | DMA:  1.248 | 💎流入 | 🚀DMA趨勢+多頭強勢
3029.TW  | 零壹         | B6:  1.43% | DMA:  3.120 | 💸流出 | 🚀DMA趨勢+多頭強勢
2347.TW  | 聯強         | B6:  1.39% | DMA:  4.320 | 💎流入 | 🚀DMA趨勢+放量攻擊
6667.TWO | 信紘科        | B6:  1.37% | DMA: -2.160 | 💸流出 | 🚀多頭強勢
2305.TW  | 全友         | B6:  1.33% | DMA:  0.381 | 💎流入 | 🚀DMA趨勢+多頭強勢
2883.TW  | 凱基金        | B6:  1.32% | DMA:  1.537 | 💎流入 | 🚀DMA趨勢+多頭強勢
3413.TW  | 京鼎         | B6:  1.30% | DMA: 11.650 | 💎流入 | 🚀DMA趨勢+多頭強勢
8046.TW  | 南電         | B6:  1.28% | DMA:105.670 | 💎流入 | 🚀DMA趨勢+放量攻擊
3213.TWO | 茂訊         | B6:  1.27% | DMA: -0.338 | 💸流出 | 🚀多頭強勢
7721.TW  | 微程式        | B6:  1.20% | DMA:  1.803 | 💸流出 | 🚀DMA趨勢+多頭強勢
2838.TW  | 聯邦銀        | B6:  1.18% | DMA:  0.584 | 💎流入 | 🚀DMA趨勢+多頭強勢
4576.TW  | 大銀微系統      | B6:  1.16% | DMA:  4.160 | 💎流入 | 🚀DMA趨勢+多頭強勢
3715.TW  | 定穎投控       | B6:  1.15% | DMA: 11.680 | 💎流入 | 🚀DMA趨勢+放量攻擊
00985A.TW | 主動野村台灣50   | B6:  1.08% | DMA:  0.976 | 💎流入 | 🚀DMA趨勢+多頭強勢
8926.TW  | 台汽電        | B6:  1.06% | DMA:  2.387 | 💎流入 | 🚀DMA趨勢+多頭強勢
9937.TW  | 全國         | B6:  1.04% | DMA:  0.598 | 💎流入 | 🚀DMA趨勢+多頭強勢
00656R.TW | 國泰中國A50反1  | B6:  0.96% | DMA:  0.144 | 💸流出 | 🚀DMA趨勢+多頭強勢
2337.TW  | 旺宏         | B6:  0.91% | DMA: 23.538 | 💸流出 | 🚀DMA趨勢+多頭強勢
1709.TW  | 和益         | B6:  0.88% | DMA:  0.000 | 💎流入 | 🚀放量攻擊
00671R.TW | 富邦NASDAQ反1 | B6:  0.87% | DMA:  0.063 | 💎流入 | 🚀DMA趨勢+多頭強勢
2412.TW  | 中華電        | B6:  0.86% | DMA:  2.450 | 💎流入 | 🚀DMA趨勢+多頭強勢
5515.TW  | 建國         | B6:  0.84% | DMA: -0.674 | 💎流入 | 🚀放量攻擊
00969B.TWO | YUANTA SECURITIES INV TRUST CO  | B6:  0.84% | DMA:  0.148 | 💸流出 | 🚀DMA趨勢+多頭強勢
4305.TWO | 世坤         | B6:  0.80% | DMA:  0.832 | 💎流入 | 🚀DMA趨勢+多頭強勢
4903.TWO | 聯光通        | B6:  0.75% | DMA:  0.844 | 💎流入 | 🚀DMA趨勢+多頭強勢
00857B.TWO | 永豐20年美公債   | B6:  0.72% | DMA:  0.374 | 💎流入 | 🚀DMA趨勢+多頭強勢
3450.TW  | 聯鈞         | B6:  0.71% | DMA: 17.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
8433.TWO | 弘帆         | B6:  0.71% | DMA:  1.244 | 💎流入 | 🚀DMA趨勢+放量攻擊
00795B.TWO | 中信美國公債20年  | B6:  0.71% | DMA:  0.436 | 💎流入 | 🚀DMA趨勢+多頭強勢
00931B.TWO | 統一美債20年    | B6:  0.71% | DMA:  0.214 | 💎流入 | 🚀DMA趨勢+多頭強勢
00764B.TWO | 群益25年美債    | B6:  0.68% | DMA:  0.444 | 💎流入 | 🚀DMA趨勢+多頭強勢
3691.TWO | 碩禾         | B6:  0.68% | DMA: 11.580 | 💎流入 | 🚀DMA趨勢+多頭強勢
00865B.TW | 國泰US短期公債   | B6:  0.68% | DMA:  0.451 | 💎流入 | 🚀DMA趨勢+多頭強勢
00696B.TWO | 富邦美債20年    | B6:  0.68% | DMA:  0.458 | 💎流入 | 🚀DMA趨勢+多頭強勢
00679B.TWO | 元大美債20年    | B6:  0.67% | DMA:  0.420 | 💎流入 | 🚀DMA趨勢+多頭強勢
00687B.TWO | 國泰20年美債    | B6:  0.67% | DMA:  0.442 | 💸流出 | 🚀DMA趨勢+多頭強勢
2887.TW  | 台新新光金      | B6:  0.67% | DMA:  1.738 | 💎流入 | 🚀DMA趨勢+多頭強勢
3499.TWO | 環天科        | B6:  0.65% | DMA: -0.321 | 💎流入 | 🚀多頭強勢
00768B.TWO | 復華20年美債    | B6:  0.62% | DMA:  0.779 | 💎流入 | 🚀DMA趨勢+多頭強勢
4938.TW  | 和碩         | B6:  0.60% | DMA:  1.456 | 💸流出 | 🚀DMA趨勢+多頭強勢
4530.TWO | 宏易         | B6:  0.60% | DMA:  0.294 | 💸流出 | 🚀DMA趨勢+多頭強勢
00634R.TW | 富邦上証反1     | B6:  0.53% | DMA:  0.049 | 💎流入 | 🚀DMA趨勢+放量攻擊
2413.TW  | 環科         | B6:  0.53% | DMA:  2.112 | 💎流入 | 🚀DMA趨勢+放量攻擊
1456.TW  | 怡華         | B6:  0.53% | DMA:  0.135 | 💎流入 | 🚀DMA趨勢+多頭強勢
00719B.TWO | 元大美債1-3    | B6:  0.52% | DMA:  0.266 | 💎流入 | 🚀DMA趨勢+多頭強勢
9907.TW  | 統一實        | B6:  0.51% | DMA:  0.177 | 💸流出 | 🚀DMA趨勢+多頭強勢
8476.TW  | 台境*        | B6:  0.49% | DMA: -0.313 | 💎流入 | 🚀多頭強勢
3430.TWO | 奇鈦科        | B6:  0.48% | DMA:  0.712 | 💎流入 | 🚀DMA趨勢+多頭強勢
8162.TW  | 微矽電子-創     | B6:  0.45% | DMA:  1.030 | 💸流出 | 🚀DMA趨勢+多頭強勢
1326.TW  | 台化         | B6:  0.45% | DMA:  5.418 | 💸流出 | 🚀DMA趨勢+多頭強勢
3490.TWO | 單井         | B6:  0.44% | DMA: -0.371 | 💎流入 | 🚀多頭強勢
00980A.TW | 主動野村臺灣優選   | B6:  0.40% | DMA:  0.890 | 💎流入 | 🚀DMA趨勢+多頭強勢
3158.TWO | 嘉實         | B6:  0.37% | DMA: -0.656 | 💸流出 | 🚀多頭強勢
00749B.TWO | 凱基新興債10+   | B6:  0.36% | DMA:  0.314 | 💸流出 | 🚀DMA趨勢+多頭強勢
2481.TW  | 強茂         | B6:  0.36% | DMA:  3.422 | 💎流入 | 🚀DMA趨勢+放量攻擊
00922.TW | 國泰台灣領袖50   | B6:  0.35% | DMA:  1.712 | 💸流出 | 🚀DMA趨勢+多頭強勢
2535.TW  | 達欣工        | B6:  0.33% | DMA:  3.226 | 💸流出 | 🚀DMA趨勢+多頭強勢
5601.TWO | 台聯櫃        | B6:  0.33% | DMA:  0.281 | 💎流入 | 🚀DMA趨勢+多頭強勢
6202.TW  | 盛群         | B6:  0.32% | DMA:  8.453 | 💸流出 | 🚀DMA趨勢+多頭強勢
2369.TW  | 菱生         | B6:  0.31% | DMA:  0.373 | 💎流入 | 🚀DMA趨勢+放量攻擊
2855.TW  | 統一證        | B6:  0.31% | DMA:  1.973 | 💎流入 | 🚀DMA趨勢+多頭強勢
2382.TW  | 廣達         | B6:  0.30% | DMA:  5.980 | 💎流入 | 🚀DMA趨勢+多頭強勢
00985B.TW | 群益ESG投等債0-5 | B6:  0.30% | DMA:  0.060 | 💎流入 | 🚀DMA趨勢+多頭強勢
4711.TWO | 永純         | B6:  0.29% | DMA: -0.040 | 💎流入 | 🚀放量攻擊
00780B.TWO | 國泰A級金融債    | B6:  0.29% | DMA:  0.223 | 💸流出 | 🚀DMA趨勢+多頭強勢
3045.TW  | 台灣大        | B6:  0.28% | DMA:  0.040 | 💎流入 | 🚀DMA趨勢+多頭強勢
00882.TW | 中信中國高股息    | B6:  0.28% | DMA:  0.570 | 💎流入 | 🚀DMA趨勢+多頭強勢
00887.TWO | 永豐中國科技50大  | B6:  0.25% | DMA:  0.071 | 💎流入 | 🚀DMA趨勢+多頭強勢
00910.TW | 第一金太空衛星    | B6:  0.23% | DMA:  2.606 | 💎流入 | 🚀DMA趨勢+多頭強勢
3209.TW  | 全科         | B6:  0.18% | DMA:  0.000 | 💎流入 | 🚀放量攻擊
3504.TW  | 揚明光        | B6:  0.15% | DMA:  3.088 | 💎流入 | 🚀DMA趨勢+多頭強勢
00945B.TW | 凱基美國非投等債   | B6:  0.13% | DMA:  0.046 | 💎流入 | 🚀DMA趨勢+多頭強勢
3018.TW  | 隆銘綠能       | B6:  0.12% | DMA:  0.670 | 💎流入 | 🚀DMA趨勢+放量攻擊
1219.TW  | 福壽         | B6:  0.10% | DMA:  0.035 | 💎流入 | 🚀DMA趨勢+多頭強勢
3454.TW  | 晶睿         | B6:  0.09% | DMA:  0.306 | 💎流入 | 🚀DMA趨勢+多頭強勢
00746B.TWO | FUBON SECURITIES INVSTMT TRUST  | B6:  0.09% | DMA:  0.138 | 💸流出 | 🚀DMA趨勢+多頭強勢
00761B.TWO | 國泰A級公司債    | B6:  0.08% | DMA:  0.127 | 💸流出 | 🚀DMA趨勢+多頭強勢
1466.TW  | 聚隆         | B6:  0.07% | DMA:  1.855 | 💎流入 | 🚀DMA趨勢+放量攻擊
7795.TW  | 長廣         | B6:  0.04% | DMA: 51.070 | 💎流入 | 🚀DMA趨勢+多頭強勢
00772B.TWO | 中信高評級公司債   | B6:  0.04% | DMA:  0.154 | 💸流出 | 🚀DMA趨勢+多頭強勢
4722.TW  | 國精化        | B6:  0.04% | DMA:  5.810 | 💎流入 | 🚀DMA趨勢+放量攻擊
4527.TWO | 方土霖        | B6:  0.02% | DMA:  0.625 | 💎流入 | 🚀DMA趨勢+多頭強勢
5864.TWO | 致和證        | B6:  0.01% | DMA:  3.188 | 💎流入 | 🚀DMA趨勢+多頭強勢

【❄️跌深反彈】(數量: 209)
------------------------------------------------------------------------------------------
1436.TW  | 華友聯        | B6: -5.01% | DMA: -5.810 | 💎流入 | ❄️跌深轉強
8043.TWO | 蜜望實        | B6: -5.02% | DMA:-11.722 | 💎流入 | ❄️底部反彈
4590.TW  | 富田-創       | B6: -5.04% | DMA:-10.664 | 💸流出 | ❄️底部反彈
6461.TWO | 益得         | B6: -5.05% | DMA:  0.239 | 💸流出 | ❄️跌深轉強
1563.TW  | 巧新         | B6: -5.07% | DMA: -3.799 | 💸流出 | ❄️跌深轉強
3588.TW  | 通嘉         | B6: -5.09% | DMA: -2.391 | 💎流入 | ❄️底部反彈
2201.TW  | 裕隆         | B6: -5.09% | DMA: -2.621 | 💸流出 | ❄️跌深轉強
3035.TW  | 智原         | B6: -5.09% | DMA:-10.910 | 💸流出 | ❄️跌深轉強
8277.TWO | 商丞         | B6: -5.09% | DMA: -0.669 | 💸流出 | ❄️跌深轉強
2352.TW  | 佳世達        | B6: -5.10% | DMA: -1.031 | 💎流入 | ❄️跌深轉強
3305.TW  | 昇貿         | B6: -5.10% | DMA: -7.252 | 💸流出 | ❄️跌深轉強
6664.TWO | 群翊         | B6: -5.10% | DMA:-17.030 | 💎流入 | ❄️底部反彈
3564.TWO | 其陽         | B6: -5.11% | DMA: -3.102 | 💎流入 | ❄️跌深轉強
1514.TW  | 亞力         | B6: -5.11% | DMA: -0.914 | 💎流入 | ❄️跌深轉強
2012.TW  | 春雨         | B6: -5.12% | DMA: -0.772 | 💸流出 | ❄️底部反彈
3094.TW  | 聯傑         | B6: -5.13% | DMA: -1.402 | 💎流入 | ❄️跌深轉強
8432.TWO | 東生華        | B6: -5.13% | DMA: -3.578 | 💸流出 | ❄️跌深轉強
5230.TWO | 雷笛克光學      | B6: -5.14% | DMA: -1.341 | 💎流入 | ❄️底部反彈
2365.TW  | 昆盈         | B6: -5.15% | DMA: -2.019 | 💎流入 | ❄️跌深轉強
3236.TWO | 千如         | B6: -5.17% | DMA: -2.662 | 💎流入 | ❄️跌深轉強
6603.TWO | 富強鑫        | B6: -5.17% | DMA: -4.027 | 💸流出 | ❄️跌深轉強
1439.TW  | 雋揚         | B6: -5.23% | DMA: -1.676 | 💸流出 | ❄️跌深轉強
3085.TWO | 新零售        | B6: -5.23% | DMA: -1.123 | 💸流出 | ❄️跌深轉強
6418.TWO | 詠昇         | B6: -5.24% | DMA: -5.822 | 💎流入 | ❄️跌深轉強
4157.TWO | 太景*-KY     | B6: -5.31% | DMA: -1.518 | 💸流出 | ❄️跌深轉強
2482.TW  | 連宇         | B6: -5.33% | DMA: -1.017 | 💸流出 | ❄️跌深轉強
6834.TW  | 天二科技       | B6: -5.33% | DMA: -2.084 | 💎流入 | ❄️底部反彈
6180.TWO | 橘子         | B6: -5.34% | DMA: -3.524 | 💸流出 | ❄️跌深轉強
6446.TW  | 藥華藥        | B6: -5.34% | DMA: 45.870 | 💸流出 | ❄️跌深轉強
6735.TWO | 美達科技       | B6: -5.34% | DMA: -3.534 | 💸流出 | ❄️跌深轉強
1784.TWO | 訊聯         | B6: -5.38% | DMA: -9.442 | 💸流出 | ❄️跌深轉強
6957.TW  | 裕慶-KY      | B6: -5.38% | DMA:-17.300 | 💸流出 | ❄️跌深轉強
2421.TW  | 建準         | B6: -5.39% | DMA:-11.214 | 💎流入 | ❄️跌深轉強
4571.TW  | 鈞興-KY      | B6: -5.43% | DMA: -4.980 | 💎流入 | ❄️跌深轉強
3713.TWO | 新晶投控       | B6: -5.47% | DMA: -2.461 | 💸流出 | ❄️跌深轉強
6282.TW  | 康舒         | B6: -5.50% | DMA: -3.068 | 💸流出 | ❄️跌深轉強
3041.TW  | 揚智         | B6: -5.51% | DMA: -1.984 | 💸流出 | ❄️跌深轉強
3587.TWO | 閎康         | B6: -5.52% | DMA: -1.380 | 💸流出 | ❄️跌深轉強
8089.TWO | 康全電訊       | B6: -5.53% | DMA: -2.863 | 💸流出 | ❄️跌深轉強
2397.TW  | 友通         | B6: -5.55% | DMA: -3.586 | 💸流出 | ❄️跌深轉強
4526.TW  | 東台         | B6: -5.56% | DMA: -1.502 | 💎流入 | ❄️跌深轉強
2231.TW  | 為升         | B6: -5.56% | DMA: -8.112 | 💸流出 | ❄️跌深轉強
3083.TWO | 網龍         | B6: -5.56% | DMA: -4.019 | 💸流出 | ❄️跌深轉強
6796.TW  | 晉弘         | B6: -5.57% | DMA: -8.807 | 💎流入 | ❄️跌深轉強
1583.TW  | 程泰         | B6: -5.61% | DMA: -1.852 | 💸流出 | ❄️跌深轉強
1235.TW  | 興泰         | B6: -5.62% | DMA: -2.745 | 💸流出 | ❄️跌深轉強
1591.TWO | 駿吉-KY      | B6: -5.62% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
4746.TW  | 台耀         | B6: -5.67% | DMA:  0.000 | 💎流入 | ❄️跌深轉強
3444.TWO | 利機         | B6: -5.68% | DMA: -7.330 | 💎流入 | ❄️跌深轉強
8131.TW  | 福懋科        | B6: -5.70% | DMA: -4.268 | 💎流入 | ❄️跌深轉強
