                    股號           名稱       現價  指標(DMA)  累計損益(%)  交易次數    目前狀態 短 中 長                                               專業建議
                00676R     富邦臺灣加權反1     7.80     0.08  -26.96%    56  🚫 建議賣出 ▲ ▲ ▼       🚨 價格防衛：收盤價 7.76 跌破移動支撐位 7.83。 優先鎖利落袋，等待下次訊號。
                  4961           天鈺   153.00     3.72  130.02%    51  🚩 建議買入 ▲ ▲ ▼                🔥 突破確認：成功站穩壓力位，指標呈 🌀 趨勢分歧震盪，具備攻擊動能。
                  2012           春雨    15.70    -0.08    25.4%    68  🚫 建議賣出 ▼ ▼ ▼      🚨 價格防衛：收盤價 16.55 跌破移動支撐位 17.0。 優先鎖利落袋，等待下次訊號。
                  8114          振樺電   169.50    -4.43  -32.23%    72   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 221.5 (景氣壓力點)。
                  8028        昇陽半導體   177.50     3.65   26.98%    52  🚫 建議賣出 ▼ ▲ ▲     🚨 價格防衛：收盤價 170.5 跌破移動支撐位 171.5。 優先鎖利落袋，等待下次訊號。
                  6443           元晶    41.15    -4.33   57.32%    54  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 45.5 跌破移動支撐位 47.2。 優先鎖利落袋，等待下次訊號。
                  6525        捷敏-KY    80.50    -0.78   10.24%    60  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 83.7 跌破移動支撐位 84.0。 優先鎖利落袋，等待下次訊號。
                  6877          鏵友益   113.50     3.67   39.16%    18  🚫 建議賣出 ▼ ▲ ▲     🚨 價格防衛：收盤價 114.0 跌破移動支撐位 116.0。 優先鎖利落袋，等待下次訊號。
                  1802           台玻    53.90    -2.70   28.38%    80  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 57.6 跌破移動支撐位 60.6。 優先鎖利落袋，等待下次訊號。
                  9938           百和    46.65    -1.32   29.71%    72  🚫 建議賣出 ▼ ▼ ▼       🚨 價格防衛：收盤價 51.5 跌破移動支撐位 51.8。 優先鎖利落袋，等待下次訊號。
                  4442        竣邦-KY    62.40     1.77   -8.96%    18  🚫 建議賣出 ▲ ▲ ▲       🚨 價格防衛：收盤價 58.0 跌破移動支撐位 64.4。 優先鎖利落袋，等待下次訊號。
                00635U     期元大S&P黃金    49.42    -3.15    4.58%    62  🚫 建議賣出 ▲ ▼ ▼       🚨 價格防衛：收盤價 54.7 跌破移動支撐位 56.5。 優先鎖利落袋，等待下次訊號。
                  2408          南亞科   211.00   -20.35   54.47%    72   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 303.0 (景氣壓力點)。
                  2504           國產    35.90    -0.85   44.43%    68  🚫 建議賣出 ▼ ▼ ▲      🚨 價格防衛：收盤價 39.0 跌破移動支撐位 39.45。 優先鎖利落袋，等待下次訊號。
                  5546        永固-KY    16.45    -0.93   10.55%    30  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 28.03 跌破移動支撐位 28.12。 優先鎖利落袋，等待下次訊號。
                  3086           華義    29.50     2.84   51.42%    62  🚫 建議賣出 ▼ ▲ ▼      🚨 價格防衛：收盤價 29.3 跌破移動支撐位 29.45。 優先鎖利落袋，等待下次訊號。
                  2395           研華   331.00   -11.62   -3.67%    82  🚫 建議賣出 ▼ ▼ ▲     🚨 價格防衛：收盤價 330.0 跌破移動支撐位 331.0。 優先鎖利落袋，等待下次訊號。
                  3050           鈺德    13.25     0.21   11.85%    70   ⏳ 觀察中 ▼ ▲ ▲             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 14.5 (景氣壓力點)。
                00984B    大華優利美A債15    16.49    -0.06   -0.94%     2  🚫 建議賣出 ▲ ▼ ▼     🚨 價格防衛：收盤價 16.66 跌破移動支撐位 16.66。 優先鎖利落袋，等待下次訊號。
                  6591        動力-KY    60.00    -1.56   27.26%    46   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 79.3 (景氣壓力點)。
                  6176           瑞儀    93.50    -3.09   20.59%    84  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 122.0 跌破移動支撐位 133.5。 優先鎖利落袋，等待下次訊號。
                  6811        宏�硌穈T   186.00    -5.30    5.18%    30   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 230.0 (景氣壓力點)。
                  4510           高鋒    44.05     0.67   38.48%    76  🚫 建議賣出 ▲ ▲ ▼       🚨 價格防衛：收盤價 49.0 跌破移動支撐位 49.3。 優先鎖利落袋，等待下次訊號。
                  6194           育富    32.55     0.65   11.19%    64   ⏳ 觀察中 ▼ ▲ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 38.55 (景氣壓力點)。
                  6124           業強    29.20    -2.99  -12.52%    78  🚫 建議賣出 ▼ ▼ ▲      🚨 價格防衛：收盤價 25.05 跌破移動支撐位 25.5。 優先鎖利落袋，等待下次訊號。
                 00757      統一FANG+   105.10    -4.89   15.95%    42  🚫 建議賣出 ▼ ▼ ▼    🚨 價格防衛：收盤價 122.7 跌破移動支撐位 123.95。 優先鎖利落袋，等待下次訊號。
                  2101           南港    35.95     1.42  -41.52%    75 🔹 已鎖利續抱 ▲ ▲ ▼                    🌀 趨勢分歧震盪：目前為鎖利續抱中。守穩移動支撐位 35.3。
                00945B     凱基美國非投等債    14.53     0.01   -0.54%    10  🚫 建議賣出 ▲ ▲ ▲     🚨 價格防衛：收盤價 14.42 跌破移動支撐位 14.42。 優先鎖利落袋，等待下次訊號。
                  4556           旭然    27.00    -0.86   45.45%    54   ⏳ 觀察中 ▼ ▼ ▲             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 30.3 (景氣壓力點)。
                  1612           宏泰    34.75    -0.01    34.6%    86  🚫 建議賣出 ▼ ▼ ▼      🚨 價格防衛：收盤價 37.55 跌破移動支撐位 37.8。 優先鎖利落袋，等待下次訊號。
                  6624          萬年清    58.40    -0.08   21.91%    44   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 62.7 (景氣壓力點)。
                  3081           聯亞  1730.00   160.25  -24.41%    68  🚫 建議賣出 ▲ ▲ ▲     🚨 價格防衛：收盤價 420.0 跌破移動支撐位 422.5。 優先鎖利落袋，等待下次訊號。
                00685L     群益臺灣加權正2   164.20    -4.72   39.73%    58  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 69.4 跌破移動支撐位 70.5。 優先鎖利落袋，等待下次訊號。
                  6446          藥華藥   635.00   -22.75  -25.56%    56  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 550.0 跌破移動支撐位 575.0。 優先鎖利落袋，等待下次訊號。
                009813    貝萊德標普卓越50     9.91    -0.23       0%     0   ⚪ 觀望中 ▼ ▼ ▼                    ⚪ 觀望為宜：不符合進場模型，保持耐心等待指標翻正與紅K出現。
                  6485           點序    80.80    -3.45  -12.25%    58   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 97.0 (景氣壓力點)。
                  5403           中菲    98.30    -2.37   31.46%    48   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 117.0 (景氣壓力點)。
                00981D     主動中信非投等債    10.34    -0.02       0%     0   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 10.38 (景氣壓力點)。
                  5455           昇益    23.80    -0.83  -52.15%    48  🚫 建議賣出 ▼ ▼ ▼      🚨 價格防衛：收盤價 39.0 跌破移動支撐位 39.75。 優先鎖利落袋，等待下次訊號。
                  2374           佳能    67.90    -1.03   24.72%    58  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 84.81 跌破移動支撐位 88.29。 優先鎖利落袋，等待下次訊號。
                  6113           亞矽    20.45    -0.89  133.27%    58  🚫 建議賣出 ▼ ▼ ▼      🚨 價格防衛：收盤價 22.8 跌破移動支撐位 23.15。 優先鎖利落袋，等待下次訊號。
                  1443         立益物流    23.00    -1.03  -23.25%    92  🚫 建議賣出 ▼ ▼ ▼       🚨 價格防衛：收盤價 26.9 跌破移動支撐位 27.0。 優先鎖利落袋，等待下次訊號。
                  2025           千興    11.40     0.29   31.81%    48  🚫 建議賣出 ▼ ▲ ▼       🚨 價格防衛：收盤價 11.8 跌破移動支撐位 12.1。 優先鎖利落袋，等待下次訊號。
                  6141           柏承    20.90    -0.14   40.23%    72  🚫 建議賣出 ▼ ▼ ▲      🚨 價格防衛：收盤價 17.95 跌破移動支撐位 18.0。 優先鎖利落袋，等待下次訊號。
                  5243        乙盛-KY    88.90     6.08  -16.49%    79 🔹 已鎖利續抱 ▲ ▲ ▼                    🌀 趨勢分歧震盪：目前為鎖利續抱中。守穩移動支撐位 85.8。
                  2303           聯電    57.40    -1.84   64.13%    72   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 65.6 (景氣壓力點)。
                  3372           典範    19.00    -1.44   37.93%    90   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 23.5 (景氣壓力點)。
                  4968           立積   105.00    -1.65   22.03%    66  🚫 建議賣出 ▼ ▼ ▼   🚨 價格防衛：收盤價 115.12 跌破移動支撐位 119.59。 優先鎖利落袋，等待下次訊號。
                  8433           弘帆    63.50     3.23    49.1%    74  🚫 建議賣出 ▲ ▲ ▲       🚨 價格防衛：收盤價 60.2 跌破移動支撐位 61.0。 優先鎖利落袋，等待下次訊號。
                  2417           圓剛    34.40    -0.65   11.21%    66   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 41.85 (景氣壓力點)。
                  2402           毅嘉    51.60     0.60  -18.23%    72  🚫 建議賣出 ▼ ▲ ▼       🚨 價格防衛：收盤價 50.1 跌破移動支撐位 54.9。 優先鎖利落袋，等待下次訊號。
                  2351           順德   103.50     7.26    1.66%    84  🚫 建議賣出 ▲ ▲ ▲       🚨 價格防衛：收盤價 84.6 跌破移動支撐位 84.9。 優先鎖利落袋，等待下次訊號。
                  2420           新巨    51.30    -0.27   -1.45%    80  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 52.0 跌破移動支撐位 52.3。 優先鎖利落袋，等待下次訊號。
                911622       泰聚亨-DR     3.97    -0.01   70.35%    44  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 4.21 跌破移動支撐位 4.66。 優先鎖利落袋，等待下次訊號。
                  7743         金利食安    21.20    -0.38       0%     0   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 27.0 (景氣壓力點)。
                  3499          環天科    18.30     0.38   -39.0%    66  🚫 建議賣出 ▼ ▲ ▲      🚨 價格防衛：收盤價 18.05 跌破移動支撐位 18.2。 優先鎖利落袋，等待下次訊號。
                  6223           旺矽  3950.00   214.75   73.63%    82  🚫 建議賣出 ▲ ▲ ▲   🚨 價格防衛：收盤價 2155.0 跌破移動支撐位 2175.0。 優先鎖利落袋，等待下次訊號。
                  6261           久元    74.70     3.84   19.73%    73  🚩 建議買入 ▲ ▲ ▲                🔥 突破確認：成功站穩壓力位，指標呈 🚀 三期共振強勢，具備攻擊動能。
                  7583         國際海洋    68.00     0.38    4.13%     6   ⏳ 觀察中 ▼ ▲ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 87.0 (景氣壓力點)。
                  6658           聯策    73.90     4.87    -8.0%    20  🚫 建議賣出 ▲ ▲ ▲       🚨 價格防衛：收盤價 57.2 跌破移動支撐位 59.0。 優先鎖利落袋，等待下次訊號。
                  2497          怡利電    50.20     3.06  -14.75%    51   🍀 持股中 ▲ ▲ ▼                    🌀 趨勢分歧震盪：目前為強勢推升中。守穩移動支撐位 47.7。
                  2059           川湖  3455.00    86.25   48.04%    76  🚫 建議賣出 ▼ ▲ ▲   🚨 價格防衛：收盤價 3400.0 跌破移動支撐位 3405.0。 優先鎖利落袋，等待下次訊號。
                  6913           鴻呈   106.50    -2.30    43.5%    18   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 122.0 (景氣壓力點)。
                00749B     凱基新興債10+    31.89    -0.28   12.34%    32  🚫 建議賣出 ▲ ▼ ▼     🚨 價格防衛：收盤價 31.91 跌破移動支撐位 31.93。 優先鎖利落袋，等待下次訊號。
                  3030           德律   256.50     4.38    2.47%    84   ⏳ 觀察中 ▲ ▲ ▲            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 272.5 (景氣壓力點)。
                  1786           科妍    59.40    -2.36   30.35%    72  🚫 建議賣出 ▼ ▼ ▼       🚨 價格防衛：收盤價 79.3 跌破移動支撐位 79.5。 優先鎖利落袋，等待下次訊號。
                  9802        鈺齊-KY    78.20    -3.37   -4.31%    86  🚫 建議賣出 ▼ ▼ ▼   🚨 價格防衛：收盤價 102.06 跌破移動支撐位 107.44。 優先鎖利落袋，等待下次訊號。
                  3219          倚強科    64.10     0.49    7.76%    44  🚫 建議賣出 ▼ ▲ ▲     🚨 價格防衛：收盤價 39.57 跌破移動支撐位 41.26。 優先鎖利落袋，等待下次訊號。
                 00918    大華優利高填息30    22.05    -0.36   18.55%    24  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 22.95 跌破移動支撐位 23.14。 優先鎖利落袋，等待下次訊號。
                  3022          威強電    61.40    -0.41   15.79%    74  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 64.0 跌破移動支撐位 68.5。 優先鎖利落袋，等待下次訊號。
                  5906        台南-KY    47.00    -0.69   -11.8%    64  🚫 建議賣出 ▲ ▼ ▼       🚨 價格防衛：收盤價 51.0 跌破移動支撐位 51.5。 優先鎖利落袋，等待下次訊號。
                  4167          松瑞藥    21.35     0.45   10.14%    62  🚫 建議賣出 ▲ ▲ ▲      🚨 價格防衛：收盤價 21.1 跌破移動支撐位 21.45。 優先鎖利落袋，等待下次訊號。
                00641R       富邦日本反1     4.18     0.00   -8.25%    66   ⏳ 觀察中 ▼ ▲ ▲             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 5.22 (景氣壓力點)。
                  2743           山富    74.00     0.00  115.18%    43  🚩 建議買入 ▼ ▲ ▼                🔥 突破確認：成功站穩壓力位，指標呈 🌀 趨勢分歧震盪，具備攻擊動能。
                  6617        共信-KY    67.50    -5.50   -8.15%    30   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 82.8 (景氣壓力點)。
                  2412          中華電   134.00    -1.35   -6.69%    84  🚫 建議賣出 ▼ ▼ ▲     🚨 價格防衛：收盤價 134.0 跌破移動支撐位 134.5。 優先鎖利落袋，等待下次訊號。
                  2428           興勤   155.50    -5.33   22.49%    78  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 179.0 跌破移動支撐位 186.5。 優先鎖利落袋，等待下次訊號。
                  4536           拓凱   151.00    -5.68   -8.79%    74  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 182.0 跌破移動支撐位 185.0。 優先鎖利落袋，等待下次訊號。
                  2901           欣欣    23.35    -0.09   -9.27%    64   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 24.9 (景氣壓力點)。
                  4554           橙的    29.05     1.17   -6.05%    60  🚫 建議賣出 ▼ ▲ ▲      🚨 價格防衛：收盤價 27.9 跌破移動支撐位 28.25。 優先鎖利落袋，等待下次訊號。
                  6173          信昌電    59.60    -2.07   41.85%    64  🚫 建議賣出 ▼ ▼ ▼       🚨 價格防衛：收盤價 67.5 跌破移動支撐位 68.5。 優先鎖利落袋，等待下次訊號。
                  3224           三顧    41.40    -1.35   49.38%    78  🚫 建議賣出 ▼ ▼ ▼       🚨 價格防衛：收盤價 45.8 跌破移動支撐位 45.9。 優先鎖利落袋，等待下次訊號。
                  3231           緯創   127.00    -3.38  -48.12%    78   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 135.0 (景氣壓力點)。
                  8930           青鋼    29.80    -0.17   55.12%    72  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 33.15 跌破移動支撐位 33.25。 優先鎖利落袋，等待下次訊號。
                  2464           盟立    68.10    -1.50   -1.29%    68   ⏳ 觀察中 ▼ ▼ ▲             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 79.8 (景氣壓力點)。
                  2248        華勝-KY    48.65    -0.34     0.8%     2   ⏳ 觀察中 ▼ ▼ ▲            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 49.95 (景氣壓力點)。
                  2884          玉山金    32.30    -0.37   42.85%    96  🚫 建議賣出 ▲ ▼ ▼     🚨 價格防衛：收盤價 28.32 跌破移動支撐位 28.51。 優先鎖利落袋，等待下次訊號。
                  2007           燁興     8.10     0.07   75.92%    76   ⏳ 觀察中 ▼ ▲ ▲             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 9.29 (景氣壓力點)。
                  5355           佳總     6.57    -0.37   50.11%    62  🚫 建議賣出 ▼ ▼ ▼        🚨 價格防衛：收盤價 7.2 跌破移動支撐位 7.32。 優先鎖利落袋，等待下次訊號。
                  6116           彩晶     8.25    -0.43   14.07%    68  🚫 建議賣出 ▼ ▼ ▼       🚨 價格防衛：收盤價 8.53 跌破移動支撐位 8.72。 優先鎖利落袋，等待下次訊號。
                  2453           凌群    52.90    -1.14  -47.35%    62   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 56.7 (景氣壓力點)。
                  6735         美達科技    56.80     0.85  -23.09%    32  🚫 建議賣出 ▼ ▲ ▼      🚨 價格防衛：收盤價 44.8 跌破移動支撐位 45.17。 優先鎖利落袋，等待下次訊號。
                  3609         三一東林    27.60    -0.86  103.66%    60  🚫 建議賣出 ▼ ▼ ▼      🚨 價格防衛：收盤價 41.7 跌破移動支撐位 41.85。 優先鎖利落袋，等待下次訊號。
                  8923           時報    19.95    -0.02 -191.04%    78  🚫 建議賣出 ▼ ▼ ▲       📉 趨勢反轉：中期指標由正轉負 (-0.13)，動能消失。 優先鎖利落袋，等待下次訊號。
                  8068           全達    20.75    -0.63   -6.69%    58   ⏳ 觀察中 ▼ ▼ ▼            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 24.35 (景氣壓力點)。
                  9958          世紀鋼   112.50    -7.25   68.74%    68  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 128.5 跌破移動支撐位 129.0。 優先鎖利落袋，等待下次訊號。
                  1586           和勤    22.65    -0.45    5.46%    76  🚫 建議賣出 ▼ ▼ ▼       🚨 價格防衛：收盤價 27.1 跌破移動支撐位 28.1。 優先鎖利落袋，等待下次訊號。
                  8932          智通*    82.00    -5.34    46.3%    80  🚫 建議賣出 ▼ ▼ ▼       🚨 價格防衛：收盤價 92.0 跌破移動支撐位 92.5。 優先鎖利落袋，等待下次訊號。
                  8908           欣雄    40.50    -0.77  -18.29%    72  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 42.54 跌破移動支撐位 45.34。 優先鎖利落袋，等待下次訊號。
                  6597           立誠    60.40     0.27   -8.01%    12  🚫 建議賣出 ▼ ▲ ▲       🚨 價格防衛：收盤價 60.1 跌破移動支撐位 65.6。 優先鎖利落袋，等待下次訊號。
                  5276        達輝-KY    15.10    -0.33  -94.26%    88   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 16.0 (景氣壓力點)。
                  2885          元大金    47.10     0.71   -1.68%    92  🚫 建議賣出 ▲ ▲ ▲      🚨 價格防衛：收盤價 34.85 跌破移動支撐位 35.3。 優先鎖利落袋，等待下次訊號。
                  8472          夠麻吉    79.30     4.15  -19.15%    60  🚫 建議賣出 ▲ ▲ ▲       🚨 價格防衛：收盤價 48.8 跌破移動支撐位 52.5。 優先鎖利落袋，等待下次訊號。
                  3306           鼎天    46.80    -0.24   12.35%    68   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 54.2 (景氣壓力點)。
                  2929        淘帝-KY     6.20    -0.46  -28.73%    58   ⏳ 觀察中 ▼ ▼ ▼              🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 8.6 (景氣壓力點)。
                  6645        金萬林-創    13.65    -0.54  -32.82%    36  🚫 建議賣出 ▲ ▼ ▼      🚨 價格防衛：收盤價 20.55 跌破移動支撐位 21.6。 優先鎖利落袋，等待下次訊號。
                  7792           安葆   312.00   -11.70   -0.69%     2  🚫 建議賣出 ▼ ▼ ▼     🚨 價格防衛：收盤價 215.0 跌破移動支撐位 219.0。 優先鎖利落袋，等待下次訊號。
                 00881     國泰台灣科技龍頭    36.86    -0.06   24.53%    42  🚫 建議賣出 ▼ ▼ ▲      🚨 價格防衛：收盤價 26.4 跌破移動支撐位 26.97。 優先鎖利落袋，等待下次訊號。
                  1717           長興    60.00    -1.63  104.71%    88  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 62.9 跌破移動支撐位 63.2。 優先鎖利落袋，等待下次訊號。
                  6127           九豪    43.50     2.49   27.37%    80  🚫 建議賣出 ▲ ▲ ▲     🚨 價格防衛：收盤價 42.85 跌破移動支撐位 46.25。 優先鎖利落袋，等待下次訊號。
                  7556          意德士   171.00    -2.75   -9.84%    28  🚫 建議賣出 ▼ ▼ ▲     🚨 價格防衛：收盤價 162.0 跌破移動支撐位 164.5。 優先鎖利落袋，等待下次訊號。
                  4763       材料*-KY    42.90    -0.83   91.86%    64   ⏳ 觀察中 ▼ ▼ ▼             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 53.3 (景氣壓力點)。
                  2535          達欣工    66.37    -0.65   58.94%    86  🚫 建議賣出 ▼ ▼ ▲       🚨 價格防衛：收盤價 68.8 跌破移動支撐位 70.8。 優先鎖利落袋，等待下次訊號。
                  2013          中鋼構    44.05     0.34   61.07%    60  🚫 建議賣出 ▼ ▲ ▲     🚨 價格防衛：收盤價 43.65 跌破移動支撐位 44.15。 優先鎖利落袋，等待下次訊號。
                  1714           和桐     9.70     0.06  -14.83%    78  🚫 建議賣出 ▲ ▲ ▲       🚨 價格防衛：收盤價 8.33 跌破移動支撐位 8.35。 優先鎖利落袋，等待下次訊號。
                  3709        鑫聯大投控    65.20    -2.78   12.49%    54   ⏳ 觀察中 ▼ ▼ ▲             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 73.6 (景氣壓力點)。
                  2352          佳世達    23.30    -0.40   35.75%    68  🚫 建議賣出 ▼ ▼ ▼      🚨 價格防衛：收盤價 26.85 跌破移動支撐位 27.0。 優先鎖利落袋，等待下次訊號。
                  1568           倉佑    22.55     0.28    3.56%    78  🚫 建議賣出 ▼ ▲ ▼     🚨 價格防衛：收盤價 21.65 跌破移動支撐位 21.75。 優先鎖利落袋，等待下次訊號。
                  6129           普誠    14.90    -0.27   13.05%    54  🚫 建議賣出 ▼ ▼ ▲       📉 趨勢反轉：中期指標由正轉負 (-0.09)，動能消失。 優先鎖利落袋，等待下次訊號。
                  5475           德宏   224.50     9.43   139.1%    54  🚫 建議賣出 ▲ ▲ ▲     🚨 價格防衛：收盤價 192.0 跌破移動支撐位 206.0。 優先鎖利落袋，等待下次訊號。
                  5289           宜鼎   931.00   -84.45  -10.26%    68  🚫 建議賣出 ▼ ▼ ▲     🚨 價格防衛：收盤價 744.0 跌破移動支撐位 812.0。 優先鎖利落袋，等待下次訊號。
                  5514           三豐    16.20     0.00    23.8%    82  🚫 建議賣出 ▼ ▲ ▼       🚨 價格防衛：收盤價 16.8 跌破移動支撐位 17.0。 優先鎖利落袋，等待下次訊號。
                  3587           閎康   227.00    15.53   70.93%    62   ⏳ 觀察中 ▼ ▲ ▲            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 252.0 (景氣壓力點)。
                  2020           美亞    24.95     0.26    4.82%    81  🚩 建議買入 ▲ ▲ ▲                🔥 突破確認：成功站穩壓力位，指標呈 🚀 三期共振強勢，具備攻擊動能。
                  6532           瑞耘    75.10     4.40  -55.46%    62  🚫 建議賣出 ▼ ▲ ▲       🚨 價格防衛：收盤價 68.8 跌破移動支撐位 69.0。 優先鎖利落袋，等待下次訊號。
                 00927      群益半導體收益    24.20    -0.29    8.98%    12   ⏳ 觀察中 ▼ ▼ ▲            🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 25.71 (景氣壓力點)。
                00950B      凱基A級公司債    14.22    -0.03    2.87%     4  🚫 建議賣出 ▲ ▼ ▼      🚨 價格防衛：收盤價 13.15 跌破移動支撐位 13.2。 優先鎖利落袋，等待下次訊號。
