股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
3149.TW,正達,無,45.1500015259,46.01,🟢 黃金標的,100.00%,100.00%,7.31%,-0.91%,0.0,3,1.0,0.0731
6588.TWO,東典光電,無,132.5,74.93,🟢 黃金標的,66.67%,100.00%,10.28%,-4.82%,0.0,3,1.0,0.1028
6155.TW,鈞寶,無,44.5,53.11,🟢 黃金標的,0.00%,100.00%,3.46%,-9.39%,0.0,1,1.0,0.0346
00965.TW,元大航太防衛科技,無,24.3099994659,33.27,🟢 黃金標的,100.00%,100.00%,5.15%,-0.36%,0.0,1,1.0,0.0515
2073.TWO,雄順,無,27.1000003815,46.43,🟢 黃金標的,0.00%,100.00%,3.77%,0.00%,0.0,1,1.0,0.0377
6548.TWO,長科*,無,47.5999984741,45.66,🟢 黃金標的,0.00%,100.00%,4.76%,-6.53%,0.0,2,1.0,0.0476
7740.TW,熙特爾-創,無,178.5,33.04,🟢 黃金標的,50.00%,100.00%,4.56%,-5.56%,0.0,2,1.0,0.0456
6282.TW,康舒,無,45.25,48.63,🟢 黃金標的,66.67%,100.00%,13.84%,-1.16%,0.0,6,1.0,0.1384
3556.TWO,禾瑞亞,無,42.7000007629,52.63,🟢 黃金標的,0.00%,100.00%,7.27%,-2.26%,0.0,1,1.0,0.0727
6148.TWO,驊宏資,無,33.5,41.82,🟢 黃金標的,0.00%,100.00%,6.05%,-6.85%,0.0,1,1.0,0.0605
6683.TWO,雍智科技,無,1505.0,63.79,🟢 黃金標的,60.00%,100.00%,32.08%,-0.67%,0.0,5,1.0,0.3208
5516.TWO,雙喜,無,13.0,32.35,🟢 黃金標的,100.00%,100.00%,5.25%,1.64%,0.0,1,1.0,0.0525
3526.TWO,凡甲,無,282.0,45.54,🟢 黃金標的,66.67%,100.00%,8.61%,-3.14%,0.0,3,1.0,0.0861
5225.TW,東科-KY,無,78.8000030518,21.78,🟢 黃金標的,100.00%,100.00%,6.97%,0.00%,0.0,1,1.0,0.0697
3131.TWO,弘塑,無,2930.0,88.08,🟢 黃金標的,50.00%,100.00%,10.09%,-2.42%,0.0,6,1.0,0.1009
2426.TW,鼎元,無,34.8499984741,56.78,🟢 黃金標的,100.00%,100.00%,36.47%,-1.05%,0.0,5,1.0,0.3647
5386.TWO,青雲,無,287.0,49.94,🟢 黃金標的,85.71%,100.00%,35.74%,-1.85%,0.0,7,1.0,0.3574
2340.TW,台亞,無,25.2999992371,44.12,🟢 黃金標的,100.00%,100.00%,3.28%,0.00%,0.0,1,1.0,0.0328
5347.TWO,世界,無,118.0,60.61,🟢 黃金標的,50.00%,100.00%,15.73%,-2.33%,0.0,6,1.0,0.1573
6542.TWO,隆中,無,56.0,69.12,🟢 黃金標的,100.00%,100.00%,5.29%,0.56%,0.0,2,1.0,0.0529
4768.TWO,晶呈科技,無,440.0,46.87,🟢 黃金標的,0.00%,100.00%,3.14%,-6.29%,0.0,1,1.0,0.0314
00640L.TW,富邦日本正2,無,88.3499984741,52.24,🟢 黃金標的,100.00%,100.00%,7.52%,5.23%,0.0,1,1.0,0.0752
1471.TW,首利,無,12.25,52.6,🟢 黃金標的,100.00%,100.00%,8.91%,8.33%,0.0,2,1.0,0.0891
00910.TW,第一金太空衛星,無,57.4500007629,53.63,🟢 黃金標的,100.00%,100.00%,7.38%,1.67%,0.0,2,1.0,0.0738
2610.TW,華航,無,18.3999996185,43.06,🟢 黃金標的,83.33%,100.00%,3.43%,-0.79%,0.0,6,1.0,0.0343
2379.TW,瑞昱,無,484.5,57.06,🟢 黃金標的,0.00%,100.00%,3.13%,-2.19%,0.0,1,1.0,0.0313
3702.TW,大聯大,無,89.9000015259,72.28,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,0.0,6,1.0,0.0364
2468.TW,華經,無,34.6500015259,36.28,🟢 黃金標的,0.00%,100.00%,3.94%,-6.11%,0.0,1,1.0,0.0394
6949.TW,沛爾生醫-創,無,570.0,48.07,🟢 黃金標的,100.00%,100.00%,23.86%,0.98%,0.0,5,1.0,0.2386
6547.TWO,高端疫苗,無,58.7000007629,79.73,🟢 黃金標的,100.00%,100.00%,7.34%,-6.61%,0.0,1,1.0,0.0734
6220.TWO,岳豐,無,32.5999984741,25.78,🟢 黃金標的,60.00%,100.00%,5.70%,-1.89%,0.0,10,1.0,0.057
6669.TW,緯穎,無,3420.0,22.63,🟢 黃金標的,0.00%,100.00%,3.94%,-2.71%,0.0,1,1.0,0.0394
6655.TW,科定,無,128.0,36.36,🟢 黃金標的,100.00%,100.00%,3.50%,-0.39%,0.0,1,1.0,0.035
2432.TW,倚天酷��-創,無,27.0,42.86,🟢 黃金標的,50.00%,100.00%,3.02%,-0.99%,0.0,2,1.0,0.0302
1439.TW,雋揚,無,27.3500003815,50.47,🟢 黃金標的,100.00%,100.00%,4.45%,0.43%,0.0,2,1.0,0.0445
2740.TWO,天蔥,無,37.7000007629,33.2,🟢 黃金標的,80.00%,100.00%,19.73%,-3.95%,0.0,5,1.0,0.1973
2363.TW,矽統,無,47.6500015259,37.26,🟢 黃金標的,0.00%,100.00%,4.03%,-4.61%,0.0,2,1.0,0.0403
6510.TWO,精測,無,3355.0,32.45,🟢 黃金標的,50.00%,100.00%,6.27%,-4.35%,0.0,2,1.0,0.0627
3296.TW,勝德,無,21.9500007629,47.62,🟢 黃金標的,0.00%,100.00%,3.67%,-0.41%,0.0,1,1.0,0.0367
3230.TWO,錦明,無,40.0,52.57,🟢 黃金標的,100.00%,100.00%,8.09%,-3.80%,0.0,1,1.0,0.0809
6944.TW,兆聯實業,無,810.0,54.12,🟢 黃金標的,50.00%,100.00%,6.26%,-0.94%,0.0,2,1.0,0.0626
3491.TWO,昇達科,無,1495.0,56.44,🟢 黃金標的,75.00%,100.00%,9.52%,-1.02%,0.0,4,1.0,0.0952
5381.TWO,合正,無,26.4705886841,18.6,🟢 黃金標的,50.00%,100.00%,8.77%,-5.69%,0.0,2,1.0,0.0877
6584.TWO,南俊國際,無,610.0,82.0,🟢 黃金標的,66.67%,100.00%,15.67%,-1.78%,0.0,3,1.0,0.1567
2368.TW,金像電,無,946.0,53.83,🟢 黃金標的,50.00%,100.00%,10.51%,-3.63%,0.0,2,1.0,0.1051
1519.TW,華城,無,812.0,31.03,🟢 黃金標的,50.00%,100.00%,10.76%,-1.14%,0.0,2,1.0,0.1076
3711.TW,日月光投控,無,361.0,58.61,🟢 黃金標的,100.00%,100.00%,18.96%,4.43%,0.0,1,1.0,0.1896
1785.TWO,光洋科,無,91.9000015259,57.32,🟢 黃金標的,0.00%,100.00%,21.56%,-6.47%,0.0,1,1.0,0.2156
6215.TW,和椿,無,98.0,36.99,🟢 黃金標的,50.00%,100.00%,3.18%,-1.16%,0.0,4,1.0,0.0318
7792.TWO,安葆,無,312.0,39.92,🟢 黃金標的,42.86%,85.71%,10.15%,-6.81%,0.0,7,0.8571,0.1015
3576.TW,聯合再生,無,21.2999992371,43.31,🟢 黃金標的,85.71%,85.71%,10.72%,-2.05%,0.0,7,0.8571,0.1072
4956.TW,光鋐,無,32.3499984741,60.53,🟢 黃金標的,57.14%,85.71%,3.16%,-5.95%,0.0,7,0.8571,0.0316
8436.TWO,大江,無,127.0,64.44,🟢 黃金標的,100.00%,85.71%,7.95%,-1.01%,0.0,7,0.8571,0.0795
4973.TWO,廣穎,無,67.9000015259,53.7,🟢 黃金標的,85.71%,85.71%,26.01%,0.97%,0.0,7,0.8571,0.2601
6532.TWO,瑞耘,無,75.0999984741,64.01,🟢 黃金標的,66.67%,83.33%,6.19%,-2.16%,0.0,6,0.8333,0.0619
8155.TWO,博智,無,244.5,62.09,🟢 黃金標的,83.33%,83.33%,5.51%,-1.63%,0.0,6,0.8333,0.0551
00715L.TW,期街口S&P布蘭特油正2,無,58.9000015259,57.42,🟢 黃金標的,83.33%,83.33%,25.70%,-6.49%,0.0,6,0.8333,0.257
2313.TW,華通,無,266.0,70.12,🟢 黃金標的,50.00%,83.33%,12.16%,-2.36%,0.0,6,0.8333,0.1216
3093.TWO,港建*,無,48.3499984741,62.74,🟢 黃金標的,50.00%,83.33%,21.61%,-2.24%,0.0,6,0.8333,0.2161
7795.TW,長廣,無,339.5,38.86,🟢 黃金標的,50.00%,83.33%,10.66%,-8.00%,0.0,6,0.8333,0.1066
3037.TW,欣興,無,488.5,51.09,🟢 黃金標的,66.67%,83.33%,13.36%,-3.39%,0.0,6,0.8333,0.1336
1590.TW,亞德客-KY,無,1025.0,48.87,🟢 黃金標的,66.67%,83.33%,4.91%,-1.05%,0.0,6,0.8333,0.0491
00917.TW,中信特選金融,無,20.5100002289,55.71,🟢 黃金標的,83.33%,83.33%,8.84%,-1.56%,0.0,6,0.8333,0.0884
6715.TW,嘉基,無,329.5,54.93,🟢 黃金標的,54.55%,81.82%,17.27%,-3.16%,0.0,11,0.8182,0.1727
6285.TW,啟��,無,178.0,56.14,🟢 黃金標的,60.00%,80.00%,11.83%,-2.21%,0.0,5,0.8,0.1183
6231.TWO,系微,無,267.5,71.38,🟢 黃金標的,80.00%,80.00%,11.78%,-1.72%,0.0,5,0.8,0.1178
3691.TWO,碩禾,無,105.5,38.75,🟢 黃金標的,80.00%,80.00%,8.29%,-3.13%,0.0,5,0.8,0.0829
1605.TW,華新,無,30.7999992371,43.59,🟢 黃金標的,40.00%,80.00%,5.26%,-4.76%,0.0,5,0.8,0.0526
4542.TWO,科嶠,無,164.5,40.91,🟢 黃金標的,40.00%,80.00%,5.97%,-6.18%,0.0,5,0.8,0.0597
8240.TWO,華宏,無,56.0,65.07,🟢 黃金標的,60.00%,80.00%,10.15%,-2.27%,0.0,10,0.8,0.1015
4148.TW,全宇生技-KY,無,43.5999984741,68.46,🟢 黃金標的,40.00%,80.00%,5.05%,-2.45%,0.0,5,0.8,0.0505
6598.TW,ABC-KY,無,23.3999996185,39.45,🟢 黃金標的,60.00%,80.00%,4.74%,-1.32%,0.0,5,0.8,0.0474
1514.TW,亞力,無,103.0,33.33,🟢 黃金標的,80.00%,80.00%,14.68%,-1.61%,0.0,5,0.8,0.1468
2431.TW,聯昌,無,11.8999996185,44.93,🟢 黃金標的,60.00%,80.00%,7.75%,-1.05%,0.0,5,0.8,0.0775
1503.TW,士電,無,182.5,32.2,🟢 黃金標的,20.00%,80.00%,4.80%,-4.94%,0.0,5,0.8,0.048
6217.TWO,中探針,無,179.5,66.47,🟢 黃金標的,80.00%,80.00%,10.94%,-1.53%,0.0,5,0.8,0.1094
6426.TW,統新,無,149.5,56.21,🟢 黃金標的,80.00%,80.00%,8.94%,-5.22%,0.0,5,0.8,0.0894
4130.TWO,健亞,無,33.25,47.83,🟢 黃金標的,100.00%,80.00%,6.22%,-5.56%,0.0,5,0.8,0.0622
6679.TWO,鈺太,無,249.0,47.3,🟢 黃金標的,60.00%,80.00%,4.38%,-6.12%,0.0,5,0.8,0.0438
5907.TW,大洋-KY,無,5.7699999809,42.86,🟢 黃金標的,40.00%,80.00%,3.03%,-1.29%,0.0,5,0.8,0.0303
1529.TW,樂事綠能,無,23.5,27.27,🟢 黃金標的,66.67%,77.78%,9.33%,-2.57%,0.0,9,0.7778,0.0933
8114.TW,振樺電,無,169.5,44.44,🟢 黃金標的,50.00%,75.00%,5.99%,-1.79%,0.0,4,0.75,0.0599
4167.TWO,松瑞藥,無,21.3500003815,58.88,🟢 黃金標的,50.00%,75.00%,3.63%,-0.74%,0.0,4,0.75,0.0363
4121.TWO,優盛,無,16.1000003815,13.59,🟢 黃金標的,75.00%,75.00%,3.76%,-2.00%,0.0,4,0.75,0.0376
6492.TWO,生華科,無,50.2999992371,53.09,🟢 黃金標的,75.00%,75.00%,16.32%,-1.87%,0.0,4,0.75,0.1632
6716.TWO,應廣,無,66.6999969482,41.69,🟢 黃金標的,75.00%,75.00%,16.00%,-1.00%,0.0,8,0.75,0.16
2383.TW,台光電,無,2860.0,58.13,🟢 黃金標的,25.00%,75.00%,4.28%,-7.36%,0.0,4,0.75,0.0428
2345.TW,智邦,無,1660.0,58.56,🟢 黃金標的,50.00%,75.00%,3.68%,-2.90%,0.0,4,0.75,0.0368
2308.TW,台達電,無,1475.0,58.14,🟢 黃金標的,50.00%,75.00%,5.92%,-1.51%,0.0,4,0.75,0.0592
8088.TWO,品安,無,51.2000007629,46.41,🟢 黃金標的,50.00%,75.00%,4.84%,-2.34%,0.0,4,0.75,0.0484
3138.TW,耀登,無,170.5,38.93,🟢 黃金標的,50.00%,75.00%,7.45%,-3.16%,0.0,4,0.75,0.0745
4127.TWO,天良,無,35.6500015259,41.56,🟢 黃金標的,75.00%,75.00%,4.42%,-2.05%,0.0,4,0.75,0.0442
3016.TW,嘉晶,無,52.7999992371,33.33,🟢 黃金標的,50.00%,75.00%,6.03%,-5.70%,0.0,4,0.75,0.0603
4198.TWO,欣大健康,無,38.4000015259,51.52,🟢 黃金標的,75.00%,75.00%,4.73%,-3.35%,0.0,4,0.75,0.0473
6239.TW,力成,無,195.0,43.54,🟢 黃金標的,100.00%,75.00%,6.74%,-2.65%,0.0,4,0.75,0.0674
4534.TWO,慶騰,無,23.3999996185,27.99,🟢 黃金標的,50.00%,75.00%,11.88%,-4.10%,0.0,4,0.75,0.1188
6874.TWO,倍力,無,87.5,68.6,🟢 黃金標的,75.00%,75.00%,10.58%,-1.25%,0.0,4,0.75,0.1058
2486.TW,一詮,無,145.0,53.2,🟢 黃金標的,75.00%,75.00%,7.28%,-1.22%,0.0,4,0.75,0.0728
6983.TWO,華洋精機,無,362.0,49.6,🟢 黃金標的,75.00%,75.00%,20.44%,-7.31%,0.0,8,0.75,0.2044
3105.TWO,穩懋,無,376.5,63.01,🟢 黃金標的,57.14%,71.43%,4.12%,-6.45%,0.0,7,0.7143,0.0412
1466.TW,聚隆,無,17.0,52.07,🟢 黃金標的,57.14%,71.43%,3.97%,-4.08%,0.0,7,0.7143,0.0397
3419.TW,譁裕,無,15.6499996185,49.43,🟢 黃金標的,71.43%,71.43%,3.12%,-2.33%,0.0,7,0.7143,0.0312
1809.TW,中釉,無,26.0499992371,52.37,🟢 黃金標的,71.43%,71.43%,14.92%,-0.59%,0.0,7,0.7143,0.1492
8096.TWO,擎亞,無,91.8000030518,70.0,🟢 黃金標的,71.43%,71.43%,9.82%,-1.02%,0.0,7,0.7143,0.0982
7709.TWO,榮田,無,72.5,72.97,🟢 黃金標的,85.71%,71.43%,17.27%,-1.41%,0.0,14,0.7143,0.1727
6485.TWO,點序,無,80.8000030518,51.82,🟢 黃金標的,50.00%,66.67%,3.18%,-4.96%,0.0,6,0.6667,0.0318
6657.TW,華安,無,41.5,15.27,🟢 黃金標的,66.67%,66.67%,5.41%,-2.19%,0.0,6,0.6667,0.0541
7734.TWO,印能科技,無,2330.0,75.19,🟢 黃金標的,58.33%,66.67%,11.28%,-3.99%,0.0,12,0.6667,0.1128
7751.TWO,竑騰,無,1515.0,60.91,🟢 黃金標的,50.00%,66.67%,5.44%,-4.22%,0.0,6,0.6667,0.0544
3704.TW,合勤控,無,33.0499992371,56.62,🟢 黃金標的,66.67%,66.67%,5.91%,-1.43%,0.0,3,0.6667,0.0591
6435.TWO,大中,無,151.0,46.67,🟢 黃金標的,100.00%,66.67%,7.34%,-0.86%,0.0,3,0.6667,0.0734
6909.TW,創控,無,44.0499992371,49.61,🟢 黃金標的,50.00%,66.67%,4.42%,-6.49%,0.0,6,0.6667,0.0442
1256.TW,鮮活果汁-KY,無,147.0,25.68,🟢 黃金標的,33.33%,66.67%,3.81%,-2.16%,0.0,3,0.6667,0.0381
8027.TWO,鈦昇,無,152.0,80.12,🟢 黃金標的,33.33%,66.67%,24.09%,-4.79%,0.0,3,0.6667,0.2409
3158.TWO,嘉實,無,90.8000030518,72.17,🟢 黃金標的,33.33%,66.67%,4.10%,-1.43%,0.0,3,0.6667,0.041
1309.TW,台達化,無,23.6000003815,76.9,🟢 黃金標的,33.33%,66.67%,6.17%,-5.04%,0.0,6,0.6667,0.0617
5292.TW,華懋,無,229.0,73.46,🟢 黃金標的,66.67%,66.67%,6.42%,-3.04%,0.0,6,0.6667,0.0642
6182.TWO,合晶,無,32.5499992371,50.17,🟢 黃金標的,33.33%,66.67%,3.35%,-6.84%,0.0,3,0.6667,0.0335
4764.TW,雙鍵,無,125.5,24.67,🟢 黃金標的,33.33%,66.67%,7.25%,-5.81%,0.0,3,0.6667,0.0725
8422.TW,可寧衛*,無,29.25,37.1,🟢 黃金標的,66.67%,66.67%,15.21%,0.29%,0.0,3,0.6667,0.1521
1294.TWO,漢田生技,無,81.0999984741,23.76,🟢 黃金標的,100.00%,66.67%,3.27%,-0.76%,0.0,3,0.6667,0.0327
4960.TW,誠美材,無,21.8999996185,51.93,🟢 黃金標的,66.67%,66.67%,20.10%,-2.37%,0.0,6,0.6667,0.201
6246.TWO,臺龍,無,16.8999996185,57.61,🟢 黃金標的,66.67%,66.67%,3.04%,-0.70%,0.0,3,0.6667,0.0304
9105.TW,泰金寶-DR,無,5.5500001907,43.51,🟢 黃金標的,66.67%,66.67%,4.08%,-1.22%,0.0,3,0.6667,0.0408
8110.TW,華東,無,50.9000015259,46.03,🟢 黃金標的,66.67%,66.67%,3.01%,-4.12%,0.0,6,0.6667,0.0301
3234.TWO,光環,無,86.3000030518,50.25,🟢 黃金標的,50.00%,66.67%,8.62%,-8.80%,0.0,6,0.6667,0.0862
8150.TW,南茂,無,55.5,37.27,🟢 黃金標的,33.33%,66.67%,4.78%,-10.18%,0.0,3,0.6667,0.0478
2367.TW,燿華,無,74.5,52.46,🟢 黃金標的,33.33%,66.67%,7.57%,-4.33%,0.0,6,0.6667,0.0757
6720.TWO,久昌,無,172.5,60.56,🟢 黃金標的,50.00%,66.67%,7.48%,-2.30%,0.0,6,0.6667,0.0748
2458.TW,義隆,無,127.5,36.59,🟢 黃金標的,66.67%,66.67%,5.13%,-5.42%,0.0,3,0.6667,0.0513
5864.TWO,致和證,無,23.8500003815,49.66,🟢 黃金標的,66.67%,66.67%,5.52%,-2.36%,0.0,9,0.6667,0.0552
3374.TWO,精材,無,159.5,40.8,🟢 黃金標的,33.33%,66.67%,3.95%,-4.86%,0.0,6,0.6667,0.0395
6838.TW,台新藥,無,28.25,75.79,🟢 黃金標的,66.67%,66.67%,6.43%,-1.08%,0.0,3,0.6667,0.0643
4908.TWO,前鼎,無,101.5,53.32,🟢 黃金標的,62.50%,62.50%,6.33%,-4.78%,0.0,8,0.625,0.0633
7610.TW,聯友金屬-創,無,366.5,62.45,🟢 黃金標的,75.00%,62.50%,8.26%,-4.83%,0.0,8,0.625,0.0826
7750.TW,新代,無,1355.0,52.25,🟢 黃金標的,25.00%,62.50%,6.03%,-4.92%,0.0,8,0.625,0.0603
6894.TWO,衛司特,無,320.5,50.21,🟢 黃金標的,62.50%,62.50%,3.17%,-5.09%,0.0,8,0.625,0.0317
6830.TW,汎銓,無,514.0,66.89,🟢 黃金標的,50.00%,62.50%,11.73%,-5.04%,0.0,8,0.625,0.1173
6568.TWO,宏觀,無,217.0,60.09,🟢 黃金標的,62.50%,62.50%,3.16%,-4.15%,0.0,8,0.625,0.0316
3171.TWO,炎洲流通,無,67.1999969482,89.69,🟢 黃金標的,40.00%,60.00%,3.92%,-2.33%,0.0,5,0.6,0.0392
6443.TW,元晶,無,41.1500015259,23.73,🟢 黃金標的,60.00%,60.00%,7.35%,-7.92%,0.0,5,0.6,0.0735
6116.TW,彩晶,無,8.25,29.08,🟢 黃金標的,60.00%,60.00%,6.80%,-1.58%,0.0,5,0.6,0.068
3583.TW,辛耘,無,465.0,73.35,🟢 黃金標的,80.00%,60.00%,5.25%,-2.35%,0.0,5,0.6,0.0525
00642U.TW,期元大S&P石油,無,27.7199993134,59.85,🟢 黃金標的,60.00%,60.00%,3.72%,-6.57%,0.0,5,0.6,0.0372
1795.TW,美時,無,214.0,31.22,🟢 黃金標的,60.00%,60.00%,3.23%,-3.23%,0.0,5,0.6,0.0323
3714.TW,富采,無,49.2999992371,62.75,🟢 黃金標的,20.00%,60.00%,5.66%,-4.47%,0.0,5,0.6,0.0566
2312.TW,金寶,無,22.1499996185,42.11,🟢 黃金標的,60.00%,60.00%,12.61%,-2.06%,0.0,5,0.6,0.1261
8046.TW,南電,無,574.0,62.17,🟢 黃金標的,70.00%,60.00%,9.35%,-3.80%,0.0,10,0.6,0.0935
4526.TW,東台,無,34.4500007629,57.79,🟢 黃金標的,60.00%,60.00%,3.64%,-2.89%,0.0,5,0.6,0.0364
4533.TWO,協易機,無,31.1499996185,37.56,🟢 黃金標的,20.00%,60.00%,6.16%,-8.85%,0.0,5,0.6,0.0616
1582.TW,信錦,無,108.0,64.31,🟢 黃金標的,80.00%,60.00%,8.03%,-3.66%,0.0,5,0.6,0.0803
3508.TWO,位速,無,40.0499992371,50.43,🟢 黃金標的,50.00%,60.00%,6.80%,-4.75%,0.0,10,0.6,0.068
6451.TW,訊芯-KY,無,305.0,70.88,🟢 黃金標的,40.00%,60.00%,4.60%,-7.35%,0.0,5,0.6,0.046
