Combination,Impact_Score
Golden_Cross + ShortSellVolK,0.990806
Golden_Cross + ShortRepayVolK,0.990806
Golden_Cross + ShortTotalVolK,0.990806
Golden_Cross + ShortLimitVolK,0.990806
Golden_Cross + ShortUsageRatio,0.990806
Golden_Cross + MainHolderCount,0.990806
Golden_Cross + FinancingSellVolK,0.990806
Golden_Cross + FinancingBuyVolK,0.990806
Golden_Cross + ShortFinancingPercent,0.990806
Golden_Cross + Foreign_Hold_Increasing,0.990806
Golden_Cross + FinancingPaybackVolK,0.990806
Golden_Cross + Foreign_Consecutive_BuyDays,0.990806
Golden_Cross + Foreign_LayoutScore,0.990806
Golden_Cross + Foreign_VolumeK,0.990806
Golden_Cross + TotalSellVolK,0.990806
Golden_Cross + TotalDiffVolK,0.990806
Golden_Cross + TotalBuyVolK,0.990806
Golden_Cross + InvestmentTrustSellVolK,0.990806
Golden_Cross + InvestmentTrustDiffVolK,0.990806
Golden_Cross + LendingSellVolK,0.990806
Golden_Cross + LendingRepayVolK,0.990806
Golden_Cross + LendingTotalVolK,0.990806
Golden_Cross + DirSupHoldPercent,0.990806
Golden_Cross + FinancingTotalVolK,0.990806
LendingRepayVolK + DirSupHoldPercent,0.989201
LendingRepayVolK + BB_Pos,0.989201
LendingRepayVolK + BIAS_Accel,0.989201
LendingRepayVolK + TradeVolumeRate,0.989201
LendingRepayVolK + TotalOversellVolK,0.989201
LendingRepayVolK + TotalOverbuyVolK,0.989201
LendingRepayVolK + TotalDifferenceVolK,0.989201
LendingRepayVolK + MainHoldPercent,0.989201
LendingRepayVolK + MainHolderCount,0.989201
LendingRepayVolK + LendingTotalVolK,0.989201
DealerSellVolK + ForeignDiffVolK,0.988314
DealerSellVolK + ForeignBuyVolK,0.988314
DealerSellVolK + InvestmentTrustBuyVolK,0.988314
DealerSellVolK + ForeignHoldPercent,0.988314
DealerSellVolK + ForeignSellVolK,0.988314
DealerSellVolK + ShortSellVolK,0.988314
DealerSellVolK + ShortRepayVolK,0.988314
DealerSellVolK + ShortTotalVolK,0.988314
DealerSellVolK + ShortLimitVolK,0.988314
DealerSellVolK + ShortUsageRatio,0.988314
DealerSellVolK + LendingSellVolK,0.988314
DealerSellVolK + BB_Pos,0.988314
DealerSellVolK + BIAS_Accel,0.988314
DealerSellVolK + TradeVolumeRate,0.988314
DealerSellVolK + TotalOversellVolK,0.988314
DealerSellVolK + TotalOverbuyVolK,0.988314
DealerSellVolK + TotalDifferenceVolK,0.988314
DealerSellVolK + MainHoldPercent,0.988314
DealerSellVolK + MainHolderCount,0.988314
DealerSellVolK + DirSupHoldPercent,0.988314
DealerSellVolK + ShortBuyVolK,0.988314
DealerSellVolK + FinancingUsageRatio,0.988314
DealerSellVolK + LendingRepayVolK,0.988314
DealerSellVolK + Foreign_LayoutScore,0.988314
DealerSellVolK + InvestmentTrustDiffVolK,0.988314
DealerSellVolK + InvestmentTrustSellVolK,0.988314
DealerSellVolK + TotalBuyVolK,0.988314
DealerSellVolK + TotalDiffVolK,0.988314
DealerSellVolK + TotalSellVolK,0.988314
DealerSellVolK + Foreign_VolumeK,0.988314
DealerSellVolK + Foreign_Consecutive_BuyDays,0.988314
DealerSellVolK + FinancingTotalVolK,0.988314
DealerSellVolK + Foreign_Hold_Increasing,0.988314
DealerSellVolK + DayTradingVolK,0.988314
DealerSellVolK + ShortFinancingPercent,0.988314
DealerSellVolK + FinancingBuyVolK,0.988314
DealerSellVolK + FinancingSellVolK,0.988314
DealerSellVolK + FinancingPaybackVolK,0.988314
DealerSellVolK + FinancingLimitVolK,0.988314
DealerSellVolK + LendingTotalVolK,0.988314
DayTradingVolK + TotalDifferenceVolK,0.987064
DayTradingVolK + FinancingUsageRatio,0.987064
DayTradingVolK + MainHoldPercent,0.987064
DayTradingVolK + BB_Pos,0.987064
DayTradingVolK + BIAS_Accel,0.987064
DayTradingVolK + TradeVolumeRate,0.987064
DayTradingVolK + TotalOversellVolK,0.987064
DayTradingVolK + ShortFinancingPercent,0.987064
DayTradingVolK + FinancingBuyVolK,0.987064
DayTradingVolK + FinancingSellVolK,0.987064
DayTradingVolK + FinancingPaybackVolK,0.987064
DayTradingVolK + FinancingTotalVolK,0.987064
DayTradingVolK + FinancingLimitVolK,0.987064
DayTradingVolK + TotalOverbuyVolK,0.987064
DayTradingVolK + ShortBuyVolK,0.987064
DayTradingVolK + LendingTotalVolK,0.987064
DayTradingVolK + LendingSellVolK,0.987064
DayTradingVolK + DirSupHoldPercent,0.987064
DayTradingVolK + ShortSellVolK,0.987064
DayTradingVolK + MainHolderCount,0.987064
DayTradingVolK + LendingRepayVolK,0.987064
DayTradingVolK + ShortRepayVolK,0.987064
DayTradingVolK + ShortTotalVolK,0.987064
DayTradingVolK + ShortLimitVolK,0.987064
DayTradingVolK + ShortUsageRatio,0.987064
Short_Term_Rebound + BIAS_Accel,0.986209
Short_Term_Rebound + BB_Pos,0.986209
MACD_Bullish_Strong + BIAS_Short_Col,0.986209
MACD_Bullish_Strong + Vol_Spike,0.986209
MACD_Bullish_Strong + Vol_Ratio,0.986209
MACD_Bullish_Strong + ADX_5,0.986209
MACD_Bullish_Strong + ADX,0.986209
MACD_Bullish_Strong + -DI,0.986209
MACD_Bullish_Strong + +DI,0.986209
MACD_Bullish_Strong + CCI,0.986209
MACD_Bullish_Strong + OBV_MA,0.986209
MACD_Bullish_Strong + OBV,0.986209
MACD_Bullish_Strong + KDJ_J,0.986209
MACD_Bullish_Strong + KDJ_D,0.986209
Short_Term_Rebound + TradeVolumeRate,0.986209
MACD_Bullish_Strong + Williams,0.986209
MACD_Bullish_Strong + BOLL,0.986209
MACD_Bullish_Strong + Lower_Band,0.986209
MACD_Bullish_Strong + Upper_Band,0.986209
MACD_Bullish_Strong + SMA,0.986209
MACD_Bullish_Strong + RSI,0.986209
MACD_Bullish_Strong + MACD_Momentum_Ratio,0.986209
MACD_Bullish_Strong + MACD_Bearish_Strong,0.986209
MACD_Bullish_Strong + KDJ_K,0.986209
DMA_Death_Cross + BIAS_Accel,0.986209
DMA_Death_Cross + BB_Pos,0.986209
DMA_Death_Cross + ShortTotalVolK,0.986209
MACD_Bullish_Strong + TradeVolumeRate,0.986209
MACD_Bullish_Strong + BIAS_Accel,0.986209
MACD_Bullish_Strong + BB_Pos,0.986209
DMA_Death_Cross + FinancingSellVolK,0.986209
DMA_Death_Cross + FinancingPaybackVolK,0.986209
DMA_Death_Cross + FinancingTotalVolK,0.986209
DMA_Death_Cross + FinancingLimitVolK,0.986209
DMA_Death_Cross + FinancingUsageRatio,0.986209
DMA_Death_Cross + ShortBuyVolK,0.986209
DMA_Death_Cross + ShortSellVolK,0.986209
DMA_Death_Cross + ShortRepayVolK,0.986209
DMA_Death_Cross + ShortLimitVolK,0.986209
DMA_Death_Cross + TradeVolumeRate,0.986209
DMA_Death_Cross + ShortUsageRatio,0.986209
DMA_Death_Cross + LendingSellVolK,0.986209
DMA_Death_Cross + LendingRepayVolK,0.986209
DMA_Death_Cross + LendingTotalVolK,0.986209
DMA_Death_Cross + DirSupHoldPercent,0.986209
Short_Term_Rebound + TotalOverbuyVolK,0.986209
DMA_Death_Cross + MainHolderCount,0.986209
DMA_Death_Cross + MainHoldPercent,0.986209
DMA_Death_Cross + TotalDifferenceVolK,0.986209
DMA_Death_Cross + TotalOverbuyVolK,0.986209
DMA_Death_Cross + TotalOversellVolK,0.986209
Short_Term_Rebound + TotalOversellVolK,0.986209
Short_Term_Rebound + ShortTotalVolK,0.986209
Short_Term_Rebound + TotalDifferenceVolK,0.986209
Short_Term_Rebound + High_120,0.986209
Short_Term_Rebound + ForeignHoldPercent,0.986209
Short_Term_Rebound + ForeignDiffVolK,0.986209
Short_Term_Rebound + ForeignBuyVolK,0.986209
Short_Term_Rebound + DealerSellVolK,0.986209
Short_Term_Rebound + DealerDiffVolK,0.986209
Short_Term_Rebound + DealerBuyVolK,0.986209
Short_Term_Rebound + ChangePercent,0.986209
Short_Term_Rebound + ATR_20,0.986209
Short_Term_Rebound + MA_60,0.986209
Short_Term_Rebound + V_MA20,0.986209
Short_Term_Rebound + Bias_Ratio,0.986209
Short_Term_Rebound + MA20,0.986209
Short_Term_Rebound + MA200,0.986209
Short_Term_Rebound + InvestmentTrustBuyVolK,0.986209
Short_Term_Rebound + DMA_Momentum_Up,0.986209
Short_Term_Rebound + DMA_Diff,0.986209
Short_Term_Rebound + DMA_Bullish,0.986209
Short_Term_Rebound + DMA_Death_Cross,0.986209
Short_Term_Rebound + DMA_Golden_Cross,0.986209
Short_Term_Rebound + AMA,0.986209
Short_Term_Rebound + DMA,0.986209
Short_Term_Rebound + MA_Long,0.986209
Short_Term_Rebound + Strong_Trend,0.986209
Short_Term_Rebound + Bias_Divergence,0.986209
Short_Term_Rebound + Golden_Cross,0.986209
Short_Term_Rebound + MA_Short,0.986209
Short_Term_Rebound + ForeignSellVolK,0.986209
Short_Term_Rebound + InvestmentTrustDiffVolK,0.986209
Short_Term_Rebound + MainHoldPercent,0.986209
Short_Term_Rebound + FinancingLimitVolK,0.986209
Short_Term_Rebound + MainHolderCount,0.986209
Short_Term_Rebound + DirSupHoldPercent,0.986209
Short_Term_Rebound + LendingTotalVolK,0.986209
Short_Term_Rebound + LendingRepayVolK,0.986209
Short_Term_Rebound + LendingSellVolK,0.986209
Short_Term_Rebound + ShortUsageRatio,0.986209
Short_Term_Rebound + ShortLimitVolK,0.986209
MACD_Bullish_Strong + TotalOverbuyVolK,0.986209
Short_Term_Rebound + ShortRepayVolK,0.986209
Short_Term_Rebound + ShortSellVolK,0.986209
Short_Term_Rebound + ShortBuyVolK,0.986209
Short_Term_Rebound + FinancingUsageRatio,0.986209
Short_Term_Rebound + FinancingTotalVolK,0.986209
Short_Term_Rebound + InvestmentTrustSellVolK,0.986209
Short_Term_Rebound + FinancingPaybackVolK,0.986209
Short_Term_Rebound + FinancingSellVolK,0.986209
Short_Term_Rebound + FinancingBuyVolK,0.986209
Short_Term_Rebound + ShortFinancingPercent,0.986209
Short_Term_Rebound + DayTradingVolK,0.986209
Short_Term_Rebound + Foreign_Hold_Increasing,0.986209
Short_Term_Rebound + Foreign_Consecutive_BuyDays,0.986209
Short_Term_Rebound + Foreign_LayoutScore,0.986209
Short_Term_Rebound + Foreign_VolumeK,0.986209
Short_Term_Rebound + TotalSellVolK,0.986209
Short_Term_Rebound + TotalDiffVolK,0.986209
Short_Term_Rebound + TotalBuyVolK,0.986209
MACD_Bullish_Strong + TotalOversellVolK,0.986209
MACD_Bullish_Strong + Vol_MA6,0.986209
MACD_Bullish_Strong + TotalDifferenceVolK,0.986209
MACD_Bullish_Strong + MainHoldPercent,0.986209
DMA_Death_Cross + DMA_Momentum_Up,0.986209
DMA_Death_Cross + MA200,0.986209
DMA_Death_Cross + High_120,0.986209
DMA_Death_Cross + MA20,0.986209
DMA_Death_Cross + Bias_Ratio,0.986209
DMA_Death_Cross + V_MA20,0.986209
DMA_Death_Cross + MA_60,0.986209
DMA_Death_Cross + ATR_20,0.986209
DMA_Death_Cross + ChangePercent,0.986209
DMA_Death_Cross + DealerBuyVolK,0.986209
DMA_Death_Cross + DealerDiffVolK,0.986209
DMA_Death_Cross + DealerSellVolK,0.986209
DMA_Death_Cross + ForeignBuyVolK,0.986209
DMA_Death_Cross + ForeignDiffVolK,0.986209
DMA_Death_Cross + ForeignHoldPercent,0.986209
DMA_Death_Cross + ForeignSellVolK,0.986209
DMA_Death_Cross + InvestmentTrustBuyVolK,0.986209
DMA_Death_Cross + InvestmentTrustDiffVolK,0.986209
DMA_Death_Cross + InvestmentTrustSellVolK,0.986209
DMA_Death_Cross + TotalBuyVolK,0.986209
DMA_Death_Cross + TotalDiffVolK,0.986209
DMA_Death_Cross + TotalSellVolK,0.986209
DMA_Death_Cross + Foreign_VolumeK,0.986209
DMA_Death_Cross + Foreign_LayoutScore,0.986209
DMA_Death_Cross + Foreign_Consecutive_BuyDays,0.986209
DMA_Death_Cross + DMA_Diff,0.986209
DMA_Death_Cross + DMA_Bullish,0.986209
MACD_Bullish_Strong + DealerDiffVolK,0.986209
MACD_Bullish_Strong + DMA_Golden_Cross,0.986209
MACD_Bullish_Strong + BIAS_6,0.986209
MACD_Bullish_Strong + BIAS_20,0.986209
MACD_Bullish_Strong + Bullish_Align,0.986209
MACD_Bullish_Strong + Short_Term_Rebound,0.986209
MACD_Bullish_Strong + Strong_Trend,0.986209
MACD_Bullish_Strong + Bias_Divergence,0.986209
MACD_Bullish_Strong + Golden_Cross,0.986209
MACD_Bullish_Strong + MA_Short,0.986209
MACD_Bullish_Strong + MA_Long,0.986209
MACD_Bullish_Strong + DMA,0.986209
MACD_Bullish_Strong + AMA,0.986209
MACD_Bullish_Strong + DMA_Death_Cross,0.986209
MACD_Bullish_Strong + DealerBuyVolK,0.986209
MACD_Bullish_Strong + DMA_Bullish,0.986209
MACD_Bullish_Strong + DMA_Diff,0.986209
MACD_Bullish_Strong + DMA_Momentum_Up,0.986209
MACD_Bullish_Strong + MA200,0.986209
MACD_Bullish_Strong + High_120,0.986209
MACD_Bullish_Strong + MA20,0.986209
MACD_Bullish_Strong + Bias_Ratio,0.986209
MACD_Bullish_Strong + V_MA20,0.986209
MACD_Bullish_Strong + MA_60,0.986209
MACD_Bullish_Strong + ATR_20,0.986209
MACD_Bullish_Strong + ChangePercent,0.986209
DMA_Death_Cross + Foreign_Hold_Increasing,0.986209
MACD_Bullish_Strong + ShortFinancingPercent,0.986209
MACD_Bullish_Strong + InvestmentTrustDiffVolK,0.986209
MACD_Bullish_Strong + DayTradingVolK,0.986209
MACD_Bullish_Strong + Foreign_Consecutive_BuyDays,0.986209
MACD_Bullish_Strong + Foreign_LayoutScore,0.986209
MACD_Bullish_Strong + Foreign_VolumeK,0.986209
MACD_Bullish_Strong + TotalSellVolK,0.986209
MACD_Bullish_Strong + TotalDiffVolK,0.986209
MACD_Bullish_Strong + InvestmentTrustSellVolK,0.986209
MACD_Bullish_Strong + InvestmentTrustBuyVolK,0.986209
MACD_Bullish_Strong + ForeignSellVolK,0.986209
MACD_Bullish_Strong + ForeignHoldPercent,0.986209
MACD_Bullish_Strong + ForeignDiffVolK,0.986209
MACD_Bullish_Strong + ForeignBuyVolK,0.986209
MACD_Bullish_Strong + DealerSellVolK,0.986209
DMA_Death_Cross + FinancingBuyVolK,0.986209
DMA_Death_Cross + ShortFinancingPercent,0.986209
DMA_Death_Cross + DayTradingVolK,0.986209
MACD_Bullish_Strong + Foreign_Hold_Increasing,0.986209
MACD_Bullish_Strong + TotalBuyVolK,0.986209
MACD_Bullish_Strong + FinancingBuyVolK,0.986209
MACD_Bullish_Strong + ShortTotalVolK,0.986209
MACD_Bullish_Strong + ShortUsageRatio,0.986209
MACD_Bullish_Strong + LendingSellVolK,0.986209
MACD_Bullish_Strong + FinancingSellVolK,0.986209
MACD_Bullish_Strong + LendingRepayVolK,0.986209
MACD_Bullish_Strong + LendingTotalVolK,0.986209
MACD_Bullish_Strong + DirSupHoldPercent,0.986209
MACD_Bullish_Strong + MainHolderCount,0.986209
MACD_Bullish_Strong + ShortRepayVolK,0.986209
MACD_Bullish_Strong + ShortSellVolK,0.986209
MACD_Bullish_Strong + ShortBuyVolK,0.986209
MACD_Bullish_Strong + FinancingUsageRatio,0.986209
MACD_Bullish_Strong + FinancingLimitVolK,0.986209
MACD_Bullish_Strong + FinancingTotalVolK,0.986209
MACD_Bullish_Strong + FinancingPaybackVolK,0.986209
MACD_Bullish_Strong + ShortLimitVolK,0.986209
ShortRepayVolK + BIAS_Accel,0.985073
ShortRepayVolK + BB_Pos,0.985073
ShortRepayVolK + TotalOverbuyVolK,0.985073
ShortRepayVolK + LendingRepayVolK,0.985073
ShortRepayVolK + ShortTotalVolK,0.985073
ShortRepayVolK + ShortLimitVolK,0.985073
ShortRepayVolK + ShortUsageRatio,0.985073
ShortRepayVolK + LendingSellVolK,0.985073
ShortRepayVolK + LendingTotalVolK,0.985073
ShortRepayVolK + DirSupHoldPercent,0.985073
ShortRepayVolK + MainHolderCount,0.985073
ShortRepayVolK + MainHoldPercent,0.985073
ShortRepayVolK + TotalDifferenceVolK,0.985073
ShortRepayVolK + TradeVolumeRate,0.985073
ShortRepayVolK + TotalOversellVolK,0.985073
InvestmentTrustSellVolK + TotalOverbuyVolK,0.983505
InvestmentTrustSellVolK + TotalOversellVolK,0.983505
InvestmentTrustSellVolK + ShortTotalVolK,0.983505
InvestmentTrustSellVolK + TotalSellVolK,0.983505
InvestmentTrustSellVolK + Foreign_LayoutScore,0.983505
InvestmentTrustSellVolK + Foreign_Consecutive_BuyDays,0.983505
InvestmentTrustSellVolK + Foreign_Hold_Increasing,0.983505
InvestmentTrustSellVolK + DayTradingVolK,0.983505
InvestmentTrustSellVolK + ShortFinancingPercent,0.983505
InvestmentTrustSellVolK + FinancingBuyVolK,0.983505
InvestmentTrustSellVolK + FinancingSellVolK,0.983505
InvestmentTrustSellVolK + FinancingPaybackVolK,0.983505
InvestmentTrustSellVolK + TotalDiffVolK,0.983505
InvestmentTrustSellVolK + TotalBuyVolK,0.983505
InvestmentTrustSellVolK + FinancingTotalVolK,0.983505
InvestmentTrustSellVolK + FinancingLimitVolK,0.983505
InvestmentTrustSellVolK + FinancingUsageRatio,0.983505
InvestmentTrustSellVolK + ShortBuyVolK,0.983505
InvestmentTrustSellVolK + ShortSellVolK,0.983505
InvestmentTrustSellVolK + ShortRepayVolK,0.983505
InvestmentTrustSellVolK + TradeVolumeRate,0.983505
InvestmentTrustSellVolK + BIAS_Accel,0.983505
InvestmentTrustSellVolK + BB_Pos,0.983505
InvestmentTrustSellVolK + ShortLimitVolK,0.983505
InvestmentTrustSellVolK + ShortUsageRatio,0.983505
InvestmentTrustSellVolK + LendingSellVolK,0.983505
InvestmentTrustSellVolK + LendingRepayVolK,0.983505
InvestmentTrustSellVolK + LendingTotalVolK,0.983505
InvestmentTrustSellVolK + DirSupHoldPercent,0.983505
InvestmentTrustSellVolK + MainHolderCount,0.983505
InvestmentTrustSellVolK + MainHoldPercent,0.983505
InvestmentTrustSellVolK + TotalDifferenceVolK,0.983505
InvestmentTrustSellVolK + Foreign_VolumeK,0.983505
LendingSellVolK + TradeVolumeRate,0.983461
LendingSellVolK + BIAS_Accel,0.983461
LendingSellVolK + LendingRepayVolK,0.983461
LendingSellVolK + TotalOversellVolK,0.983461
LendingSellVolK + DirSupHoldPercent,0.983461
LendingSellVolK + LendingTotalVolK,0.983461
LendingSellVolK + BB_Pos,0.983461
