Quantum AI Pro 分析報告 (20260311)
==============================================================================================================
        ID                            Name  Score    Price  Status WinRate                                    Reason
   6994.TW                            富威電力    6.5    87.70 🚀 極強勢攻擊   50.0% 趨勢強勁 / 【EPS連2成長 | 營收爆發(114.38%) | 董監持股增加】
   6944.TW                            兆聯實業    5.5   743.00 🚀 極強勢攻擊   44.4%           趨勢強勁 / 【EPS連2成長 | 營收爆發(51.58%)】
   2467.TW                              志聖    5.5   368.00 🚀 極強勢攻擊   75.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(124.1%)】
  4123.TWO                              晟德    5.5    44.40 🚀 極強勢攻擊   50.0%           趨勢強勁 / 【EPS連2成長 | 營收爆發(56.42%)】
  3093.TWO                             港建*    5.0    33.55 🚀 極強勢攻擊   47.4%             趨勢強勁 / 【營收爆發(90.8%) | 董監持股增加】
   3036.TW                              文曄    5.0   231.50 🚀 極強勢攻擊   77.8%           趨勢強勁 / 【營收爆發(151.67%) | 董監持股增加】
  5536.TWO                             聖暉*    4.5   697.00 🚀 極強勢攻擊   45.0%         【EPS連2成長 | 營收爆發(38.79%) | 董監持股增加】
   3702.TW                             大聯大    4.0    72.80 🚀 極強勢攻擊   50.0%                     趨勢強勁 / 【營收爆發(44.57%)】
   2404.TW                              漢唐    4.0  1085.00 🚀 極強勢攻擊   60.0%                     趨勢強勁 / 【營收爆發(58.89%)】
  5291.TWO                              邑昇    4.0    53.00 🚀 極強勢攻擊   63.2%                     趨勢強勁 / 【營收爆發(34.27%)】
   1256.TW                         鮮活果汁-KY    4.0   171.00 🚀 極強勢攻擊   54.5%                     趨勢強勁 / 【營收爆發(87.61%)】
   6477.TW                              安集    4.0    39.35 🚀 極強勢攻擊   60.0%                     趨勢強勁 / 【營收爆發(78.94%)】
   4943.TW                           康控-KY    4.0    12.20 🚀 極強勢攻擊    0.0%                      趨勢強勁 / 【營收爆發(38.5%)】
  8087.TWO                            麗升能源    4.0    34.05 🚀 極強勢攻擊   26.7%                     趨勢強勁 / 【營收爆發(883.4%)】
   4137.TW                           麗豐-KY    4.0   111.00 🚀 極強勢攻擊   52.6%                    趨勢強勁 / 【營收爆發(117.15%)】
   2406.TW                              國碩    4.0    34.15 🚀 極強勢攻擊   62.5%                    趨勢強勁 / 【營收爆發(188.65%)】
   2543.TW                              皇昌    4.0    74.00 🚀 極強勢攻擊   36.4%                     趨勢強勁 / 【營收爆發(34.97%)】
  6894.TWO                             衛司特    4.0   308.50 🚀 極強勢攻擊   60.0%                     趨勢強勁 / 【營收爆發(55.42%)】
   1529.TW                            樂事綠能    4.0    27.40 🚀 極強勢攻擊   57.1%                    趨勢強勁 / 【營收爆發(277.22%)】
   3706.TW                              神達    4.0    82.90 🚀 極強勢攻擊   40.0%                     趨勢強勁 / 【營收爆發(34.35%)】
   6531.TW                             愛普*    4.0   441.50 🚀 極強勢攻擊   33.3%                    趨勢強勁 / 【營收爆發(146.68%)】
   3029.TW                              零壹    4.0   115.00 🚀 極強勢攻擊   47.4%                      趨勢強勁 / 【營收爆發(31.5%)】
  3207.TWO                              耀勝    4.0    75.90 🚀 極強勢攻擊   16.7%                     趨勢強勁 / 【營收爆發(45.99%)】
  5205.TWO                              中茂    4.0    28.80 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(204.44%)】
   6669.TW                              緯穎    4.0  4190.00 🚀 極強勢攻擊   50.0%                    趨勢強勁 / 【營收爆發(103.44%)】
  4908.TWO                              前鼎    4.0    94.50 🚀 極強勢攻擊   52.9%                     趨勢強勁 / 【營收爆發(66.88%)】
  6788.TWO                             華景電    4.0   347.50 🚀 極強勢攻擊   66.7%                     趨勢強勁 / 【營收爆發(35.54%)】
  4768.TWO                            晶呈科技    4.0   440.50 🚀 極強勢攻擊   33.3%                    趨勢強勁 / 【營收爆發(228.67%)】
  3066.TWO                              李洲    4.0    16.25 🚀 極強勢攻擊   16.7%                     趨勢強勁 / 【營收爆發(42.57%)】
  3709.TWO                           鑫聯大投控    4.0    68.00 🚀 極強勢攻擊   57.1%                    趨勢強勁 / 【營收爆發(132.66%)】
  1294.TWO                            漢田生技    4.0    91.80 🚀 極強勢攻擊   35.7%                    趨勢強勁 / 【營收爆發(117.94%)】
   2377.TW                              微星    4.0    94.50 🚀 極強勢攻擊   46.7%                     趨勢強勁 / 【營收爆發(33.73%)】
  1593.TWO                              祺驊    3.0    34.70  📈 多頭續攻   42.9%                           趨勢強勁 / 【董監持股增加】
  3147.TWO                              大綜    3.0   180.50  📈 多頭續攻   40.0%                  【營收爆發(206.61%) | 董監持股增加】
   1582.TW                              信錦    3.0    87.50  📈 多頭續攻   60.0%                           趨勢強勁 / 【董監持股增加】
   7780.TW                           大研生醫*    3.0    20.05  📈 多頭續攻   38.9%                   【營收爆發(61.36%) | 董監持股增加】
  6703.TWO                              軒郁    3.0   119.50  📈 多頭續攻   66.7%                           趨勢強勁 / 【董監持股增加】
   2836.TW                             高雄銀    3.0    12.30  📈 多頭續攻   36.4%                   【營收爆發(30.58%) | 董監持股增加】
  4946.TWO                              辣椒    3.0   154.00  📈 多頭續攻   50.0%                           趨勢強勁 / 【董監持股增加】
  8390.TWO                             金益鼎    3.0   103.50  📈 多頭續攻   54.5%                   【營收爆發(60.35%) | 董監持股增加】
  3221.TWO                             台嘉碩    3.0    29.15  📈 多頭續攻   40.0%                           趨勢強勁 / 【董監持股增加】
  6762.TWO                              達亞    3.0   170.00  📈 多頭續攻    0.0%                           趨勢強勁 / 【董監持股增加】
  2230.TWO                              泰茂    3.0    34.45  📈 多頭續攻   23.1%                   【營收爆發(88.54%) | 董監持股增加】
  4538.TWO                             大詠城    3.0    18.95  📈 多頭續攻   65.0%                  【營收爆發(122.75%) | 董監持股增加】
  6219.TWO                              富旺    3.0    16.10  📈 多頭續攻   52.9%                【營收爆發(10807.69%) | 董監持股增加】
  6187.TWO                              萬潤    3.0   586.00  📈 多頭續攻   57.1%                           趨勢強勁 / 【董監持股增加】
  8299.TWO                              群聯    2.5  1890.00  📈 多頭續攻   26.3%        【EPS連2成長 | 營收爆發(169.43%) | 董監持股增加】
  4991.TWO                           環宇-KY    2.5   339.50  📈 多頭續攻   60.0%        【EPS連2成長 | 營收爆發(155.98%) | 董監持股增加】
   6902.TW                        GOGOLOOK    2.5    76.50  📈 多頭續攻   35.0%         【EPS連2成長 | 營收爆發(37.39%) | 董監持股增加】
   2323.TW                              中環    2.5    11.30  📈 多頭續攻   50.0%                        【EPS連2成長 | 董監持股增加】
  3088.TWO                              艾訊    2.5    82.00  📈 多頭續攻   35.0%         【EPS連2成長 | 營收爆發(50.04%) | 董監持股增加】
   2337.TW                              旺宏    2.0    99.70  📈 多頭續攻   70.0%                            【營收爆發(59.98%)】
   6789.TW                              采鈺    2.0   350.50  📈 多頭續攻   40.0%                                      趨勢強勁
 00648R.TW                      元大S&P500反1    2.0     4.40  📈 多頭續攻   55.0%                                      趨勢強勁
   3025.TW                              星通    2.0    61.20  📈 多頭續攻   33.3%                           【營收爆發(113.07%)】
   2357.TW                              華碩    2.0   584.00  📈 多頭續攻   33.3%                            【營收爆發(79.97%)】
  8064.TWO                              東捷    2.0    55.70  📈 多頭續攻   44.4%                        外資買2335張 / 【無財報資料】
 00715L.TW                        期街口布蘭特正2    2.0    39.13  📈 多頭續攻   50.0%                                      趨勢強勁
   1735.TW                             日勝化    2.0    20.90  📈 多頭續攻   56.2%                                      趨勢強勁
   7750.TW                              新代    2.0  1310.00  📈 多頭續攻   70.0%                           【營收爆發(102.92%)】
  7781.TWO                            昕力資*    2.0    20.55  📈 多頭續攻   50.0%                            【營收爆發(42.08%)】
  3693.TWO                              營邦    2.0   419.00  📈 多頭續攻   21.1%                                      趨勢強勁
  4413.TWO                            飛寶企業    2.0    17.70  📈 多頭續攻   42.1%                            趨勢強勁 / 【無財報資料】
  3360.TWO                              尚立    2.0    15.80  📈 多頭續攻   38.9%                           【營收爆發(152.72%)】
  5478.TWO                              智冠    2.0   113.00  📈 多頭續攻   65.0%                                      趨勢強勁
  3260.TWO                              威剛    2.0   350.50  📈 多頭續攻   63.6%                            【營收爆發(114.3%)】
   8438.TW                              昶昕    2.0    69.40  📈 多頭續攻   35.7%                                      趨勢強勁
  8038.TWO                             長園科    2.0    43.00  📈 多頭續攻   43.8%                           【營收爆發(643.82%)】
   4916.TW                             事欣科    2.0    60.00  📈 多頭續攻   41.2%                            【營收爆發(40.99%)】
  3169.TWO                              亞信    2.0    98.00  📈 多頭續攻   40.0%                                      趨勢強勁
   1516.TW                              川飛    2.0    25.50  📈 多頭續攻   45.0%                                      趨勢強勁
 00693U.TW                        期街口S&P黃豆    2.0    22.73  📈 多頭續攻   85.0%                                      趨勢強勁
 00985B.TW                     群益ESG投等債0-5    2.0    10.36  📈 多頭續攻    9.1%                                      趨勢強勁
  3516.TWO                             亞帝歐    2.0    19.60  📈 多頭續攻   30.0%                            【營收爆發(31.89%)】
  7738.TWO                            東聯互動    2.0   182.00  📈 多頭續攻   55.0%                                      趨勢強勁
 00634R.TW                          富邦上証反1    2.0     3.26  📈 多頭續攻   40.0%                                      趨勢強勁
  4772.TWO                             台特化    2.0   336.00  📈 多頭續攻   14.3%                           【營收爆發(272.79%)】
 00666R.TW                        富邦恒生國企反1    2.0     9.08  📈 多頭續攻   33.3%                                      趨勢強勁
  8027.TWO                              鈦昇    2.0   102.50  📈 多頭續攻   43.8%                            【營收爆發(62.78%)】
   2923.TW                           鼎固-KY    2.0    19.50  📈 多頭續攻   50.0%                           【營收爆發(481.14%)】
   2889.TW                             國票金    2.0    16.25  📈 多頭續攻   58.3%                           【營收爆發(102.15%)】
00864B.TWO                       中信美國公債0-1    2.0    46.25  📈 多頭續攻   30.0%                                      趨勢強勁
  6640.TWO                              均華    2.0   963.00  📈 多頭續攻   50.0%                            【營收爆發(56.66%)】
   2367.TW                              燿華    2.0    69.20  📈 多頭續攻   58.3%                                      趨勢強勁
   8476.TW                             台境*    2.0    19.30  📈 多頭續攻   25.0%                           【營收爆發(126.49%)】
  6859.TWO                             伯特光    2.0   129.50  📈 多頭續攻   65.0%                                      趨勢強勁
  3687.TWO                             歐買尬    2.0    70.00  📈 多頭續攻   25.0%                             【營收爆發(33.0%)】
   6861.TW                            睿生光電    2.0   163.50  📈 多頭續攻   76.9%                            【營收爆發(45.48%)】
  6462.TWO                              神盾    2.0   106.50  📈 多頭續攻   38.5%                           【營收爆發(200.09%)】
   2432.TW                         倚天酷��-創    2.0    27.80  📈 多頭續攻   68.4%                                      趨勢強勁
   3708.TW                            上緯投控    2.0   130.00  📈 多頭續攻   52.6%                                      趨勢強勁
   2458.TW                              義隆    2.0   141.00  📈 多頭續攻   66.7%                                      趨勢強勁
   6655.TW                              科定    2.0   130.50  📈 多頭續攻   62.5%                            【營收爆發(82.66%)】
   3266.TW                              昇陽    2.0    13.55  📈 多頭續攻   30.8%                           【營收爆發(222.03%)】
  4534.TWO                              慶騰    2.0    28.35  📈 多頭續攻   45.5%                                      趨勢強勁
   2478.TW                              大毅    2.0    70.20  📈 多頭續攻   40.0%                            【營收爆發(37.97%)】
   2485.TW                              兆赫    2.0    55.30  📈 多頭續攻   27.3%                           【營收爆發(162.71%)】
   6668.TW                             中揚光    2.0    35.30  📈 多頭續攻   45.0%                            【營收爆發(41.28%)】
  4577.TWO                            達航科技    2.0    93.50  📈 多頭續攻   53.8%                                      趨勢強勁
  3691.TWO                              碩禾    2.0   118.00  📈 多頭續攻   50.0%                           【營收爆發(195.71%)】
   6239.TW                              力成    2.0   215.50  📈 多頭續攻   47.1%                            【營收爆發(34.63%)】
   2897.TW                            王道銀行    2.0     9.76  📈 多頭續攻   57.9%                            【營收爆發(55.65%)】
   8996.TW                              高力    2.0   834.00  📈 多頭續攻   45.0%                           【營收爆發(205.73%)】
   1718.TW                              中纖    2.0     7.41  📈 多頭續攻   40.0%                                      趨勢強勁
  3615.TWO                              安可    2.0    31.95  📈 多頭續攻   61.5%                                      趨勢強勁
   6166.TW                              凌華    2.0    62.70  📈 多頭續攻   42.9%                            【營收爆發(58.39%)】
   6937.TW                              天虹    2.0   261.50  📈 多頭續攻   63.6%                            【營收爆發(31.25%)】
  8048.TWO                              德勝    2.0    59.70  📈 多頭續攻   36.8%                                      趨勢強勁
   1609.TW                              大亞    2.0    36.90  📈 多頭續攻   61.5%                            【營收爆發(41.09%)】
  6683.TWO                            雍智科技    2.0  1080.00  📈 多頭續攻   75.0%                            【營收爆發(46.93%)】
   6230.TW                           尼得科超眾    2.0   172.00  📈 多頭續攻   45.0%                                      趨勢強勁
  6980.TWO                            鐳洋科技    2.0   126.00  📈 多頭續攻   33.3%                           【營收爆發(133.51%)】
  4749.TWO                             新應材    2.0   974.00  📈 多頭續攻   55.6%                            【營收爆發(40.63%)】
  6130.TWO                            上亞科技    2.0    32.50  📈 多頭續攻   20.0%                           【營收爆發(120.52%)】
  6508.TWO                              惠光    2.0    26.20  📈 多頭續攻   66.7%                                      趨勢強勁
   3701.TW                             大眾控    2.0    59.10  📈 多頭續攻   35.3%                                      趨勢強勁
   4569.TW                          六方科-KY    2.0   150.00  📈 多頭續攻   20.0%                                      趨勢強勁
   6805.TW                             富世達    2.0  1865.00  📈 多頭續攻   55.0%                            【營收爆發(51.13%)】
  5439.TWO                              高技    2.0   265.50  📈 多頭續攻   42.9%                           【營收爆發(129.51%)】
  3213.TWO                              茂訊    2.0   103.00  📈 多頭續攻   35.3%                                      趨勢強勁
   8103.TW                              瀚荃    2.0    87.40  📈 多頭續攻   58.3%                            【營收爆發(43.57%)】
   3138.TW                              耀登    2.0   183.50  📈 多頭續攻   33.3%                                      趨勢強勁
   3017.TW                              奇鋐    2.0  1860.00  📈 多頭續攻   43.8%                            【營收爆發(74.74%)】
 00669R.TW                        國泰美國道瓊反1    2.0     5.76  📈 多頭續攻   40.0%                                      趨勢強勁
  3441.TWO                             聯一光    2.0    33.20  📈 多頭續攻   42.1%                            【營收爆發(36.12%)】
  5490.TWO                              同亨    2.0    26.45  📈 多頭續攻   45.0%                                      趨勢強勁
   6691.TW                            洋基工程    2.0   626.00  📈 多頭續攻   38.5%                            【營收爆發(80.45%)】
  6903.TWO                              巨漢    2.0   298.00  📈 多頭續攻   37.5%                           【營收爆發(586.45%)】
  6620.TWO                              漢達    2.0    77.90  📈 多頭續攻    0.0%                            【營收爆發(32.15%)】
  4903.TWO                             聯光通    2.0    42.90  📈 多頭續攻   50.0%                            【營收爆發(102.6%)】
   4949.TW                            有成精密    2.0    56.60  📈 多頭續攻   71.4%                                      趨勢強勁
   3013.TW                             晟銘電    2.0    94.00  📈 多頭續攻   33.3%                            【營收爆發(49.92%)】
  2061.TWO                              風青    2.0    17.90  📈 多頭續攻   25.0%                            【營收爆發(43.27%)】
   6598.TW                          ABC-KY    2.0    25.30  📈 多頭續攻   44.4%                            【營收爆發(87.92%)】
   1471.TW                              首利    2.0    12.15  📈 多頭續攻   20.0%                                      趨勢強勁
  00910.TW                         第一金太空衛星    2.0    56.00  📈 多頭續攻   45.5%                                      趨勢強勁
   5284.TW                          jpp-KY    2.0   275.50  📈 多頭續攻   45.0%                            【營收爆發(50.24%)】
   7740.TW                           熙特爾-創    2.0   202.00  📈 多頭續攻   85.7%                           【營收爆發(604.32%)】
   2387.TW                              精元    2.0    44.00  📈 多頭續攻   37.5%                                      趨勢強勁
  4127.TWO                              天良    2.0    37.00  📈 多頭續攻   40.0%                           【營收爆發(139.06%)】
   2609.TW                              陽明    2.0    60.90  📈 多頭續攻   33.3%                                      趨勢強勁
  3632.TWO                              研勤    2.0     9.83  📈 多頭續攻   45.0%                                      趨勢強勁
   4764.TW                              雙鍵    2.0   149.00  📈 多頭續攻   55.6%                                      趨勢強勁
   2495.TW                              普安    2.0    30.10  📈 多頭續攻   25.0%                            【營收爆發(37.67%)】
 00638R.TW                       元大滬深300反1    2.0     7.03  📈 多頭續攻   33.3%                                      趨勢強勁
  6217.TWO                             中探針    2.0   113.00  📈 多頭續攻   73.3%                            【營收爆發(42.94%)】
   9906.TW                             欣巴巴    2.0    41.60  📈 多頭續攻   33.3%                           【營收爆發(351.05%)】
  6423.TWO                             億而得    2.0    92.20  📈 多頭續攻   37.5%                                      趨勢強勁
   3167.TW                              大量    2.0   323.00  📈 多頭續攻   77.8%                           【營收爆發(123.02%)】
 00651R.TW                          復華香港反1    2.0     5.25  📈 多頭續攻   40.0%                                      趨勢強勁
   2616.TW                              山隆    2.0    19.40  📈 多頭續攻   50.0%                                      趨勢強勁
   7721.TW                             微程式    2.0    49.85  📈 多頭續攻    8.3%                                      趨勢強勁
   2449.TW                            京元電子    2.0   306.00  📈 多頭續攻   63.6%                            【營收爆發(41.05%)】
  3131.TWO                              弘塑    2.0  1960.00  📈 多頭續攻   25.0%                            【營收爆發(41.97%)】
  8047.TWO                              星雲    2.0    56.00  📈 多頭續攻   50.0%                                      趨勢強勁
   6112.TW                             邁達特    2.0    46.90  📈 多頭續攻   44.4%                                      趨勢強勁
   6426.TW                              統新    2.0   133.50  📈 多頭續攻   55.0%                           【營收爆發(100.66%)】
  3158.TWO                              嘉實    2.0    89.20  📈 多頭續攻   60.0%                                      趨勢強勁
   2382.TW                              廣達    2.0   289.00  📈 多頭續攻   42.9%                            【營收爆發(61.92%)】
  3211.TWO                              順達    2.0   313.00  📈 多頭續攻   14.3%                                      趨勢強勁
   2360.TW                              致茂    2.0  1495.00  📈 多頭續攻   63.2%                            【營收爆發(86.04%)】
   3596.TW                              智易    2.0   204.50  📈 多頭續攻   77.8%                                      趨勢強勁
   2615.TW                              萬海    2.0    79.80  📈 多頭續攻   14.3%                                      趨勢強勁
  2072.TWO                            世紀風電    2.0   251.50  📈 多頭續攻   40.0%                            【營收爆發(52.89%)】
  5274.TWO                              信驊    2.0 10055.00  📈 多頭續攻   33.3%                            【營收爆發(65.94%)】
   2548.TW                              華固    2.0   116.00  📈 多頭續攻   38.5%                         【營收爆發(19257.44%)】
00722B.TWO                        群益投資級電信債    2.0    36.93  📈 多頭續攻   37.5%                                      趨勢強勁
 00865B.TW                        國泰US短期公債    2.0    47.85  📈 多頭續攻   30.8%                            趨勢強勁 / 【無財報資料】
   1305.TW                              華夏    2.0    12.75  📈 多頭續攻   14.3%                                      趨勢強勁
   2383.TW                             台光電    2.0  2450.00  📈 多頭續攻   66.7%                            【營收爆發(45.01%)】
   3481.TW                              群創    2.0    30.30  📈 多頭續攻   44.4%                                      趨勢強勁
00719B.TWO                         元大美債1-3    2.0    31.27  📈 多頭續攻   27.3%                                      趨勢強勁
  4541.TWO                              晟田    2.0    41.05  📈 多頭續攻   47.4%                            【營收爆發(83.73%)】
  6739.TWO                            竹陞科技    2.0  1005.00  📈 多頭續攻   42.1%                            【營收爆發(90.86%)】
   2345.TW                              智邦    2.0  1485.00  📈 多頭續攻   41.2%                             【營收爆發(82.7%)】
   3533.TW                              嘉澤    2.0  1690.00  📈 多頭續攻   50.0%                            【營收爆發(31.46%)】
   1304.TW                              台聚    2.0    12.45  📈 多頭續攻   22.2%                                      趨勢強勁
