🚀 V3 Pro 掃描系統 (ATR+BIAS) | 模式: ALL | 日期: 20260415
-----------------------------------------------------------------------------------------------------------------------------
00631L.TW  | 元大台灣50正2   | 25.33    | ☁️ 觀望      |    32.1% |    2 |  50.0% | 動能不足
3081.TWO   | 聯亞         | 2315.00  | 💎 持股       |   64.18% |    3 | 66.67% | 趨勢維持
3092.TW    | 鴻碩         | 36.35    | 💎 持股       |   58.75% |    2 |  50.0% | 趨勢維持
3093.TWO   | 港建*        | 75.60    | 💎 持股       |   61.05% |    3 | 66.67% | 趨勢維持
3105.TWO   | 穩懋         | 446.50   | 💎 持股       |   56.28% |    3 | 66.67% | 趨勢維持
3135.TW    | 凌航         | 125.00   | 💎 持股       |   99.39% |    2 |  50.0% | 趨勢維持
3149.TW    | 正達         | 42.00    | ☁️ 觀望      |   37.56% |    1 | 100.0% | 動能不足
3163.TWO   | 波若威        | 1210.00  | 💎 持股       |   69.91% |    4 |  50.0% | 趨勢維持
3189.TW    | 景碩         | 383.50   | 💎 持股       |   47.94% |    2 |  50.0% | 趨勢維持
3229.TW    | 晟鈦         | 25.45    | 🔥 買入       |   66.56% |    1 | 100.0% | 趨勢突破
3234.TWO   | 光環         | 113.00   | 💎 持股       |   53.61% |    2 |  50.0% | 趨勢維持
3264.TWO   | 欣銓         | 187.00   | 💎 持股       |   47.14% |    1 | 100.0% | 趨勢維持
3444.TWO   | 利機         | 78.70    | 🔥 買入       |   39.59% |    1 | 100.0% | 趨勢突破
3491.TWO   | 昇達科        | 1740.00  | 💎 持股       |  152.85% |    1 | 100.0% | 趨勢維持
3623.TWO   | 富晶通        | 22.55    | ☁️ 觀望      |    36.5% |    1 | 100.0% | 動能不足
3653.TW    | 健策         | 4155.00  | 💎 持股       |   31.93% |    2 | 100.0% | 趨勢維持
3701.TW    | 大眾控        | 64.30    | 💎 持股       |   41.71% |    1 | 100.0% | 趨勢維持
3702.TW    | 大聯大        | 97.50    | 💎 持股       |   30.89% |    3 | 33.33% | 趨勢維持
4533.TWO   | 協易機        | 31.45    | ☁️ 觀望      |   50.35% |    2 |  50.0% | 動能不足
4542.TWO   | 科嶠         | 174.50   | ☁️ 觀望      |  140.35% |    1 | 100.0% | 動能不足
4577.TWO   | 達航科技       | 141.50   | 💎 持股       |   51.23% |    2 | 100.0% | 趨勢維持
4755.TW    | 三福化        | 152.00   | 💎 持股       |   40.34% |    2 | 100.0% | 趨勢維持
4764.TW    | 雙鍵         | 195.50   | 🔥 買入       |    38.2% |    2 | 100.0% | 趨勢突破
4768.TWO   | 晶呈科技       | 484.00   | 💎 持股       |   42.42% |    4 |  25.0% | 趨勢維持
4919.TW    | 新唐         | 107.00   | 💎 持股       |   32.49% |    2 | 100.0% | 趨勢維持
4927.TW    | 泰鼎-KY      | 47.75    | 💎 持股       |   34.69% |    2 |  50.0% | 趨勢維持
4960.TW    | 誠美材        | 28.05    | 💎 持股       |   56.25% |    2 |  50.0% | 趨勢維持
4967.TW    | 十銓         | 216.00   | ☁️ 觀望      |   40.21% |    3 | 33.33% | 動能不足
4971.TWO   | IET-KY     | 680.00   | 💎 持股       |   81.69% |    3 | 100.0% | 趨勢維持
4973.TWO   | 廣穎         | 77.10    | 💎 持股       |   72.69% |    2 | 100.0% | 趨勢維持
4977.TW    | 眾達-KY      | 195.00   | 💎 持股       |   38.65% |    1 | 100.0% | 趨勢維持
4979.TWO   | 華星光        | 533.00   | 🔥 買入       |   56.31% |    2 | 100.0% | 趨勢突破
4991.TWO   | 環宇-KY      | 606.00   | 💎 持股       |   65.26% |    2 | 100.0% | 趨勢維持
5274.TWO   | 信驊         | 13875.00 | 🔥 買入       |   42.43% |    2 | 100.0% | 趨勢突破
5289.TWO   | 宜鼎         | 1140.00  | 💎 持股       |   37.82% |    4 |  50.0% | 趨勢維持
5351.TWO   | 鈺創         | 67.90    | ☁️ 觀望      |   35.39% |    3 | 33.33% | 動能不足
5386.TWO   | 青雲         | 390.00   | 💎 持股       |   86.68% |    3 | 33.33% | 趨勢維持
5475.TWO   | 德宏         | 323.00   | 💎 持股       |   75.18% |    2 | 100.0% | 趨勢維持
5498.TWO   | 凱崴         | 63.00    | 💎 持股       |  128.61% |    2 |  50.0% | 趨勢維持
5521.TW    | 工信         | 12.30    | ☁️ 觀望      |   32.56% |    1 | 100.0% | 動能不足
5864.TWO   | 致和證        | 25.35    | 💎 持股       |   58.49% |    1 | 100.0% | 趨勢維持
6163.TWO   | 華電網        | 61.10    | 💎 持股       |   54.08% |    1 | 100.0% | 趨勢維持
6205.TW    | 詮欣         | 69.00    | 💎 持股       |    32.9% |    2 |  50.0% | 趨勢維持
6217.TWO   | 中探針        | 218.00   | 💎 持股       |   59.06% |    3 | 33.33% | 趨勢維持
6220.TWO   | 岳豐         | 35.65    | 💎 持股       |    52.0% |    2 | 100.0% | 趨勢維持
6239.TW    | 力成         | 210.00   | 💎 持股       |   51.37% |    1 | 100.0% | 趨勢維持
6244.TWO   | 茂迪         | 29.60    | 💎 持股       |   53.59% |    2 | 100.0% | 趨勢維持
6265.TWO   | 方土昶        | 39.95    | ☁️ 觀望      |  118.72% |    2 |  50.0% | 動能不足
6282.TW    | 康舒         | 51.00    | 💎 持股       |    37.6% |    1 | 100.0% | 趨勢維持
6285.TW    | 啟��        | 243.00   | ❄️ 賣出      |   93.08% |    2 | 100.0% | 觸發 Trailing
6426.TW    | 統新         | 197.50   | 💎 持股       |   33.15% |    2 |  50.0% | 趨勢維持
6431.TW    | 光麗-KY      | 21.30    | ☁️ 觀望      |   61.31% |    1 | 100.0% | 動能不足
6465.TWO   | 威潤         | 42.85    | ☁️ 觀望      |  102.56% |    2 |  50.0% | 動能不足
6510.TWO   | 精測         | 3605.00  | 💎 持股       |   78.15% |    2 | 100.0% | 趨勢維持
6515.TW    | 穎崴         | 9065.00  | 🔥 買入       |    81.3% |    3 | 66.67% | 趨勢突破
6568.TWO   | 宏觀         | 210.00   | ☁️ 觀望      |    47.9% |    2 | 100.0% | 動能不足
6574.TWO   | 霈方         | 98.80    | ☁️ 觀望      |   39.02% |    1 | 100.0% | 動能不足
6588.TWO   | 東典光電       | 146.00   | 💎 持股       |  112.87% |    2 | 100.0% | 趨勢維持
6603.TWO   | 富強鑫        | 22.95    | 💎 持股       |   47.76% |    1 | 100.0% | 趨勢維持
6624.TWO   | 萬年清        | 57.70    | ☁️ 觀望      |    66.9% |    1 | 100.0% | 動能不足
6640.TWO   | 均華         | 1730.00  | 💎 持股       |   57.12% |    3 | 66.67% | 趨勢維持
6683.TWO   | 雍智科技       | 1910.00  | 💎 持股       |   52.13% |    1 | 100.0% | 趨勢維持
6715.TW    | 嘉基         | 430.00   | 💎 持股       |  231.36% |    1 | 100.0% | 趨勢維持
6716.TWO   | 應廣         | 74.80    | 💎 持股       |   76.58% |    1 | 100.0% | 趨勢維持
6770.TW    | 力積電        | 53.20    | ☁️ 觀望      |   39.57% |    3 | 33.33% | 動能不足
6788.TWO   | 華景電        | 389.00   | 💎 持股       |   58.02% |    2 | 100.0% | 趨勢維持
6830.TW    | 汎銓         | 793.00   | 💎 持股       |   45.49% |    3 | 66.67% | 趨勢維持
6861.TW    | 睿生光電       | 151.50   | 💎 持股       |   69.32% |    2 |  50.0% | 趨勢維持
6894.TWO   | 衛司特        | 354.00   | 💎 持股       |   30.03% |    2 |  50.0% | 趨勢維持
6924.TW    | 榮惠-KY創     | 79.90    | 💎 持股       |   30.54% |    1 | 100.0% | 趨勢維持
6953.TWO   | 家碩         | 209.00   | ☁️ 觀望      |   30.15% |    1 | 100.0% | 動能不足
6980.TWO   | 鐳洋科技       | 183.00   | 🔥 買入       |    36.2% |    2 |  50.0% | 趨勢突破
6983.TWO   | 華洋精機       | 436.00   | ☁️ 觀望      |   55.47% |    3 | 66.67% | 動能不足
7610.TW    | 聯友金屬-創     | 655.00   | 💎 持股       |   39.07% |    2 | 100.0% | 趨勢維持
7709.TWO   | 榮田         | 79.10    | 💎 持股       |   67.79% |    2 | 100.0% | 趨勢維持
7728.TWO   | 光焱科技       | 841.00   | 💎 持股       |   61.49% |    2 | 100.0% | 趨勢維持
7734.TWO   | 印能科技       | 2430.00  | 💎 持股       |    43.4% |    2 |  50.0% | 趨勢維持
7750.TW    | 新代         | 1660.00  | 🔥 買入       |   34.39% |    3 | 66.67% | 趨勢突破
7751.TWO   | 竑騰         | 1965.00  | 💎 持股       |   43.57% |    2 | 100.0% | 趨勢維持
7781.TWO   | 昕力資*       | 32.10    | 💎 持股       |  268.87% |    2 | 100.0% | 趨勢維持
7792.TWO   | 安葆         | 362.50   | 🔥 買入       |   82.74% |    1 | 100.0% | 趨勢突破
8021.TW    | 尖點         | 340.00   | 💎 持股       |   60.15% |    1 | 100.0% | 趨勢維持
8046.TW    | 南電         | 656.00   | 💎 持股       |   71.32% |    1 | 100.0% | 趨勢維持
8074.TWO   | 鉅橡         | 68.70    | 💎 持股       |   83.27% |    2 | 100.0% | 趨勢維持
8080.TWO   | 泰霖         | 29.15    | ☁️ 觀望      |   37.35% |    1 | 100.0% | 動能不足
8088.TWO   | 品安         | 50.40    | ☁️ 觀望      |   55.23% |    1 | 100.0% | 動能不足
8150.TW    | 南茂         | 67.00    | 💎 持股       |   34.92% |    2 | 100.0% | 趨勢維持
8240.TWO   | 華宏         | 62.50    | 💎 持股       |   33.99% |    2 | 100.0% | 趨勢維持
8289.TWO   | 泰藝         | 42.95    | 🔥 買入       |   48.33% |    3 | 66.67% | 趨勢突破
8299.TWO   | 群聯         | 1630.00  | ☁️ 觀望      |    58.4% |    1 | 100.0% | 動能不足
8422.TW    | 可寧衛*       | 29.25    | ☁️ 觀望      |   42.31% |    1 | 100.0% | 動能不足
8438.TW    | 昶昕         | 88.10    | 💎 持股       |  113.67% |    1 | 100.0% | 趨勢維持

✅ HTML 報告已更新: report/20260415/all-trend-backtest-report.html
