eps,price,prev_year,est_price,expansion,eps_yoy,pe,name,gm,om,rev_yoy,date,advice,prev_eps,prev_eps_yoy,symbol,prev_rev_yoy,status
12.33,38.4000015259,2025,245.39999999999998,912.1999999999999,905.92,2.347188357328851,晟德,41.95%,-106.23%,-6.28,2025-12,💎 強力關注,3.52,810.64,4123.TWO,-4.5,🧐 疑業外收益
1.7,59.7000007629,2025,29.4,906.7,962.5,30.45918406270408,品安,N/A,N/A,55.8,2025-12,⚠️ 追價風險,0.28,133.73,8088.TWO,38.48,🚀 利潤擴張
2.35,133.5,2025,66.15,904.65,921.74,30.272108843537413,凌華,N/A,N/A,17.09,2025-12,⚠️ 追價風險,1.52,357.63,6166.TW,23.93,🚀 利潤擴張
1.01,22.6000003815,2025,43.349999999999994,844.03,876.92,7.82006933615917,樂事綠能,16.87%,7.13%,32.89,2025-12,💎 強力關注,0.97,977.78,1529.TW,34.59,🚀 利潤擴張
2.48,65.1999969482,2025,53.1,837.6899999999999,830.77,18.4180782339548,華東,N/A,N/A,-6.92,2025-12,⚪ 中性觀察,1.29,270.59,8110.TW,-8.99,🧐 疑業外收益
3.01,905.0,2025,67.65,816.1899999999999,840.63,200.66518847006648,南電,N/A,N/A,24.44,2025-12,⚠️ 追價風險,1.15,2775.0,8046.TW,18.82,🚀 利潤擴張
0.09,97.0,2025,0.0,787.43,800.0,0.0,合晶,N/A,N/A,12.57,2025-12,⚪ 數據不足,-0.05,-350.0,6182.TWO,11.35,🔄 轉虧為盈
6.28,17.9500007629,2025,22.650000000000006,722.0,721.43,11.887417723774831,泰豐,20.10%,-167.95%,-0.57,2025-12,💎 強力關注,-2.22,-258.33,2102.TW,1.98,🔄 轉虧為盈
0.68,0.0,2025,0.0,705.37,700.0,0.0,如興,19.96%,4.40%,-5.37,2025-12,⚪ 數據不足,0.02,107.14,4414.TW,-4.36,🧐 疑業外收益
0.32,57.2999992371,2025,3.75,689.09,700.0,229.1999969484,千如,26.03%,5.00%,10.91,2025-12,⚠️ 追價風險,0.12,250.0,3236.TWO,7.39,🚀 利潤擴張
1.58,10.5500001907,2025,7.200000000000003,688.58,685.19,21.979167063958325,中環,23.42%,-5.65%,-3.39,2025-12,⚪ 中性觀察,0.37,-2.63,2323.TW,-4.42,🧐 疑業外收益
0.53,16.7000007629,2025,-9.45,668.5600000000001,783.33,0.0,飛寶企業,24.00%,6.14%,114.77,2025-12,⚪ 數據不足,-0.26,-966.67,4413.TWO,140.24,🔄 轉虧為盈
0.38,12.8500003815,2025,7.2,656.01,660.0,26.770834128124996,欣厚-KY,27.32%,0.43%,3.99,2025-12,⚠️ 追價風險,0.28,460.0,4924.TWO,22.5,🚀 利潤擴張
0.36,19.4500007629,2025,17.099999999999998,603.24,620.0,17.061404177982457,歐格,17.03%,-11.28%,16.76,2025-12,⚪ 中性觀察,0.48,422.22,3002.TW,14.66,🚀 利潤擴張
0.88,168.0,2025,3.4499999999999997,567.37,576.92,730.4347826086957,華邦電,41.86%,15.37%,9.55,2025-12,⚠️ 追價風險,0.12,-57.14,2344.TW,-0.22,🚀 利潤擴張
1.96,68.5,2025,39.0,563.39,590.0,26.346153846153847,立萬利,62.07%,-188.65%,26.61,2025-12,⚠️ 追價風險,0.66,288.57,3054.TW,24.16,🏰 高護城河
5.29,0.0,2025,0.0,561.54,544.54,0.0,琉園,N/A,N/A,-17.0,2025-12,⚪ 數據不足,5.5,1270.21,9949.TWO,-19.03,🧐 疑業外收益
0.18,65.8000030518,2025,-13.950000000000003,549.9,550.0,0.0,康舒,N/A,N/A,0.1,2025-12,⚪ 數據不足,-0.38,-90.0,6282.TW,-4.33,🔄 轉虧為盈
1.43,25.6000003815,2025,2.5500000000000025,467.93,457.5,150.58823753823515,吉祥全,43.42%,-66.51%,-10.43,2025-12,⚠️ 追價風險,0.49,179.03,2491.TW,-12.66,🧐 疑業外收益
0.47,31.1000003815,2025,18.15,440.95000000000005,461.54,25.702479654132233,杭特,30.70%,-18.51%,20.59,2025-12,⚠️ 追價風險,0.54,2600.0,3297.TWO,18.74,🚀 利潤擴張
1.28,211.0,2025,-9.599999999999998,418.37000000000006,752.94,0.0,博士旺,18.45%,4.44%,334.57,2025-12,⚪ 數據不足,-0.58,7.84,3555.TWO,310.97,🔄 轉虧為盈
1.22,29.9500007629,2025,13.199999999999998,417.34999999999997,408.33,34.034091776022734,宏旭-KY,22.27%,15.14%,-9.02,2025-12,⚠️ 追價風險,-0.11,38.89,2243.TW,-10.45,🔄 轉虧為盈
8.13,786.0,2025,264.15000000000003,379.12,474.47,44.633730834752974,大量,42.12%,18.24%,95.35,2025-12,⚠️ 追價風險,5.45,790.16,3167.TW,119.15,🚀 利潤擴張
0.45,9.4200000763,2025,16.499999999999996,374.26,364.71,8.563636433000001,宏洲,2.52%,0.23%,-9.55,2025-12,💎 強力關注,0.43,326.32,1413.TW,-6.34,🧐 疑業外收益
1.22,320.0,2025,38.849999999999994,371.81,377.27,123.55212355212356,雙鍵,23.49%,7.74%,5.46,2025-12,⚠️ 追價風險,0.62,187.32,4764.TW,6.23,🚀 利潤擴張
1.69,29.25,2025,68.4,370.34000000000003,382.35,6.414473684210526,同亨,N/A,N/A,12.01,2025-12,💎 強力關注,1.26,916.67,5490.TWO,13.03,🚀 利潤擴張
0.55,16.6000003815,2025,42.0,364.75,358.33,5.9285715648214286,新天地,N/A,N/A,-6.42,2025-12,💎 強力關注,0.02,103.23,8940.TW,-10.3,🧐 疑業外收益
1.52,80.8000030518,2025,59.699999999999996,356.99,406.67,20.301508304472364,倚強科,69.49%,-15.39%,49.68,2025-12,⚪ 中性觀察,1.65,179.66,3219.TWO,43.11,🏰 高護城河
0.9,23.7999992371,2025,38.1,327.09,327.5,9.37007843980315,友達,10.73%,-2.70%,0.41,2025-12,💎 強力關注,0.52,185.25,2409.TW,-0.15,🚀 利潤擴張
7.73,91.8000030518,2025,321.90000000000003,316.98,346.24,4.277726144072694,冠星-KY,15.60%,0.97%,29.26,2025-12,💎 強力關注,7.71,114.76,4439.TW,30.37,🚀 利潤擴張
0.15,50.2000007629,2025,-2.7000000000000006,289.09,275.0,0.0,映泰,8.40%,-12.67%,-14.09,2025-12,⚪ 數據不足,-0.11,-222.22,2399.TW,-14.04,🔄 轉虧為盈
7.21,45.5,2025,359.25,281.70000000000005,275.85,1.8997912317327768,宏達電,34.44%,-79.17%,-5.85,2025-12,💎 強力關注,7.88,352.24,2498.TW,-0.73,🧐 疑業外收益
4.01,68.0,2025,194.10000000000002,281.08,271.37,5.255023183925811,美利達,N/A,N/A,-9.71,2025-12,💎 強力關注,4.81,-18.34,9914.TW,-8.55,🧐 疑業外收益
4.02,0.0,2025,0.0,275.27,288.24,0.0,浪凡,N/A,N/A,12.97,2025-12,⚪ 數據不足,3.02,410.34,6165.TW,12.63,🚀 利潤擴張
2.01,263.0,2025,65.55,273.68,294.12,60.183066361556065,大銀微系統,38.42%,13.23%,20.44,2025-12,⚠️ 追價風險,1.26,447.83,4576.TW,19.84,🚀 利潤擴張
0.25,47.0,2025,-8.100000000000001,255.45000000000002,241.18,0.0,冠西電,-4.21%,-53.06%,-14.27,2025-12,⚪ 數據不足,0.98,230.67,2466.TW,-6.66,🧐 疑業外收益
5.5,34.7999992371,2025,174.45,254.79,254.81,2.9922613273516774,華榮,9.17%,6.96%,0.02,2025-12,💎 強力關注,4.75,241.94,1608.TW,-0.36,🚀 利潤擴張
0.09,7.2800002098,2025,3.9000000000000004,250.24,250.0,28.000000806923076,中纖,41.46%,18.72%,-0.24,2025-12,⚠️ 追價風險,0.19,-11.76,1718.TW,4.96,🧐 疑業外收益
1.91,103.5,2025,68.25,241.22,240.74,22.747252747252748,有成精密,N/A,N/A,-0.48,2025-12,⚠️ 追價風險,1.48,180.87,4949.TW,-1.75,🧐 疑業外收益
1.74,20.0,2025,-2.4000000000000004,229.07999999999998,237.01,0.0,三地開發,29.82%,25.89%,7.93,2025-12,⚪ 數據不足,-0.9,10.89,1438.TW,-98.23,🔄 轉虧為盈
3.41,12.5,2025,22.050000000000004,227.67000000000002,207.21,8.503401360544217,怡華,46.73%,248.16%,-20.46,2025-12,💎 強力關注,-0.9,15.89,1456.TW,-26.31,🔄 轉虧為盈
1.74,68.0,2025,31.349999999999998,224.23000000000002,230.83,32.535885167464116,晶相光,31.94%,14.09%,6.6,2025-12,⚠️ 追價風險,0.47,-50.0,3530.TW,-5.41,🚀 利潤擴張
0.21,20.2000007629,2025,14.399999999999999,213.63,200.0,21.04166746135417,允強,5.45%,-1.87%,-13.63,2025-12,⚪ 中性觀察,0.33,94.12,2034.TW,-4.98,🧐 疑業外收益
1.72,20.0499992371,2025,83.1,204.79,203.51,3.619133436299639,松瑞藥,30.12%,9.56%,-1.28,2025-12,💎 強力關注,1.43,237.21,4167.TWO,-6.23,🧐 疑業外收益
2.51,36.7000007629,2025,66.44999999999999,203.79,216.0,8.284424551444696,皇將,42.43%,14.38%,12.21,2025-12,💎 強力關注,1.0,400.0,4744.TWO,14.04,🚀 利潤擴張
1.58,147.0,2025,31.349999999999998,201.66000000000003,222.58,70.33492822966508,GOGOLOOK,N/A,N/A,20.92,2025-12,⚠️ 追價風險,0.23,119.47,6902.TW,20.7,🚀 利潤擴張
13.38,166.0,2025,468.90000000000003,200.22,212.47,5.310300703774792,楠梓電,5.71%,-7.46%,12.25,2025-12,💎 強力關注,10.81,260.07,2316.TW,8.72,🚀 利潤擴張
0.7,35.5,2025,20.249999999999996,199.70999999999998,229.63,26.296296296296298,金穎生技,31.84%,10.64%,29.92,2025-12,⚠️ 追價風險,0.31,150.0,1796.TWO,36.52,🚀 利潤擴張
1.58,65.4000015259,2025,51.15,197.42,205.88,19.17888607797654,東研信超,N/A,N/A,8.46,2025-12,⚪ 中性觀察,1.18,76.12,6840.TWO,5.51,🚀 利潤擴張
0.51,24.7000007629,2025,7.2,197.22,189.47,51.45833492270833,雲嘉南,29.43%,-10.81%,-7.75,2025-12,⚠️ 追價風險,0.55,219.57,3191.TWO,-1.51,🧐 疑業外收益
2.01,68.4000015259,2025,60.59999999999999,193.66,195.71,16.930693447004952,益登,3.50%,1.71%,2.05,2025-12,⚪ 中性觀察,1.14,153.27,3048.TW,5.31,🚀 利潤擴張
0.76,58.0999984741,2025,34.199999999999996,191.41,213.64,25.482455471096493,盛群,N/A,N/A,22.23,2025-12,⚠️ 追價風險,0.62,191.04,6202.TW,31.27,🚀 利潤擴張
0.41,53.2000007629,2025,-9.6,189.66,193.18,0.0,環科,17.05%,3.38%,3.52,2025-12,⚪ 數據不足,-0.25,62.12,2413.TW,8.02,🔄 轉虧為盈
0.04,21.0,2025,0.30000000000000027,187.65,100.65,1049.999999999999,川飛,5.36%,-14.33%,-87.0,2025-12,⚠️ 追價風險,0.1,-70.59,1516.TW,-90.58,🧐 疑業外收益
1.82,47.0499992371,2025,56.25,184.49,203.33,12.546666463226668,邁達特,N/A,N/A,18.84,2025-12,✅ 穩健價值,1.2,-3.23,6112.TW,20.56,🚀 利潤擴張
1.14,15.3500003815,2025,11.099999999999998,179.8,186.36,20.743243758783787,臺龍,N/A,N/A,6.56,2025-12,⚪ 中性觀察,-0.04,97.79,6246.TWO,11.15,🔄 轉虧為盈
3.67,0.0,2025,0.0,177.61,180.15,0.0,台耀,41.59%,21.37%,2.54,2025-12,⚪ 數據不足,2.44,39.43,4746.TW,4.96,🚀 利潤擴張
6.42,29.5,2025,163.5,177.55,248.27,2.706422018348624,三一東林,8.05%,-11.23%,70.72,2025-12,💎 強力關注,7.31,314.37,3609.TWO,27.17,🚀 利潤擴張
1.23,15.75,2025,20.7,176.83,163.4,11.413043478260871,虹揚-KY,N/A,N/A,-13.43,2025-12,💎 強力關注,1.61,228.8,6573.TW,-11.95,🧐 疑業外收益
6.58,243.5,2025,213.00000000000003,174.75,198.64,17.14788732394366,力智,N/A,N/A,23.89,2025-12,⚪ 中性觀察,4.25,89.73,6719.TW,22.77,🚀 利潤擴張
0.47,74.0,2025,29.999999999999996,174.57,173.44,37.00000000000001,九豪,N/A,N/A,-1.13,2025-12,⚠️ 追價風險,0.91,275.0,6127.TWO,-0.97,🧐 疑業外收益
0.92,39.9500007629,2025,24.750000000000004,174.34,170.59,24.212121674484845,旭然,42.07%,14.30%,-3.75,2025-12,⚠️ 追價風險,0.49,172.22,4556.TWO,-8.55,🧐 疑業外收益
0.53,13.8500003815,2025,13.5,173.32999999999998,178.95,15.388889312777776,亞都,N/A,N/A,5.62,2025-12,✅ 穩健價值,0.09,175.0,5703.TWO,4.04,🚀 利潤擴張
0.92,84.5,2025,22.800000000000004,172.01999999999998,222.67,55.59210526315788,今國光,N/A,N/A,50.65,2025-12,⚠️ 追價風險,0.49,190.57,6209.TW,39.08,🚀 利潤擴張
0.89,56.4000015259,2025,33.150000000000006,171.64000000000001,183.87,25.520362681402712,長佳智能,N/A,N/A,12.23,2025-12,⚠️ 追價風險,0.81,1700.0,6841.TWO,2.1,🚀 利潤擴張
5.45,0.0,2025,0.0,166.18,194.08,0.0,聯友金屬-創,N/A,N/A,27.9,2025-12,⚪ 數據不足,1.75,3.33,7610.TW,-4.54,🚀 利潤擴張
0.37,30.6499996185,2025,10.35,164.99,188.1,44.42028930217392,吉茂,18.05%,2.96%,23.11,2025-12,⚠️ 追價風險,0.24,155.81,1587.TW,19.92,🚀 利潤擴張
0.22,266.5,2025,4.65,164.91,175.0,859.6774193548387,一詮,15.86%,1.35%,10.09,2025-12,⚠️ 追價風險,0.16,300.0,2486.TW,13.26,🚀 利潤擴張
6.34,0.0,2025,0.0,164.37,328.87,0.0,富威電力,N/A,N/A,164.5,2025-12,⚪ 數據不足,1.13,47.95,6994.TW,21.0,🚀 利潤擴張
18.83,97.3000030518,2025,693.9,164.31,242.99,2.103329075914397,寬宏藝術,N/A,N/A,78.68,2025-12,💎 強力關注,17.41,241.37,6596.TWO,97.52,🚀 利潤擴張
0.68,56.0,2025,-11.25,160.96,223.81,0.0,方土昶,N/A,N/A,62.85,2025-12,⚪ 數據不足,-0.24,-271.43,6265.TWO,25.19,🔄 轉虧為盈
13.74,380.0,2025,435.15,160.61999999999998,291.45,13.098931402964496,高技,N/A,N/A,130.83,2025-12,✅ 穩健價值,9.52,280.8,5439.TWO,130.37,🚀 利潤擴張
-0.09,21.7000007629,2025,-4.95,159.73000000000002,89.89,0.0,森寶,10.14%,3.61%,-69.84,2025-12,⚪ 數據不足,-0.13,23.53,3489.TWO,-54.34,🧐 疑業外收益
1.81,42.7999992371,2025,106.8,157.18,150.56,6.011235847907304,東台,7.66%,-21.47%,-6.62,2025-12,💎 強力關注,2.61,271.05,4526.TW,-1.22,🧐 疑業外收益
1.86,26.5,2025,91.05,153.81,173.02,4.365733113673806,新鉅科,4.18%,-22.27%,19.21,2025-12,💎 強力關注,2.19,219.44,3630.TWO,18.28,🚀 利潤擴張
1.57,44.2999992371,2025,189.75000000000003,152.56,137.2,3.5019762242766794,安格,N/A,N/A,-15.36,2025-12,💎 強力關注,3.24,203.85,6684.TWO,-15.66,🧐 疑業外收益
-0.55,25.1499996185,2025,-13.5,152.03,58.65,0.0,台新藥,N/A,N/A,-93.38,2025-12,⚪ 數據不足,-0.24,77.78,6838.TW,-95.44,🧐 疑業外收益
0.06,9.0600004196,2025,-5.8500000000000005,147.76,220.0,0.0,太景*-KY,98.33%,81.17%,72.24,2025-12,⚪ 數據不足,-0.22,-1000.0,4157.TWO,-79.84,🔄 轉虧為盈
0.13,17.75,2025,2.4,145.65,141.94,110.9375,海灣,43.11%,22.84%,-3.71,2025-12,⚠️ 追價風險,-0.1,54.55,3252.TWO,-4.86,🔄 轉虧為盈
1.7,86.0999984741,2025,67.05000000000001,143.77999999999997,209.26,19.261744625078297,精確,11.59%,1.68%,65.48,2025-12,⚪ 中性觀察,1.25,292.31,3162.TWO,89.71,🚀 利潤擴張
2.71,89.5,2025,107.1,142.39000000000001,133.62,12.53501400560224,TPK-KY,5.83%,-0.68%,-8.77,2025-12,✅ 穩健價值,2.56,55.15,3673.TW,-8.66,🧐 疑業外收益
0.08,20.0,2025,4.050000000000001,140.19,119.51,74.07407407407408,中湛,N/A,N/A,-20.68,2025-12,⚠️ 追價風險,0.05,111.11,6236.TWO,-18.24,🧐 疑業外收益
0.25,41.0999984741,2025,6.449999999999999,138.32,180.65,95.58139180023257,天擎,N/A,N/A,42.33,2025-12,⚠️ 追價風險,0.05,119.23,6708.TWO,48.16,🚀 利潤擴張
0.17,24.7000007629,2025,9.450000000000005,137.15,104.91,39.206350417301564,立凱-KY,N/A,N/A,-32.24,2025-12,⚠️ 追價風險,2.99,199.67,5227.TWO,-19.06,🧐 疑業外收益
0.71,115.5,2025,18.9,135.37,152.21,91.66666666666667,點序,N/A,N/A,16.84,2025-12,⚠️ 追價風險,-0.32,70.64,6485.TWO,14.7,🔄 轉虧為盈
2.13,381.5,2025,-28.5,134.79,229.88,0.0,南亞科,49.05%,39.15%,95.09,2025-12,⚪ 數據不足,-1.45,-28.32,2408.TW,32.43,🔄 轉虧為盈
7.11,86.6999969482,2025,205.50000000000003,133.87,178.19,6.328466930525547,鑫聯大投控,8.09%,5.14%,44.32,2025-12,💎 強力關注,3.61,167.46,3709.TWO,55.41,🚀 利潤擴張
-1.11,32.5999984741,2025,-57.45,131.46,58.98,0.0,德晉,-8.98%,-223.66%,-72.48,2025-12,⚪ 數據不足,-0.81,65.77,3466.TWO,-68.41,🧐 疑業外收益
3.44,2685.0,2025,183.0,130.47000000000003,645.65,220.08196721311478,聯亞,54.76%,41.27%,515.18,2026-03,⚠️ 追價風險,4.66,884.75,3081.TWO,82.29,🏰 高護城河
-0.95,17.2999992371,2025,-35.85,129.82,54.11,0.0,太極,-156.07%,-456.27%,-75.71,2025-12,⚪ 數據不足,-0.67,16.25,4934.TW,-81.44,🧐 疑業外收益
3.56,48.5499992371,2025,130.35,127.97999999999999,108.46,5.586881385166859,榮運,18.52%,6.32%,-19.52,2025-12,💎 強力關注,2.72,139.38,2607.TW,-19.69,🧐 疑業外收益
8.61,581.0,2025,229.49999999999997,126.62,159.21,37.97385620915033,青雲,N/A,N/A,32.59,2025-12,⚠️ 追價風險,3.03,103.38,5386.TWO,12.38,🚀 利潤擴張
3.76,37.6500015259,2025,66.44999999999999,126.13000000000001,161.27,8.498871676275396,美好證,N/A,N/A,35.14,2025-12,💎 強力關注,2.46,128.3,6021.TWO,13.11,🚀 利潤擴張
0.74,0.0,2025,0.0,126.13,155.22,0.0,曜越,27.46%,-3.44%,29.09,2025-12,⚪ 數據不足,0.47,147.47,3540.TWO,30.74,🚀 利潤擴張
2.55,55.4000015259,2025,105.44999999999999,125.85999999999999,177.17,7.880512308093884,山林水,N/A,N/A,51.31,2025-12,💎 強力關注,2.05,130.34,8473.TW,62.88,🚀 利潤擴張
4.0,530.0,2025,69.75,125.67999999999999,120.99,113.9784946236559,穩懋,31.80%,13.87%,-4.69,2025-12,⚠️ 追價風險,1.57,-40.53,3105.TWO,-13.87,🧐 疑業外收益
0.92,28.2999992371,2025,43.650000000000006,122.4,142.59,9.725085648487973,安鈦克,N/A,N/A,20.19,2025-12,💎 強力關注,0.66,128.33,6276.TWO,28.81,🚀 利潤擴張
0.19,6.8000001907,2025,3.75,119.85,127.94,27.2000007628,瑞利,28.43%,-3.62%,8.09,2025-12,⚠️ 追價風險,0.04,111.76,1512.TW,2.64,🚀 利潤擴張
1.86,27.8500003815,2025,67.5,117.96000000000001,177.61,6.188888973666667,綠意,32.97%,26.41%,59.65,2025-12,💎 強力關注,1.04,425.0,2596.TWO,217.33,🚀 利潤擴張
0.12,28.1499996185,2025,10.350000000000001,116.91,139.29,40.79710089637681,泰霖,N/A,N/A,22.38,2025-12,⚠️ 追價風險,0.2,190.91,8080.TWO,34.06,🚀 利潤擴張
0.19,57.0999984741,2025,0.6000000000000001,114.62,122.09,1427.4999618524996,氣立,31.93%,2.93%,7.47,2025-12,⚠️ 追價風險,-0.02,97.22,4555.TW,8.77,🔄 轉虧為盈
-0.23,20.3999996185,2025,-7.5,113.42999999999999,23.33,0.0,瑞築,N/A,N/A,-90.1,2025-12,⚪ 數據不足,-0.12,55.56,6198.TWO,-92.7,🧐 疑業外收益
0.88,9.7700004578,2025,5.250000000000002,113.31,51.72,27.914287022285702,中美實,35.38%,-88.29%,-61.59,2025-12,⚠️ 追價風險,0.23,-14.81,4702.TWO,-60.26,🧐 疑業外收益
23.18,427.0,2025,592.05,112.57,144.7,10.8183430453509,威剛,48.37%,35.36%,32.13,2025-12,💎 強力關注,10.08,19.56,3260.TWO,22.8,🚀 利潤擴張
-0.18,11.8999996185,2025,-17.700000000000003,109.96,87.32,0.0,千興,-19.82%,14.50%,-22.64,2025-12,⚪ 數據不足,-0.41,28.07,2025.TW,-15.81,🧐 疑業外收益
0.02,41.7999992371,2025,-4.95,109.10000000000001,102.7,0.0,大拓-KY,N/A,N/A,-6.4,2025-12,⚪ 數據不足,0.02,104.35,8455.TWO,-7.04,🧐 疑業外收益
0.54,28.8500003815,2025,-5.399999999999999,108.56,134.62,0.0,佳龍,N/A,N/A,26.06,2025-12,⚪ 數據不足,-0.37,50.67,9955.TW,17.8,🔄 轉虧為盈
13.06,289.0,2025,279.75000000000006,107.85000000000001,110.31,15.49597855227882,十銓,N/A,N/A,2.46,2025-12,✅ 穩健價值,3.47,-46.86,4967.TW,-15.55,🚀 利潤擴張
-0.92,19.3500003815,2025,-38.4,106.5,53.77,0.0,創業家,N/A,N/A,-52.73,2025-12,⚪ 數據不足,-0.62,80.0,8477.TWO,-51.54,🧐 疑業外收益
2.83,22.9500007629,2025,94.35,106.29,108.09,3.648648769936407,國建,26.51%,17.13%,1.8,2025-12,💎 強力關注,1.91,127.38,2501.TW,7.39,🚀 利潤擴張
0.86,48.4500007629,2025,-14.549999999999999,104.65,168.25,0.0,威潤,N/A,N/A,63.6,2025-12,⚪ 數據不足,-0.75,29.25,6465.TWO,5.09,🔄 轉虧為盈
6.33,250.5,2025,131.09999999999997,103.75999999999999,143.64,28.661327231121287,凌航,19.12%,16.62%,39.88,2025-12,⚠️ 追價風險,1.5,-29.03,3135.TW,34.74,🚀 利潤擴張
2.63,69.0999984741,2025,79.8,102.95,164.15,12.988721517687972,撼訊,N/A,N/A,61.2,2025-12,✅ 穩健價值,1.55,156.36,6150.TWO,77.79,🚀 利潤擴張
0.43,88.5,2025,19.2,101.99,107.41,69.140625,麗臺,10.44%,2.26%,5.42,2025-12,⚠️ 追價風險,0.09,102.43,2465.TW,32.51,🚀 利潤擴張
0.54,34.9000015259,2025,19.05,98.16,100.0,27.480316162125984,誠品生活,40.82%,-1.48%,1.84,2025-12,⚠️ 追價風險,0.34,241.67,2926.TWO,2.58,🚀 利潤擴張
2.32,21.9500007629,2025,65.7,97.42,118.87,5.011415699292238,錩泰,19.55%,7.07%,21.45,2025-12,💎 強力關注,1.32,41.94,1541.TW,28.08,🚀 利潤擴張
0.72,5.3299999237,2025,29.099999999999998,96.7,110.31,2.7474226410824745,虹光,24.41%,0.24%,13.61,2025-12,💎 強力關注,0.47,133.57,2380.TW,9.38,🚀 利潤擴張
1.65,789.0,2025,-7.0500000000000025,96.47999999999999,146.97,0.0,IET-KY,N/A,N/A,50.49,2025-12,⚪ 數據不足,0.09,103.17,4971.TWO,54.63,🚀 利潤擴張
0.16,10.1999998093,2025,-7.35,96.02000000000001,104.43,0.0,雙喜,N/A,N/A,8.41,2025-12,⚪ 數據不足,0.34,116.43,5516.TWO,7.31,🚀 利潤擴張
0.16,809.0,2025,10.65,95.32,134.04,1139.4366197183097,上詮,12.43%,-9.15%,38.72,2025-12,⚠️ 追價風險,0.37,317.65,3363.TWO,49.52,🚀 利潤擴張
16.13,1255.0,2025,520.3499999999999,95.30000000000001,191.99,36.17757278754684,竹陞科技,N/A,N/A,96.69,2025-12,⚠️ 追價風險,10.13,167.2,6739.TWO,94.38,🚀 利潤擴張
0.1,73.3000030518,2025,4.65,94.49000000000001,118.18,236.45162274774196,廣運,N/A,N/A,23.69,2025-12,⚠️ 追價風險,0.13,123.21,6125.TWO,15.42,🚀 利潤擴張
4.67,76.4000015259,2025,159.3,94.30000000000001,100.43,7.193973778333333,歐買尬,39.69%,12.64%,6.13,2025-12,💎 強力關注,4.47,151.12,3687.TWO,5.19,🚀 利潤擴張
0.04,11.1499996185,2025,-2.1,92.73,100.0,0.0,大將,912.85%,-2853.40%,7.27,2025-12,⚪ 數據不足,0.05,-58.33,1453.TW,4.56,🏰 高護城河
