股號,名稱,收盤價,隔日勝率%,累積獲利%,交易次數,目前ATR,目前狀態,專家分析原因
1802.TW,台玻,70.90,33.33,-6.04,5,5.27,持股中,📈 趨勢續強。目前防禦位設於 48.44，與現價緩衝空間為 31.7%。
9938.TW,百和,44.75,0.00,-10.22,4,0.73,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 46.40，建議耐心等待突破。
4442.TWO,竣邦-KY,56.60,33.33,-1.61,6,1.13,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 56.70，建議耐心等待突破。
00635U.TW,期元大S&P黃金,50.00,50.00,-6.53,7,0.81,建議買入,🚀 今日收盤 50.00 突破關鍵高點 48.80，啟動波段漲勢。
2408.TW,南亞科,219.00,50.00,-20.74,3,14.18,持股中,📈 趨勢續強。目前防禦位設於 183.79，與現價緩衝空間為 16.1%。
2504.TW,國產,36.55,33.33,-2.64,17,0.55,建議買入,🚀 今日收盤 36.55 突破關鍵高點 35.30，啟動波段漲勢。
5546.TW,永固-KY,16.90,50.00,-5.84,3,0.64,持股中,📈 趨勢續強。目前防禦位設於 14.89，與現價緩衝空間為 11.9%。
3086.TWO,華義,43.20,50.00,-16.36,3,1.42,持股中,📈 趨勢續強。目前防禦位設於 32.50，與現價緩衝空間為 24.8%。
2395.TW,研華,361.00,100.00,1.08,1,12.36,持股中,📈 趨勢續強。目前防禦位設於 322.93，與現價緩衝空間為 10.5%。
3050.TW,鈺德,13.15,42.86,-23.64,13,0.32,持股中,📈 趨勢續強。目前防禦位設於 12.55，與現價緩衝空間為 4.6%。
00984B.TWO,大華優利美A債15,16.48,40.00,-3.74,9,0.10,建議買入,🚀 今日收盤 16.48 突破關鍵高點 16.32，啟動波段漲勢。
6591.TW,動力-KY,59.50,0.00,0.41,1,1.51,持股中,📈 趨勢續強。目前防禦位設於 55.81，與現價緩衝空間為 6.2%。
6176.TW,瑞儀,99.60,0.00,-12.77,3,2.66,建議買入,🚀 今日收盤 99.60 突破關鍵高點 92.50，啟動波段漲勢。
6811.TWO,宏�硌穈T,198.00,0.00,0.93,1,3.96,持股中,📈 趨勢續強。目前防禦位設於 178.18，與現價緩衝空間為 10.0%。
9949.TWO,琉園,34.85,100.00,36.56,1,1.61,持股中,📈 趨勢續強。目前防禦位設於 32.10，與現價緩衝空間為 7.9%。
4510.TWO,高鋒,47.00,60.00,-16.54,40,2.11,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 40.90，建議耐心等待突破。
6194.TWO,育富,33.10,0.00,-3.01,3,0.35,持股中,📈 趨勢續強。目前防禦位設於 32.95，與現價緩衝空間為 0.5%。
6124.TWO,業強,32.30,75.00,0.39,7,1.68,持股中,📈 趨勢續強。目前防禦位設於 29.75，與現價緩衝空間為 7.9%。
00757.TW,統一FANG+,117.85,25.00,2.52,7,2.02,持股中,📈 趨勢續強。目前防禦位設於 108.77，與現價緩衝空間為 7.7%。
2101.TW,南港,34.95,33.33,-13.09,11,1.31,建議買入,🚀 今日收盤 34.95 突破關鍵高點 33.18，啟動波段漲勢。
00945B.TW,凱基美國非投等債,14.43,0.00,-4.22,9,0.04,建議買入,🚀 今日收盤 14.43 突破關鍵高點 14.38，啟動波段漲勢。
4556.TWO,旭然,34.15,50.00,8.34,3,1.49,持股中,📈 趨勢續強。目前防禦位設於 26.10，與現價緩衝空間為 23.6%。
1612.TW,宏泰,35.65,0.00,-7.24,3,0.54,持股中,📈 趨勢續強。目前防禦位設於 34.23，與現價緩衝空間為 4.0%。
6624.TWO,萬年清,53.00,33.33,-18.27,6,1.90,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 59.50，建議耐心等待突破。
3081.TWO,聯亞,3005.00,0.00,0.00,0,191.07,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
00685L.TW,群益臺灣加權正2,211.95,0.00,2.35,3,7.54,持股中,📈 趨勢續強。目前防禦位設於 165.65，與現價緩衝空間為 21.8%。
6446.TW,藥華藥,647.00,47.06,15.60,34,20.07,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 504.00，建議耐心等待突破。
009813.TW,貝萊德標普卓越50,10.63,0.00,-0.55,3,0.12,持股中,📈 趨勢續強。目前防禦位設於 9.75，與現價緩衝空間為 8.3%。
6485.TWO,點序,83.50,50.00,-4.46,3,3.35,持股中,📈 趨勢續強。目前防禦位設於 73.04，與現價緩衝空間為 12.5%。
5403.TWO,中菲,93.60,0.00,-2.83,2,1.58,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 99.90，建議耐心等待突破。
00981D.TWO,主動中信非投等債,10.34,100.00,-0.02,2,0.03,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 10.28，建議耐心等待突破。
5455.TWO,昇益,26.40,0.00,9.57,1,0.43,持股中,📈 趨勢續強。目前防禦位設於 22.87，與現價緩衝空間為 13.4%。
2374.TW,佳能,76.00,0.00,4.92,1,2.34,持股中,📈 趨勢續強。目前防禦位設於 66.06，與現價緩衝空間為 13.1%。
6113.TWO,亞矽,23.70,0.00,-1.96,3,1.31,持股中,📈 趨勢續強。目前防禦位設於 18.11，與現價緩衝空間為 23.6%。
1443.TW,立益物流,23.70,33.33,-9.02,5,0.78,持股中,📈 趨勢續強。目前防禦位設於 21.82，與現價緩衝空間為 7.9%。
2025.TW,千興,11.85,50.00,-2.88,3,0.44,持股中,📈 趨勢續強。目前防禦位設於 11.25，與現價緩衝空間為 5.1%。
6141.TW,柏承,33.05,50.00,184.79,3,2.28,持股中,📈 趨勢續強。目前防禦位設於 19.80，與現價緩衝空間為 40.1%。
5243.TW,乙盛-KY,120.00,33.33,49.94,5,8.21,建議買入,🚀 今日收盤 120.00 突破關鍵高點 74.00，啟動波段漲勢。
2303.TW,聯電,78.60,33.33,13.28,5,4.23,持股中,📈 趨勢續強。目前防禦位設於 54.08，與現價緩衝空間為 31.2%。
3372.TWO,典範,20.00,50.00,-13.52,7,0.76,持股中,📈 趨勢續強。目前防禦位設於 20.00，與現價緩衝空間為 0.0%。
4968.TW,立積,130.00,0.00,-8.15,5,4.89,持股中,📈 趨勢續強。目前防禦位設於 100.11，與現價緩衝空間為 23.0%。
6158.TWO,禾昌,20.05,50.00,4.38,3,0.47,持股中,📈 趨勢續強。目前防禦位設於 18.10，與現價緩衝空間為 9.7%。
8433.TWO,弘帆,57.50,33.33,2.26,5,1.41,持股中,📈 趨勢續強。目前防禦位設於 57.38，與現價緩衝空間為 0.2%。
00991A.TW,主動復華未來50,15.75,0.00,12.71,1,0.47,持股中,📈 趨勢續強。目前防禦位設於 12.65，與現價緩衝空間為 19.7%。
2417.TW,圓剛,42.55,50.00,1.28,3,1.65,持股中,📈 趨勢續強。目前防禦位設於 41.60，與現價緩衝空間為 2.2%。
2402.TW,毅嘉,76.90,33.33,24.32,5,5.20,持股中,📈 趨勢續強。目前防禦位設於 51.10，與現價緩衝空間為 33.6%。
2351.TW,順德,166.00,75.00,83.55,23,9.48,持股中,📈 趨勢續強。目前防禦位設於 99.00，與現價緩衝空間為 40.4%。
2420.TW,新巨,55.80,60.00,1.37,9,1.00,持股中,📈 趨勢續強。目前防禦位設於 51.30，與現價緩衝空間為 8.1%。
911622.TW,泰聚亨-DR,3.66,60.00,-9.57,10,0.12,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 4.00，建議耐心等待突破。
7743.TWO,金利食安,20.20,100.00,-0.84,1,0.22,持股中,📈 趨勢續強。目前防禦位設於 19.62，與現價緩衝空間為 2.9%。
3499.TWO,環天科,16.70,0.00,-9.05,2,0.56,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 18.90，建議耐心等待突破。
6223.TWO,旺矽,4825.00,0.00,0.00,0,301.79,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
6261.TWO,久元,91.80,100.00,33.60,1,5.06,持股中,📈 趨勢續強。目前防禦位設於 78.00，與現價緩衝空間為 15.0%。
7583.TWO,國際海洋,69.40,50.00,-20.29,11,1.90,持股中,📈 趨勢續強。目前防禦位設於 68.00，與現價緩衝空間為 2.0%。
6658.TW,聯策,91.40,100.00,51.80,3,4.68,持股中,📈 趨勢續強。目前防禦位設於 79.80，與現價緩衝空間為 12.7%。
2497.TW,怡利電,61.10,0.00,40.75,1,2.85,持股中,📈 趨勢續強。目前防禦位設於 52.50，與現價緩衝空間為 14.1%。
2059.TW,川湖,3935.00,50.00,16.09,15,178.57,持股中,📈 趨勢續強。目前防禦位設於 3515.00，與現價緩衝空間為 10.7%。
3434.TWO,哲固,32.15,20.00,-2.56,9,1.00,持股中,📈 趨勢續強。目前防禦位設於 27.46，與現價緩衝空間為 14.6%。
6913.TWO,鴻呈,129.50,100.00,5.08,1,5.50,持股中,📈 趨勢續強。目前防禦位設於 125.50，與現價緩衝空間為 3.1%。
00749B.TWO,凱基新興債10+,31.79,0.00,-4.91,9,0.12,持股中,📈 趨勢續強。目前防禦位設於 31.68，與現價緩衝空間為 0.3%。
3030.TW,德律,358.00,50.00,88.15,3,20.14,持股中,📈 趨勢續強。目前防禦位設於 246.00，與現價緩衝空間為 31.3%。
1786.TW,科妍,64.10,33.33,-9.33,5,1.89,持股中,📈 趨勢續強。目前防禦位設於 59.04，與現價緩衝空間為 7.9%。
9802.TW,鈺齊-KY,77.20,33.33,-14.76,5,2.21,持股中,📈 趨勢續強。目前防禦位設於 72.84，與現價緩衝空間為 5.7%。
3219.TWO,倚強科,70.60,33.33,-20.95,5,3.18,持股中,📈 趨勢續強。目前防禦位設於 58.31，與現價緩衝空間為 17.4%。
00918.TW,大華優利高填息30,23.83,50.00,-5.80,7,0.27,持股中,📈 趨勢續強。目前防禦位設於 21.61，與現價緩衝空間為 9.3%。
3022.TW,威強電,71.90,57.14,10.36,13,1.80,持股中,📈 趨勢續強。目前防禦位設於 61.80，與現價緩衝空間為 14.0%。
5906.TW,台南-KY,49.65,33.33,-7.47,5,0.75,持股中,📈 趨勢續強。目前防禦位設於 46.48，與現價緩衝空間為 6.4%。
4167.TWO,松瑞藥,19.55,60.00,-2.42,10,0.40,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 19.75，建議耐心等待突破。
00641R.TW,富邦日本反1,4.04,0.00,-11.55,9,0.06,建議買入,🚀 今日收盤 4.04 突破關鍵高點 4.03，啟動波段漲勢。
00912.TW,中信臺灣智慧50,27.56,100.00,9.23,1,0.51,持股中,📈 趨勢續強。目前防禦位設於 23.85，與現價緩衝空間為 13.4%。
2743.TWO,山富,71.50,0.00,-10.38,2,2.27,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 75.00，建議耐心等待突破。
6617.TWO,共信-KY,60.20,50.00,-23.00,4,2.19,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 67.60，建議耐心等待突破。
2412.TW,中華電,136.50,100.00,-1.19,3,1.36,持股中,📈 趨勢續強。目前防禦位設於 131.96，與現價緩衝空間為 3.3%。
8354.TWO,冠好,19.00,33.33,9.51,5,0.58,持股中,📈 趨勢續強。目前防禦位設於 14.78，與現價緩衝空間為 22.2%。
2428.TW,興勤,184.50,100.00,7.34,3,7.00,持股中,📈 趨勢續強。目前防禦位設於 183.00，與現價緩衝空間為 0.8%。
4536.TW,拓凱,155.50,25.00,-3.68,7,2.50,持股中,📈 趨勢續強。目前防禦位設於 144.54，與現價緩衝空間為 7.1%。
2901.TW,欣欣,23.25,0.00,-5.58,4,0.46,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 23.85，建議耐心等待突破。
4554.TWO,橙的,30.20,75.00,-2.28,7,0.54,持股中,📈 趨勢續強。目前防禦位設於 28.75，與現價緩衝空間為 4.8%。
6173.TWO,信昌電,88.50,100.00,20.20,3,5.16,持股中,📈 趨勢續強。目前防禦位設於 56.96，與現價緩衝空間為 35.6%。
3224.TWO,三顧,49.70,0.00,14.72,5,2.05,持股中,📈 趨勢續強。目前防禦位設於 38.68，與現價緩衝空間為 22.2%。
3231.TW,緯創,144.00,66.67,-7.60,5,4.36,持股中,📈 趨勢續強。目前防禦位設於 119.82，與現價緩衝空間為 16.8%。
8930.TWO,青鋼,29.85,33.33,0.14,11,0.46,持股中,📈 趨勢續強。目前防禦位設於 29.53，與現價緩衝空間為 1.1%。
2464.TW,盟立,94.00,50.00,15.27,3,4.47,持股中,📈 趨勢續強。目前防禦位設於 64.86，與現價緩衝空間為 31.0%。
2248.TW,華勝-KY,57.50,25.00,1.29,7,1.72,持股中,📈 趨勢續強。目前防禦位設於 48.80，與現價緩衝空間為 15.1%。
2884.TW,玉山金,33.05,50.00,1.15,3,0.45,持股中,📈 趨勢續強。目前防禦位設於 32.00，與現價緩衝空間為 3.2%。
2007.TW,燁興,7.93,33.33,-11.35,6,0.13,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 8.11，建議耐心等待突破。
5355.TWO,佳總,6.99,50.00,-0.74,3,0.34,持股中,📈 趨勢續強。目前防禦位設於 6.05，與現價緩衝空間為 13.5%。
1725.TW,元禎,32.85,50.00,14.33,7,1.40,持股中,📈 趨勢續強。目前防禦位設於 30.60，與現價緩衝空間為 6.8%。
006201.TWO,元大富櫃50,47.50,0.00,0.00,0,1.55,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
6116.TW,彩晶,8.85,50.00,-2.96,3,0.40,持股中,📈 趨勢續強。目前防禦位設於 7.75，與現價緩衝空間為 12.4%。
2453.TW,凌群,55.90,66.67,-4.58,5,1.06,持股中,📈 趨勢續強。目前防禦位設於 51.26，與現價緩衝空間為 8.3%。
6735.TWO,美達科技,100.50,25.00,55.17,7,6.06,持股中,📈 趨勢續強。目前防禦位設於 58.00，與現價緩衝空間為 42.3%。
3609.TWO,三一東林,24.95,0.00,0.00,0,1.15,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 26.65，建議耐心等待突破。
8923.TWO,時報,19.95,33.33,-16.78,17,0.31,建議買入,🚀 今日收盤 19.95 突破關鍵高點 19.55，啟動波段漲勢。
8068.TWO,全達,24.15,100.00,7.81,3,0.94,持股中,📈 趨勢續強。目前防禦位設於 20.07，與現價緩衝空間為 16.9%。
9958.TW,世紀鋼,108.50,0.00,-8.64,3,4.21,持股中,📈 趨勢續強。目前防禦位設於 97.64，與現價緩衝空間為 10.0%。
1586.TWO,和勤,22.85,66.67,-8.24,5,0.43,持股中,📈 趨勢續強。目前防禦位設於 22.40，與現價緩衝空間為 2.0%。
8932.TWO,智通*,99.50,0.00,18.88,1,4.15,持股中,📈 趨勢續強。目前防禦位設於 76.31，與現價緩衝空間為 23.3%。
1709.TW,和益,18.90,0.00,0.35,7,0.43,持股中,📈 趨勢續強。目前防禦位設於 18.85，與現價緩衝空間為 0.3%。
8908.TWO,欣雄,40.50,100.00,-9.16,3,0.71,持股中,📈 趨勢續強。目前防禦位設於 38.76，與現價緩衝空間為 4.3%。
00930.TW,永豐ESG低碳高息,19.36,100.00,-0.88,5,0.30,持股中,📈 趨勢續強。目前防禦位設於 17.00，與現價緩衝空間為 12.2%。
6597.TWO,立誠,61.20,0.00,-28.79,7,2.21,建議買入,🚀 今日收盤 61.20 突破關鍵高點 60.00，啟動波段漲勢。
3055.TW,蔚華科,84.40,0.00,20.84,3,4.05,持股中,📈 趨勢續強。目前防禦位設於 55.51，與現價緩衝空間為 34.2%。
5276.TWO,達輝-KY,16.75,0.00,-11.48,5,0.49,建議買入,🚀 今日收盤 16.75 突破關鍵高點 15.55，啟動波段漲勢。
1584.TWO,精剛,21.25,0.00,-6.41,2,0.56,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 21.95，建議耐心等待突破。
2722.TW,夏都,24.40,0.00,-9.87,5,0.86,持股中,📈 趨勢續強。目前防禦位設於 24.30，與現價緩衝空間為 0.4%。
6240.TWO,松崗,18.75,0.00,-17.27,7,0.59,持股中,📈 趨勢續強。目前防禦位設於 17.79，與現價緩衝空間為 5.1%。
2885.TW,元大金,50.10,100.00,10.42,1,1.27,持股中,📈 趨勢續強。目前防禦位設於 45.80，與現價緩衝空間為 8.6%。
4119.TW,旭富,48.00,40.00,-18.49,10,0.94,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 52.10，建議耐心等待突破。
8472.TWO,夠麻吉,71.70,0.00,8.90,12,2.81,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 60.80，建議耐心等待突破。
3306.TWO,鼎天,50.00,66.67,-17.79,5,1.16,持股中,📈 趨勢續強。目前防禦位設於 44.62，與現價緩衝空間為 10.8%。
2929.TW,淘帝-KY,6.05,50.00,-7.50,3,0.13,持股中,📈 趨勢續強。目前防禦位設於 6.02，與現價緩衝空間為 0.5%。
6645.TW,金萬林-創,13.40,0.00,-9.88,2,0.38,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 13.45，建議耐心等待突破。
7792.TWO,安葆,358.50,50.00,-12.88,3,16.29,持股中,📈 趨勢續強。目前防禦位設於 354.00，與現價緩衝空間為 1.3%。
00881.TW,國泰台灣科技龍頭,44.41,100.00,12.81,1,1.00,持股中,📈 趨勢續強。目前防禦位設於 37.30，與現價緩衝空間為 16.0%。
1717.TW,長興,82.70,100.00,38.86,1,5.98,持股中,📈 趨勢續強。目前防禦位設於 80.20，與現價緩衝空間為 3.0%。
6127.TWO,九豪,50.00,0.00,28.43,1,3.66,持股中,📈 趨勢續強。目前防禦位設於 38.25，與現價緩衝空間為 23.5%。
7556.TWO,意德士,302.00,50.00,59.76,7,14.96,持股中,📈 趨勢續強。目前防禦位設於 167.11，與現價緩衝空間為 44.7%。
5206.TWO,坤悅,23.90,50.00,-14.13,4,0.61,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 28.50，建議耐心等待突破。
4763.TW,材料*-KY,44.10,50.00,-16.21,3,1.71,持股中,📈 趨勢續強。目前防禦位設於 40.66，與現價緩衝空間為 7.8%。
2535.TW,達欣工,70.10,60.00,-4.71,9,1.39,持股中,📈 趨勢續強。目前防禦位設於 69.70，與現價緩衝空間為 0.6%。
2013.TW,中鋼構,43.75,33.33,-1.56,6,0.60,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 43.40，建議耐心等待突破。
3284.TWO,太普高,17.60,0.00,-13.54,4,0.45,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 20.25，建議耐心等待突破。
4528.TWO,江興鍛,16.30,100.00,5.49,2,0.43,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 17.69，建議耐心等待突破。
1714.TW,和桐,9.76,50.00,-10.24,24,0.29,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 8.97，建議耐心等待突破。
1808.TW,潤隆,29.70,0.00,-5.35,2,0.69,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 31.15，建議耐心等待突破。
3709.TWO,鑫聯大投控,77.60,0.00,3.12,1,4.15,持股中,📈 趨勢續強。目前防禦位設於 64.13，與現價緩衝空間為 17.4%。
2352.TW,佳世達,26.00,66.67,-12.43,5,0.55,持股中,📈 趨勢續強。目前防禦位設於 22.94，與現價緩衝空間為 11.8%。
1568.TW,倉佑,29.60,0.00,28.56,3,1.01,持股中,📈 趨勢續強。目前防禦位設於 22.45，與現價緩衝空間為 24.2%。
6129.TWO,普誠,17.65,33.33,-4.72,5,0.70,持股中,📈 趨勢續強。目前防禦位設於 15.35，與現價緩衝空間為 13.0%。
5475.TWO,德宏,386.00,50.00,255.22,3,26.39,持股中,📈 趨勢續強。目前防禦位設於 186.50，與現價緩衝空間為 51.7%。
5289.TWO,宜鼎,1165.00,100.00,4.80,1,88.50,持股中,📈 趨勢續強。目前防禦位設於 980.00，與現價緩衝空間為 15.9%。
5514.TWO,三豐,16.00,0.00,-0.29,1,0.35,持股中,📈 趨勢續強。目前防禦位設於 15.65，與現價緩衝空間為 2.2%。
3587.TWO,閎康,356.50,100.00,54.41,1,22.54,持股中,📈 趨勢續強。目前防禦位設於 215.00，與現價緩衝空間為 39.7%。
5202.TWO,力新,14.30,33.33,-11.81,5,0.38,持股中,📈 趨勢續強。目前防禦位設於 12.36，與現價緩衝空間為 13.6%。
2020.TW,美亞,22.90,0.00,0.80,5,0.35,建議買入,🚀 今日收盤 22.90 突破關鍵高點 22.51，啟動波段漲勢。
6532.TWO,瑞耘,102.50,100.00,67.44,5,4.84,持股中,📈 趨勢續強。目前防禦位設於 73.60，與現價緩衝空間為 28.2%。
00927.TW,群益半導體收益,29.14,100.00,6.25,5,0.66,持股中,📈 趨勢續強。目前防禦位設於 23.52，與現價緩衝空間為 19.3%。
00950B.TWO,凱基A級公司債,14.18,50.00,-4.29,11,0.07,建議買入,🚀 今日收盤 14.18 突破關鍵高點 14.02，啟動波段漲勢。
3685.TWO,元創精密,33.20,75.00,-11.08,7,2.07,持股中,📈 趨勢續強。目前防禦位設於 26.45，與現價緩衝空間為 20.3%。
4529.TWO,淳紳,4.12,50.00,6.26,11,0.22,持股中,📈 趨勢續強。目前防禦位設於 2.66，與現價緩衝空間為 35.5%。
3523.TWO,迎輝,13.95,100.00,-0.33,3,0.64,持股中,📈 趨勢續強。目前防禦位設於 11.47，與現價緩衝空間為 17.8%。
4908.TWO,前鼎,195.50,66.67,122.40,5,11.54,持股中,📈 趨勢續強。目前防禦位設於 102.50，與現價緩衝空間為 47.6%。
3029.TW,零壹,97.90,50.00,-13.28,7,2.55,持股中,📈 趨勢續強。目前防禦位設於 95.50，與現價緩衝空間為 2.5%。
7769.TW,鴻勁,4745.00,0.00,10.72,1,232.86,持股中,📈 趨勢續強。目前防禦位設於 4430.00，與現價緩衝空間為 6.6%。
4958.TW,臻鼎-KY,315.00,50.00,41.81,3,18.25,持股中,📈 趨勢續強。目前防禦位設於 210.00，與現價緩衝空間為 33.3%。
6245.TWO,立端,87.00,0.00,31.08,5,2.76,持股中,📈 趨勢續強。目前防禦位設於 66.80，與現價緩衝空間為 23.2%。
3447.TW,展達,39.85,0.00,-24.99,7,1.16,持股中,📈 趨勢續強。目前防禦位設於 35.91，與現價緩衝空間為 9.9%。
00726B.TWO,國泰新興投等債,33.45,33.33,-4.08,11,0.12,持股中,📈 趨勢續強。目前防禦位設於 33.35，與現價緩衝空間為 0.3%。
3583.TW,辛耘,847.00,66.67,125.34,5,50.93,持股中,📈 趨勢續強。目前防禦位設於 790.00，與現價緩衝空間為 6.7%。
00940.TW,元大台灣價值高息,10.55,100.00,-1.44,5,0.13,持股中,📈 趨勢續強。目前防禦位設於 9.51，與現價緩衝空間為 9.9%。
3706.TW,神達,85.30,50.00,-0.05,3,2.41,持股中,📈 趨勢續強。目前防禦位設於 85.10，與現價緩衝空間為 0.2%。
5009.TWO,榮剛,33.05,100.00,-2.52,1,0.78,持股中,📈 趨勢續強。目前防禦位設於 30.89，與現價緩衝空間為 6.5%。
5278.TWO,尚凡*,23.00,50.00,-23.58,3,0.70,持股中,📈 趨勢續強。目前防禦位設於 22.72，與現價緩衝空間為 1.2%。
3054.TW,立萬利,72.00,20.00,94.10,9,6.79,持股中,📈 趨勢續強。目前防禦位設於 64.20，與現價緩衝空間為 10.8%。
6908.TW,宏�砦C戲-創,39.85,0.00,0.00,0,1.33,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
2031.TW,新光鋼,39.65,60.00,-3.83,9,0.58,建議買入,🚀 今日收盤 39.65 突破關鍵高點 39.20，啟動波段漲勢。
3317.TWO,尼克森,55.00,66.67,-8.26,5,1.93,持股中,📈 趨勢續強。目前防禦位設於 50.50，與現價緩衝空間為 8.2%。
4416.TWO,三圓,15.00,100.00,-12.06,3,0.82,持股中,📈 趨勢續強。目前防禦位設於 12.89，與現價緩衝空間為 14.1%。
4905.TWO,台聯電,96.30,50.00,4.73,11,5.22,持股中,📈 趨勢續強。目前防禦位設於 81.10，與現價緩衝空間為 15.8%。
8155.TWO,博智,389.00,100.00,52.22,5,26.39,持股中,📈 趨勢續強。目前防禦位設於 260.50，與現價緩衝空間為 33.0%。
6741.TWO,91APP*-KY,65.70,50.00,-3.73,3,1.53,持股中,📈 趨勢續強。目前防禦位設於 60.80，與現價緩衝空間為 7.5%。
