股號,名稱,現價,隔日勝率,5日勝率,收益%,目前狀態,階段,交易次數,MA5,MA20趨勢,專業建議
00981D,主動中信非投等債,10.44,40.0%,60.0%,3.7%,🚫 建議賣出,第 0 隻,6,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
5455,昇益,24.2,30.9%,32.5%,-143.74%,🚫 建議賣出,第 0 隻,4,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2374,佳能,72.2,37.5%,49.2%,203.73%,🍀 持股中,第 0 隻,5,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
6113,亞矽,23.0,34.3%,39.8%,10.76%,🍀 持股中,第 0 隻,5,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
1443,立益物流,24.3,28.0%,30.5%,-20.15%,🚫 建議賣出,第 0 隻,6,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2025,千興,12.25,34.7%,32.2%,-73.09%,🍀 持股中,第 1 隻,7,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
6141,柏承,28.4,44.0%,50.9%,104.39%,🍀 持股中,第 2 隻,7,▲,▲,🚀 趨勢中：第 2 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
5243,乙盛-KY,122.0,46.1%,51.3%,28.96%,🚫 建議賣出,第 0 隻,6,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2303,聯電,68.3,46.4%,50.0%,-12.31%,🍀 持股中,第 1 隻,3,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
3372,典範,20.0,40.7%,48.3%,159.6%,🚫 建議賣出,第 0 隻,3,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
4968,立積,110.5,44.9%,54.2%,1260.9%,🍀 持股中,第 1 隻,5,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
8433,弘帆,59.0,37.6%,44.4%,163.48%,🚫 建議賣出,第 3 隻,8,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
00991A,主動復華未來50,14.54,0.0%,50.0%,-6.21%,🍀 持股中,第 1 隻,5,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2417,圓剛,40.95,48.0%,49.0%,108.29%,🍀 持股中,第 0 隻,5,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2402,毅嘉,70.7,40.5%,47.3%,119.23%,🍀 持股中,第 1 隻,4,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2351,順德,122.0,50.4%,50.4%,150.13%,🚫 建議賣出,第 2 隻,8,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2420,新巨,55.4,49.6%,59.5%,80.28%,🍀 持股中,第 1 隻,10,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
911622,泰聚亨-DR,3.86,26.7%,29.5%,-42.4%,🚫 建議賣出,第 1 隻,8,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
7743,金利食安,20.0,12.5%,25.0%,-13.75%,🚫 建議賣出,第 1 隻,8,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
3499,環天科,16.95,38.8%,42.1%,64.68%,🚫 建議賣出,第 0 隻,5,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
6223,旺矽,4915.0,43.3%,50.0%,1042.59%,🚫 建議賣出,第 8 隻,4,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
6261,久元,78.6,57.9%,55.4%,70.61%,🚫 建議賣出,第 0 隻,7,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
7583,國際海洋,69.5,47.4%,42.1%,-13.18%,🚫 建議賣出,第 1 隻,6,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
6658,聯策,78.0,41.7%,54.2%,114.48%,🚫 建議賣出,第 2 隻,7,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2497,怡利電,55.6,43.8%,43.8%,94.58%,🍀 持股中,第 1 隻,4,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2059,川湖,3445.0,48.9%,50.4%,199.63%,🍀 持股中,第 0 隻,6,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
3434,哲固,30.95,38.5%,35.7%,-126.77%,🍀 持股中,第 1 隻,3,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
6913,鴻呈,128.0,50.0%,37.5%,-49.35%,🚫 建議賣出,第 0 隻,4,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
00749B,凱基新興債10+,32.29,52.5%,55.7%,48.69%,🚫 建議賣出,第 0 隻,9,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
3030,德律,308.0,48.3%,47.5%,179.77%,🍀 持股中,第 1 隻,7,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
1786,科妍,64.9,41.2%,42.1%,31.05%,🚫 建議賣出,第 1 隻,2,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
9802,鈺齊-KY,81.0,45.6%,50.7%,-2.98%,⚪ 觀望中,第 0 隻,0,▲,▼,⚪ 待機：目前尚未出現符合「帶量突破 MA5」的進場訊號。
3219,倚強科,68.8,27.0%,33.9%,-373.54%,🍀 持股中,第 0 隻,4,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
00918,大華優利高填息30,23.26,67.6%,56.8%,25.83%,🚫 建議賣出,第 0 隻,5,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
3022,威強電,68.4,43.9%,41.5%,-11.59%,🍀 持股中,第 1 隻,3,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
5906,台南-KY,49.5,32.4%,43.2%,-34.27%,🚫 建議賣出,第 0 隻,9,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
4167,松瑞藥,19.9,33.9%,40.3%,-2.01%,🚫 建議賣出,第 2 隻,8,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
00641R,富邦日本反1,3.99,37.0%,35.9%,-31.14%,🚫 建議賣出,第 0 隻,4,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2743,山富,72.7,36.5%,44.3%,491.38%,🚫 建議賣出,第 1 隻,8,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
6617,共信-KY,68.0,32.1%,35.7%,61.97%,🚫 建議賣出,第 1 隻,5,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2412,中華電,136.5,22.4%,43.6%,-19.13%,🚫 建議賣出,第 1 隻,8,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2428,興勤,183.0,45.5%,49.6%,343.51%,🚫 建議賣出,第 0 隻,2,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
4536,拓凱,156.0,42.0%,49.6%,60.58%,🚫 建議賣出,第 0 隻,4,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2901,欣欣,23.45,31.3%,34.0%,-3.12%,🍀 持股中,第 0 隻,7,▼,▼,⚠️ 警報：今日收盤已破 MA5。明日若不收復即構成「二日確認法」，需執行清倉。
4554,橙的,29.95,39.8%,42.2%,-30.09%,🍀 持股中,第 2 隻,7,▲,▲,🚀 趨勢中：第 2 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
6173,信昌電,83.9,40.8%,50.8%,504.86%,🍀 持股中,第 0 隻,4,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
3224,三顧,42.2,26.9%,48.1%,92.73%,🚫 建議賣出,第 0 隻,2,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
3231,緯創,134.0,41.3%,55.4%,-47.52%,🚫 建議賣出,第 1 隻,7,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
8930,青鋼,31.5,43.9%,44.7%,138.63%,🚩 建議買入,第 1 隻,9,▲,▲,🔥 訊號發動：第 1 隻泥鰍出現。長線 MA20 趨勢向上且突破 MA5，具備波段攻擊力。
2464,盟立,73.4,44.4%,51.6%,135.77%,🍀 持股中,第 0 隻,8,▲,▼,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2248,華勝-KY,52.8,27.3%,27.3%,-14.09%,🍀 持股中,第 0 隻,7,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2884,玉山金,33.0,46.5%,56.3%,217.44%,🚫 建議賣出,第 0 隻,5,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2007,燁興,8.03,43.1%,39.7%,55.78%,🚫 建議賣出,第 1 隻,6,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
5355,佳總,6.49,47.0%,50.4%,25.81%,🚫 建議賣出,第 0 隻,8,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
1725,元禎,30.9,100.0%,50.0%,nan%,🚫 建議賣出,第 0 隻,4,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
6116,彩晶,9.27,39.5%,49.1%,148.97%,🍀 持股中,第 0 隻,8,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2453,凌群,56.0,48.6%,44.2%,-102.82%,🍀 持股中,第 0 隻,6,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
6735,美達科技,69.0,26.7%,41.7%,110.11%,🍀 持股中,第 1 隻,3,▼,▲,⚠️ 警報：今日收盤已破 MA5。明日若不收復即構成「二日確認法」，需執行清倉。
3609,三一東林,25.9,36.7%,35.2%,8.08%,⚪ 觀望中,第 1 隻,0,▼,▼,⚪ 待機：目前尚未出現符合「帶量突破 MA5」的進場訊號。
8923,時報,20.1,22.0%,34.5%,-546.76%,🚫 建議賣出,第 0 隻,8,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
8068,全達,23.35,41.7%,49.6%,262.84%,🍀 持股中,第 0 隻,6,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
9958,世紀鋼,106.5,36.9%,45.1%,1793.19%,🚫 建議賣出,第 0 隻,5,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
1586,和勤,22.65,36.7%,38.5%,-1.08%,🚫 建議賣出,第 1 隻,2,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
8932,智通*,86.6,39.1%,39.8%,1440.52%,🚫 建議賣出,第 3 隻,4,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
1709,和益,19.1,0.0%,33.3%,nan%,🍀 持股中,第 2 隻,7,▲,▲,🚀 趨勢中：第 2 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
8908,欣雄,41.5,30.5%,39.0%,118.54%,🍀 持股中,第 1 隻,5,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
6597,立誠,57.5,24.3%,48.6%,38.88%,🚫 建議賣出,第 0 隻,14,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
5276,達輝-KY,15.25,24.1%,32.4%,-122.34%,🚫 建議賣出,第 1 隻,11,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
1584,精剛,21.1,0.0%,0.0%,nan%,🚫 建議賣出,第 1 隻,6,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2722,夏都,24.9,28.5%,38.5%,190.11%,🍀 持股中,第 1 隻,3,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
6240,松崗,18.55,34.5%,41.8%,145.2%,🚫 建議賣出,第 1 隻,6,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2885,元大金,50.7,45.2%,51.9%,119.52%,🍀 持股中,第 1 隻,1,▲,▲,🚀 趨勢中：第 1 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
8472,夠麻吉,75.6,32.6%,37.1%,-36.97%,🚫 建議賣出,第 1 隻,2,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
3306,鼎天,47.45,51.6%,45.1%,36.0%,🍀 持股中,第 0 隻,7,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2929,淘帝-KY,6.26,38.6%,47.5%,18.67%,🚫 建議賣出,第 0 隻,2,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
6645,金萬林-創,13.35,34.1%,37.8%,-120.14%,🚫 建議賣出,第 1 隻,6,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
7792,安葆,357.5,50.0%,75.0%,13.27%,🚫 建議賣出,第 0 隻,3,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
00881,國泰台灣科技龍頭,42.6,60.9%,60.9%,55.97%,🍀 持股中,第 0 隻,8,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
1717,長興,76.1,39.4%,38.0%,7.54%,🍀 持股中,第 0 隻,8,▼,▲,⚠️ 警報：今日收盤已破 MA5。明日若不收復即構成「二日確認法」，需執行清倉。
6127,九豪,51.3,37.6%,48.0%,99.88%,🍀 持股中,第 2 隻,9,▲,▲,🚀 趨勢中：第 2 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
7556,意德士,270.0,27.5%,36.2%,-39.29%,🚫 建議賣出,第 0 隻,10,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
5206,坤悅,25.4,35.1%,41.2%,1.67%,⚪ 觀望中,第 0 隻,0,▼,▼,⚪ 待機：目前尚未出現符合「帶量突破 MA5」的進場訊號。
4763,材料*-KY,47.2,47.9%,47.0%,865.06%,🚫 建議賣出,第 0 隻,6,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2535,達欣工,70.4,42.3%,55.0%,168.15%,🍀 持股中,第 1 隻,6,▼,▲,⚠️ 警報：今日收盤已破 MA5。明日若不收復即構成「二日確認法」，需執行清倉。
2013,中鋼構,44.1,39.7%,42.1%,-58.9%,🚫 建議賣出,第 3 隻,8,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
1714,和桐,9.86,40.5%,44.0%,-17.2%,🚫 建議賣出,第 1 隻,10,▼,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
1808,潤隆,30.35,0.0%,50.0%,nan%,🚫 建議賣出,第 2 隻,4,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
3709,鑫聯大投控,69.0,42.7%,38.8%,-209.32%,🚫 建議賣出,第 0 隻,10,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2352,佳世達,25.25,42.1%,49.2%,57.33%,🚫 建議賣出,第 0 隻,4,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
