股號,名稱,收盤價,隔日勝率%,累積獲利%,交易次數,目前ATR,目前狀態,專家分析原因
00757.TW,統一FANG+,118.80,25.00,3.36,7,2.46,持股中,📈 趨勢續強。目前防禦位設於 108.77，與現價緩衝空間為 8.4%。
2101.TW,南港,36.45,50.00,-9.19,7,1.34,持股中,📈 趨勢續強。目前防禦位設於 36.25，與現價緩衝空間為 0.5%。
00945B.TW,凱基美國非投等債,14.56,0.00,-2.01,3,0.05,持股中,📈 趨勢續強。目前防禦位設於 14.55，與現價緩衝空間為 0.1%。
4556.TWO,旭然,29.80,0.00,-6.17,3,0.91,建議買入,🚀 今日收盤 29.80 突破關鍵高點 27.65，啟動波段漲勢。
1612.TW,宏泰,35.65,0.00,-7.24,3,0.62,建議買入,🚀 今日收盤 35.65 突破關鍵高點 35.40，啟動波段漲勢。
6624.TWO,萬年清,57.80,33.33,-18.27,6,2.14,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 59.50，建議耐心等待突破。
3081.TWO,聯亞,2365.00,0.00,0.00,0,180.36,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
00685L.TW,群益臺灣加權正2,203.45,0.00,-2.20,3,8.10,持股中,📈 趨勢續強。目前防禦位設於 165.65，與現價緩衝空間為 18.6%。
6446.TW,藥華藥,660.00,46.67,16.49,30,22.29,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 504.00，建議耐心等待突破。
009813.TW,貝萊德標普卓越50,10.57,0.00,-1.14,3,0.16,持股中,📈 趨勢續強。目前防禦位設於 9.75，與現價緩衝空間為 7.7%。
6485.TWO,點序,77.60,100.00,-3.39,2,3.59,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 80.10，建議耐心等待突破。
5403.TWO,中菲,94.40,0.00,-2.83,2,1.63,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 99.90，建議耐心等待突破。
00981D.TWO,主動中信非投等債,10.44,50.00,-1.39,3,0.03,持股中,📈 趨勢續強。目前防禦位設於 10.28，與現價緩衝空間為 1.5%。
5455.TWO,昇益,24.20,0.00,0.44,1,0.48,持股中,📈 趨勢續強。目前防禦位設於 22.87，與現價緩衝空間為 5.5%。
2374.TW,佳能,72.20,0.00,-0.32,1,2.46,持股中,📈 趨勢續強。目前防禦位設於 66.06，與現價緩衝空間為 8.5%。
6113.TWO,亞矽,23.00,0.00,-5.14,3,1.14,持股中,📈 趨勢續強。目前防禦位設於 18.11，與現價緩衝空間為 21.3%。
1443.TW,立益物流,24.30,33.33,-6.45,5,0.89,持股中,📈 趨勢續強。目前防禦位設於 21.82，與現價緩衝空間為 10.2%。
2025.TW,千興,12.25,50.00,0.57,3,0.45,持股中,📈 趨勢續強。目前防禦位設於 11.25，與現價緩衝空間為 8.2%。
6141.TW,柏承,28.40,50.00,143.89,3,1.95,持股中,📈 趨勢續強。目前防禦位設於 19.80，與現價緩衝空間為 30.3%。
5243.TW,乙盛-KY,122.00,50.00,54.47,3,8.14,持股中,📈 趨勢續強。目前防禦位設於 66.79，與現價緩衝空間為 45.3%。
2303.TW,聯電,68.30,33.33,-4.28,5,3.02,持股中,📈 趨勢續強。目前防禦位設於 54.08，與現價緩衝空間為 20.8%。
3372.TWO,典範,20.00,50.00,-13.52,7,0.81,持股中,📈 趨勢續強。目前防禦位設於 18.32，與現價緩衝空間為 8.4%。
4968.TW,立積,110.50,0.00,-25.31,5,4.14,持股中,📈 趨勢續強。目前防禦位設於 100.11，與現價緩衝空間為 9.4%。
8433.TWO,弘帆,59.00,33.33,4.78,5,1.48,建議買入,🚀 今日收盤 59.00 突破關鍵高點 51.14，啟動波段漲勢。
00991A.TW,主動復華未來50,14.54,0.00,4.05,1,0.50,持股中,📈 趨勢續強。目前防禦位設於 12.65，與現價緩衝空間為 13.0%。
2417.TW,圓剛,40.95,50.00,-2.70,3,1.59,持股中,📈 趨勢續強。目前防禦位設於 34.60，與現價緩衝空間為 15.5%。
2402.TW,毅嘉,70.70,33.33,12.65,5,4.06,持股中,📈 趨勢續強。目前防禦位設於 51.10，與現價緩衝空間為 27.7%。
2351.TW,順德,122.00,75.00,37.22,23,7.39,持股中,📈 趨勢續強。目前防禦位設於 99.00，與現價緩衝空間為 18.9%。
2420.TW,新巨,55.40,60.00,0.60,9,1.06,持股中,📈 趨勢續強。目前防禦位設於 51.30，與現價緩衝空間為 7.4%。
911622.TW,泰聚亨-DR,3.86,60.00,-4.65,9,0.10,持股中,📈 趨勢續強。目前防禦位設於 3.71，與現價緩衝空間為 3.8%。
7743.TWO,金利食安,20.00,100.00,-1.83,1,0.28,持股中,📈 趨勢續強。目前防禦位設於 19.62，與現價緩衝空間為 1.9%。
3499.TWO,環天科,16.95,0.00,-9.05,2,0.63,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 18.90，建議耐心等待突破。
6223.TWO,旺矽,4915.00,0.00,0.00,0,273.21,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
6261.TWO,久元,78.60,100.00,14.39,1,4.05,持股中,📈 趨勢續強。目前防禦位設於 78.00，與現價緩衝空間為 0.8%。
7583.TWO,國際海洋,69.50,40.00,-18.47,9,2.04,持股中,📈 趨勢續強。目前防禦位設於 68.00，與現價緩衝空間為 2.2%。
6658.TW,聯策,78.00,100.00,29.07,3,5.04,持股中,📈 趨勢續強。目前防禦位設於 65.00，與現價緩衝空間為 16.7%。
2497.TW,怡利電,55.60,0.00,28.08,1,2.76,持股中,📈 趨勢續強。目前防禦位設於 52.50，與現價緩衝空間為 5.6%。
2059.TW,川湖,3445.00,37.50,1.95,15,192.14,建議買入,🚀 今日收盤 3445.00 突破關鍵高點 3030.00，啟動波段漲勢。
3434.TWO,哲固,30.95,20.00,-6.66,9,0.94,持股中,📈 趨勢續強。目前防禦位設於 27.46，與現價緩衝空間為 11.3%。
6913.TWO,鴻呈,128.00,100.00,3.86,1,5.25,持股中,📈 趨勢續強。目前防禦位設於 109.79，與現價緩衝空間為 14.2%。
00749B.TWO,凱基新興債10+,32.29,12.50,-5.89,15,0.13,持股中,📈 趨勢續強。目前防禦位設於 31.61，與現價緩衝空間為 2.1%。
3030.TW,德律,308.00,50.00,66.95,3,17.46,持股中,📈 趨勢續強。目前防禦位設於 246.00，與現價緩衝空間為 20.1%。
1786.TW,科妍,64.90,33.33,-8.10,5,1.94,建議買入,🚀 今日收盤 64.90 突破關鍵高點 63.90，啟動波段漲勢。
9802.TW,鈺齊-KY,81.00,33.33,-9.92,5,2.11,持股中,📈 趨勢續強。目前防禦位設於 72.84，與現價緩衝空間為 10.1%。
3219.TWO,倚強科,68.80,0.00,-23.55,5,3.42,建議買入,🚀 今日收盤 68.80 突破關鍵高點 64.80，啟動波段漲勢。
00918.TW,大華優利高填息30,23.26,50.00,-8.31,7,0.29,持股中,📈 趨勢續強。目前防禦位設於 21.61，與現價緩衝空間為 7.1%。
3022.TW,威強電,68.40,57.14,4.76,13,1.81,持股中,📈 趨勢續強。目前防禦位設於 61.80，與現價緩衝空間為 9.6%。
5906.TW,台南-KY,49.50,33.33,-7.78,5,0.45,持股中,📈 趨勢續強。目前防禦位設於 46.48，與現價緩衝空間為 6.1%。
4167.TWO,松瑞藥,19.90,50.00,-2.84,7,0.53,建議買入,🚀 今日收盤 19.90 突破關鍵高點 19.20，啟動波段漲勢。
00641R.TW,富邦日本反1,3.99,0.00,-10.95,8,0.08,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 4.10，建議耐心等待突破。
2743.TWO,山富,72.70,0.00,-8.87,1,2.61,持股中,📈 趨勢續強。目前防禦位設於 71.32，與現價緩衝空間為 1.9%。
6617.TWO,共信-KY,68.00,50.00,-12.55,3,2.30,持股中,📈 趨勢續強。目前防禦位設於 63.23，與現價緩衝空間為 7.0%。
2412.TW,中華電,136.50,100.00,-1.19,3,1.32,持股中,📈 趨勢續強。目前防禦位設於 131.96，與現價緩衝空間為 3.3%。
2428.TW,興勤,183.00,100.00,6.46,3,7.29,持股中,📈 趨勢續強。目前防禦位設於 149.07，與現價緩衝空間為 18.5%。
4536.TW,拓凱,156.00,25.00,-3.35,7,2.64,持股中,📈 趨勢續強。目前防禦位設於 144.54，與現價緩衝空間為 7.3%。
2901.TW,欣欣,23.45,0.00,-5.58,4,0.49,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 23.85，建議耐心等待突破。
4554.TWO,橙的,29.95,75.00,-3.15,7,0.54,持股中,📈 趨勢續強。目前防禦位設於 28.75，與現價緩衝空間為 4.0%。
6173.TWO,信昌電,83.90,100.00,12.92,3,3.90,持股中,📈 趨勢續強。目前防禦位設於 56.96，與現價緩衝空間為 32.1%。
3224.TWO,三顧,42.20,0.00,-2.95,5,1.53,建議買入,🚀 今日收盤 42.20 突破關鍵高點 40.85，啟動波段漲勢。
3231.TW,緯創,134.00,66.67,-15.19,5,3.86,持股中,📈 趨勢續強。目前防禦位設於 119.82，與現價緩衝空間為 10.6%。
8930.TWO,青鋼,31.50,33.33,5.57,11,0.44,持股中,📈 趨勢續強。目前防禦位設於 29.53，與現價緩衝空間為 6.3%。
2464.TW,盟立,73.40,50.00,-11.99,3,3.27,持股中,📈 趨勢續強。目前防禦位設於 64.86，與現價緩衝空間為 11.6%。
2248.TW,華勝-KY,52.80,25.00,-7.48,7,1.35,持股中,📈 趨勢續強。目前防禦位設於 48.80，與現價緩衝空間為 7.6%。
2884.TW,玉山金,33.00,50.00,1.00,3,0.44,持股中,📈 趨勢續強。目前防禦位設於 32.00，與現價緩衝空間為 3.0%。
2007.TW,燁興,8.03,33.33,-11.35,6,0.15,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 8.11，建議耐心等待突破。
5355.TWO,佳總,6.49,0.00,-2.92,2,0.26,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 6.50，建議耐心等待突破。
1725.TW,元禎,30.90,50.00,7.92,7,1.44,持股中,📈 趨勢續強。目前防禦位設於 30.60，與現價緩衝空間為 1.0%。
6116.TW,彩晶,9.27,50.00,2.01,3,0.37,持股中,📈 趨勢續強。目前防禦位設於 7.75，與現價緩衝空間為 16.4%。
2453.TW,凌群,56.00,66.67,-4.39,5,1.08,持股中,📈 趨勢續強。目前防禦位設於 51.26，與現價緩衝空間為 8.5%。
6735.TWO,美達科技,69.00,25.00,1.46,7,4.46,持股中,📈 趨勢續強。目前防禦位設於 58.00，與現價緩衝空間為 15.9%。
3609.TWO,三一東林,25.90,0.00,0.00,0,1.04,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 26.65，建議耐心等待突破。
8923.TWO,時報,20.10,37.50,-12.13,15,0.33,持股中,📈 趨勢續強。目前防禦位設於 19.34，與現價緩衝空間為 3.8%。
8068.TWO,全達,23.35,100.00,4.14,3,0.85,持股中,📈 趨勢續強。目前防禦位設於 20.07，與現價緩衝空間為 14.1%。
9958.TW,世紀鋼,106.50,0.00,-10.50,3,4.79,建議買入,🚀 今日收盤 106.50 突破關鍵高點 104.50，啟動波段漲勢。
1586.TWO,和勤,22.65,66.67,-9.09,5,0.38,持股中,📈 趨勢續強。目前防禦位設於 22.40，與現價緩衝空間為 1.1%。
8932.TWO,智通*,86.60,0.00,3.46,1,3.24,持股中,📈 趨勢續強。目前防禦位設於 76.31，與現價緩衝空間為 11.9%。
1709.TW,和益,19.10,0.00,1.45,7,0.48,持股中,📈 趨勢續強。目前防禦位設於 17.90，與現價緩衝空間為 6.3%。
8908.TWO,欣雄,41.50,50.00,-6.76,3,0.76,建議買入,🚀 今日收盤 41.50 突破關鍵高點 41.00，啟動波段漲勢。
6597.TWO,立誠,57.50,0.00,-28.19,6,2.46,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 60.00，建議耐心等待突破。
5276.TWO,達輝-KY,15.25,0.00,-9.95,3,0.41,持股中,📈 趨勢續強。目前防禦位設於 15.23，與現價緩衝空間為 0.2%。
1584.TWO,精剛,21.10,0.00,-6.41,2,0.52,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 22.05，建議耐心等待突破。
2722.TW,夏都,24.90,0.00,-7.76,5,0.76,持股中,📈 趨勢續強。目前防禦位設於 22.30，與現價緩衝空間為 10.5%。
6240.TWO,松崗,18.55,0.00,-15.62,6,0.75,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 18.90，建議耐心等待突破。
2885.TW,元大金,50.70,100.00,11.74,1,1.19,持股中,📈 趨勢續強。目前防禦位設於 45.80，與現價緩衝空間為 9.7%。
8472.TWO,夠麻吉,75.60,0.00,10.64,8,3.29,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 60.80，建議耐心等待突破。
3306.TWO,鼎天,47.45,66.67,-23.15,5,1.15,持股中,📈 趨勢續強。目前防禦位設於 44.62，與現價緩衝空間為 6.0%。
2929.TW,淘帝-KY,6.26,50.00,-4.13,3,0.12,持股中,📈 趨勢續強。目前防禦位設於 5.89，與現價緩衝空間為 5.9%。
6645.TW,金萬林-創,13.35,0.00,-9.88,2,0.43,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 13.45，建議耐心等待突破。
7792.TWO,安葆,357.50,50.00,-13.17,3,17.04,持股中,📈 趨勢續強。目前防禦位設於 283.82，與現價緩衝空間為 20.6%。
00881.TW,國泰台灣科技龍頭,42.60,100.00,8.22,1,1.09,持股中,📈 趨勢續強。目前防禦位設於 37.30，與現價緩衝空間為 12.5%。
1717.TW,長興,76.10,100.00,27.78,1,4.99,持股中,📈 趨勢續強。目前防禦位設於 56.60，與現價緩衝空間為 25.6%。
6127.TWO,九豪,51.30,0.00,31.77,1,3.90,持股中,📈 趨勢續強。目前防禦位設於 38.25，與現價緩衝空間為 25.4%。
7556.TWO,意德士,270.00,50.00,42.28,7,11.11,持股中,📈 趨勢續強。目前防禦位設於 167.11，與現價緩衝空間為 38.1%。
5206.TWO,坤悅,25.40,50.00,-14.13,4,0.59,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 28.50，建議耐心等待突破。
4763.TW,材料*-KY,47.20,50.00,-9.57,3,1.59,持股中,📈 趨勢續強。目前防禦位設於 40.66，與現價緩衝空間為 13.9%。
2535.TW,達欣工,70.40,60.00,-4.29,9,1.37,持股中,📈 趨勢續強。目前防禦位設於 66.99，與現價緩衝空間為 4.8%。
2013.TW,中鋼構,44.10,33.33,-0.77,5,0.71,建議買入,🚀 今日收盤 44.10 突破關鍵高點 43.40，啟動波段漲勢。
1714.TW,和桐,9.86,45.45,-7.43,21,0.31,持股中,📈 趨勢續強。目前防禦位設於 9.73，與現價緩衝空間為 1.3%。
1808.TW,潤隆,30.35,0.00,-5.35,2,0.76,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 31.15，建議耐心等待突破。
3709.TWO,鑫聯大投控,69.00,0.00,-8.31,1,3.51,持股中,📈 趨勢續強。目前防禦位設於 64.13，與現價緩衝空間為 7.1%。
2352.TW,佳世達,25.25,66.67,-15.45,5,0.58,持股中,📈 趨勢續強。目前防禦位設於 22.94，與現價緩衝空間為 9.1%。
1568.TW,倉佑,25.30,0.00,9.61,3,0.60,持股中,📈 趨勢續強。目前防禦位設於 22.45，與現價緩衝空間為 11.3%。
6129.TWO,普誠,16.30,33.33,-13.18,5,0.59,持股中,📈 趨勢續強。目前防禦位設於 15.35，與現價緩衝空間為 5.8%。
5475.TWO,德宏,335.00,50.00,207.62,3,23.57,持股中,📈 趨勢續強。目前防禦位設於 186.50，與現價緩衝空間為 44.3%。
5289.TWO,宜鼎,1085.00,100.00,-2.40,1,86.43,持股中,📈 趨勢續強。目前防禦位設於 943.21，與現價緩衝空間為 13.1%。
5514.TWO,三豐,16.55,0.00,3.14,1,0.37,持股中,📈 趨勢續強。目前防禦位設於 15.65，與現價緩衝空間為 5.4%。
3587.TWO,閎康,334.00,100.00,44.66,1,20.07,持股中,📈 趨勢續強。目前防禦位設於 215.00，與現價緩衝空間為 35.6%。
2020.TW,美亞,23.40,0.00,3.10,1,0.43,持股中,📈 趨勢續強。目前防禦位設於 23.20，與現價緩衝空間為 0.9%。
6532.TWO,瑞耘,78.50,100.00,34.76,5,3.97,持股中,📈 趨勢續強。目前防禦位設於 73.60，與現價緩衝空間為 6.2%。
00927.TW,群益半導體收益,27.76,100.00,7.96,1,0.65,持股中,📈 趨勢續強。目前防禦位設於 24.33，與現價緩衝空間為 12.4%。
00950B.TWO,凱基A級公司債,14.23,50.00,-2.81,7,0.08,持股中,📈 趨勢續強。目前防禦位設於 14.23，與現價緩衝空間為 0.0%。
3685.TWO,元創精密,32.95,75.00,-11.90,7,1.88,持股中,📈 趨勢續強。目前防禦位設於 26.45，與現價緩衝空間為 19.7%。
4529.TWO,淳紳,3.07,40.00,-13.84,10,0.15,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 3.10，建議耐心等待突破。
3523.TWO,迎輝,12.40,100.00,-9.08,2,0.55,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 13.10，建議耐心等待突破。
4908.TWO,前鼎,155.00,66.67,83.51,5,9.89,持股中,📈 趨勢續強。目前防禦位設於 102.50，與現價緩衝空間為 33.9%。
3029.TW,零壹,97.50,50.00,-13.68,7,2.99,持股中,📈 趨勢續強。目前防禦位設於 88.41，與現價緩衝空間為 9.3%。
7769.TW,鴻勁,4295.00,0.00,0.22,1,215.36,持股中,📈 趨勢續強。目前防禦位設於 3653.21，與現價緩衝空間為 14.9%。
4958.TW,臻鼎-KY,256.50,50.00,15.32,3,17.64,持股中,📈 趨勢續強。目前防禦位設於 210.00，與現價緩衝空間為 18.1%。
6245.TWO,立端,78.90,0.00,18.50,5,2.68,持股中,📈 趨勢續強。目前防禦位設於 66.80，與現價緩衝空間為 15.3%。
3447.TW,展達,39.50,0.00,-25.86,7,1.39,持股中,📈 趨勢續強。目前防禦位設於 35.91，與現價緩衝空間為 9.1%。
3583.TW,辛耘,704.00,66.67,84.38,5,40.43,持股中,📈 趨勢續強。目前防禦位設於 459.50，與現價緩衝空間為 34.7%。
00940.TW,元大台灣價值高息,10.17,100.00,-5.30,5,0.13,持股中,📈 趨勢續強。目前防禦位設於 9.51，與現價緩衝空間為 6.5%。
3706.TW,神達,82.80,50.00,-3.04,3,2.57,持股中,📈 趨勢續強。目前防禦位設於 74.07，與現價緩衝空間為 10.5%。
5009.TWO,榮剛,31.20,0.00,0.00,0,0.71,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 32.50，建議耐心等待突破。
5278.TWO,尚凡*,23.95,50.00,-20.00,3,1.11,持股中,📈 趨勢續強。目前防禦位設於 22.72，與現價緩衝空間為 5.1%。
3054.TW,立萬利,73.20,20.00,96.02,9,7.22,持股中,📈 趨勢續強。目前防禦位設於 64.20，與現價緩衝空間為 12.3%。
6908.TW,宏�砦C戲-創,38.90,0.00,0.00,0,1.65,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
2031.TW,新光鋼,41.00,75.00,-0.79,7,0.70,持股中,📈 趨勢續強。目前防禦位設於 40.20，與現價緩衝空間為 2.0%。
3317.TWO,尼克森,51.10,66.67,-16.03,5,1.77,持股中,📈 趨勢續強。目前防禦位設於 50.50，與現價緩衝空間為 1.2%。
4416.TWO,三圓,13.75,100.00,-10.80,2,0.80,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 14.00，建議耐心等待突破。
4905.TWO,台聯電,93.10,50.00,0.97,11,4.97,持股中,📈 趨勢續強。目前防禦位設於 81.10，與現價緩衝空間為 12.9%。
8155.TWO,博智,356.50,100.00,40.59,5,22.07,持股中,📈 趨勢續強。目前防禦位設於 260.50，與現價緩衝空間為 26.9%。
6741.TWO,91APP*-KY,63.60,0.00,-7.02,3,1.62,建議買入,🚀 今日收盤 63.60 突破關鍵高點 63.00，啟動波段漲勢。
1319.TW,東陽,79.90,0.00,0.00,0,2.07,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 79.90，建議耐心等待突破。
6925.TWO,意藍,72.40,0.00,-6.33,6,2.56,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 72.40，建議耐心等待突破。
6285.TW,啟��,267.00,50.00,44.84,3,17.82,持股中,📈 趨勢續強。目前防禦位設於 172.00，與現價緩衝空間為 35.6%。
4744.TWO,皇將,31.85,0.00,0.00,0,2.01,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
00642U.TW,期元大S&P石油,26.62,0.00,0.00,0,1.54,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
6994.TW,富威電力,69.30,50.00,-21.72,4,3.58,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 69.60，建議耐心等待突破。
3576.TW,聯合再生,18.55,0.00,0.00,0,1.89,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 21.55，建議耐心等待突破。
8112.TW,至上,85.80,42.86,-18.37,13,4.29,持股中,📈 趨勢續強。目前防禦位設於 81.10，與現價緩衝空間為 5.5%。
00633L.TW,富邦上証正2,50.80,50.00,0.30,3,1.18,持股中,📈 趨勢續強。目前防禦位設於 44.74，與現價緩衝空間為 11.9%。
4121.TWO,優盛,15.55,42.86,-3.33,14,0.35,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 16.15，建議耐心等待突破。
