🚀 智能量化選股報告 - 2026-03-20
==========================================================================================

【🚀超級強勢】(數量: 127)
------------------------------------------------------------------------------------------
6568.TWO | 宏觀         | B6: 12.12% | DMA: 37.750 | 💎流入 | 🚀DMA趨勢+多頭強勢
8455.TWO | 大拓-KY      | B6:  1.24% | DMA:  0.479 | 💸流出 | 🚀DMA趨勢+多頭強勢
5548.TWO | 安倉         | B6:  1.20% | DMA:  0.111 | 💎流入 | 🚀DMA趨勢+多頭強勢
2615.TW  | 萬海         | B6:  1.20% | DMA:  1.878 | 💎流入 | 🚀DMA趨勢+放量攻擊
3003.TW  | 健和興        | B6:  1.16% | DMA:  1.264 | 💎流入 | 🚀DMA趨勢+放量攻擊
3217.TWO | 優群         | B6:  1.15% | DMA: -1.670 | 💎流入 | 🚀多頭強勢
6120.TW  | 達運         | B6:  1.13% | DMA:  0.143 | 💎流入 | 🚀DMA趨勢+放量攻擊
9949.TWO | 琉園         | B6:  1.12% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
2501.TW  | 國建         | B6:  1.12% | DMA:  0.052 | 💎流入 | 🚀DMA趨勢+放量攻擊
00666R.TW | 富邦恒生國企反1   | B6:  1.08% | DMA:  0.308 | 💎流入 | 🚀DMA趨勢+多頭強勢
3490.TWO | 單井         | B6:  1.07% | DMA: -0.111 | 💎流入 | 🚀放量攻擊
4702.TWO | 中美實        | B6:  0.93% | DMA:  0.172 | 💎流入 | 🚀DMA趨勢+多頭強勢
6958.TW  | 日盛台駿       | B6:  0.84% | DMA:  0.906 | 💎流入 | 🚀DMA趨勢+多頭強勢
3034.TW  | 聯詠         | B6:  0.82% | DMA:  2.450 | 💎流入 | 🚀DMA趨勢+放量攻擊
2535.TW  | 達欣工        | B6:  0.80% | DMA:  2.916 | 💎流入 | 🚀DMA趨勢+多頭強勢
6669.TW  | 緯穎         | B6:  0.80% | DMA: -1.400 | 💸流出 | 🚀多頭強勢
2444.TW  | 兆勁         | B6:  0.72% | DMA:  0.569 | 💸流出 | 🚀DMA趨勢+多頭強勢
5471.TW  | 松翰         | B6:  0.71% | DMA:  4.134 | 💎流入 | 🚀DMA趨勢+多頭強勢
00671R.TW | 富邦NASDAQ反1 | B6:  0.65% | DMA:  0.065 | 💎流入 | 🚀DMA趨勢+多頭強勢
4305.TWO | 世坤         | B6:  0.63% | DMA:  0.882 | 💎流入 | 🚀DMA趨勢+多頭強勢
1460.TW  | 宏遠         | B6:  0.62% | DMA:  0.208 | 💎流入 | 🚀DMA趨勢+多頭強勢
1712.TW  | 興農         | B6:  0.61% | DMA:  0.846 | 💸流出 | 🚀DMA趨勢+多頭強勢
8476.TW  | 台境*        | B6:  0.59% | DMA: -0.210 | 💎流入 | 🚀多頭強勢
3168.TW  | 眾福科        | B6:  0.57% | DMA:  0.173 | 💎流入 | 🚀DMA趨勢+多頭強勢
2022.TW  | 聚亨         | B6:  0.56% | DMA:  0.253 | 💎流入 | 🚀DMA趨勢+放量攻擊
8087.TWO | 麗升能源       | B6:  0.55% | DMA:  1.811 | 💎流入 | 🚀DMA趨勢+多頭強勢
3632.TWO | 研勤         | B6:  0.54% | DMA:  0.217 | 💸流出 | 🚀DMA趨勢+多頭強勢
6598.TW  | ABC-KY     | B6:  0.53% | DMA:  0.589 | 💎流入 | 🚀DMA趨勢+多頭強勢
5514.TWO | 三豐         | B6:  0.36% | DMA: -0.064 | 💎流入 | 🚀多頭強勢
2423.TW  | 固緯         | B6:  0.36% | DMA: -2.722 | 💎流入 | 🚀多頭強勢
2887.TW  | 台新新光金      | B6:  0.34% | DMA:  1.451 | 💎流入 | 🚀DMA趨勢+放量攻擊
6655.TW  | 科定         | B6:  0.28% | DMA:  5.490 | 💸流出 | 🚀DMA趨勢+多頭強勢
00945B.TW | 凱基美國非投等債   | B6:  0.26% | DMA:  0.033 | 💎流入 | 🚀DMA趨勢+多頭強勢
2420.TW  | 新巨         | B6:  0.17% | DMA: -0.025 | 💎流入 | 🚀多頭強勢
2385.TW  | 群光         | B6:  0.17% | DMA:  3.370 | 💎流入 | 🚀DMA趨勢+放量攻擊
8048.TWO | 德勝         | B6:  0.09% | DMA:  3.242 | 💎流入 | 🚀DMA趨勢+多頭強勢
3450.TW  | 聯鈞         | B6:  0.08% | DMA:  8.340 | 💎流入 | 🚀DMA趨勢+放量攻擊
5348.TWO | 正能量智能      | B6:  0.05% | DMA:  0.069 | 💸流出 | 🚀DMA趨勢+多頭強勢
00632R.TW | 元大台灣50反1   | B6:  0.05% | DMA: -0.575 | 💎流入 | 🚀多頭強勢
00664R.TW | 國泰臺灣加權反1   | B6:  0.05% | DMA: -0.092 | 💎流入 | 🚀多頭強勢
00676R.TW | 富邦臺灣加權反1   | B6:  0.04% | DMA: -0.315 | 💎流入 | 🚀多頭強勢
00887.TWO | 永豐中國科技50大  | B6:  0.02% | DMA:  0.006 | 💎流入 | 🚀DMA趨勢+多頭強勢

【❄️跌深反彈】(數量: 106)
------------------------------------------------------------------------------------------
1563.TW  | 巧新         | B6: -5.06% | DMA: -4.445 | 💸流出 | ❄️底部反彈
3085.TWO | 新零售        | B6: -5.12% | DMA: -1.258 | 💸流出 | ❄️跌深轉強
6873.TW  | 泓德能源       | B6: -5.12% | DMA: -8.212 | 💎流入 | ❄️底部反彈
3483.TWO | 力致         | B6: -5.16% | DMA: -5.452 | 💎流入 | ❄️跌深轉強
4541.TWO | 晟田         | B6: -5.19% | DMA: -3.163 | 💎流入 | ❄️跌深轉強
6841.TWO | 長佳智能       | B6: -5.20% | DMA: -6.374 | 💎流入 | ❄️跌深轉強
8213.TW  | 志超         | B6: -5.28% | DMA: -0.798 | 💸流出 | ❄️底部反彈
3032.TW  | 偉訓         | B6: -5.30% | DMA: -6.728 | 💎流入 | ❄️跌深轉強
1443.TW  | 立益物流       | B6: -5.31% | DMA: -1.828 | 💸流出 | ❄️跌深轉強
2482.TW  | 連宇         | B6: -5.35% | DMA: -1.323 | 💸流出 | ❄️跌深轉強
1603.TW  | 華電         | B6: -5.43% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
2207.TW  | 和泰車        | B6: -5.51% | DMA:-33.660 | 💸流出 | ❄️底部反彈
6542.TWO | 隆中         | B6: -5.55% | DMA: -0.494 | 💎流入 | ❄️底部反彈
3521.TWO | 台鋼建設       | B6: -5.59% | DMA: -0.587 | 💎流入 | ❄️底部反彈
1438.TW  | 三地開發       | B6: -5.64% | DMA: -2.360 | 💎流入 | ❄️跌深轉強
6261.TWO | 久元         | B6: -5.66% | DMA: -3.554 | 💎流入 | ❄️跌深轉強
8099.TWO | 大世科        | B6: -5.69% | DMA: -7.500 | 💸流出 | ❄️跌深轉強
8932.TWO | 智通*        | B6: -5.71% | DMA: -4.200 | 💸流出 | ❄️跌深轉強
2012.TW  | 春雨         | B6: -5.72% | DMA: -1.100 | 💎流入 | ❄️跌深轉強
2024.TW  | 志聯         | B6: -5.74% | DMA: -1.063 | 💸流出 | ❄️底部反彈
7402.TWO | 邑錡         | B6: -5.80% | DMA:-11.160 | 💎流入 | ❄️底部反彈
6462.TWO | 神盾         | B6: -5.90% | DMA: -9.858 | 💎流入 | ❄️底部反彈
2929.TW  | 淘帝-KY      | B6: -5.92% | DMA: -0.710 | 💸流出 | ❄️跌深轉強
2428.TW  | 興勤         | B6: -5.95% | DMA:-10.990 | 💎流入 | ❄️跌深轉強
2115.TW  | 六暉-KY      | B6: -5.98% | DMA: -2.019 | 💸流出 | ❄️跌深轉強
3013.TW  | 晟銘電        | B6: -6.00% | DMA:-15.990 | 💎流入 | ❄️跌深轉強
6969.TW  | 成信實業*-創    | B6: -6.01% | DMA: -2.711 | 💸流出 | ❄️底部反彈
9914.TW  | 美利達        | B6: -6.02% | DMA:-10.848 | 💸流出 | ❄️跌深轉強
2726.TWO | 雅茗-KY      | B6: -6.09% | DMA: -1.545 | 💎流入 | ❄️跌深轉強
3390.TWO | 旭軟         | B6: -6.11% | DMA: -1.582 | 💸流出 | ❄️跌深轉強
6209.TW  | 今國光        | B6: -6.16% | DMA: -6.338 | 💎流入 | ❄️跌深轉強
1796.TWO | 金穎生技       | B6: -6.34% | DMA: -4.807 | 💎流入 | ❄️底部反彈
2610.TW  | 華航         | B6: -6.35% | DMA: -2.084 | 💸流出 | ❄️跌深轉強
3528.TW  | 安馳         | B6: -6.36% | DMA: -4.122 | 💸流出 | ❄️跌深轉強
6276.TWO | 安鈦克        | B6: -6.39% | DMA: -3.763 | 💎流入 | ❄️底部反彈
6431.TW  | 光麗-KY      | B6: -6.42% | DMA: -3.166 | 💸流出 | ❄️跌深轉強
9910.TW  | 豐泰         | B6: -6.44% | DMA:-11.674 | 💸流出 | ❄️跌深轉強
6921.TW  | 嘉雨思-創      | B6: -6.48% | DMA:  0.126 | 💸流出 | ❄️跌深轉強
1583.TW  | 程泰         | B6: -6.49% | DMA: -2.961 | 💎流入 | ❄️底部反彈
2439.TW  | 美律         | B6: -6.49% | DMA:-12.996 | 💎流入 | ❄️跌深轉強
8444.TWO | 綠河-KY      | B6: -6.52% | DMA: -1.364 | 💸流出 | ❄️跌深轉強
6887.TW  | 寶綠特-KY     | B6: -6.59% | DMA:-10.403 | 💸流出 | ❄️跌深轉強
7584.TWO | 樂意         | B6: -6.61% | DMA: -3.773 | 💎流入 | ❄️跌深轉強
6781.TW  | AES-KY     | B6: -6.72% | DMA:-139.600 | 💎流入 | ❄️底部反彈
7719.TWO | 碳基         | B6: -6.73% | DMA: -5.404 | 💸流出 | ❄️跌深轉強
8103.TW  | 瀚荃         | B6: -6.81% | DMA: -6.436 | 💎流入 | ❄️跌深轉強
2231.TW  | 為升         | B6: -6.84% | DMA: -9.750 | 💎流入 | ❄️跌深轉強
3149.TW  | 正達         | B6: -7.00% | DMA: -2.067 | 💎流入 | ❄️跌深轉強
3229.TW  | 晟鈦         | B6: -7.21% | DMA: -3.424 | 💸流出 | ❄️底部反彈
7788.TW  | 松川精密       | B6: -7.24% | DMA: -5.180 | 💸流出 | ❄️跌深轉強
1616.TW  | 億泰         | B6: -7.33% | DMA: -2.466 | 💸流出 | ❄️跌深轉強
1784.TWO | 訊聯         | B6: -7.37% | DMA:-11.752 | 💸流出 | ❄️跌深轉強
2371.TW  | 大同         | B6: -7.59% | DMA: -3.522 | 💸流出 | ❄️底部反彈
6541.TW  | 泰福-KY      | B6: -7.59% | DMA: -6.777 | 💎流入 | ❄️底部反彈
2466.TW  | 冠西電        | B6: -7.61% | DMA: -9.950 | 💎流入 | ❄️跌深轉強
3322.TWO | 建舜電        | B6: -7.79% | DMA: -1.792 | 💸流出 | ❄️跌深轉強
4438.TW  | 廣越         | B6: -7.80% | DMA: -8.072 | 💸流出 | ❄️跌深轉強
7728.TWO | 光焱科技       | B6: -7.85% | DMA:  8.620 | 💎流入 | ❄️跌深轉強
4968.TW  | 立積         | B6: -7.85% | DMA:-13.240 | 💎流入 | ❄️底部反彈
3056.TW  | 富華新        | B6: -7.87% | DMA: -1.670 | 💸流出 | ❄️底部反彈
6901.TW  | 鑽石投資       | B6: -7.95% | DMA: -1.890 | 💸流出 | ❄️跌深轉強
8437.TWO | 大地-KY      | B6: -7.97% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
6962.TW  | 奕力-KY      | B6: -8.00% | DMA: -5.591 | 💸流出 | ❄️跌深轉強
8291.TWO | 尚茂         | B6: -8.01% | DMA: -2.140 | 💎流入 | ❄️跌深轉強
6533.TW  | 晶心科        | B6: -8.01% | DMA:-36.020 | 💸流出 | ❄️底部反彈
8084.TWO | 巨虹         | B6: -8.04% | DMA: -7.652 | 💸流出 | ❄️跌深轉強
6409.TW  | 旭隼         | B6: -8.20% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
5258.TW  | 虹堡         | B6: -8.32% | DMA:-10.086 | 💸流出 | ❄️跌深轉強
3321.TW  | 同泰         | B6: -8.42% | DMA: -2.279 | 💸流出 | ❄️跌深轉強
5278.TWO | 尚凡*        | B6: -8.46% | DMA: -3.910 | 💸流出 | ❄️跌深轉強
6461.TWO | 益得         | B6: -8.65% | DMA: -1.366 | 💸流出 | ❄️跌深轉強
6412.TW  | 群電         | B6: -8.84% | DMA: -5.338 | 💸流出 | ❄️跌深轉強
6988.TW  | 威力暘-創      | B6: -9.02% | DMA: -1.976 | 💎流入 | ❄️底部反彈
1435.TW  | 中福         | B6: -9.07% | DMA: -2.057 | 💸流出 | ❄️跌深轉強
4561.TWO | 健椿         | B6: -9.14% | DMA: -4.254 | 💸流出 | ❄️跌深轉強
6757.TW  | 台灣虎航       | B6: -9.28% | DMA:-10.166 | 💎流入 | ❄️跌深轉強
7783.TWO | 佳運         | B6: -9.38% | DMA:-17.006 | 💸流出 | ❄️跌深轉強
6890.TW  | 來億-KY      | B6: -9.47% | DMA:-45.000 | 💎流入 | ❄️底部反彈
8044.TWO | 網家         | B6: -9.57% | DMA: -4.127 | 💎流入 | ❄️跌深轉強
5455.TWO | 昇益         | B6: -9.58% | DMA: -3.414 | 💸流出 | ❄️跌深轉強
8054.TWO | 安國         | B6: -9.60% | DMA:-18.830 | 💎流入 | ❄️底部反彈
8069.TWO | 元太         | B6: -9.70% | DMA:-20.790 | 💸流出 | ❄️跌深轉強
6180.TWO | 橘子         | B6: -9.76% | DMA: -5.524 | 💸流出 | ❄️跌深轉強
6239.TW  | 力成         | B6: -9.92% | DMA:-24.310 | 💸流出 | ❄️跌深轉強
1235.TW  | 興泰         | B6:-10.11% | DMA: -4.741 | 💸流出 | ❄️底部反彈
2258.TW  | 鴻華先進-創     | B6:-10.12% | DMA: -5.294 | 💸流出 | ❄️跌深轉強
2431.TW  | 聯昌         | B6:-10.13% | DMA: -1.123 | 💎流入 | ❄️跌深轉強
7799.TW  | 禾榮科        | B6:-10.32% | DMA:-24.830 | 💎流入 | ❄️底部反彈
4439.TW  | 冠星-KY      | B6:-10.54% | DMA:-13.204 | 💸流出 | ❄️跌深轉強
6671.TW  | 三能-KY      | B6:-10.59% | DMA: -3.869 | 💸流出 | ❄️跌深轉強
4804.TWO | 大略-KY      | B6:-10.98% | DMA: -1.176 | 💸流出 | ❄️跌深轉強
6645.TW  | 金萬林-創      | B6:-11.29% | DMA: -2.624 | 💸流出 | ❄️跌深轉強
1338.TW  | 廣華-KY      | B6:-11.41% | DMA: -3.429 | 💸流出 | ❄️底部反彈
5301.TWO | 寶得利        | B6:-11.52% | DMA: -1.143 | 💸流出 | ❄️底部反彈
6212.TWO | 理銘         | B6:-11.53% | DMA: -6.359 | 💸流出 | ❄️底部反彈
1522.TW  | 堤維西        | B6:-11.69% | DMA: -7.963 | 💸流出 | ❄️跌深轉強
00673R.TW | 期元大S&P原油反1 | B6:-12.27% | DMA: -5.871 | 💎流入 | ❄️跌深轉強
6176.TW  | 瑞儀         | B6:-12.55% | DMA:-20.552 | 💸流出 | ❄️底部反彈
7780.TW  | 大研生醫*      | B6:-12.86% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
5546.TW  | 永固-KY      | B6:-12.95% | DMA: -3.540 | 💸流出 | ❄️跌深轉強
2067.TWO | 嘉鋼         | B6:-13.07% | DMA: -1.611 | 💸流出 | ❄️底部反彈
6130.TWO | 上亞科技       | B6:-13.39% | DMA: -7.884 | 💸流出 | ❄️跌深轉強
2923.TW  | 鼎固-KY      | B6:-15.78% | DMA: -2.202 | 💸流出 | ❄️跌深轉強
6550.TW  | 北極星藥業-KY   | B6:-16.45% | DMA: -5.189 | 💸流出 | ❄️跌深轉強
6934.TW  | 心誠鎂        | B6:-20.29% | DMA:  0.000 | 💎流入 | ❄️底部反彈
5521.TW  | 工信         | B6:-27.46% | DMA: -6.610 | 💸流出 | ❄️跌深轉強

【📈趨勢轉折】(數量: 159)
------------------------------------------------------------------------------------------
2605.TW  | 新興         | B6: 10.08% | DMA:  6.404 | 💎流入 | 📈5日穿20日(金叉)
3615.TWO | 安可         | B6:  9.88% | DMA:  5.008 | 💎流入 | 📈5日穿20日(金叉)
3529.TWO | 力旺         | B6:  9.70% | DMA:535.600 | 💎流入 | 📈5日穿20日(金叉)
3508.TWO | 位速         | B6:  8.73% | DMA: 10.344 | 💎流入 | 📈5日穿20日(金叉)
3189.TW  | 景碩         | B6:  8.61% | DMA: 76.489 | 💎流入 | 🔥DMA金叉(起漲)
6509.TWO | 聚和         | B6:  6.28% | DMA:  5.567 | 💎流入 | 📈5日穿20日(金叉)
3701.TW  | 大眾控        | B6:  6.08% | DMA:  4.987 | 💎流入 | 📈5日穿20日(金叉)
00992A.TW | 主動群益科技創新   | B6:  5.45% | DMA:  0.000 | 💎流入 | 📈5日穿20日(金叉)
6761.TWO | 穩得         | B6:  5.01% | DMA: 15.520 | 💎流入 | 📈5日穿20日(金叉)
4768.TWO | 晶呈科技       | B6:  4.89% | DMA: 36.760 | 💎流入 | 📈5日穿20日(金叉)
2313.TW  | 華通         | B6:  4.71% | DMA: 40.370 | 💸流出 | 📈5日穿20日(金叉)
00981A.TW | 主動統一台股增長   | B6:  4.63% | DMA:  2.413 | 💎流入 | 📈5日穿20日(金叉)
4741.TWO | 泓瀚         | B6:  3.98% | DMA:  1.337 | 💎流入 | 📈5日穿20日(金叉)
2413.TW  | 環科         | B6:  3.94% | DMA:  4.038 | 💎流入 | 🔥DMA金叉(起漲)
00991A.TW | 主動復華未來50   | B6:  3.36% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)
3543.TW  | 州巧         | B6:  2.74% | DMA:  2.819 | 💸流出 | 📈5日穿20日(金叉)
00947.TW | 台新臺灣IC設計   | B6:  2.34% | DMA:  1.222 | 💎流入 | 🔥DMA金叉(起漲)
4576.TW  | 大銀微系統      | B6:  1.92% | DMA:  2.500 | 💸流出 | 📈5日穿20日(金叉)
