eps_yoy,prev_eps,pe,eps,status,gm,date,prev_year,name,est_price,price,rev_yoy,expansion,prev_rev_yoy,om,prev_eps_yoy,symbol,advice
166.67,-0.61,0.0,0.06,🔄 轉虧為盈,28.91%,2026-03,2025,中裕,-18.3,58.9000015259,81.97,84.69999999999999,0.19,-58.34%,17.57,4147.TWO,⚪ 數據不足
186.6,2.41,6.832821968880369,2.78,🚀 利潤擴張,33.66%,2026-03,2025,昭輝,97.8,44.5499992371,102.97,83.63,-14.02,13.17%,-51.9,1339.TW,💎 強力關注
392.86,3.02,10.659340799065934,0.7,🚀 利潤擴張,30.84%,2026-03,2025,偉詮電,81.9,58.2000007629,309.82,83.04000000000002,15.32,3.76%,78.06,2436.TW,💎 強力關注
178.26,1.11,31.353135313531354,0.64,🚀 利潤擴張,N/A,2026-03,2025,威鋒電子,45.449999999999996,95.0,97.11,81.14999999999999,-8.83,N/A,-50.67,6756.TW,⚠️ 追價風險
136.36,1.97,14.326923076923078,2.34,🏰 高護城河,89.44%,2026-03,2025,宇峻,77.99999999999999,74.5,62.07,74.29000000000002,2.09,20.17%,-64.44,3546.TWO,✅ 穩健價值
99.93,-1.49,0.0,-0.15,🚀 利潤擴張,N/A,2026-03,2025,奧義賽博-KY創,0.0,81.5,26.64,73.29,22.72,N/A,96.29,7823.TW,⚪ 數據不足
-25.93,-2.43,0.0,-0.68,🌑 雙重衰退,N/A,2026-03,2025,昱泉,-96.44999999999999,13.75,-97.71,71.78,19.25,N/A,-99.18,6169.TWO,⚪ 數據不足
650.0,0.14,0.0,0.3,🚀 利潤擴張,N/A,2026-03,2025,冠好,-17.549999999999997,15.5,578.38,71.62,0.63,N/A,-91.14,8354.TWO,⚪ 數據不足
386.11,2.76,13.768421373873684,1.75,🚀 利潤擴張,25.49%,2026-03,2025,台聯電,71.25,65.4000015259,315.9,70.21000000000004,22.56,0.20%,-5.15,4905.TWO,✅ 穩健價值
121.74,6.33,0.0,1.02,🚀 利潤擴張,N/A,2026-03,2025,創新服務,0.0,1585.0,51.84,69.89999999999999,76.4,N/A,44.08,7828.TWO,⚪ 數據不足
127.27,0.63,10.26143778385621,0.25,🏰 高護城河,90.85%,2026-03,2025,國票金,22.95,15.6999998093,58.58,68.69,4.6,38.94%,3.28,2889.TW,💎 強力關注
107.35,7.13,5.548424648430572,1.41,🏰 高護城河,82.18%,2026-03,2025,麗豐-KY,257.1,95.0999984741,40.15,67.19999999999999,-4.63,20.98%,24.43,4137.TW,💎 強力關注
175.0,-0.38,0.0,0.06,🔄 轉虧為盈,54.59%,2026-03,2025,研勤,-15.3,8.6999998093,110.52,64.48,-28.72,3.73%,-31.03,3632.TWO,⚪ 數據不足
106.9,2.43,0.0,0.6,🚀 利潤擴張,N/A,2026-03,2025,和迅,0.0,45.2999992371,42.91,63.99000000000001,2.38,N/A,-24.06,6986.TWO,⚪ 數據不足
175.0,-1.28,0.0,0.11,🔄 轉虧為盈,31.44%,2026-03,2025,穎漢,-38.1,31.2000007629,111.03,63.97,-7.78,-45.46%,-184.44,4562.TW,⚪ 數據不足
62.5,-3.51,0.0,-0.27,🏰 高護城河,93.22%,2026-03,2025,泰偉,-122.4,18.0,-1.0,63.5,-29.69,-55.72%,-7120.0,3064.TWO,⚪ 數據不足
235.0,2.64,5.250737238067846,1.34,🚀 利潤擴張,N/A,2026-03,2025,群益證,101.7,35.5999984741,171.79,63.21000000000001,12.14,N/A,17.33,6005.TW,💎 強力關注
500.0,0.58,50.07462572701495,0.84,🚀 利潤擴張,N/A,2026-03,2025,車王電,10.049999999999997,33.5499992371,438.18,61.81999999999999,19.69,N/A,152.25,1533.TW,⚠️ 追價風險
600.0,0.74,14.366666158066666,0.56,🚀 利潤擴張,20.98%,2026-03,2025,正隆,22.5,21.5499992371,538.23,61.76999999999998,-4.85,7.12%,34.55,1904.TW,✅ 穩健價值
206.45,2.52,10.869565217391305,1.9,🚀 利潤擴張,N/A,2026-03,2025,日揚,113.85,82.5,150.03,56.41999999999999,-4.59,N/A,-26.32,6208.TWO,💎 強力關注
204.17,1.19,10.363070697697093,1.46,🚀 利潤擴張,N/A,2026-03,2025,強生,72.30000000000001,49.9500007629,148.33,55.839999999999975,-6.81,N/A,-36.9,4747.TWO,💎 強力關注
244.44,-0.6,0.0,0.13,🔄 轉虧為盈,N/A,2026-03,2025,九暘,-18.45,72.5,189.01,55.43000000000001,2.65,N/A,49.15,8040.TWO,⚪ 數據不足
239.47,12.33,2.1075741781503843,2.62,🚀 利潤擴張,41.95%,2026-03,2025,晟德,273.29999999999995,38.4000015259,185.42,54.05000000000001,-6.28,-106.23%,905.92,4123.TWO,💎 強力關注
-2.96,-3.92,0.0,-1.43,🌑 雙重衰退,N/A,2026-03,2025,心誠鎂,0.0,79.5999984741,-55.48,52.519999999999996,-29.22,N/A,-48.08,6934.TW,⚪ 數據不足
147.37,6.82,7.39311163895487,3.29,🚀 利潤擴張,N/A,2026-03,2025,霈方,252.6,124.5,95.63,51.74000000000001,6.51,N/A,66.34,6574.TWO,💎 強力關注
139.49,13.04,0.0,7.68,🚀 利潤擴張,N/A,2026-03,2025,永擎,0.0,0.0,91.93,47.56,182.72,N/A,38.44,7711.TW,⚪ 數據不足
406.06,1.5,13.632075291745283,1.01,🚀 利潤擴張,N/A,2026-03,2025,廣寰科,31.8,28.8999996185,359.48,46.579999999999984,23.54,N/A,-36.17,3287.TWO,✅ 穩健價值
112.5,5.29,2.425793322712385,0.03,🚀 利潤擴張,N/A,2026-03,2025,琉園,146.54999999999998,23.7000007629,66.65,45.849999999999994,-17.0,N/A,544.54,9949.TWO,💎 強力關注
55.17,4.85,7.745865970409051,0.46,🚀 利潤擴張,N/A,2026-03,2025,漢達,172.35,89.0,15.93,39.24,108.17,N/A,31.64,6620.TWO,💎 強力關注
300.0,0.12,0.0,0.08,🚀 利潤擴張,20.64%,2026-03,2025,威盛,-30.6,73.9000015259,264.14,35.860000000000014,-40.0,-8.17%,-93.75,2388.TW,⚪ 數據不足
190.24,2.15,11.282051002582417,1.19,🏰 高護城河,50.66%,2026-03,2025,禾瑞亞,81.9,61.5999984741,156.04,34.20000000000002,1.24,14.95%,-5.7,3556.TWO,💎 強力關注
42.62,2.99,0.0,0.87,🚀 利潤擴張,N/A,2026-03,2025,神數,0.0,41.0999984741,10.24,32.379999999999995,19.28,N/A,91.67,7821.TW,⚪ 數據不足
34.92,7.56,0.0,11.94,🚀 利潤擴張,35.24%,2025-12,2025,未知,0.0,0.0,6.33,28.590000000000003,15.19,30.89%,-17.2,2072.TWO,⚪ 數據不足
23.4,-1.89,0.0,-0.36,🧐 疑業外收益,N/A,2026-03,2025,向榮生技,-70.05,77.5,-3.86,27.259999999999998,-5.58,N/A,-13.21,6794.TW,⚪ 數據不足
450.0,-0.45,0.0,0.11,🔄 轉虧為盈,23.39%,2026-03,2025,南緯,-28.950000000000003,10.1499996185,422.96,27.04000000000002,2.23,1.90%,-197.83,1467.TW,⚪ 數據不足
42.86,3.24,0.0,1.62,🚀 利潤擴張,N/A,2026-03,2025,頌勝科技,0.0,275.0,16.63,26.23,3.08,N/A,-27.83,7768.TW,⚪ 數據不足
42.86,3.24,0.0,1.62,🚀 利潤擴張,N/A,2026-03,2025,未知,0.0,0.0,16.63,26.23,3.08,N/A,-27.83,7768.TWO,⚪ 數據不足
38.11,13.61,0.0,4.33,🚀 利潤擴張,21.29%,2026-03,2025,大東電,0.0,0.0,12.42,25.689999999999998,20.5,16.93%,11.37,1623.TW,⚪ 數據不足
83.05,2.74,9.19034047559659,1.08,🏰 高護城河,80.00%,2026-03,2025,元大金,105.6,64.6999969482,62.36,20.689999999999998,6.4,33.03%,-1.08,2885.TW,💎 強力關注
45.45,0.85,13.632286824439463,0.32,🚀 利潤擴張,N/A,2026-03,2025,中連,33.45,30.3999996185,25.49,19.960000000000004,0.36,N/A,-66.0,5604.TWO,✅ 穩健價值
470.83,0.76,9.817073403353659,0.89,🚀 利潤擴張,N/A,2026-03,2025,宏遠證,24.599999999999998,16.1000003815,451.29,19.539999999999964,0.56,N/A,-11.63,6015.TWO,💎 強力關注
45.71,-0.61,0.0,-0.19,🚀 利潤擴張,N/A,2026-03,2025,力新,-30.900000000000002,12.5,26.81,18.900000000000002,-8.35,N/A,-134.86,5202.TWO,⚪ 數據不足
41.03,1.9,8.771186763961865,0.55,🏰 高護城河,97.25%,2026-03,2025,華南金,70.8,41.4000015259,22.97,18.060000000000002,4.06,45.93%,13.1,2880.TW,💎 強力關注
234.78,0.81,172.3076923076923,0.31,🚀 利潤擴張,31.93%,2026-03,2025,博磊,9.75,112.0,216.8,17.97999999999999,13.9,8.13%,35.0,3581.TWO,⚠️ 追價風險
33.33,0.68,7.678571201488095,0.2,🏰 高護城河,89.95%,2026-03,2025,高雄銀,25.200000000000003,12.8999996185,16.1,17.229999999999997,14.52,32.37%,28.3,2836.TW,💎 強力關注
331.43,0.15,541.875,1.67,🚀 利潤擴張,N/A,2026-03,2025,環宇-KY,11.999999999999998,433.5,316.27,15.160000000000025,25.43,N/A,107.11,4991.TWO,⚠️ 追價風險
10.53,2.91,0.0,0.42,🧐 疑業外收益,N/A,2026-03,2025,精誠金融,0.0,35.5999984741,-1.82,12.35,10.14,N/A,14.12,7819.TWO,⚪ 數據不足
34.04,1.74,8.057742982388453,0.69,🏰 高護城河,78.38%,2026-03,2025,凱基金,57.14999999999999,30.7000007629,22.04,12.0,-12.26,39.14%,-10.99,2883.TW,💎 強力關注
52.29,-2.92,0.0,-0.53,🚀 利潤擴張,N/A,2026-03,2025,華安,-109.2,33.0499992371,41.94,10.350000000000001,-0.97,N/A,-14.12,6657.TW,⚪ 數據不足
29.13,25.6,38.46153846153846,7.98,🏰 高護城河,100.00%,2026-03,2025,力旺,947.7,2430.0,19.99,9.14,6.74,60.64%,4.19,3529.TWO,⚠️ 追價風險
283.33,-0.43,0.0,0.23,🔄 轉虧為盈,24.77%,2026-03,2025,宏亞,-14.25,23.5,274.7,8.629999999999995,-8.31,-4.59%,-53.57,1236.TW,⚪ 數據不足
153.49,-3.35,0.0,0.25,🔄 轉虧為盈,27.77%,2026-03,2025,岱宇,-89.10000000000001,19.6000003815,145.6,7.890000000000015,-15.19,-13.99%,-827.91,1598.TW,⚪ 數據不足
56.0,4.66,7.541345261951488,0.39,🚀 利潤擴張,N/A,2026-03,2025,全景軟體,136.05,68.4000015259,48.18,7.82,15.86,N/A,24.93,8272.TWO,✅ 穩健價值
37.5,0.38,26.944444444444443,0.11,🏰 高護城河,84.77%,2026-03,2025,欣欣,13.5,24.25,30.02,7.48,-2.15,20.24%,-7.32,2901.TW,⚠️ 追價風險
-5.56,-0.92,0.0,-0.19,🌑 雙重衰退,N/A,2026-03,2025,未知,0.0,0.0,-11.29,5.7299999999999995,-3.6,N/A,14.95,4178.TWO,⚪ 數據不足
-5.56,-0.92,0.0,-0.19,🌑 雙重衰退,N/A,2026-03,2025,永笙-KY,0.0,18.5,-11.29,5.7299999999999995,-3.6,N/A,14.95,4178.TW,⚪ 數據不足
114.29,0.99,6.37971680120283,1.5,🚀 利潤擴張,N/A,2026-03,2025,詩肯,63.6,27.0499992371,109.17,5.1200000000000045,-3.57,N/A,-38.13,6195.TWO,✅ 穩健價值
16.67,2.36,8.058727818254487,0.63,🏰 高護城河,83.45%,2026-03,2025,兆豐金,91.94999999999999,49.4000015259,12.57,4.100000000000001,-1.77,33.61%,0.85,2886.TW,✅ 穩健價值
16.67,0.25,72.5510188512245,0.07,🏰 高護城河,73.82%,2026-03,2025,聯傑,7.35,35.5499992371,12.87,3.8000000000000025,13.2,-7.29%,41.18,3094.TW,⚠️ 追價風險
300.0,-0.43,0.0,0.24,🔄 轉虧為盈,N/A,2026-03,2025,亞電,-22.2,60.4000015259,296.51,3.490000000000009,-8.05,N/A,-326.32,4939.TWO,⚪ 數據不足
5.8,2.56,0.0,0.73,🚀 利潤擴張,N/A,2026-03,2025,達人網,0.0,45.5999984741,2.45,3.3499999999999996,8.14,N/A,18.52,7839.TWO,⚪ 數據不足
35.9,0.58,49.38271604938272,-0.25,🚀 利潤擴張,N/A,2026-03,2025,能率亞洲,12.149999999999999,40.0,32.83,3.0700000000000003,15.88,N/A,-16.92,7777.TWO,⚠️ 追價風險
71.15,2.35,4.910313673258594,0.89,🏰 高護城河,64.17%,2026-03,2025,米斯特,100.35000000000001,32.8499984741,68.9,2.25,12.71,2.03%,-27.47,2941.TWO,✅ 穩健價值
38.89,0.61,5.919540339482759,0.28,🏰 高護城河,91.47%,2026-03,2025,王道銀行,26.1,10.3000001907,36.86,2.030000000000001,-2.09,32.72%,-35.48,2897.TW,✅ 穩健價值
43.18,-1.59,0.0,-0.26,🚀 利潤擴張,N/A,2026-03,2025,佐登-KY,-73.20000000000002,26.7000007629,42.24,0.9399999999999977,1.27,N/A,67.52,4190.TW,⚪ 數據不足
