eps,prev_eps_yoy,prev_rev_yoy,name,symbol,pe,price,expansion,est_price,eps_yoy,rev_yoy,om,advice,prev_eps,gm,date,status,prev_year
0.2,-197.14,-2.21,高鋒,4510.TWO,0.0,41.7999992371,556.87,-36.6,1100.0,543.13,-1.97%,⚪ 數據不足,-1.02,14.87%,2026-03,🔄 轉虧為盈,2025
0.26,-40.68,-19.66,微端,3285.TWO,37.904761178190476,39.7999992371,511.73,15.75,1200.0,688.27,8.69%,⚠️ 追價風險,0.7,28.61%,2026-03,🚀 利潤擴張,2025
1.64,222.58,20.92,GOGOLOOK,6902.TW,35.73487031700289,124.0,487.52,52.05,530.77,43.25,N/A,⚠️ 追價風險,1.58,N/A,2026-03,🚀 利潤擴張,2025
0.46,74.6,5.06,鑫永洋,6241.TWO,0.0,15.4499998093,484.25,-7.499999999999999,820.0,335.75,N/A,⚪ 數據不足,-0.16,N/A,2026-03,🔄 轉虧為盈,2025
0.22,-42.59,-6.1,綠電,8440.TWO,33.89830508474576,20.0,472.41999999999996,8.850000000000001,1200.0,727.58,N/A,⚠️ 追價風險,0.31,N/A,2026-03,🚀 利潤擴張,2025
1.21,-1.45,-41.11,富田-創,4590.TW,0.0,88.3000030518,444.74,0.0,418.92,-25.82,-0.34%,⚪ 數據不足,2.72,30.54%,2026-03,🧐 疑業外收益,2025
0.25,-34.67,11.66,麗正,2302.TW,35.8620676500862,41.5999984741,412.3,17.400000000000002,600.0,187.7,11.05%,⚠️ 追價風險,0.49,36.04%,2026-03,🚀 利潤擴張,2025
2.25,576.92,9.55,華邦電,2344.TW,58.82352941176471,160.0,390.63,40.8,1037.5,646.87,15.37%,⚠️ 追價風險,0.88,41.86%,2026-03,🚀 利潤擴張,2025
0.41,5.88,28.36,宏�砦C戲-創,6908.TW,0.0,30.8500003815,381.05,0.0,387.5,6.45,N/A,⚪ 數據不足,1.44,N/A,2026-03,🚀 利潤擴張,2025
1.59,-49.65,-15.3,應廣,6716.TWO,22.150735294117645,120.5,356.01,81.60000000000001,715.79,359.78,N/A,⚠️ 追價風險,2.19,N/A,2026-03,🚀 利潤擴張,2025
0.24,207.35,9.95,寶碩,5210.TWO,21.884615971461542,28.4500007629,342.59000000000003,19.499999999999996,380.0,37.41,N/A,⚪ 中性觀察,0.73,N/A,2026-03,🚀 利潤擴張,2025
0.99,90.52,25.85,鈺鎧,5228.TWO,0.0,39.5,339.47,-8.4,1090.0,750.53,N/A,⚪ 數據不足,-0.2,N/A,2026-03,🔄 轉虧為盈,2025
1.42,1.73,5.96,亞洲藏壽司,2754.TWO,11.393841661555916,70.3000030518,338.21999999999997,92.55,517.65,179.43,N/A,💎 強力關注,2.35,N/A,2026-03,🚀 利潤擴張,2025
0.13,170.59,-3.75,旭然,4556.TWO,51.363637230624995,90.4000015259,312.59000000000003,26.4,550.0,237.41,14.30%,⚠️ 追價風險,0.92,42.07%,2026-03,🚀 利潤擴張,2025
0.15,-29.63,-5.82,協禧,3071.TWO,13.583815028901734,23.5,306.68,25.95,650.0,343.32,7.94%,✅ 穩健價值,0.57,30.11%,2026-03,🚀 利潤擴張,2025
68.8,3.78,23.29,群聯,8299.TWO,13.839221856672866,1935.0,293.43999999999994,2097.2999999999997,1143.3,849.86,N/A,✅ 穩健價值,41.98,N/A,2026-03,🚀 利潤擴張,2025
0.67,-150.59,-14.91,慧智,6615.TWO,0.0,33.6500015259,276.36999999999995,-2.2499999999999996,546.67,270.3,N/A,⚪ 數據不足,-0.43,N/A,2026-03,🔄 轉虧為盈,2025
0.27,550.0,0.1,康舒,6282.TW,0.0,42.5,268.97,-9.150000000000002,640.0,371.03,N/A,⚪ 數據不足,0.18,N/A,2026-03,🚀 利潤擴張,2025
0.38,55.83,5.03,三貝德,8489.TWO,0.0,21.75,258.58,-20.1,445.45,186.87,N/A,⚪ 數據不足,-0.76,N/A,2026-03,🔄 轉虧為盈,2025
4.49,8050.0,0.89,事欣科,4916.TW,11.70822961669576,93.9000015259,228.27999999999997,120.3,701.79,473.51,8.07%,💎 強力關注,1.77,18.73%,2026-03,🚀 利潤擴張,2025
2.97,-66.67,-3.15,銘旺實,4432.TWO,5.28911571112245,15.5500001907,226.35000000000002,44.1,518.75,292.4,N/A,💎 強力關注,0.88,N/A,2026-03,🚀 利潤擴張,2025
0.45,51.72,-61.59,中美實,4702.TWO,9.428571195,9.2399997711,217.69,14.700000000000001,350.0,132.31,-88.29%,💎 強力關注,0.88,35.38%,2026-03,🚀 利潤擴張,2025
3.8,33.97,5.83,東哥遊艇,8478.TW,4.314797933758736,142.0,215.22999999999996,493.65000000000003,512.9,297.67,N/A,💎 強力關注,13.25,N/A,2026-03,🚀 利潤擴張,2025
0.66,-21.15,3.39,大亞,1609.TW,7.299412766555773,37.2999992371,211.49,76.65,925.0,713.51,8.70%,💎 強力關注,1.65,13.61%,2026-03,🚀 利潤擴張,2025
0.47,-80.0,3.55,聯嘉投控,3717.TW,0.0,21.1000003815,186.79000000000002,0.0,213.33,26.54,7.12%,⚪ 數據不足,0.08,19.34%,2026-03,🚀 利潤擴張,2025
0.33,-280.2,-10.9,巨虹,8084.TWO,0.0,41.0999984741,185.94,-43.199999999999996,266.67,80.73,N/A,⚪ 數據不足,-1.82,N/A,2026-03,🔄 轉虧為盈,2025
2.65,25.64,18.23,東浦,3290.TWO,7.336523125996811,46.0,185.43999999999994,94.05,728.13,542.69,14.85%,💎 強力關注,2.02,30.40%,2026-03,🚀 利潤擴張,2025
0.09,-177.27,-15.68,同協,5460.TWO,0.0,16.6000003815,164.05,-7.95,550.0,385.95,N/A,⚪ 數據不足,-0.17,N/A,2026-03,🔄 轉虧為盈,2025
0.53,1640.0,32.98,未知,4582.TWO,0.0,0.0,160.65000000000003,0.0,276.67,116.02,N/A,⚪ 數據不足,1.54,N/A,2026-03,🚀 利潤擴張,2025
0.53,1640.0,32.98,聚恆-創,4582.TW,0.0,22.3500003815,160.65000000000003,0.0,276.67,116.02,N/A,⚪ 數據不足,1.54,N/A,2026-03,🚀 利潤擴張,2025
0.06,-219.05,-2.43,鼎元,2426.TW,0.0,93.3000030518,157.99,-6.6,700.0,542.01,-2.91%,⚪ 數據不足,-0.25,10.78%,2026-03,🔄 轉虧為盈,2025
0.28,54.55,2.69,圓剛,2417.TW,0.0,38.0499992371,156.05,-25.049999999999997,264.29,108.24,8.42%,⚪ 數據不足,-0.19,56.31%,2026-03,🔄 轉虧為盈,2025
0.28,-125.22,-4.25,成霖,9934.TW,140.71429116428558,9.8500003815,152.34,1.050000000000001,366.67,214.33,N/A,⚠️ 追價風險,-0.29,N/A,2026-03,🔄 轉虧為盈,2025
1.1,-77.02,7.13,六角,2732.TWO,28.976743831209294,62.2999992371,142.32,32.250000000000014,323.08,180.76,N/A,⚠️ 追價風險,1.09,N/A,2026-03,🚀 利潤擴張,2025
1.03,-38.68,5.8,醫揚,6569.TWO,14.227768634664585,91.1999969482,134.17000000000002,96.15,442.11,307.94,N/A,✅ 穩健價值,2.88,N/A,2026-03,🚀 利潤擴張,2025
1.57,921.74,17.09,凌華,6166.TW,19.488536155202823,110.5,133.17000000000002,85.05,406.45,273.28,N/A,⚪ 中性觀察,2.35,N/A,2026-03,🚀 利潤擴張,2025
3.44,884.75,82.29,聯亞,3081.TWO,225.0,2745.0,130.47000000000003,183.0,645.65,515.18,41.27%,⚠️ 追價風險,4.66,54.76%,2026-03,🏰 高護城河,2025
2.21,-20.59,-14.96,奇偶,3356.TW,6.084621066931125,69.7906036377,115.32000000000001,172.05,228.49,113.17,N/A,💎 強力關注,6.21,N/A,2026-03,🚀 利潤擴張,2025
0.29,-84.51,-4.81,美達科技,6735.TWO,0.0,60.0,114.74000000000001,-7.200000000000001,383.33,268.59,N/A,⚪ 數據不足,0.33,N/A,2026-03,🚀 利潤擴張,2025
-0.02,-365.71,-7.78,益航,2601.TW,0.0,6.3800001144,109.06,-33.6,87.5,-21.56,-12.62%,⚪ 數據不足,-1.63,102.69%,2026-03,🏰 高護城河,2025
0.37,-45.51,-5.33,暉盛-創,7730.TW,49.70414201183432,168.0,108.44,50.699999999999996,270.0,161.56,N/A,⚠️ 追價風險,1.73,N/A,2026-03,🚀 利潤擴張,2025
0.66,152.83,-16.81,麗嬰房,2911.TW,0.0,6.2800002098,96.19000000000001,-40.05,163.46,67.27,N/A,⚪ 數據不足,2.15,N/A,2026-03,🚀 利潤擴張,2025
0.3,-46.91,-7.4,網龍,3083.TWO,25.517242256206895,22.2000007629,92.64,13.05,150.0,57.36,12.73%,⚠️ 追價風險,0.43,87.57%,2026-03,🏰 高護城河,2025
0.49,104.41,14.16,青松健康,6931.TW,13.468013468013467,40.0,89.48000000000002,44.550000000000004,1080.0,990.52,N/A,✅ 穩健價值,1.39,N/A,2026-03,🚀 利潤擴張,2025
0.28,-169.49,-18.58,宏佳騰,1599.TWO,0.0,23.6499996185,88.79000000000002,-24.299999999999994,575.0,486.21,-21.33%,⚪ 數據不足,-0.84,16.92%,2026-03,🔄 轉虧為盈,2025
0.06,17.57,0.19,中裕,4147.TWO,0.0,59.9000015259,84.69999999999999,-18.3,166.67,81.97,-58.34%,⚪ 數據不足,-0.61,28.91%,2026-03,🔄 轉虧為盈,2025
2.78,-51.9,-14.02,昭輝,1339.TW,6.510736313328221,42.4500007629,83.63,97.8,186.6,102.97,13.17%,💎 強力關注,2.41,33.66%,2026-03,🚀 利潤擴張,2025
0.7,78.06,15.32,偉詮電,2436.TW,12.4358977153663,67.9000015259,83.04000000000002,81.9,392.86,309.82,3.76%,✅ 穩健價值,3.02,30.84%,2026-03,🚀 利潤擴張,2025
0.64,-50.67,-8.83,威鋒電子,6756.TW,31.18811881188119,94.5,81.14999999999999,45.449999999999996,178.26,97.11,N/A,⚠️ 追價風險,1.11,N/A,2026-03,🚀 利潤擴張,2025
2.34,-64.44,2.09,宇峻,3546.TWO,13.923077216519232,72.4000015259,74.29000000000002,77.99999999999999,136.36,62.07,20.17%,✅ 穩健價值,1.97,89.44%,2026-03,🏰 高護城河,2025
-0.15,96.29,22.72,奧義賽博-KY創,7823.TW,0.0,81.8000030518,73.29,0.0,99.93,26.64,N/A,⚪ 數據不足,-1.49,N/A,2026-03,🚀 利潤擴張,2025
-0.68,-99.18,19.25,昱泉,6169.TWO,0.0,12.1499996185,71.78,-96.44999999999999,-25.93,-97.71,N/A,⚪ 數據不足,-2.43,N/A,2026-03,🌑 雙重衰退,2025
0.3,-91.14,0.63,冠好,8354.TWO,0.0,17.0,71.62,-17.549999999999997,650.0,578.38,N/A,⚪ 數據不足,0.14,N/A,2026-03,🚀 利潤擴張,2025
1.75,-5.15,22.56,台聯電,4905.TWO,16.31578947368421,77.5,70.21000000000004,71.25,386.11,315.9,0.20%,⚪ 中性觀察,2.76,25.49%,2026-03,🚀 利潤擴張,2025
1.02,44.08,76.4,創新服務,7828.TWO,0.0,1950.0,69.89999999999999,0.0,121.74,51.84,N/A,⚪ 數據不足,6.33,N/A,2026-03,🚀 利潤擴張,2025
0.25,3.28,4.6,國票金,2889.TW,11.143790351045752,17.0499992371,68.69,22.95,127.27,58.58,38.94%,💎 強力關注,0.63,90.85%,2026-03,🏰 高護城河,2025
1.41,24.43,-4.63,麗豐-KY,4137.TW,4.451575440595099,76.3000030518,67.19999999999999,257.1,107.35,40.15,20.98%,💎 強力關注,7.13,82.18%,2026-03,🏰 高護城河,2025
0.06,-31.03,-28.72,研勤,3632.TWO,0.0,7.1100001335,64.48,-15.3,175.0,110.52,3.73%,⚪ 數據不足,-0.38,54.59%,2026-03,🔄 轉虧為盈,2025
0.6,-24.06,2.38,和迅,6986.TWO,0.0,40.3499984741,63.99000000000001,0.0,106.9,42.91,N/A,⚪ 數據不足,2.43,N/A,2026-03,🚀 利潤擴張,2025
0.11,-184.44,-7.78,穎漢,4562.TW,0.0,29.0499992371,63.97,-38.1,175.0,111.03,-45.46%,⚪ 數據不足,-1.28,31.44%,2026-03,🔄 轉虧為盈,2025
-0.27,-7120.0,-29.69,泰偉,3064.TWO,0.0,16.8999996185,63.5,-122.4,62.5,-1.0,-55.72%,⚪ 數據不足,-3.51,93.22%,2026-03,🏰 高護城河,2025
1.34,17.33,12.14,群益證,6005.TW,4.734513049277286,32.0999984741,63.21000000000001,101.7,235.0,171.79,N/A,💎 強力關注,2.64,N/A,2026-03,🚀 利潤擴張,2025
0.84,152.25,19.69,車王電,1533.TW,45.22387945835822,30.2999992371,61.81999999999999,10.049999999999997,500.0,438.18,N/A,⚠️ 追價風險,0.58,N/A,2026-03,🚀 利潤擴張,2025
0.56,34.55,-4.85,正隆,1904.TW,16.533332824733332,24.7999992371,61.76999999999998,22.5,600.0,538.23,7.12%,⚪ 中性觀察,0.74,20.98%,2026-03,🚀 利潤擴張,2025
1.9,-26.32,-4.59,日揚,6208.TWO,9.63109334309618,73.0999984741,56.41999999999999,113.85,206.45,150.03,N/A,💎 強力關注,2.52,N/A,2026-03,🚀 利潤擴張,2025
1.46,-36.9,-6.81,強生,4747.TWO,5.186721991701244,25.0,55.839999999999975,72.30000000000001,204.17,148.33,N/A,💎 強力關注,1.19,N/A,2026-03,🚀 利潤擴張,2025
0.13,49.15,2.65,九暘,8040.TWO,0.0,78.0999984741,55.43000000000001,-18.45,244.44,189.01,N/A,⚪ 數據不足,-0.6,N/A,2026-03,🔄 轉虧為盈,2025
2.62,905.92,-6.28,晟德,4123.TWO,1.6657519419045006,30.3500003815,54.05000000000001,273.29999999999995,239.47,185.42,-106.23%,💎 強力關注,12.33,41.95%,2026-03,🚀 利潤擴張,2025
-1.43,-48.08,-29.22,心誠鎂,6934.TW,0.0,73.0999984741,52.519999999999996,0.0,-2.96,-55.48,N/A,⚪ 數據不足,-3.92,N/A,2026-03,🌑 雙重衰退,2025
3.29,66.34,6.51,霈方,6574.TWO,7.096199524940618,119.5,51.74000000000001,252.6,147.37,95.63,N/A,💎 強力關注,6.82,N/A,2026-03,🚀 利潤擴張,2025
7.68,38.44,182.72,永擎,7711.TW,0.0,0.0,47.56,0.0,139.49,91.93,N/A,⚪ 數據不足,13.04,N/A,2026-03,🚀 利潤擴張,2025
1.01,-36.17,23.54,廣寰科,3287.TWO,16.41509397976415,34.7999992371,46.579999999999984,31.8,406.06,359.48,N/A,⚪ 中性觀察,1.5,N/A,2026-03,🚀 利潤擴張,2025
0.03,544.54,-17.0,琉園,9949.TWO,2.4513818590481065,23.9500007629,45.849999999999994,146.54999999999998,112.5,66.65,N/A,💎 強力關注,5.29,N/A,2026-03,🚀 利潤擴張,2025
0.46,31.64,108.17,漢達,6620.TWO,11.053089643167972,127.0,39.24,172.35,55.17,15.93,N/A,💎 強力關注,4.85,N/A,2026-03,🚀 利潤擴張,2025
0.08,-93.75,-40.0,威盛,2388.TW,0.0,72.3000030518,35.860000000000014,-30.6,300.0,264.14,-8.17%,⚪ 數據不足,0.12,20.64%,2026-03,🚀 利潤擴張,2025
1.19,-5.7,1.24,禾瑞亞,3556.TWO,10.238095517564103,55.9000015259,34.20000000000002,81.9,190.24,156.04,14.95%,💎 強力關注,2.15,50.66%,2026-03,🏰 高護城河,2025
0.87,91.67,19.28,神數,7821.TW,0.0,38.7000007629,32.379999999999995,0.0,42.62,10.24,N/A,⚪ 數據不足,2.99,N/A,2026-03,🚀 利潤擴張,2025
11.94,-17.2,15.19,未知,2072.TWO,0.0,0.0,28.590000000000003,0.0,34.92,6.33,30.89%,⚪ 數據不足,7.56,35.24%,2025-12,🚀 利潤擴張,2025
-0.36,-13.21,-5.58,向榮生技,6794.TW,0.0,76.5,27.259999999999998,-70.05,23.4,-3.86,N/A,⚪ 數據不足,-1.89,N/A,2026-03,🧐 疑業外收益,2025
0.11,-197.83,2.23,南緯,1467.TW,0.0,7.9499998093,27.04000000000002,-28.950000000000003,450.0,422.96,1.90%,⚪ 數據不足,-0.45,23.39%,2026-03,🔄 轉虧為盈,2025
1.62,-27.83,3.08,頌勝科技,7768.TW,0.0,255.5,26.23,0.0,42.86,16.63,N/A,⚪ 數據不足,3.24,N/A,2026-03,🚀 利潤擴張,2025
1.62,-27.83,3.08,未知,7768.TWO,0.0,0.0,26.23,0.0,42.86,16.63,N/A,⚪ 數據不足,3.24,N/A,2026-03,🚀 利潤擴張,2025
4.33,11.37,20.5,大東電,1623.TW,0.0,0.0,25.689999999999998,0.0,38.11,12.42,16.93%,⚪ 數據不足,13.61,21.29%,2026-03,🚀 利潤擴張,2025
1.08,-1.08,6.4,元大金,2885.TW,10.056818615312501,70.8000030518,20.689999999999998,105.6,83.05,62.36,33.03%,💎 強力關注,2.74,80.00%,2026-03,🏰 高護城河,2025
0.32,-66.0,0.36,中連,5604.TWO,13.991031732242153,31.2000007629,19.960000000000004,33.45,45.45,25.49,N/A,✅ 穩健價值,0.85,N/A,2026-03,🚀 利潤擴張,2025
0.89,-11.63,0.56,宏遠證,6015.TWO,10.579268525304878,17.3500003815,19.539999999999964,24.599999999999998,470.83,451.29,N/A,💎 強力關注,0.76,N/A,2026-03,🚀 利潤擴張,2025
-0.19,-134.86,-8.35,力新,5202.TWO,0.0,12.8999996185,18.900000000000002,-30.900000000000002,45.71,26.81,N/A,⚪ 數據不足,-0.61,N/A,2026-03,🚀 利潤擴張,2025
0.55,13.1,4.06,華南金,2880.TW,9.80932187226695,46.2999992371,18.060000000000002,70.8,41.03,22.97,45.93%,💎 強力關注,1.9,97.25%,2026-03,🏰 高護城河,2025
0.31,35.0,13.9,博磊,3581.TWO,148.46153846153845,96.5,17.97999999999999,9.75,234.78,216.8,8.13%,⚠️ 追價風險,0.81,31.93%,2026-03,🚀 利潤擴張,2025
0.2,28.3,14.52,高雄銀,2836.TW,7.321428684940476,12.3000001907,17.229999999999997,25.200000000000003,33.33,16.1,32.37%,💎 強力關注,0.68,89.95%,2026-03,🏰 高護城河,2025
1.67,107.11,25.43,環宇-KY,4991.TWO,556.25,445.0,15.160000000000025,11.999999999999998,331.43,316.27,N/A,⚠️ 追價風險,0.15,N/A,2026-03,🚀 利潤擴張,2025
0.42,14.12,10.14,精誠金融,7819.TWO,0.0,34.0999984741,12.35,0.0,10.53,-1.82,N/A,⚪ 數據不足,2.91,N/A,2026-03,🧐 疑業外收益,2025
0.69,-10.99,-12.26,凱基金,2883.TW,10.183726833884517,38.7999992371,12.0,57.14999999999999,34.04,22.04,39.14%,💎 強力關注,1.74,78.38%,2026-03,🏰 高護城河,2025
-0.53,-14.12,-0.97,華安,6657.TW,0.0,33.8499984741,10.350000000000001,-109.2,52.29,41.94,N/A,⚪ 數據不足,-2.92,N/A,2026-03,🚀 利潤擴張,2025
7.98,4.19,6.74,力旺,3529.TWO,43.20987654320988,2730.0,9.14,947.7,29.13,19.99,60.64%,⚠️ 追價風險,25.6,100.00%,2026-03,🏰 高護城河,2025
0.23,-53.57,-8.31,宏亞,1236.TW,0.0,25.8500003815,8.629999999999995,-14.25,283.33,274.7,-4.59%,⚪ 數據不足,-0.43,24.77%,2026-03,🔄 轉虧為盈,2025
0.25,-827.91,-15.19,岱宇,1598.TW,0.0,20.3999996185,7.890000000000015,-89.10000000000001,153.49,145.6,-13.99%,⚪ 數據不足,-3.35,27.77%,2026-03,🔄 轉虧為盈,2025
0.39,24.93,15.86,全景軟體,8272.TWO,7.166482910694597,65.0,7.82,136.05,56.0,48.18,N/A,✅ 穩健價值,4.66,N/A,2026-03,🚀 利潤擴張,2025
0.11,-7.32,-2.15,欣欣,2901.TW,26.11111111111111,23.5,7.48,13.5,37.5,30.02,20.24%,⚠️ 追價風險,0.38,84.77%,2026-03,🏰 高護城河,2025
-0.19,14.95,-3.6,未知,4178.TWO,0.0,0.0,5.7299999999999995,0.0,-5.56,-11.29,N/A,⚪ 數據不足,-0.92,N/A,2026-03,🌑 雙重衰退,2025
-0.19,14.95,-3.6,永笙-KY,4178.TW,0.0,16.6499996185,5.7299999999999995,0.0,-5.56,-11.29,N/A,⚪ 數據不足,-0.92,N/A,2026-03,🌑 雙重衰退,2025
1.5,-38.13,-3.57,詩肯,6195.TWO,6.580188589268868,27.8999996185,5.1200000000000045,63.6,114.29,109.17,N/A,✅ 穩健價值,0.99,N/A,2026-03,🚀 利潤擴張,2025
0.63,0.85,-1.77,兆豐金,2886.TW,8.564437194127244,52.5,4.100000000000001,91.94999999999999,16.67,12.57,33.61%,✅ 穩健價值,2.36,83.45%,2026-03,🏰 高護城河,2025
0.07,41.18,13.2,聯傑,3094.TW,89.79591836734694,44.0,3.8000000000000025,7.35,16.67,12.87,-7.29%,⚠️ 追價風險,0.25,73.82%,2026-03,🏰 高護城河,2025
0.24,-326.32,-8.05,亞電,4939.TWO,0.0,80.5999984741,3.490000000000009,-22.2,300.0,296.51,N/A,⚪ 數據不足,-0.43,N/A,2026-03,🔄 轉虧為盈,2025
0.73,18.52,8.14,達人網,7839.TWO,0.0,43.3499984741,3.3499999999999996,0.0,5.8,2.45,N/A,⚪ 數據不足,2.56,N/A,2026-03,🚀 利潤擴張,2025
-0.25,-16.92,15.88,能率亞洲,7777.TWO,44.2592573754321,35.8499984741,3.0700000000000003,12.149999999999999,35.9,32.83,N/A,⚠️ 追價風險,0.58,N/A,2026-03,🚀 利潤擴張,2025
0.89,-27.47,12.71,米斯特,2941.TWO,4.5889388285351265,30.7000007629,2.25,100.35000000000001,71.15,68.9,2.03%,✅ 穩健價值,2.35,64.17%,2026-03,🏰 高護城河,2025
0.28,-35.48,-2.09,王道銀行,2897.TW,6.4655172413793105,11.25,2.030000000000001,26.1,38.89,36.86,32.72%,✅ 穩健價值,0.61,91.47%,2026-03,🏰 高護城河,2025
-0.26,67.52,1.27,佐登-KY,4190.TW,0.0,25.8999996185,0.9399999999999977,-73.20000000000002,43.18,42.24,N/A,⚪ 數據不足,-1.59,N/A,2026-03,🚀 利潤擴張,2025
