om,prev_rev_yoy,date,advice,name,prev_year,prev_eps,pe,prev_eps_yoy,eps_yoy,expansion,symbol,gm,price,rev_yoy,eps,est_price,status
-53.06%,-6.66,2025-12,⚪ 數據不足,冠西電,2025,0.98,0.0,230.67,241.18,255.45000000000002,2466.TW,-4.21%,44.0,-14.27,0.25,-8.100000000000001,🧐 疑業外收益
6.96%,-0.36,2025-12,💎 強力關注,華榮,2025,4.75,2.8976784834823732,241.94,254.81,254.79,1608.TW,9.17%,33.7000007629,0.02,5.5,174.45,🚀 利潤擴張
18.72%,4.96,2025-12,⚠️ 追價風險,中纖,2025,0.19,38.46153846153846,-11.76,250.0,250.24,1718.TW,41.46%,10.0,-0.24,0.09,3.9000000000000004,🧐 疑業外收益
N/A,-1.75,2025-12,⚪ 中性觀察,有成精密,2025,1.48,20.175824846549453,180.87,240.74,241.22,4949.TW,N/A,91.8000030518,-0.48,1.91,68.25,🧐 疑業外收益
25.89%,-98.23,2025-12,⚪ 數據不足,三地開發,2025,-0.9,0.0,10.89,237.01,229.07999999999998,1438.TW,29.82%,20.0499992371,7.93,1.74,-2.4000000000000004,🔄 轉虧為盈
248.16%,-26.31,2025-12,💎 強力關注,怡華,2025,-0.9,9.55782325897959,15.89,207.21,227.67000000000002,1456.TW,46.73%,14.0500001907,-20.46,3.41,22.050000000000004,🔄 轉虧為盈
14.09%,-5.41,2025-12,⚠️ 追價風險,晶相光,2025,0.47,28.755980131148327,-50.0,230.83,224.23000000000002,3530.TW,31.94%,60.0999984741,6.6,1.74,31.349999999999998,🚀 利潤擴張
-1.87%,-4.98,2025-12,⚪ 中性觀察,允強,2025,0.33,20.885415871979166,94.12,200.0,213.63,2034.TW,5.45%,20.0499992371,-13.63,0.21,14.399999999999999,🧐 疑業外收益
9.56%,-6.23,2025-12,💎 強力關注,松瑞藥,2025,1.43,3.6732852674187724,237.21,203.51,204.79,4167.TWO,30.12%,20.3500003815,-1.28,1.72,83.1,🧐 疑業外收益
14.38%,14.04,2025-12,💎 強力關注,皇將,2025,1.0,8.239277652370204,400.0,216.0,203.79,4744.TWO,42.43%,36.5,12.21,2.51,66.44999999999999,🚀 利潤擴張
N/A,20.7,2025-12,⚠️ 追價風險,GOGOLOOK,2025,0.23,66.02870813397129,119.47,222.58,201.66000000000003,6902.TW,N/A,138.0,20.92,1.58,31.349999999999998,🚀 利潤擴張
-7.46%,8.72,2025-12,💎 強力關注,楠梓電,2025,10.81,5.326295585412668,260.07,212.47,200.22,2316.TW,5.71%,166.5,12.25,13.38,468.90000000000003,🚀 利潤擴張
10.64%,36.52,2025-12,⚠️ 追價風險,金穎生技,2025,0.31,26.074074639185184,150.0,229.63,199.70999999999998,1796.TWO,31.84%,35.2000007629,29.92,0.7,20.249999999999996,🚀 利潤擴張
N/A,5.51,2025-12,⚪ 中性觀察,東研信超,2025,1.18,19.29618857824047,76.12,205.88,197.42,6840.TWO,N/A,65.8000030518,8.46,1.58,51.15,🚀 利潤擴張
-10.81%,-1.51,2025-12,⚠️ 追價風險,雲嘉南,2025,0.55,40.416665871875,219.57,189.47,197.22,3191.TWO,29.43%,19.3999996185,-7.75,0.51,7.2,🧐 疑業外收益
1.71%,5.31,2025-12,⚪ 中性觀察,益登,2025,1.14,16.48514813715347,153.27,195.71,193.66,3048.TW,3.50%,66.5999984741,2.05,2.01,60.59999999999999,🚀 利潤擴張
N/A,31.27,2025-12,⚠️ 追價風險,盛群,2025,0.62,22.67543893109649,191.04,213.64,191.41,6202.TW,N/A,51.7000007629,22.23,0.76,34.199999999999996,🚀 利潤擴張
3.38%,8.02,2025-12,⚪ 數據不足,環科,2025,-0.25,0.0,62.12,193.18,189.66,2413.TW,17.05%,53.4000015259,3.52,0.41,-9.6,🔄 轉虧為盈
-14.33%,-90.58,2025-12,⚠️ 追價風險,川飛,2025,0.1,1030.000019074999,-70.59,100.65,187.65,1516.TW,5.36%,20.6000003815,-87.0,0.04,0.30000000000000027,🧐 疑業外收益
N/A,20.56,2025-12,✅ 穩健價值,邁達特,2025,1.2,13.653333536773333,-3.23,203.33,184.49,6112.TW,N/A,51.2000007629,18.84,1.82,56.25,🚀 利潤擴張
N/A,11.15,2025-12,⚪ 中性觀察,臺龍,2025,-0.04,20.94594594594595,97.79,186.36,179.8,6246.TWO,N/A,15.5,6.56,1.14,11.099999999999998,🔄 轉虧為盈
21.37%,4.96,2025-12,💎 強力關注,台耀,2025,2.44,7.653061224489797,39.43,180.15,177.61,4746.TW,41.59%,52.5,2.54,3.67,102.89999999999999,🚀 利潤擴張
-11.23%,27.17,2025-12,💎 強力關注,三一東林,2025,7.31,2.5412844736605504,314.37,248.27,177.55,3609.TWO,8.05%,27.7000007629,70.72,6.42,163.5,🚀 利潤擴張
N/A,-11.95,2025-12,💎 強力關注,虹揚-KY,2025,1.61,10.905797239637682,228.8,163.4,176.83,6573.TW,N/A,15.0500001907,-13.43,1.23,20.7,🧐 疑業外收益
N/A,22.77,2025-12,✅ 穩健價值,力智,2025,4.25,15.457746478873238,89.73,198.64,174.75,6719.TW,N/A,219.5,23.89,6.58,213.00000000000003,🚀 利潤擴張
N/A,-0.97,2025-12,⚠️ 追價風險,九豪,2025,0.91,38.099998474100005,275.0,173.44,174.57,6127.TWO,N/A,76.1999969482,-1.13,0.47,29.999999999999996,🧐 疑業外收益
14.30%,-8.55,2025-12,⚠️ 追價風險,旭然,2025,0.49,27.727272727272727,172.22,170.59,174.34,4556.TWO,42.07%,45.75,-3.75,0.92,24.750000000000004,🧐 疑業外收益
N/A,4.04,2025-12,⚪ 中性觀察,亞都,2025,0.09,16.055555343666665,175.0,178.95,173.32999999999998,5703.TWO,N/A,14.4499998093,5.62,0.53,13.5,🚀 利潤擴張
N/A,39.08,2025-12,⚠️ 追價風險,今國光,2025,0.49,52.63157894736841,190.57,222.67,172.01999999999998,6209.TW,N/A,80.0,50.65,0.92,22.800000000000004,🚀 利潤擴張
N/A,2.1,2025-12,⚠️ 追價風險,長佳智能,2025,0.81,28.506787330316737,1700.0,183.87,171.64000000000001,6841.TWO,N/A,63.0,12.23,0.89,33.150000000000006,🚀 利潤擴張
N/A,-4.54,2025-12,⚠️ 追價風險,聯友金屬-創,2025,1.75,249.2997198879552,3.33,194.08,166.18,7610.TW,N/A,1780.0,27.9,5.45,107.1,🚀 利潤擴張
2.96%,19.92,2025-12,⚠️ 追價風險,吉茂,2025,0.24,41.30434782608696,155.81,188.1,164.99,1587.TW,18.05%,28.5,23.11,0.37,10.35,🚀 利潤擴張
1.35%,13.26,2025-12,⚠️ 追價風險,一詮,2025,0.16,812.9032258064516,300.0,175.0,164.91,2486.TW,15.86%,252.0,10.09,0.22,4.65,🚀 利潤擴張
N/A,21.0,2025-12,⚪ 數據不足,富威電力,2025,1.13,0.0,47.95,328.87,164.37,6994.TW,N/A,0.0,164.5,6.34,0.0,🚀 利潤擴張
N/A,97.52,2025-12,💎 強力關注,寬宏藝術,2025,17.41,2.0428015564202338,241.37,242.99,164.31,6596.TWO,N/A,94.5,78.68,18.83,693.9,🚀 利潤擴張
N/A,25.19,2025-12,⚪ 數據不足,方土昶,2025,-0.24,0.0,-271.43,223.81,160.96,6265.TWO,N/A,52.9000015259,62.85,0.68,-11.25,🔄 轉虧為盈
N/A,130.37,2025-12,✅ 穩健價值,高技,2025,9.52,12.168217855911756,280.8,291.45,160.61999999999998,5439.TWO,N/A,353.0,130.83,13.74,435.15,🚀 利潤擴張
3.61%,-54.34,2025-12,⚪ 數據不足,森寶,2025,-0.13,0.0,23.53,89.89,159.73000000000002,3489.TWO,10.14%,22.0,-69.84,-0.09,-4.95,🧐 疑業外收益
-21.47%,-1.22,2025-12,💎 強力關注,東台,2025,2.61,5.632022257598314,271.05,150.56,157.18,4526.TW,7.66%,40.0999984741,-6.62,1.81,106.8,🧐 疑業外收益
-22.27%,18.28,2025-12,💎 強力關注,新鉅科,2025,2.19,4.588138448352554,219.44,173.02,153.81,3630.TWO,4.18%,27.8500003815,19.21,1.86,91.05,🚀 利潤擴張
N/A,-15.66,2025-12,💎 強力關注,安格,2025,3.24,3.739130374474308,203.85,137.2,152.56,6684.TWO,N/A,47.2999992371,-15.36,1.57,189.75000000000003,🧐 疑業外收益
N/A,-95.44,2025-12,⚪ 數據不足,台新藥,2025,-0.24,0.0,77.78,58.65,152.03,6838.TW,N/A,25.2000007629,-93.38,-0.55,-13.5,🧐 疑業外收益
81.17%,-79.84,2025-12,⚪ 數據不足,太景*-KY,2025,-0.22,0.0,-1000.0,220.0,147.76,4157.TWO,98.33%,8.9099998474,72.24,0.06,-5.8500000000000005,🔄 轉虧為盈
22.84%,-4.86,2025-12,⚠️ 追價風險,海灣,2025,-0.1,110.000002384375,54.55,141.94,145.65,3252.TWO,43.11%,17.6000003815,-3.71,0.13,2.4,🔄 轉虧為盈
1.68%,89.71,2025-12,⚪ 中性觀察,精確,2025,1.25,18.34451901565995,292.31,209.26,143.77999999999997,3162.TWO,11.59%,82.0,65.48,1.7,67.05000000000001,🚀 利潤擴張
-0.68%,-8.66,2025-12,💎 強力關注,TPK-KY,2025,2.56,11.596639082885154,55.15,133.62,142.39000000000001,3673.TW,5.83%,82.8000030518,-8.77,2.71,107.1,🧐 疑業外收益
N/A,-18.24,2025-12,⚠️ 追價風險,中湛,2025,0.05,68.14814673518518,111.11,119.51,140.19,6236.TWO,N/A,18.3999996185,-20.68,0.08,4.050000000000001,🧐 疑業外收益
N/A,48.16,2025-12,⚠️ 追價風險,天擎,2025,0.05,91.86046511627909,119.23,180.65,138.32,6708.TWO,N/A,39.5,42.33,0.25,6.449999999999999,🚀 利潤擴張
N/A,-19.06,2025-12,⚠️ 追價風險,立凱-KY,2025,2.99,42.85714285714283,199.67,104.91,137.15,5227.TWO,N/A,27.0,-32.24,0.17,9.450000000000005,🧐 疑業外收益
N/A,14.7,2025-12,⚠️ 追價風險,點序,2025,-0.32,80.15873015873015,70.64,152.21,135.37,6485.TWO,N/A,101.0,16.84,0.71,18.9,🔄 轉虧為盈
39.15%,32.43,2025-12,⚪ 數據不足,南亞科,2025,-1.45,0.0,-28.32,229.88,134.79,2408.TW,49.05%,339.5,95.09,2.13,-28.5,🔄 轉虧為盈
5.14%,55.41,2025-12,💎 強力關注,鑫聯大投控,2025,3.61,5.8175180254160574,167.46,178.19,133.87,3709.TWO,8.09%,79.6999969482,44.32,7.11,205.50000000000003,🚀 利潤擴張
-223.66%,-68.41,2025-12,⚪ 數據不足,德晉,2025,-0.81,0.0,65.77,58.98,131.46,3466.TWO,-8.98%,32.4000015259,-72.48,-1.11,-57.45,🧐 疑業外收益
41.27%,82.29,2026-03,⚠️ 追價風險,聯亞,2025,4.66,204.5081967213115,884.75,645.65,130.47000000000003,3081.TWO,54.76%,2495.0,515.18,3.44,183.0,🏰 高護城河
-456.27%,-81.44,2025-12,⚪ 數據不足,太極,2025,-0.67,0.0,16.25,54.11,129.82,4934.TW,-156.07%,15.25,-75.71,-0.95,-35.85,🧐 疑業外收益
6.32%,-19.69,2025-12,💎 強力關注,榮運,2025,2.72,5.592635037295742,139.38,108.46,127.97999999999999,2607.TW,18.52%,48.5999984741,-19.52,3.56,130.35,🧐 疑業外收益
N/A,12.38,2025-12,⚠️ 追價風險,青雲,2025,3.03,33.00653594771242,103.38,159.21,126.62,5386.TWO,N/A,505.0,32.59,8.61,229.49999999999997,🚀 利潤擴張
N/A,13.11,2025-12,💎 強力關注,美好證,2025,2.46,9.01805886295711,128.3,161.27,126.13000000000001,6021.TWO,N/A,39.9500007629,35.14,3.76,66.44999999999999,🚀 利潤擴張
-3.44%,30.74,2025-12,✅ 穩健價值,曜越,2025,0.47,14.207650273224044,147.47,155.22,126.13,3540.TWO,27.46%,26.0,29.09,0.74,27.450000000000003,🚀 利潤擴張
N/A,62.88,2025-12,💎 強力關注,山林水,2025,2.05,7.667141042091039,130.34,177.17,125.85999999999999,8473.TW,N/A,53.9000015259,51.31,2.55,105.44999999999999,🚀 利潤擴張
13.87%,-13.87,2025-12,⚠️ 追價風險,穩懋,2025,1.57,97.09677419354838,-40.53,120.99,125.67999999999999,3105.TWO,31.80%,451.5,-4.69,4.0,69.75,🧐 疑業外收益
N/A,28.81,2025-12,💎 強力關注,安鈦克,2025,0.66,8.951889772199312,128.33,142.59,122.4,6276.TWO,N/A,26.0499992371,20.19,0.92,43.650000000000006,🚀 利潤擴張
-3.62%,2.64,2025-12,⚠️ 追價風險,瑞利,2025,0.04,27.2399997712,111.76,127.94,119.85,1512.TW,28.43%,6.8099999428,8.09,0.19,3.75,🚀 利潤擴張
26.41%,217.33,2025-12,💎 強力關注,綠意,2025,1.04,6.399999830466666,425.0,177.61,117.96000000000001,2596.TWO,32.97%,28.7999992371,59.65,1.86,67.5,🚀 利潤擴張
N/A,34.06,2025-12,⚠️ 追價風險,泰霖,2025,0.2,40.6521728073913,190.91,139.29,116.91,8080.TWO,N/A,28.0499992371,22.38,0.12,10.350000000000001,🚀 利潤擴張
2.93%,8.77,2025-12,⚠️ 追價風險,氣立,2025,-0.02,1267.5000190724998,97.22,122.09,114.62,4555.TW,31.93%,50.7000007629,7.47,0.19,0.6000000000000001,🔄 轉虧為盈
N/A,-92.7,2025-12,⚪ 數據不足,瑞築,2025,-0.12,0.0,55.56,23.33,113.42999999999999,6198.TWO,N/A,20.6499996185,-90.1,-0.23,-7.5,🧐 疑業外收益
-88.29%,-60.26,2025-12,⚠️ 追價風險,中美實,2025,0.23,28.99999890999999,-14.81,51.72,113.31,4702.TWO,35.38%,10.1499996185,-61.59,0.88,5.250000000000002,🧐 疑業外收益
35.36%,22.8,2025-12,💎 強力關注,威剛,2025,10.08,10.210286293387384,19.56,144.7,112.57,3260.TWO,48.37%,403.0,32.13,23.18,592.05,🚀 利潤擴張
14.50%,-15.81,2025-12,⚪ 數據不足,千興,2025,-0.41,0.0,28.07,87.32,109.96,2025.TW,-19.82%,14.6999998093,-22.64,-0.18,-17.700000000000003,🧐 疑業外收益
N/A,-7.04,2025-12,⚪ 數據不足,大拓-KY,2025,0.02,0.0,104.35,102.7,109.10000000000001,8455.TWO,N/A,30.6000003815,-6.4,0.02,-4.95,🧐 疑業外收益
N/A,17.8,2025-12,⚪ 數據不足,佳龍,2025,-0.37,0.0,50.67,134.62,108.56,9955.TW,N/A,27.3999996185,26.06,0.54,-5.399999999999999,🔄 轉虧為盈
N/A,-15.55,2025-12,✅ 穩健價值,十銓,2025,3.47,14.87935656836461,-46.86,110.31,107.85000000000001,4967.TW,N/A,277.5,2.46,13.06,279.75000000000006,🚀 利潤擴張
N/A,-51.54,2025-12,⚪ 數據不足,創業家,2025,-0.62,0.0,80.0,53.77,106.5,8477.TWO,N/A,18.5,-52.73,-0.92,-38.4,🧐 疑業外收益
17.13%,7.39,2025-12,💎 強力關注,國建,2025,1.91,3.8076312818600955,127.38,108.09,106.29,2501.TW,26.51%,23.9500007629,1.8,2.83,94.35,🚀 利潤擴張
N/A,5.09,2025-12,⚪ 數據不足,威潤,2025,-0.75,0.0,29.25,168.25,104.65,6465.TWO,N/A,53.0999984741,63.6,0.86,-14.549999999999999,🔄 轉虧為盈
16.62%,34.74,2025-12,⚠️ 追價風險,凌航,2025,1.5,24.141876430205954,-29.03,143.64,103.75999999999999,3135.TW,19.12%,211.0,39.88,6.33,131.09999999999997,🚀 利潤擴張
N/A,77.79,2025-12,✅ 穩健價值,撼訊,2025,1.55,12.011278482312031,156.36,164.15,102.95,6150.TWO,N/A,63.9000015259,61.2,2.63,79.8,🚀 利潤擴張
2.26%,32.51,2025-12,⚠️ 追價風險,麗臺,2025,0.09,62.03125119210937,102.43,107.41,101.99,2465.TW,10.44%,79.4000015259,5.42,0.43,19.2,🚀 利潤擴張
-1.48%,2.58,2025-12,⚠️ 追價風險,誠品生活,2025,0.34,27.16535433070866,241.67,100.0,98.16,2926.TWO,40.82%,34.5,1.84,0.54,19.05,🚀 利潤擴張
7.07%,28.08,2025-12,💎 強力關注,錩泰,2025,1.32,4.794520547945206,41.94,118.87,97.42,1541.TW,19.55%,21.0,21.45,2.32,65.7,🚀 利潤擴張
0.24%,9.38,2025-12,💎 強力關注,虹光,2025,0.47,2.9381442315979385,133.57,110.31,96.7,2380.TW,24.41%,5.6999998093,13.61,0.72,29.099999999999998,🚀 利潤擴張
N/A,54.63,2025-12,⚪ 數據不足,IET-KY,2025,0.09,0.0,103.17,146.97,96.47999999999999,4971.TWO,N/A,603.0,50.49,1.65,-7.0500000000000025,🚀 利潤擴張
N/A,7.31,2025-12,⚪ 數據不足,雙喜,2025,0.34,0.0,116.43,104.43,96.02000000000001,5516.TWO,N/A,10.5500001907,8.41,0.16,-7.35,🚀 利潤擴張
-9.15%,49.52,2025-12,⚠️ 追價風險,上詮,2025,0.37,1167.6056338028168,317.65,134.04,95.32,3363.TWO,12.43%,829.0,38.72,0.16,10.65,🚀 利潤擴張
N/A,94.38,2025-12,⚠️ 追價風險,竹陞科技,2025,10.13,33.43903142115884,167.2,191.99,95.30000000000001,6739.TWO,N/A,1160.0,96.69,16.13,520.3499999999999,🚀 利潤擴張
N/A,15.42,2025-12,⚠️ 追價風險,廣運,2025,0.13,203.54838217451612,123.21,118.18,94.49000000000001,6125.TWO,N/A,63.0999984741,23.69,0.1,4.65,🚀 利潤擴張
12.64%,5.19,2025-12,💎 強力關注,歐買尬,2025,4.47,7.146892799048963,151.12,100.43,94.30000000000001,3687.TWO,39.69%,75.9000015259,6.13,4.67,159.3,🚀 利潤擴張
-2853.40%,4.56,2025-12,⚪ 數據不足,大將,2025,0.05,0.0,-58.33,100.0,92.73,1453.TW,912.85%,11.1499996185,7.27,0.04,-2.1,🏰 高護城河
