🚀 智能量化選股報告 - 2026-02-23
==========================================================================================

【🚀超級強勢】(數量: 121)
------------------------------------------------------------------------------------------
6291.TWO | 沛亨         | B6: 12.60% | DMA: 41.870 | 💎流入 | 🚀DMA趨勢+放量攻擊
2883.TW  | 凱基金        | B6:  2.55% | DMA:  1.054 | 💎流入 | 🚀DMA趨勢+放量攻擊
5471.TW  | 松翰         | B6:  2.54% | DMA:  2.564 | 💎流入 | 🚀DMA趨勢+放量攻擊
5289.TWO | 宜鼎         | B6:  2.53% | DMA:136.110 | 💸流出 | 🚀DMA趨勢+多頭強勢
4952.TW  | 凌通         | B6:  2.50% | DMA:  2.737 | 💎流入 | 🚀DMA趨勢+放量攻擊
3030.TW  | 德律         | B6:  2.36% | DMA:  5.860 | 💎流入 | 🚀DMA趨勢+放量攻擊
00891.TW | 中信關鍵半導體    | B6:  2.29% | DMA:  2.381 | 💸流出 | 🚀DMA趨勢+多頭強勢
2449.TW  | 京元電子       | B6:  2.13% | DMA: 36.110 | 💎流入 | 🚀DMA趨勢+多頭強勢
2885.TW  | 元大金        | B6:  2.08% | DMA:  2.732 | 💎流入 | 🚀DMA趨勢+放量攻擊
2408.TW  | 南亞科        | B6:  2.03% | DMA: 59.080 | 💎流入 | 🚀DMA趨勢+多頭強勢
2330.TW  | 台積電        | B6:  1.98% | DMA:174.487 | 💎流入 | 🚀DMA趨勢+放量攻擊
1802.TW  | 台玻         | B6:  1.96% | DMA:  7.299 | 💎流入 | 🚀DMA趨勢+放量攻擊
00923.TW | 群益台ESG低碳50 | B6:  1.86% | DMA:  2.208 | 💎流入 | 🚀DMA趨勢+放量攻擊
6443.TW  | 元晶         | B6:  1.80% | DMA:  9.194 | 💎流入 | 🚀DMA趨勢+多頭強勢
4540.TW  | 全球傳動       | B6:  1.79% | DMA:  6.971 | 💎流入 | 🚀DMA趨勢+放量攻擊
2351.TW  | 順德         | B6:  1.74% | DMA:  6.290 | 💎流入 | 🚀DMA趨勢+多頭強勢
1301.TW  | 台塑         | B6:  1.66% | DMA:  3.532 | 💎流入 | 🚀DMA趨勢+多頭強勢
3252.TWO | 海灣         | B6:  1.58% | DMA: -0.246 | 💎流入 | 🚀放量攻擊
3594.TWO | 磐儀         | B6:  1.56% | DMA:  0.933 | 💸流出 | 🚀DMA趨勢+多頭強勢
0050.TW  | 元大台灣50     | B6:  1.55% | DMA:  5.789 | 💎流入 | 🚀DMA趨勢+放量攻擊
00881.TW | 國泰台灣科技龍頭   | B6:  1.55% | DMA:  2.692 | 💎流入 | 🚀DMA趨勢+多頭強勢
3419.TW  | 譁裕         | B6:  1.51% | DMA:  1.047 | 💎流入 | 🚀DMA趨勢+放量攻擊
4755.TW  | 三福化        | B6:  1.50% | DMA: 11.760 | 💎流入 | 🚀DMA趨勢+放量攻擊
2455.TW  | 全新         | B6:  1.44% | DMA: 16.850 | 💎流入 | 🚀DMA趨勢+多頭強勢
5388.TW  | 中磊         | B6:  1.37% | DMA:  1.990 | 💸流出 | 🚀DMA趨勢+多頭強勢
2884.TW  | 玉山金        | B6:  1.35% | DMA:  0.677 | 💎流入 | 🚀DMA趨勢+放量攻擊
2897.TW  | 王道銀行       | B6:  1.31% | DMA:  0.155 | 💎流入 | 🚀DMA趨勢+多頭強勢
^TWII    | TSEC CAPITALIZATION WEIGHTED ST | B6:  1.26% | DMA:2243.689 | 💎流入 | 🚀DMA趨勢+多頭強勢
2891.TW  | 中信金        | B6:  1.23% | DMA:  2.191 | 💎流入 | 🚀DMA趨勢+放量攻擊
2237.TWO | 華德動能       | B6:  1.21% | DMA:  0.994 | 💎流入 | 🚀DMA趨勢+放量攻擊
3018.TW  | 隆銘綠能       | B6:  1.20% | DMA:  0.300 | 💎流入 | 🚀DMA趨勢+多頭強勢
6727.TWO | 亞泰金屬       | B6:  1.19% | DMA:  0.650 | 💸流出 | 🚀DMA趨勢+多頭強勢
7712.TWO | 博盛半導體      | B6:  1.16% | DMA:  0.154 | 💎流入 | 🚀DMA趨勢+多頭強勢
2855.TW  | 統一證        | B6:  0.97% | DMA:  2.569 | 💎流入 | 🚀DMA趨勢+放量攻擊
6919.TW  | 康霈*        | B6:  0.96% | DMA:  3.530 | 💎流入 | 🚀DMA趨勢+多頭強勢
6655.TW  | 科定         | B6:  0.94% | DMA:  3.000 | 💎流入 | 🚀DMA趨勢+多頭強勢
3010.TW  | 華立         | B6:  0.89% | DMA:  5.330 | 💎流入 | 🚀DMA趨勢+放量攻擊
2308.TW  | 台達電        | B6:  0.88% | DMA:138.520 | 💎流入 | 🚀DMA趨勢+放量攻擊
3019.TW  | 亞光         | B6:  0.85% | DMA:  7.590 | 💸流出 | 🚀DMA趨勢+多頭強勢
2206.TW  | 三陽工業       | B6:  0.84% | DMA:  0.006 | 💎流入 | 🚀DMA趨勢+多頭強勢
6128.TW  | 上福         | B6:  0.84% | DMA:  0.854 | 💎流入 | 🚀DMA趨勢+多頭強勢
8926.TW  | 台汽電        | B6:  0.68% | DMA:  1.730 | 💎流入 | 🚀DMA趨勢+放量攻擊
2395.TW  | 研華         | B6:  0.67% | DMA:  7.620 | 💎流入 | 🚀DMA趨勢+放量攻擊
6491.TW  | 晶碩         | B6:  0.67% | DMA:  1.710 | 💎流入 | 🚀DMA趨勢+放量攻擊
4538.TWO | 大詠城        | B6:  0.67% | DMA:  0.627 | 💎流入 | 🚀DMA趨勢+多頭強勢
5876.TW  | 上海商銀       | B6:  0.67% | DMA: -0.130 | 💎流入 | 🚀放量攻擊
6005.TW  | 群益證        | B6:  0.66% | DMA:  2.423 | 💎流入 | 🚀DMA趨勢+放量攻擊
2867.TW  | 三商壽        | B6:  0.63% | DMA:  0.094 | 💎流入 | 🚀DMA趨勢+放量攻擊
2801.TW  | 彰銀         | B6:  0.62% | DMA:  0.057 | 💎流入 | 🚀DMA趨勢+放量攻擊
3714.TW  | 富采         | B6:  0.56% | DMA:  1.281 | 💎流入 | 🚀DMA趨勢+多頭強勢
2035.TWO | 唐榮         | B6:  0.55% | DMA:  0.191 | 💎流入 | 🚀DMA趨勢+多頭強勢
6230.TW  | 尼得科超眾      | B6:  0.54% | DMA:  2.850 | 💸流出 | 🚀DMA趨勢+多頭強勢
6526.TW  | 達發         | B6:  0.53% | DMA:  2.620 | 💎流入 | 🚀DMA趨勢+多頭強勢
6598.TW  | ABC-KY     | B6:  0.51% | DMA:  1.295 | 💎流入 | 🚀DMA趨勢+多頭強勢
2006.TW  | 東和鋼鐵       | B6:  0.50% | DMA:  1.890 | 💎流入 | 🚀DMA趨勢+放量攻擊
8081.TW  | 致新         | B6:  0.50% | DMA: 15.610 | 💎流入 | 🚀DMA趨勢+放量攻擊
4919.TW  | 新唐         | B6:  0.47% | DMA:  4.746 | 💎流入 | 🚀DMA趨勢+放量攻擊
5871.TW  | 中租-KY      | B6:  0.44% | DMA:  0.470 | 💎流入 | 🚀DMA趨勢+放量攻擊
1723.TW  | 中碳         | B6:  0.39% | DMA:  2.214 | 💎流入 | 🚀DMA趨勢+多頭強勢
2385.TW  | 群光         | B6:  0.36% | DMA:  1.580 | 💎流入 | 🚀DMA趨勢+放量攻擊
3413.TW  | 京鼎         | B6:  0.36% | DMA:  1.600 | 💎流入 | 🚀DMA趨勢+放量攻擊
0056.TW  | 元大高股息      | B6:  0.31% | DMA:  1.186 | 💎流入 | 🚀DMA趨勢+多頭強勢
00635U.TW | YUANTA SECURITIES INV TRUST CO  | B6:  0.30% | DMA:  3.532 | 💎流入 | 🚀DMA趨勢+多頭強勢
3570.TWO | 大塚         | B6:  0.26% | DMA:  3.610 | 💎流入 | 🚀DMA趨勢+放量攻擊
00947.TW | 台新臺灣IC設計   | B6:  0.25% | DMA:  2.724 | 💸流出 | 🚀DMA趨勢+多頭強勢
1303.TW  | 南亞         | B6:  0.24% | DMA:  8.464 | 💎流入 | 🚀DMA趨勢+多頭強勢
5355.TWO | 佳總         | B6:  0.20% | DMA:  0.320 | 💎流入 | 🚀DMA趨勢+多頭強勢
00937B.TWO | CAPITAL INV TRUST CORP ICE ESG  | B6:  0.19% | DMA:  0.101 | 💎流入 | 🚀DMA趨勢+多頭強勢
00878.TW | 國泰永續高股息    | B6:  0.14% | DMA:  0.790 | 💎流入 | 🚀DMA趨勢+多頭強勢
7556.TWO | 意德士        | B6:  0.10% | DMA: -0.330 | 💎流入 | 🚀多頭強勢
2236.TW  | 百達-KY      | B6:  0.09% | DMA:  0.033 | 💸流出 | 🚀DMA趨勢+多頭強勢
1762.TW  | 中化生        | B6:  0.09% | DMA:  0.854 | 💎流入 | 🚀DMA趨勢+放量攻擊
3454.TW  | 晶睿         | B6:  0.07% | DMA:  0.234 | 💎流入 | 🚀DMA趨勢+放量攻擊
6509.TWO | 聚和         | B6:  0.04% | DMA:  1.051 | 💎流入 | 🚀DMA趨勢+放量攻擊
3042.TW  | 晶技         | B6:  0.03% | DMA:  2.554 | 💎流入 | 🚀DMA趨勢+放量攻擊
8464.TW  | 億豐         | B6:  0.02% | DMA: 20.570 | 💸流出 | 🚀DMA趨勢+多頭強勢
1714.TW  | 和桐         | B6:  0.00% | DMA:  0.455 | 💎流入 | 🚀DMA趨勢+多頭強勢

【❄️跌深反彈】(數量: 116)
------------------------------------------------------------------------------------------
1504.TW  | 東元         | B6: -5.02% | DMA: -4.142 | 💎流入 | ❄️底部反彈
5474.TWO | 聰泰         | B6: -5.07% | DMA: -8.560 | 💎流入 | ❄️底部反彈
6667.TWO | 信紘科        | B6: -5.08% | DMA:-18.320 | 💎流入 | ❄️底部反彈
4931.TWO | 新盛力        | B6: -5.10% | DMA:-19.700 | 💸流出 | ❄️跌深轉強
2239.TW  | 英利-KY      | B6: -5.10% | DMA: -5.187 | 💸流出 | ❄️跌深轉強
2405.TW  | 輔信         | B6: -5.11% | DMA: -1.412 | 💸流出 | ❄️跌深轉強
8271.TW  | 宇瞻         | B6: -5.16% | DMA:  3.988 | 💎流入 | ❄️跌深轉強
5484.TW  | 慧友         | B6: -5.20% | DMA: -0.761 | 💎流入 | ❄️跌深轉強
8087.TWO | 麗升能源       | B6: -5.20% | DMA: -2.953 | 💸流出 | ❄️跌深轉強
2066.TWO | 世德         | B6: -5.21% | DMA:  0.064 | 💸流出 | ❄️跌深轉強
3257.TW  | 虹冠電        | B6: -5.22% | DMA: -2.786 | 💸流出 | ❄️跌深轉強
5443.TWO | 均豪         | B6: -5.22% | DMA: -3.264 | 💸流出 | ❄️跌深轉強
6284.TWO | 佳邦         | B6: -5.23% | DMA:  0.206 | 💸流出 | ❄️底部反彈
4513.TWO | 福裕         | B6: -5.24% | DMA:  0.129 | 💎流入 | ❄️底部反彈
3059.TW  | 華晶科        | B6: -5.28% | DMA: -2.334 | 💎流入 | ❄️底部反彈
3374.TWO | 精材         | B6: -5.28% | DMA:  8.930 | 💎流入 | ❄️底部反彈
8358.TWO | 金居         | B6: -5.29% | DMA: -6.850 | 💎流入 | ❄️底部反彈
4576.TW  | 大銀微系統      | B6: -5.32% | DMA:  1.170 | 💎流入 | ❄️跌深轉強
4142.TW  | 國光生        | B6: -5.33% | DMA: -0.925 | 💸流出 | ❄️跌深轉強
6928.TW  | 攸泰科技       | B6: -5.35% | DMA: -1.596 | 💎流入 | ❄️底部反彈
2425.TW  | 承啟         | B6: -5.37% | DMA: -1.555 | 💸流出 | ❄️跌深轉強
1589.TW  | 永冠-KY      | B6: -5.41% | DMA: -0.617 | 💎流入 | ❄️底部反彈
2104.TW  | 國際中橡       | B6: -5.58% | DMA: -0.201 | 💎流入 | ❄️底部反彈
3013.TW  | 晟銘電        | B6: -5.60% | DMA:-13.930 | 💎流入 | ❄️跌深轉強
6188.TWO | 廣明         | B6: -5.61% | DMA: -4.492 | 💎流入 | ❄️底部反彈
3073.TWO | 天方能源       | B6: -5.63% | DMA: -1.287 | 💎流入 | ❄️跌深轉強
2379.TW  | 瑞昱         | B6: -5.65% | DMA:-31.500 | 💸流出 | ❄️底部反彈
4562.TW  | 穎漢         | B6: -5.67% | DMA: -0.477 | 💎流入 | ❄️底部反彈
6209.TW  | 今國光        | B6: -5.72% | DMA: -2.134 | 💸流出 | ❄️跌深轉強
6933.TW  | AMAX-KY    | B6: -5.73% | DMA:-13.310 | 💎流入 | ❄️跌深轉強
2377.TW  | 微星         | B6: -5.77% | DMA: -6.808 | 💎流入 | ❄️跌深轉強
8033.TW  | 雷虎         | B6: -5.77% | DMA: -3.760 | 💎流入 | ❄️底部反彈
1528.TW  | 恩德         | B6: -5.81% | DMA:  3.151 | 💸流出 | ❄️跌深轉強
2419.TW  | 仲琦         | B6: -5.85% | DMA:  1.897 | 💎流入 | ❄️底部反彈
4583.TW  | 台灣精銳       | B6: -5.90% | DMA: 15.200 | 💸流出 | ❄️跌深轉強
6122.TWO | 擎邦         | B6: -5.94% | DMA:  0.475 | 💸流出 | ❄️底部反彈
5425.TWO | 台半         | B6: -5.98% | DMA:  2.158 | 💸流出 | ❄️底部反彈
9958.TW  | 世紀鋼        | B6: -5.99% | DMA: -8.100 | 💸流出 | ❄️底部反彈
6125.TWO | 廣運         | B6: -6.01% | DMA: -3.318 | 💸流出 | ❄️底部反彈
3551.TWO | 世禾         | B6: -6.04% | DMA:-15.120 | 💸流出 | ❄️底部反彈
3380.TW  | 明泰         | B6: -6.08% | DMA: -0.706 | 💸流出 | ❄️底部反彈
1609.TW  | 大亞         | B6: -6.12% | DMA: -0.520 | 💎流入 | ❄️底部反彈
6196.TW  | 帆宣         | B6: -6.14% | DMA: -1.770 | 💸流出 | ❄️底部反彈
3227.TWO | 原相         | B6: -6.14% | DMA:-11.200 | 💸流出 | ❄️跌深轉強
2327.TW  | 國巨*        | B6: -6.14% | DMA:  9.400 | 💎流入 | ❄️底部反彈
2468.TW  | 華經         | B6: -6.17% | DMA: -3.855 | 💸流出 | ❄️底部反彈
4563.TWO | 百德         | B6: -6.22% | DMA:  3.028 | 💸流出 | ❄️跌深轉強
2451.TW  | 創見         | B6: -6.25% | DMA: 14.790 | 💎流入 | ❄️跌深轉強
3152.TWO | 璟德         | B6: -6.26% | DMA:  4.150 | 💎流入 | ❄️底部反彈
2466.TW  | 冠西電        | B6: -6.29% | DMA: -5.198 | 💸流出 | ❄️跌深轉強
4541.TWO | 晟田         | B6: -6.32% | DMA: -0.293 | 💎流入 | ❄️底部反彈
3305.TW  | 昇貿         | B6: -6.36% | DMA: -0.656 | 💎流入 | ❄️跌深轉強
3708.TW  | 上緯投控       | B6: -6.41% | DMA: -2.360 | 💎流入 | ❄️底部反彈
4927.TW  | 泰鼎-KY      | B6: -6.42% | DMA: -0.178 | 💎流入 | ❄️底部反彈
2630.TW  | 亞航         | B6: -6.45% | DMA: -2.514 | 💎流入 | ❄️底部反彈
6127.TWO | 九豪         | B6: -6.49% | DMA: -0.317 | 💸流出 | ❄️跌深轉強
8114.TW  | 振樺電        | B6: -6.52% | DMA: -4.430 | 💎流入 | ❄️跌深轉強
2340.TW  | 台亞         | B6: -6.60% | DMA: -1.737 | 💎流入 | ❄️底部反彈
2404.TW  | 漢唐         | B6: -6.67% | DMA:-31.200 | 💎流入 | ❄️底部反彈
6735.TWO | 美達科技       | B6: -6.68% | DMA: -0.278 | 💸流出 | ❄️底部反彈
5205.TWO | 中茂         | B6: -6.72% | DMA: -2.263 | 💸流出 | ❄️底部反彈
3372.TWO | 典範         | B6: -6.74% | DMA: -0.096 | 💎流入 | ❄️底部反彈
4966.TWO | 譜瑞-KY      | B6: -6.75% | DMA:-56.940 | 💸流出 | ❄️底部反彈
8131.TW  | 福懋科        | B6: -6.88% | DMA:  5.898 | 💎流入 | ❄️跌深轉強
6182.TWO | 合晶         | B6: -6.88% | DMA:  1.287 | 💎流入 | ❄️跌深轉強
4909.TWO | 新復興        | B6: -6.90% | DMA: -0.034 | 💎流入 | ❄️底部反彈
3092.TW  | 鴻碩         | B6: -7.04% | DMA:  1.488 | 💎流入 | ❄️底部反彈
4739.TW  | 康普         | B6: -7.05% | DMA: -2.697 | 💸流出 | ❄️跌深轉強
2342.TW  | 茂矽         | B6: -7.17% | DMA: -0.063 | 💸流出 | ❄️跌深轉強
7719.TWO | 碳基         | B6: -7.18% | DMA: -4.784 | 💎流入 | ❄️底部反彈
5371.TWO | 中光電        | B6: -7.24% | DMA: -4.580 | 💎流入 | ❄️底部反彈
5351.TWO | 鈺創         | B6: -7.42% | DMA:  3.793 | 💎流入 | ❄️跌深轉強
5258.TW  | 虹堡         | B6: -7.48% | DMA: -9.908 | 💸流出 | ❄️跌深轉強
8472.TWO | 夠麻吉        | B6: -7.50% | DMA: -7.898 | 💎流入 | ❄️跌深轉強
3131.TWO | 弘塑         | B6: -7.67% | DMA:-25.000 | 💸流出 | ❄️跌深轉強
5498.TWO | 凱崴         | B6: -7.71% | DMA:  7.743 | 💎流入 | ❄️跌深轉強
7402.TWO | 邑錡         | B6: -7.72% | DMA: -7.840 | 💎流入 | ❄️底部反彈
5536.TWO | 聖暉*        | B6: -7.77% | DMA:-93.581 | 💸流出 | ❄️跌深轉強
3707.TWO | 漢磊         | B6: -7.87% | DMA:  0.361 | 💸流出 | ❄️跌深轉強
3016.TW  | 嘉晶         | B6: -7.89% | DMA:  1.242 | 💸流出 | ❄️跌深轉強
3481.TW  | 群創         | B6: -7.95% | DMA:  2.567 | 💎流入 | ❄️底部反彈
2338.TW  | 光罩         | B6: -8.00% | DMA: -1.028 | 💸流出 | ❄️底部反彈
2457.TW  | 飛宏         | B6: -8.07% | DMA: -1.115 | 💎流入 | ❄️底部反彈
6116.TW  | 彩晶         | B6: -8.11% | DMA: -0.134 | 💎流入 | ❄️底部反彈
2441.TW  | 超豐         | B6: -8.13% | DMA: -1.028 | 💎流入 | ❄️跌深轉強
2369.TW  | 菱生         | B6: -8.16% | DMA:  0.518 | 💎流入 | ❄️底部反彈
2009.TW  | 第一銅        | B6: -8.19% | DMA: -2.075 | 💎流入 | ❄️跌深轉強
6531.TW  | 愛普*        | B6: -8.21% | DMA:-17.800 | 💸流出 | ❄️跌深轉強
2059.TW  | 川湖         | B6: -8.37% | DMA:-383.400 | 💸流出 | ❄️跌深轉強
2423.TW  | 固緯         | B6: -8.39% | DMA: -5.500 | 💸流出 | ❄️跌深轉強
6890.TW  | 來億-KY      | B6: -8.48% | DMA:-31.350 | 💸流出 | ❄️跌深轉強
5328.TWO | 華容         | B6: -8.51% | DMA:  1.476 | 💸流出 | ❄️跌深轉強
3552.TWO | 同致         | B6: -8.62% | DMA: -7.434 | 💸流出 | ❄️跌深轉強
3057.TW  | 喬鼎         | B6: -8.84% | DMA: -1.883 | 💸流出 | ❄️跌深轉強
1717.TW  | 長興         | B6: -8.88% | DMA:  5.754 | 💎流入 | ❄️跌深轉強
3379.TWO | 彬台         | B6: -8.94% | DMA: -4.979 | 💸流出 | ❄️跌深轉強
2241.TW  | 艾姆勒        | B6: -9.10% | DMA: -4.794 | 💸流出 | ❄️跌深轉強
5347.TWO | 世界         | B6: -9.10% | DMA: 12.804 | 💸流出 | ❄️跌深轉強
1605.TW  | 華新         | B6: -9.15% | DMA:  1.161 | 💸流出 | ❄️跌深轉強
7714.TWO | 創泓科技       | B6: -9.28% | DMA:-11.480 | 💸流出 | ❄️跌深轉強
6517.TWO | 保勝光學       | B6: -9.54% | DMA: -1.848 | 💸流出 | ❄️跌深轉強
4973.TWO | 廣穎         | B6: -9.65% | DMA:  2.619 | 💸流出 | ❄️跌深轉強
8038.TWO | 長園科        | B6: -9.67% | DMA: -2.053 | 💸流出 | ❄️跌深轉強
6282.TW  | 康舒         | B6: -9.97% | DMA:  1.612 | 💎流入 | ❄️跌深轉強
5228.TWO | 鈺鎧         | B6:-10.54% | DMA:  0.675 | 💸流出 | ❄️跌深轉強
3025.TW  | 星通         | B6:-10.54% | DMA: -3.280 | 💸流出 | ❄️跌深轉強
3530.TW  | 晶相光        | B6:-10.67% | DMA: -8.420 | 💸流出 | ❄️底部反彈
8088.TWO | 品安         | B6:-10.92% | DMA:  3.784 | 💸流出 | ❄️跌深轉強
2312.TW  | 金寶         | B6:-11.67% | DMA: -0.247 | 💸流出 | ❄️跌深轉強
2329.TW  | 華泰         | B6:-11.84% | DMA: -2.130 | 💸流出 | ❄️跌深轉強
8150.TW  | 南茂         | B6:-11.96% | DMA:  1.442 | 💎流入 | ❄️跌深轉強
8422.TW  | 可寧衛*       | B6:-12.86% | DMA:  1.633 | 💸流出 | ❄️跌深轉強
00738U.TW | YUANTA SECURITIES INV TRUST CO  | B6:-13.29% | DMA:  3.367 | 💸流出 | ❄️跌深轉強
4989.TW  | 榮科         | B6:-14.09% | DMA: -0.740 | 💎流入 | ❄️跌深轉強
7810.TWO | 捷創科技       | B6:-15.69% | DMA:-28.950 | 💸流出 | ❄️跌深轉強
8110.TW  | 華東         | B6:-15.81% | DMA:  0.677 | 💎流入 | ❄️跌深轉強

【📈趨勢轉折】(數量: 39)
------------------------------------------------------------------------------------------
6152.TW  | 百一         | B6:  8.40% | DMA:  2.775 | 💎流入 | 🔥DMA金叉(起漲)
3535.TW  | 晶彩科        | B6:  2.50% | DMA:  6.976 | 💎流入 | 📈5日穿20日(金叉)
1711.TW  | 永光         | B6:  1.74% | DMA:  1.930 | 💎流入 | 🔥DMA金叉(起漲)
2618.TW  | 長榮航        | B6:  0.97% | DMA:  1.424 | 💎流入 | 📈5日穿20日(金叉)
2458.TW  | 義隆         | B6:  0.37% | DMA: -2.750 | 💸流出 | 📈5日穿20日(金叉)
6187.TWO | 萬潤         | B6:  0.30% | DMA: 15.670 | 💎流入 | 🔥DMA金叉(起漲)
00945B.TW | KGI SECURITIES INVT TST CO LTD  | B6:  0.20% | DMA:  0.113 | 💸流出 | 🔥DMA金叉(起漲)
00948B.TWO | CTBC INVESTMENTS CO LTD CT ESG  | B6:  0.04% | DMA:  0.050 | 💎流入 | 🔥DMA金叉(起漲)
2889.TW  | 國票金        | B6:  0.03% | DMA:  0.164 | 💎流入 | 📈5日穿20日(金叉)
1726.TW  | 永記         | B6: -0.03% | DMA:  0.052 | 💎流入 | 📈5日穿20日(金叉)
4915.TW  | 致伸         | B6: -0.08% | DMA:  0.620 | 💎流入 | 📈5日穿20日(金叉)
2414.TW  | 精技         | B6: -0.09% | DMA:  0.031 | 💎流入 | 📈5日穿20日(金叉)
