name,prev_eps_yoy,prev_year,date,status,advice,prev_eps,eps,prev_rev_yoy,pe,est_price,symbol,price,gm,rev_yoy,expansion,om,eps_yoy
微端,-40.68,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.7,0.26,-19.66,38.23809669133333,15.75,3285.TWO,40.1500015259,28.61%,688.27,511.73,8.69%,1200.0
GOGOLOOK,222.58,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.58,1.64,20.92,38.616714697406344,52.05,6902.TW,134.0,N/A,43.25,487.52,N/A,530.77
鑫永洋,74.6,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.16,0.46,5.06,0.0,-7.499999999999999,6241.TWO,15.0500001907,N/A,335.75,484.25,N/A,820.0
綠電,-42.59,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.31,0.22,-6.1,36.101693622203385,8.850000000000001,8440.TWO,21.2999992371,N/A,727.58,472.41999999999996,N/A,1200.0
富田-創,-1.45,2025,2026-03,🧐 疑業外收益,⚪ 數據不足,2.72,1.21,-41.11,0.0,0.0,4590.TW,87.0,30.54%,-25.82,444.74,-0.34%,418.92
麗正,-34.67,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.49,0.25,11.66,42.15517372922413,17.400000000000002,2302.TW,48.9000015259,36.04%,187.7,412.3,11.05%,600.0
華邦電,576.92,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.88,2.25,9.55,63.97058823529412,40.8,2344.TW,174.0,41.86%,646.87,390.63,15.37%,1037.5
宏�砦C戲-創,5.88,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,1.44,0.41,28.36,0.0,0.0,6908.TW,37.0,N/A,6.45,381.05,N/A,387.5
應廣,-49.65,2025,2026-03,🚀 利潤擴張,⚪ 中性觀察,2.19,1.59,-15.3,17.86764649783088,81.60000000000001,6716.TWO,97.1999969482,N/A,359.78,356.01,N/A,715.79
寶碩,207.35,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.73,0.24,9.95,23.69230710546154,19.499999999999996,5210.TWO,30.7999992371,N/A,37.41,342.59000000000003,N/A,380.0
鈺鎧,90.52,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.2,0.99,25.85,0.0,-8.4,5228.TWO,57.7000007629,N/A,750.53,339.47,N/A,1090.0
亞洲藏壽司,1.73,2025,2026-03,🚀 利潤擴張,💎 強力關注,2.35,1.42,5.96,11.118314177325772,92.55,2754.TWO,68.5999984741,N/A,179.43,338.21999999999997,N/A,517.65
旭然,170.59,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.92,0.13,-3.75,47.897729006704544,26.4,4556.TWO,84.3000030518,42.07%,237.41,312.59000000000003,14.30%,550.0
協禧,-29.63,2025,2026-03,🚀 利潤擴張,⚪ 中性觀察,0.57,0.15,-5.82,17.861271455780347,25.95,3071.TWO,30.8999996185,30.11%,343.32,306.68,7.94%,650.0
群聯,3.78,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,41.98,68.8,23.29,15.341152910885425,2097.2999999999997,8299.TWO,2145.0,N/A,849.86,293.43999999999994,N/A,1143.3
慧智,-150.59,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.43,0.67,-14.91,0.0,-2.2499999999999996,6615.TWO,36.9500007629,N/A,270.3,276.36999999999995,N/A,546.67
康舒,550.0,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,0.18,0.27,0.1,0.0,-9.150000000000002,6282.TW,56.2000007629,N/A,371.03,268.97,N/A,640.0
三貝德,55.83,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.76,0.38,5.03,0.0,-20.1,8489.TWO,21.8999996185,N/A,186.87,258.58,N/A,445.45
事欣科,8050.0,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,1.77,4.49,0.89,13.403990024937656,120.3,4916.TW,107.5,18.73%,473.51,228.27999999999997,8.07%,701.79
銘旺實,-66.67,2025,2026-03,🚀 利潤擴張,💎 強力關注,0.88,2.97,-3.15,5.612244897959184,44.1,4432.TWO,16.5,N/A,292.4,226.35000000000002,N/A,518.75
中美實,51.72,2025,2026-03,🚀 利潤擴張,💎 強力關注,0.88,0.45,-61.59,10.081632769795917,14.700000000000001,4702.TWO,9.8800001144,35.38%,132.31,217.69,-88.29%,350.0
東哥遊艇,33.97,2025,2026-03,🚀 利潤擴張,💎 強力關注,13.25,3.8,5.83,4.77058644788818,493.65000000000003,8478.TW,157.0,N/A,297.67,215.22999999999996,N/A,512.9
大亞,-21.15,2025,2026-03,🚀 利潤擴張,💎 強力關注,1.65,0.66,3.39,8.209393495675146,76.65,1609.TW,41.9500007629,13.61%,713.51,211.49,8.70%,925.0
聯嘉投控,-80.0,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,0.08,0.47,3.55,0.0,0.0,3717.TW,27.6000003815,19.34%,26.54,186.79000000000002,7.12%,213.33
巨虹,-280.2,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-1.82,0.33,-10.9,0.0,-43.199999999999996,8084.TWO,49.2999992371,N/A,80.73,185.94,N/A,266.67
東浦,25.64,2025,2026-03,🚀 利潤擴張,💎 強力關注,2.02,2.65,18.23,10.606060606060607,94.05,3290.TWO,66.5,30.40%,542.69,185.43999999999994,14.85%,728.13
同協,-177.27,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.17,0.09,-15.68,0.0,-7.95,5460.TWO,17.5,N/A,385.95,164.05,N/A,550.0
未知,1640.0,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,1.54,0.53,32.98,0.0,0.0,4582.TWO,0.0,N/A,116.02,160.65000000000003,N/A,276.67
聚恆-創,1640.0,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,1.54,0.53,32.98,0.0,0.0,4582.TW,27.3999996185,N/A,116.02,160.65000000000003,N/A,276.67
鼎元,-219.05,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.25,0.06,-2.43,0.0,-6.6,2426.TW,72.6999969482,10.78%,542.01,157.99,-2.91%,700.0
圓剛,54.55,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.19,0.28,2.69,0.0,-25.049999999999997,2417.TW,45.0499992371,56.31%,108.24,156.05,8.42%,264.29
成霖,-125.22,2025,2026-03,🔄 轉虧為盈,⚠️ 追價風險,-0.29,0.28,-4.25,148.57142312142844,1.050000000000001,9934.TW,10.3999996185,N/A,214.33,152.34,N/A,366.67
六角,-77.02,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.09,1.1,7.13,30.418605360883706,32.250000000000014,2732.TWO,65.4000015259,N/A,180.76,142.32,N/A,323.08
醫揚,-38.68,2025,2026-03,🚀 利潤擴張,⚪ 中性觀察,2.88,1.03,5.8,17.004680187207487,96.15,6569.TWO,109.0,N/A,307.94,134.17000000000002,N/A,442.11
凌華,921.74,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,2.35,1.57,17.09,22.663139329805997,85.05,6166.TW,128.5,N/A,273.28,133.17000000000002,N/A,406.45
聯亞,884.75,2025,2026-03,🏰 高護城河,⚠️ 追價風險,4.66,3.44,82.29,156.14754098360658,183.0,3081.TWO,1905.0,54.76%,515.18,130.47000000000003,41.27%,645.65
奇偶,-20.59,2025,2026-03,🚀 利潤擴張,💎 強力關注,6.21,2.21,-14.96,5.257192610034873,172.05,3356.TW,60.2999992371,N/A,113.17,115.32000000000001,N/A,228.49
美達科技,-84.51,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,0.33,0.29,-4.81,0.0,-7.200000000000001,6735.TWO,82.0,N/A,268.59,114.74000000000001,N/A,383.33
益航,-365.71,2025,2026-03,🏰 高護城河,⚪ 數據不足,-1.63,-0.02,-7.78,0.0,-33.6,2601.TW,6.8699998856,102.69%,-21.56,109.06,-12.62%,87.5
暉盛-創,-45.51,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.73,0.37,-5.33,53.25443786982249,50.699999999999996,7730.TW,180.0,N/A,161.56,108.44,N/A,270.0
麗嬰房,152.83,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,2.15,0.66,-16.81,0.0,-40.05,2911.TW,7.8899998665,N/A,67.27,96.19000000000001,N/A,163.46
網龍,-46.91,2025,2026-03,🏰 高護城河,⚠️ 追價風險,0.43,0.3,-7.4,31.839081336666666,13.05,3083.TWO,27.7000007629,87.57%,57.36,92.64,12.73%,150.0
青松健康,104.41,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,1.39,0.49,14.16,13.367003623872051,44.550000000000004,6931.TW,39.7000007629,N/A,990.52,89.48000000000002,N/A,1080.0
宏佳騰,-169.49,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.84,0.28,-18.58,0.0,-24.299999999999994,1599.TWO,23.8500003815,16.92%,486.21,88.79000000000002,-21.33%,575.0
中裕,17.57,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.61,0.06,0.19,0.0,-18.3,4147.TWO,72.5999984741,28.91%,81.97,84.69999999999999,-58.34%,166.67
昭輝,-51.9,2025,2026-03,🚀 利潤擴張,💎 強力關注,2.41,2.78,-14.02,6.932515454432515,97.8,1339.TW,45.2000007629,33.66%,102.97,83.63,13.17%,186.6
偉詮電,78.06,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,3.02,0.7,15.32,12.875458434395606,81.9,2436.TW,70.3000030518,30.84%,309.82,83.04000000000002,3.76%,392.86
威鋒電子,-50.67,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.11,0.64,-8.83,32.21122061851486,45.449999999999996,6756.TW,97.5999984741,N/A,97.11,81.14999999999999,N/A,178.26
宇峻,-64.44,2025,2026-03,🏰 高護城河,✅ 穩健價值,1.97,2.34,2.09,14.288462125346157,77.99999999999999,3546.TWO,74.3000030518,89.44%,62.07,74.29000000000002,20.17%,136.36
奧義賽博-KY創,96.29,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,-1.49,-0.15,22.72,0.0,0.0,7823.TW,80.0,N/A,26.64,73.29,N/A,99.93
昱泉,-99.18,2025,2026-03,🌑 雙重衰退,⚪ 數據不足,-2.43,-0.68,19.25,0.0,-96.44999999999999,6169.TWO,14.5500001907,N/A,-97.71,71.78,N/A,-25.93
冠好,-91.14,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,0.14,0.3,0.63,0.0,-17.549999999999997,8354.TWO,17.7999992371,N/A,578.38,71.62,N/A,650.0
台聯電,-5.15,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,2.76,1.75,22.56,14.105263157894736,71.25,4905.TWO,67.0,25.49%,315.9,70.21000000000004,0.20%,386.11
創新服務,44.08,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,6.33,1.02,76.4,0.0,0.0,7828.TWO,1835.0,N/A,51.84,69.89999999999999,N/A,121.74
國票金,3.28,2025,2026-03,🏰 高護城河,💎 強力關注,0.63,0.25,4.6,10.000000124640524,22.95,2889.TW,15.3000001907,90.85%,58.58,68.69,38.94%,127.27
麗豐-KY,24.43,2025,2026-03,🏰 高護城河,💎 強力關注,7.13,1.41,-4.63,5.583430393710618,257.1,4137.TW,95.6999969482,82.18%,40.15,67.19999999999999,20.98%,107.35
研勤,-31.03,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.38,0.06,-28.72,0.0,-15.3,3632.TWO,8.5699996948,54.59%,110.52,64.48,3.73%,175.0
和迅,-24.06,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,2.43,0.6,2.38,0.0,0.0,6986.TWO,49.5499992371,N/A,42.91,63.99000000000001,N/A,106.9
穎漢,-184.44,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-1.28,0.11,-7.78,0.0,-38.1,4562.TW,34.0,31.44%,111.03,63.97,-45.46%,175.0
泰偉,-7120.0,2025,2026-03,🏰 高護城河,⚪ 數據不足,-3.51,-0.27,-29.69,0.0,-122.4,3064.TWO,19.5,93.22%,-1.0,63.5,-55.72%,62.5
群益證,17.33,2025,2026-03,🚀 利潤擴張,💎 強力關注,2.64,1.34,12.14,5.612094282758112,101.7,6005.TW,38.0499992371,N/A,171.79,63.21000000000001,N/A,235.0
車王電,152.25,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.58,0.84,19.69,56.34328358208957,10.049999999999997,1533.TW,37.75,N/A,438.18,61.81999999999999,N/A,500.0
正隆,34.55,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,0.74,0.56,-4.85,15.766666412333334,22.5,1904.TW,23.6499996185,20.98%,538.23,61.76999999999998,7.12%,600.0
日揚,-26.32,2025,2026-03,🚀 利潤擴張,💎 強力關注,2.52,1.9,-4.59,11.712780174690382,113.85,6208.TWO,88.9000015259,N/A,150.03,56.41999999999999,N/A,206.45
強生,-36.9,2025,2026-03,🚀 利潤擴張,💎 強力關注,1.19,1.46,-6.81,10.041494092510373,72.30000000000001,4747.TWO,48.4000015259,N/A,148.33,55.839999999999975,N/A,204.17
九暘,49.15,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.6,0.13,2.65,0.0,-18.45,8040.TWO,95.0999984741,N/A,189.01,55.43000000000001,N/A,244.44
晟德,905.92,2025,2026-03,🚀 利潤擴張,💎 強力關注,12.33,2.62,-6.28,2.16794731064764,273.29999999999995,4123.TWO,39.5,41.95%,185.42,54.05000000000001,-106.23%,239.47
心誠鎂,-48.08,2025,2026-03,🌑 雙重衰退,⚪ 數據不足,-3.92,-1.43,-29.22,0.0,0.0,6934.TW,68.9000015259,N/A,-55.48,52.519999999999996,N/A,-2.96
霈方,66.34,2025,2026-03,🚀 利潤擴張,💎 強力關注,6.82,3.29,6.51,7.214964370546318,252.6,6574.TWO,121.5,N/A,95.63,51.74000000000001,N/A,147.37
永擎,38.44,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,13.04,7.68,182.72,0.0,0.0,7711.TW,0.0,N/A,91.93,47.56,N/A,139.49
廣寰科,-36.17,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,1.5,1.01,23.54,15.117924168443396,31.8,3287.TWO,32.0499992371,N/A,359.48,46.579999999999984,N/A,406.06
琉園,544.54,2025,2026-03,🚀 利潤擴張,💎 強力關注,5.29,0.03,-17.0,2.906857688689867,146.54999999999998,9949.TWO,28.3999996185,N/A,66.65,45.849999999999994,N/A,112.5
漢達,31.64,2025,2026-03,🚀 利潤擴張,💎 強力關注,4.85,0.46,108.17,9.39947780678851,172.35,6620.TWO,108.0,N/A,15.93,39.24,N/A,55.17
威盛,-93.75,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,0.12,0.08,-40.0,0.0,-30.6,2388.TW,69.5,20.64%,264.14,35.860000000000014,-8.17%,300.0
禾瑞亞,-5.7,2025,2026-03,🏰 高護城河,✅ 穩健價值,2.15,1.19,1.24,13.516484075421246,81.9,3556.TWO,73.8000030518,50.66%,156.04,34.20000000000002,14.95%,190.24
神數,91.67,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,2.99,0.87,19.28,0.0,0.0,7821.TW,40.7999992371,N/A,10.24,32.379999999999995,N/A,42.62
未知,-17.2,2025,2025-12,🚀 利潤擴張,⚪ 數據不足,7.56,11.94,15.19,0.0,0.0,2072.TWO,0.0,35.24%,6.33,28.590000000000003,30.89%,34.92
向榮生技,-13.21,2025,2026-03,🧐 疑業外收益,⚪ 數據不足,-1.89,-0.36,-5.58,0.0,-70.05,6794.TW,85.1999969482,N/A,-3.86,27.259999999999998,N/A,23.4
南緯,-197.83,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.45,0.11,2.23,0.0,-28.950000000000003,1467.TW,8.8199996948,23.39%,422.96,27.04000000000002,1.90%,450.0
頌勝科技,-27.83,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,3.24,1.62,3.08,0.0,0.0,7768.TW,340.0,N/A,16.63,26.23,N/A,42.86
未知,-27.83,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,3.24,1.62,3.08,0.0,0.0,7768.TWO,0.0,N/A,16.63,26.23,N/A,42.86
大東電,11.37,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,13.61,4.33,20.5,0.0,0.0,1623.TW,0.0,21.29%,12.42,25.689999999999998,16.93%,38.11
元大金,-1.08,2025,2026-03,🏰 高護城河,💎 強力關注,2.74,1.08,6.4,9.914773160767046,105.6,2885.TW,69.8000030518,80.00%,62.36,20.689999999999998,33.03%,83.05
中連,-66.0,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,0.85,0.32,0.36,13.789237668161435,33.45,5604.TWO,30.75,N/A,25.49,19.960000000000004,N/A,45.45
宏遠證,-11.63,2025,2026-03,🚀 利潤擴張,💎 強力關注,0.76,0.89,0.56,10.609755864939025,24.599999999999998,6015.TWO,17.3999996185,N/A,451.29,19.539999999999964,N/A,470.83
力新,-134.86,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,-0.61,-0.19,-8.35,0.0,-30.900000000000002,5202.TWO,14.6499996185,N/A,26.81,18.900000000000002,N/A,45.71
華南金,13.1,2025,2026-03,🏰 高護城河,💎 強力關注,1.9,0.55,4.06,8.252118805699153,70.8,2880.TW,38.9500007629,97.25%,22.97,18.060000000000002,45.93%,41.03
博磊,35.0,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.81,0.31,13.9,198.46153846153845,9.75,3581.TWO,129.0,31.93%,216.8,17.97999999999999,8.13%,234.78
高雄銀,28.3,2025,2026-03,🏰 高護城河,💎 強力關注,0.68,0.2,14.52,7.41071417220238,25.200000000000003,2836.TW,12.4499998093,89.95%,16.1,17.229999999999997,32.37%,33.33
環宇-KY,107.11,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.15,1.67,25.43,586.25,11.999999999999998,4991.TWO,469.0,N/A,316.27,15.160000000000025,N/A,331.43
精誠金融,14.12,2025,2026-03,🧐 疑業外收益,⚪ 數據不足,2.91,0.42,10.14,0.0,0.0,7819.TWO,37.25,N/A,-1.82,12.35,N/A,10.53
凱基金,-10.99,2025,2026-03,🏰 高護城河,💎 強力關注,1.74,0.69,-12.26,7.9002625673228355,57.14999999999999,2883.TW,30.1000003815,78.38%,22.04,12.0,39.14%,34.04
華安,-14.12,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,-2.92,-0.53,-0.97,0.0,-109.2,6657.TW,37.4500007629,N/A,41.94,10.350000000000001,N/A,52.29
力旺,4.19,2025,2026-03,🏰 高護城河,⚠️ 追價風險,25.6,7.98,6.74,43.36815447926559,947.7,3529.TWO,2740.0,100.00%,19.99,9.14,60.64%,29.13
宏亞,-53.57,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.43,0.23,-8.31,0.0,-14.25,1236.TW,26.0499992371,24.77%,274.7,8.629999999999995,-4.59%,283.33
岱宇,-827.91,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-3.35,0.25,-15.19,0.0,-89.10000000000001,1598.TW,19.1000003815,27.77%,145.6,7.890000000000015,-13.99%,153.49
全景軟體,24.93,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,4.66,0.39,15.86,7.475193280242558,136.05,8272.TWO,67.8000030518,N/A,48.18,7.82,N/A,56.0
欣欣,-7.32,2025,2026-03,🏰 高護城河,⚠️ 追價風險,0.38,0.11,-2.15,26.888889736555555,13.5,2901.TW,24.2000007629,84.77%,30.02,7.48,20.24%,37.5
未知,14.95,2025,2026-03,🌑 雙重衰退,⚪ 數據不足,-0.92,-0.19,-3.6,0.0,0.0,4178.TWO,0.0,N/A,-11.29,5.7299999999999995,N/A,-5.56
永笙-KY,14.95,2025,2026-03,🌑 雙重衰退,⚪ 數據不足,-0.92,-0.19,-3.6,0.0,0.0,4178.TW,18.6499996185,N/A,-11.29,5.7299999999999995,N/A,-5.56
詩肯,-38.13,2025,2026-03,🚀 利潤擴張,✅ 穩健價值,0.99,1.5,-3.57,6.084905480448112,63.6,6195.TWO,25.7999992371,N/A,109.17,5.1200000000000045,N/A,114.29
兆豐金,0.85,2025,2026-03,🏰 高護城河,✅ 穩健價值,2.36,0.63,-1.77,7.634583888597065,91.94999999999999,2886.TW,46.7999992371,83.45%,12.57,4.100000000000001,33.61%,16.67
聯傑,41.18,2025,2026-03,🏰 高護城河,⚠️ 追價風險,0.25,0.07,13.2,80.61224489795919,7.35,3094.TW,39.5,73.82%,12.87,3.8000000000000025,-7.29%,16.67
亞電,-326.32,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.43,0.24,-8.05,0.0,-22.2,4939.TWO,59.0999984741,N/A,296.51,3.490000000000009,N/A,300.0
達人網,18.52,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,2.56,0.73,8.14,0.0,0.0,7839.TWO,43.5,N/A,2.45,3.3499999999999996,N/A,5.8
能率亞洲,-16.92,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.58,-0.25,15.88,51.60493732975309,12.149999999999999,7777.TWO,41.7999992371,N/A,32.83,3.0700000000000003,N/A,35.9
米斯特,-27.47,2025,2026-03,🏰 高護城河,✅ 穩健價值,2.35,0.89,12.71,5.239162815710015,100.35000000000001,2941.TWO,35.0499992371,64.17%,68.9,2.25,2.03%,71.15
王道銀行,-35.48,2025,2026-03,🏰 高護城河,✅ 穩健價值,0.61,0.28,-2.09,6.063218500402299,26.1,2897.TW,10.5500001907,91.47%,36.86,2.030000000000001,32.72%,38.89
佐登-KY,67.52,2025,2026-03,🚀 利潤擴張,⚪ 數據不足,-1.59,-0.26,1.27,0.0,-73.20000000000002,4190.TW,26.1000003815,N/A,42.24,0.9399999999999977,N/A,43.18
