advice,price,pe,date,expansion,om,symbol,name,rev_yoy,est_price,prev_eps,prev_rev_yoy,gm,prev_year,status,eps_yoy,prev_eps_yoy,eps
⚪ 數據不足,24.8999996185,0.0,2026-03,186.79000000000002,7.12%,3717.TW,聯嘉投控,26.54,0.0,0.08,3.55,19.34%,2025,🚀 利潤擴張,213.33,-80.0,0.47
⚪ 數據不足,40.5999984741,0.0,2026-03,185.94,N/A,8084.TWO,巨虹,80.73,-43.199999999999996,-1.82,-10.9,N/A,2025,🔄 轉虧為盈,266.67,-280.2,0.33
💎 強力關注,46.5999984741,7.432216662535885,2026-03,185.43999999999994,14.85%,3290.TWO,東浦,542.69,94.05,2.02,18.23,30.40%,2025,🚀 利潤擴張,728.13,25.64,2.65
⚪ 數據不足,17.1499996185,0.0,2026-03,164.05,N/A,5460.TWO,同協,385.95,-7.95,-0.17,-15.68,N/A,2025,🔄 轉虧為盈,550.0,-177.27,0.09
⚪ 數據不足,0.0,0.0,2026-03,160.65000000000003,N/A,4582.TWO,未知,116.02,0.0,1.54,32.98,N/A,2025,🚀 利潤擴張,276.67,1640.0,0.53
⚪ 數據不足,22.3999996185,0.0,2026-03,160.65000000000003,N/A,4582.TW,聚恆-創,116.02,0.0,1.54,32.98,N/A,2025,🚀 利潤擴張,276.67,1640.0,0.53
⚪ 數據不足,99.8000030518,0.0,2026-03,157.99,-2.91%,2426.TW,鼎元,542.01,-6.6,-0.25,-2.43,10.78%,2025,🔄 轉虧為盈,700.0,-219.05,0.06
⚪ 數據不足,39.2999992371,0.0,2026-03,156.05,8.42%,2417.TW,圓剛,108.24,-25.049999999999997,-0.19,2.69,56.31%,2025,🔄 轉虧為盈,264.29,54.55,0.28
⚠️ 追價風險,9.8800001144,141.14285877714272,2026-03,152.34,N/A,9934.TW,成霖,214.33,1.050000000000001,-0.29,-4.25,N/A,2025,🔄 轉虧為盈,366.67,-125.22,0.28
⚠️ 追價風險,63.2999992371,29.44186011027906,2026-03,142.32,N/A,2732.TWO,六角,180.76,32.250000000000014,1.09,7.13,N/A,2025,🚀 利潤擴張,323.08,-77.02,1.1
✅ 穩健價值,92.0,14.352574102964118,2026-03,134.17000000000002,N/A,6569.TWO,醫揚,307.94,96.15,2.88,5.8,N/A,2025,🚀 利潤擴張,442.11,-38.68,1.03
⚠️ 追價風險,125.5,22.13403880070547,2026-03,133.17000000000002,N/A,6166.TW,凌華,273.28,85.05,2.35,17.09,N/A,2025,🚀 利潤擴張,406.45,921.74,1.57
⚠️ 追價風險,2875.0,235.65573770491804,2026-03,130.47000000000003,41.27%,3081.TWO,聯亞,515.18,183.0,4.66,82.29,54.76%,2025,🏰 高護城河,645.65,884.75,3.44
💎 強力關注,68.5999984741,5.980819396172624,2026-03,115.32000000000001,N/A,3356.TW,奇偶,113.17,172.05,6.21,-14.96,N/A,2025,🚀 利潤擴張,228.49,-20.59,2.21
⚪ 數據不足,63.7999992371,0.0,2026-03,114.74000000000001,N/A,6735.TWO,美達科技,268.59,-7.200000000000001,0.33,-4.81,N/A,2025,🚀 利潤擴張,383.33,-84.51,0.29
⚪ 數據不足,5.9299998283,0.0,2026-03,109.06,-12.62%,2601.TW,益航,-21.56,-33.6,-1.63,-7.78,102.69%,2025,🏰 高護城河,87.5,-365.71,-0.02
⚠️ 追價風險,170.5,50.443786982248525,2026-03,108.44,N/A,7730.TW,暉盛-創,161.56,50.699999999999996,1.73,-5.33,N/A,2025,🚀 利潤擴張,270.0,-45.51,0.37
⚪ 數據不足,6.1999998093,0.0,2026-03,96.19000000000001,N/A,2911.TW,麗嬰房,67.27,-40.05,2.15,-16.81,N/A,2025,🚀 利潤擴張,163.46,152.83,0.66
⚠️ 追價風險,22.7000007629,26.091954899885057,2026-03,92.64,12.73%,3083.TWO,網龍,57.36,13.05,0.43,-7.4,87.57%,2025,🏰 高護城河,150.0,-46.91,0.3
✅ 穩健價值,39.0999984741,13.164982651212119,2026-03,89.48000000000002,N/A,6931.TW,青松健康,990.52,44.550000000000004,1.39,14.16,N/A,2025,🚀 利潤擴張,1080.0,104.41,0.49
⚪ 數據不足,23.2000007629,0.0,2026-03,88.79000000000002,-21.33%,1599.TWO,宏佳騰,486.21,-24.299999999999994,-0.84,-18.58,16.92%,2025,🔄 轉虧為盈,575.0,-169.49,0.28
⚪ 數據不足,64.0999984741,0.0,2026-03,84.69999999999999,-58.34%,4147.TWO,中裕,81.97,-18.3,-0.61,0.19,28.91%,2025,🔄 轉虧為盈,166.67,17.57,0.06
💎 強力關注,42.7999992371,6.564417060904909,2026-03,83.63,13.17%,1339.TW,昭輝,102.97,97.8,2.41,-14.02,33.66%,2025,🚀 利潤擴張,186.6,-51.9,2.78
✅ 穩健價值,70.0,12.820512820512821,2026-03,83.04000000000002,3.76%,2436.TW,偉詮電,309.82,81.9,3.02,15.32,30.84%,2025,🚀 利潤擴張,392.86,78.06,0.7
⚠️ 追價風險,97.0,32.01320132013201,2026-03,81.14999999999999,N/A,6756.TW,威鋒電子,97.11,45.449999999999996,1.11,-8.83,N/A,2025,🚀 利潤擴張,178.26,-50.67,0.64
✅ 穩健價值,73.4000015259,14.115384908826924,2026-03,74.29000000000002,20.17%,3546.TWO,宇峻,62.07,77.99999999999999,1.97,2.09,89.44%,2025,🏰 高護城河,136.36,-64.44,2.34
⚪ 數據不足,82.0999984741,0.0,2026-03,73.29,N/A,7823.TW,奧義賽博-KY創,26.64,0.0,-1.49,22.72,N/A,2025,🚀 利潤擴張,99.93,96.29,-0.15
⚪ 數據不足,11.8500003815,0.0,2026-03,71.78,N/A,6169.TWO,昱泉,-97.71,-96.44999999999999,-2.43,19.25,N/A,2025,🌑 雙重衰退,-25.93,-99.18,-0.68
⚪ 數據不足,16.8500003815,0.0,2026-03,71.62,N/A,8354.TWO,冠好,578.38,-17.549999999999997,0.14,0.63,N/A,2025,🚀 利潤擴張,650.0,-91.14,0.3
⚪ 中性觀察,77.1999969482,16.252630936463156,2026-03,70.21000000000004,0.20%,4905.TWO,台聯電,315.9,71.25,2.76,22.56,25.49%,2025,🚀 利潤擴張,386.11,-5.15,1.75
⚪ 數據不足,2040.0,0.0,2026-03,69.89999999999999,N/A,7828.TWO,創新服務,51.84,0.0,6.33,76.4,N/A,2025,🚀 利潤擴張,121.74,44.08,1.02
💎 強力關注,16.8999996185,11.045751384640523,2026-03,68.69,38.94%,2889.TW,國票金,58.58,22.95,0.63,4.6,90.85%,2025,🏰 高護城河,127.27,3.28,0.25
💎 強力關注,77.6999969482,4.533255364539089,2026-03,67.19999999999999,20.98%,4137.TW,麗豐-KY,40.15,257.1,7.13,-4.63,82.18%,2025,🏰 高護城河,107.35,24.43,1.41
⚪ 數據不足,7.0700001717,0.0,2026-03,64.48,3.73%,3632.TWO,研勤,110.52,-15.3,-0.38,-28.72,54.59%,2025,🔄 轉虧為盈,175.0,-31.03,0.06
⚪ 數據不足,44.2000007629,0.0,2026-03,63.99000000000001,N/A,6986.TWO,和迅,42.91,0.0,2.43,2.38,N/A,2025,🚀 利潤擴張,106.9,-24.06,0.6
⚪ 數據不足,31.3500003815,0.0,2026-03,63.97,-45.46%,4562.TW,穎漢,111.03,-38.1,-1.28,-7.78,31.44%,2025,🔄 轉虧為盈,175.0,-184.44,0.11
⚪ 數據不足,17.2000007629,0.0,2026-03,63.5,-55.72%,3064.TWO,泰偉,-1.0,-122.4,-3.51,-29.69,93.22%,2025,🏰 高護城河,62.5,-7120.0,-0.27
💎 強力關注,32.25,4.756637168141593,2026-03,63.21000000000001,N/A,6005.TW,群益證,171.79,101.7,2.64,12.14,N/A,2025,🚀 利潤擴張,235.0,17.33,1.34
⚠️ 追價風險,30.5,45.522388059701505,2026-03,61.81999999999999,N/A,1533.TW,車王電,438.18,10.049999999999997,0.58,19.69,N/A,2025,🚀 利潤擴張,500.0,152.25,0.84
⚪ 中性觀察,24.5499992371,16.366666158066668,2026-03,61.76999999999998,7.12%,1904.TW,正隆,538.23,22.5,0.74,-4.85,20.98%,2025,🚀 利潤擴張,600.0,34.55,0.56
💎 強力關注,76.3000030518,10.052701324347828,2026-03,56.41999999999999,N/A,6208.TWO,日揚,150.03,113.85,2.52,-4.59,N/A,2025,🚀 利潤擴張,206.45,-26.32,1.9
💎 強力關注,23.75,4.927385892116182,2026-03,55.839999999999975,N/A,4747.TWO,強生,148.33,72.30000000000001,1.19,-6.81,N/A,2025,🚀 利潤擴張,204.17,-36.9,1.46
⚪ 數據不足,83.5,0.0,2026-03,55.43000000000001,N/A,8040.TWO,九暘,189.01,-18.45,-0.6,2.65,N/A,2025,🔄 轉虧為盈,244.44,49.15,0.13
💎 強力關注,30.75,1.6877058177826565,2026-03,54.05000000000001,-106.23%,4123.TWO,晟德,185.42,273.29999999999995,12.33,-6.28,41.95%,2025,🚀 利潤擴張,239.47,905.92,2.62
⚪ 數據不足,73.0999984741,0.0,2026-03,52.519999999999996,N/A,6934.TW,心誠鎂,-55.48,0.0,-3.92,-29.22,N/A,2025,🌑 雙重衰退,-2.96,-48.08,-1.43
💎 強力關注,122.0,7.244655581947743,2026-03,51.74000000000001,N/A,6574.TWO,霈方,95.63,252.6,6.82,6.51,N/A,2025,🚀 利潤擴張,147.37,66.34,3.29
⚪ 數據不足,0.0,0.0,2026-03,47.56,N/A,7711.TW,永擎,91.93,0.0,13.04,182.72,N/A,2025,🚀 利潤擴張,139.49,38.44,7.68
⚪ 中性觀察,42.0999984741,19.85848984627358,2026-03,46.579999999999984,N/A,3287.TWO,廣寰科,359.48,31.8,1.5,23.54,N/A,2025,🚀 利潤擴張,406.06,-36.17,1.01
💎 強力關注,24.0,2.4564994882292734,2026-03,45.849999999999994,N/A,9949.TWO,琉園,66.65,146.54999999999998,5.29,-17.0,N/A,2025,🚀 利潤擴張,112.5,544.54,0.03
💎 強力關注,137.5,11.96692776327241,2026-03,39.24,N/A,6620.TWO,漢達,15.93,172.35,4.85,108.17,N/A,2025,🚀 利潤擴張,55.17,31.64,0.46
⚪ 數據不足,69.6999969482,0.0,2026-03,35.860000000000014,-8.17%,2388.TW,威盛,264.14,-30.6,0.12,-40.0,20.64%,2025,🚀 利潤擴張,300.0,-93.75,0.08
💎 強力關注,57.7000007629,10.567765707490842,2026-03,34.20000000000002,14.95%,3556.TWO,禾瑞亞,156.04,81.9,2.15,1.24,50.66%,2025,🏰 高護城河,190.24,-5.7,1.19
⚪ 數據不足,38.9000015259,0.0,2026-03,32.379999999999995,N/A,7821.TW,神數,10.24,0.0,2.99,19.28,N/A,2025,🚀 利潤擴張,42.62,91.67,0.87
⚪ 數據不足,0.0,0.0,2025-12,28.590000000000003,30.89%,2072.TWO,未知,6.33,0.0,7.56,15.19,35.24%,2025,🚀 利潤擴張,34.92,-17.2,11.94
⚪ 數據不足,75.5,0.0,2026-03,27.259999999999998,N/A,6794.TW,向榮生技,-3.86,-70.05,-1.89,-5.58,N/A,2025,🧐 疑業外收益,23.4,-13.21,-0.36
⚪ 數據不足,8.0900001526,0.0,2026-03,27.04000000000002,1.90%,1467.TW,南緯,422.96,-28.950000000000003,-0.45,2.23,23.39%,2025,🔄 轉虧為盈,450.0,-197.83,0.11
⚪ 數據不足,299.5,0.0,2026-03,26.23,N/A,7768.TW,頌勝科技,16.63,0.0,3.24,3.08,N/A,2025,🚀 利潤擴張,42.86,-27.83,1.62
⚪ 數據不足,0.0,0.0,2026-03,26.23,N/A,7768.TWO,未知,16.63,0.0,3.24,3.08,N/A,2025,🚀 利潤擴張,42.86,-27.83,1.62
⚪ 數據不足,0.0,0.0,2026-03,25.689999999999998,16.93%,1623.TW,大東電,12.42,0.0,13.61,20.5,21.29%,2025,🚀 利潤擴張,38.11,11.37,4.33
💎 強力關注,70.4000015259,10.000000216747159,2026-03,20.689999999999998,33.03%,2885.TW,元大金,62.36,105.6,2.74,6.4,80.00%,2025,🏰 高護城河,83.05,-1.08,1.08
✅ 穩健價值,31.1000003815,13.946188511883408,2026-03,19.960000000000004,N/A,5604.TWO,中連,25.49,33.45,0.85,0.36,N/A,2025,🚀 利潤擴張,45.45,-66.0,0.32
💎 強力關注,17.8500003815,10.884146574085365,2026-03,19.539999999999964,N/A,6015.TWO,宏遠證,451.29,24.599999999999998,0.76,0.56,N/A,2025,🚀 利潤擴張,470.83,-11.63,0.89
⚪ 數據不足,15.1499996185,0.0,2026-03,18.900000000000002,N/A,5202.TWO,力新,26.81,-30.900000000000002,-0.61,-8.35,N/A,2025,🚀 利潤擴張,45.71,-134.86,-0.19
💎 強力關注,46.6500015259,9.883474899555086,2026-03,18.060000000000002,45.93%,2880.TW,華南金,22.97,70.8,1.9,4.06,97.25%,2025,🏰 高護城河,41.03,13.1,0.55
⚠️ 追價風險,103.5,159.23076923076923,2026-03,17.97999999999999,8.13%,3581.TWO,博磊,216.8,9.75,0.81,13.9,31.93%,2025,🚀 利潤擴張,234.78,35.0,0.31
💎 強力關注,12.25,7.291666666666666,2026-03,17.229999999999997,32.37%,2836.TW,高雄銀,16.1,25.200000000000003,0.68,14.52,89.95%,2025,🏰 高護城河,33.33,28.3,0.2
⚠️ 追價風險,498.0,622.5,2026-03,15.160000000000025,N/A,4991.TWO,環宇-KY,316.27,11.999999999999998,0.15,25.43,N/A,2025,🚀 利潤擴張,331.43,107.11,1.67
⚪ 數據不足,34.3499984741,0.0,2026-03,12.35,N/A,7819.TWO,精誠金融,-1.82,0.0,2.91,10.14,N/A,2025,🧐 疑業外收益,10.53,14.12,0.42
💎 強力關注,40.4500007629,10.616798100498688,2026-03,12.0,39.14%,2883.TW,凱基金,22.04,57.14999999999999,1.74,-12.26,78.38%,2025,🏰 高護城河,34.04,-10.99,0.69
⚪ 數據不足,32.9500007629,0.0,2026-03,10.350000000000001,N/A,6657.TW,華安,41.94,-109.2,-2.92,-0.97,N/A,2025,🚀 利潤擴張,52.29,-14.12,-0.53
⚠️ 追價風險,2830.0,44.79265590376701,2026-03,9.14,60.64%,3529.TWO,力旺,19.99,947.7,25.6,6.74,100.00%,2025,🏰 高護城河,29.13,4.19,7.98
⚪ 數據不足,25.5499992371,0.0,2026-03,8.629999999999995,-4.59%,1236.TW,宏亞,274.7,-14.25,-0.43,-8.31,24.77%,2025,🔄 轉虧為盈,283.33,-53.57,0.23
⚪ 數據不足,20.8500003815,0.0,2026-03,7.890000000000015,-13.99%,1598.TW,岱宇,145.6,-89.10000000000001,-3.35,-15.19,27.77%,2025,🔄 轉虧為盈,153.49,-827.91,0.25
✅ 穩健價值,64.3000030518,7.0893057388974645,2026-03,7.82,N/A,8272.TWO,全景軟體,48.18,136.05,4.66,15.86,N/A,2025,🚀 利潤擴張,56.0,24.93,0.39
⚠️ 追價風險,23.2000007629,25.777778625444444,2026-03,7.48,20.24%,2901.TW,欣欣,30.02,13.5,0.38,-2.15,84.77%,2025,🏰 高護城河,37.5,-7.32,0.11
⚪ 數據不足,0.0,0.0,2026-03,5.7299999999999995,N/A,4178.TWO,未知,-11.29,0.0,-0.92,-3.6,N/A,2025,🌑 雙重衰退,-5.56,14.95,-0.19
⚪ 數據不足,16.7999992371,0.0,2026-03,5.7299999999999995,N/A,4178.TW,永笙-KY,-11.29,0.0,-0.92,-3.6,N/A,2025,🌑 雙重衰退,-5.56,14.95,-0.19
✅ 穩健價值,27.7999992371,6.55660359365566,2026-03,5.1200000000000045,N/A,6195.TWO,詩肯,109.17,63.6,0.99,-3.57,N/A,2025,🚀 利潤擴張,114.29,-38.13,1.5
✅ 穩健價值,51.0999984741,8.336051953360522,2026-03,4.100000000000001,33.61%,2886.TW,兆豐金,12.57,91.94999999999999,2.36,-1.77,83.45%,2025,🏰 高護城河,16.67,0.85,0.63
⚠️ 追價風險,56.7999992371,115.91836579000001,2026-03,3.8000000000000025,-7.29%,3094.TW,聯傑,12.87,7.35,0.25,13.2,73.82%,2025,🏰 高護城河,16.67,41.18,0.07
⚪ 數據不足,78.8000030518,0.0,2026-03,3.490000000000009,N/A,4939.TWO,亞電,296.51,-22.2,-0.43,-8.05,N/A,2025,🔄 轉虧為盈,300.0,-326.32,0.24
⚪ 數據不足,43.2999992371,0.0,2026-03,3.3499999999999996,N/A,7839.TWO,達人網,2.45,0.0,2.56,8.14,N/A,2025,🚀 利潤擴張,5.8,18.52,0.73
⚠️ 追價風險,35.9000015259,44.320989538148154,2026-03,3.0700000000000003,N/A,7777.TWO,能率亞洲,32.83,12.149999999999999,0.58,15.88,N/A,2025,🚀 利潤擴張,35.9,-16.92,-0.25
✅ 穩健價值,31.9500007629,4.775784867399103,2026-03,2.25,2.03%,2941.TWO,米斯特,68.9,100.35000000000001,2.35,12.71,64.17%,2025,🏰 高護城河,71.15,-27.47,0.89
✅ 穩健價值,11.25,6.4655172413793105,2026-03,2.030000000000001,32.72%,2897.TW,王道銀行,36.86,26.1,0.61,-2.09,91.47%,2025,🏰 高護城河,38.89,-35.48,0.28
⚪ 數據不足,25.2000007629,0.0,2026-03,0.9399999999999977,N/A,4190.TW,佐登-KY,42.24,-73.20000000000002,-1.59,1.27,N/A,2025,🚀 利潤擴張,43.18,67.52,-0.26
