prev_year,gm,rev_yoy,prev_eps_yoy,om,eps,date,status,advice,prev_eps,name,eps_yoy,symbol,expansion,price,pe,est_price,prev_rev_yoy
2025,14.61%,974.97,50.0,2.47%,0.23,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.15,永純,2200.0,4711.TWO,1225.03,17.3500003815,34.01960859117647,7.65,-4.5
2025,41.46%,142.36,250.0,18.72%,0.17,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.09,中纖,1300.0,1718.TW,1157.6399999999999,14.1999998093,34.63414587634146,6.15,-0.24
2025,69.49%,120.91,406.67,-15.39%,0.48,2026-03,🏰 高護城河,⚪ 中性觀察,1.52,倚強科,1275.0,3219.TWO,1154.09,78.3000030518,17.40000067817778,67.5,49.68
2025,N/A,536.39,-17.95,N/A,0.17,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.31,邑昇,1600.0,5291.TWO,1063.6100000000001,57.0999984741,77.16216010013514,11.1,9.81
2025,68.55%,117.67,-6.25,43.45%,0.6,2026-03,🏰 高護城河,💎 強力關注,3.45,星通,1100.0,3025.TW,982.33,59.7999992371,11.434034270956024,78.44999999999999,4.27
2025,N/A,1792.89,110.31,N/A,27.0,2026-03,🚀 利潤擴張,💎 強力關注,13.06,十銓,2600.0,4967.TW,807.1099999999999,233.0,5.218365061590146,669.75,2.46
2025,24.10%,280.55,46.43,2.82%,0.78,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.23,所羅門,1014.29,2359.TW,733.74,139.0,117.79661016949156,17.699999999999996,21.27
2025,-78.82%,496.76,-566.18,-143.69%,1.64,2026-03,🔄 轉虧為盈,⚪ 數據不足,-4.39,中化生,1211.11,1762.TW,714.3499999999999,38.1500015259,0.0,-85.05,-40.26
2025,32.33%,2018.02,-51.41,20.25%,7.22,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.87,晶豪科,2666.67,3006.TW,648.6500000000001,237.0,97.93388429752068,36.29999999999999,8.08
2025,17.62%,510.23,-266.0,-3.37%,0.24,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.84,盟立,1100.0,2464.TW,589.77,161.5,0.0,-26.55,-10.95
2025,61.62%,1484.6,140.33,55.59%,18.93,2026-03,🏰 高護城河,💎 強力關注,12.98,創見,2067.82,2451.TW,583.2200000000003,253.5,6.4784053156146175,586.95,69.84
2025,-40.24%,224.53,89.09,-147.39%,2.12,2026-03,🔄 轉虧為盈,💎 強力關注,-0.07,台鋼建設,806.67,3521.TWO,582.14,13.6000003815,6.938775704846937,29.400000000000006,58.31
2025,20.96%,1184.49,-68.84,4.39%,1.86,2026-03,🚀 利潤擴張,⚪ 中性觀察,1.01,南港,1763.64,2101.TW,579.1500000000001,34.0,16.666666666666668,30.6,-44.61
2025,14.87%,543.13,-197.14,-1.97%,0.2,2026-03,🔄 轉虧為盈,⚪ 數據不足,-1.02,高鋒,1100.0,4510.TWO,556.87,42.5499992371,0.0,-36.6,-2.21
2025,28.61%,688.27,-40.68,8.69%,0.26,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.7,微端,1200.0,3285.TWO,511.73,40.0999984741,38.19047473723809,15.75,-19.66
2025,N/A,43.25,222.58,N/A,1.64,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.58,GOGOLOOK,530.77,6902.TW,487.52,137.5,39.62536023054756,52.05,20.92
2025,N/A,335.75,74.6,N/A,0.46,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.16,鑫永洋,820.0,6241.TWO,484.25,15.75,0.0,-7.499999999999999,5.06
2025,N/A,727.58,-42.59,N/A,0.22,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.31,綠電,1200.0,8440.TWO,472.41999999999996,21.1499996185,35.84745698050847,8.850000000000001,-6.1
2025,30.54%,-25.82,-1.45,-0.34%,1.21,2026-03,🧐 疑業外收益,⚪ 數據不足,2.72,富田-創,418.92,4590.TW,444.74,90.4000015259,0.0,0.0,-41.11
2025,36.04%,187.7,-34.67,11.05%,0.25,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.49,麗正,600.0,2302.TW,412.3,46.3499984741,39.9568952362931,17.400000000000002,11.66
2025,41.86%,646.87,576.92,15.37%,2.25,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.88,華邦電,1037.5,2344.TW,390.63,176.5,64.88970588235294,40.8,9.55
2025,N/A,6.45,5.88,N/A,0.41,2026-03,🚀 利潤擴張,⚪ 數據不足,1.44,宏�砦C戲-創,387.5,6908.TW,381.05,36.5999984741,0.0,0.0,28.36
2025,N/A,359.78,-49.65,N/A,1.59,2026-03,🚀 利潤擴張,⚪ 中性觀察,2.19,應廣,715.79,6716.TWO,356.01,102.5,18.84191176470588,81.60000000000001,-15.3
2025,N/A,37.41,207.35,N/A,0.24,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.73,寶碩,380.0,5210.TWO,342.59000000000003,30.5499992371,23.499999413153848,19.499999999999996,9.95
2025,N/A,750.53,90.52,N/A,0.99,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.2,鈺鎧,1090.0,5228.TWO,339.47,55.4000015259,0.0,-8.4,25.85
2025,N/A,179.43,1.73,N/A,1.42,2026-03,🚀 利潤擴張,💎 強力關注,2.35,亞洲藏壽司,517.65,2754.TWO,338.21999999999997,69.5999984741,11.280388731620747,92.55,5.96
2025,42.07%,237.41,170.59,14.30%,0.13,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.92,旭然,550.0,4556.TWO,312.59000000000003,101.0,57.38636363636363,26.4,-3.75
2025,30.11%,343.32,-29.63,7.94%,0.15,2026-03,🚀 利潤擴張,⚪ 中性觀察,0.57,協禧,650.0,3071.TWO,306.68,29.4500007629,17.023121828265896,25.95,-5.82
2025,N/A,849.86,3.78,N/A,68.8,2026-03,🚀 利潤擴張,✅ 穩健價值,41.98,群聯,1143.3,8299.TWO,293.43999999999994,2220.0,15.877556858818481,2097.2999999999997,23.29
2025,N/A,270.3,-150.59,N/A,0.67,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.43,慧智,546.67,6615.TWO,276.36999999999995,36.6500015259,0.0,-2.2499999999999996,-14.91
2025,N/A,371.03,550.0,N/A,0.27,2026-03,🚀 利潤擴張,⚪ 數據不足,0.18,康舒,640.0,6282.TW,268.97,57.5999984741,0.0,-9.150000000000002,0.1
2025,N/A,186.87,55.83,N/A,0.38,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.76,三貝德,445.45,8489.TWO,258.58,21.7000007629,0.0,-20.1,5.03
2025,18.73%,473.51,8050.0,8.07%,4.49,2026-03,🚀 利潤擴張,✅ 穩健價值,1.77,事欣科,701.79,4916.TW,228.27999999999997,108.0,13.46633416458853,120.3,0.89
2025,N/A,292.4,-66.67,N/A,2.97,2026-03,🚀 利潤擴張,💎 強力關注,0.88,銘旺實,518.75,4432.TWO,226.35000000000002,16.2999992371,5.544217427585034,44.1,-3.15
2025,35.38%,132.31,51.72,-88.29%,0.45,2026-03,🚀 利潤擴張,💎 強力關注,0.88,中美實,350.0,4702.TWO,217.69,9.8999996185,10.102040427040816,14.700000000000001,-61.59
2025,N/A,297.67,33.97,N/A,3.8,2026-03,🚀 利潤擴張,💎 強力關注,13.25,東哥遊艇,512.9,8478.TW,215.22999999999996,154.0,4.679428745062291,493.65000000000003,5.83
2025,13.61%,713.51,-21.15,8.70%,0.66,2026-03,🚀 利潤擴張,💎 強力關注,1.65,大亞,925.0,1609.TW,211.49,39.0999984741,7.6516631064774945,76.65,3.39
2025,19.34%,26.54,-80.0,7.12%,0.47,2026-03,🚀 利潤擴張,⚪ 數據不足,0.08,聯嘉投控,213.33,3717.TW,186.79000000000002,25.4500007629,0.0,0.0,3.55
2025,N/A,80.73,-280.2,N/A,0.33,2026-03,🔄 轉虧為盈,⚪ 數據不足,-1.82,巨虹,266.67,8084.TWO,185.94,48.4000015259,0.0,-43.199999999999996,-10.9
2025,30.40%,542.69,25.64,14.85%,2.65,2026-03,🚀 利潤擴張,💎 強力關注,2.02,東浦,728.13,3290.TWO,185.43999999999994,68.4000015259,10.90909115245614,94.05,18.23
2025,N/A,385.95,-177.27,N/A,0.09,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.17,同協,550.0,5460.TWO,164.05,16.7999992371,0.0,-7.95,-15.68
2025,N/A,116.02,1640.0,N/A,0.53,2026-03,🚀 利潤擴張,⚪ 數據不足,1.54,未知,276.67,4582.TWO,160.65000000000003,0.0,0.0,0.0,32.98
2025,N/A,116.02,1640.0,N/A,0.53,2026-03,🚀 利潤擴張,⚪ 數據不足,1.54,聚恆-創,276.67,4582.TW,160.65000000000003,26.2999992371,0.0,0.0,32.98
2025,10.78%,542.01,-219.05,-2.91%,0.06,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.25,鼎元,700.0,2426.TW,157.99,72.0,0.0,-6.6,-2.43
2025,56.31%,108.24,54.55,8.42%,0.28,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.19,圓剛,264.29,2417.TW,156.05,45.0499992371,0.0,-25.049999999999997,2.69
2025,N/A,214.33,-125.22,N/A,0.28,2026-03,🔄 轉虧為盈,⚠️ 追價風險,-0.29,成霖,366.67,9934.TW,152.34,10.3000001907,147.14285986714273,1.050000000000001,-4.25
2025,N/A,180.76,-77.02,N/A,1.1,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.09,六角,323.08,2732.TWO,142.32,64.9000015259,30.186047221348822,32.250000000000014,7.13
2025,N/A,307.94,-38.68,N/A,1.03,2026-03,🚀 利潤擴張,⚪ 中性觀察,2.88,醫揚,442.11,6569.TWO,134.17000000000002,106.5,16.614664586583462,96.15,5.8
2025,N/A,273.28,921.74,N/A,1.57,2026-03,🚀 利潤擴張,⚠️ 追價風險,2.35,凌華,406.45,6166.TW,133.17000000000002,134.5,23.721340388007054,85.05,17.09
2025,54.76%,515.18,884.75,41.27%,3.44,2026-03,🏰 高護城河,⚠️ 追價風險,4.66,聯亞,645.65,3081.TWO,130.47000000000003,2005.0,164.344262295082,183.0,82.29
2025,N/A,113.17,-20.59,N/A,2.21,2026-03,🚀 利潤擴張,💎 強力關注,6.21,奇偶,228.49,3356.TW,115.32000000000001,59.7999992371,5.213600630959023,172.05,-14.96
2025,N/A,268.59,-84.51,N/A,0.29,2026-03,🚀 利潤擴張,⚪ 數據不足,0.33,美達科技,383.33,6735.TWO,114.74000000000001,80.0999984741,0.0,-7.200000000000001,-4.81
2025,102.69%,-21.56,-365.71,-12.62%,-0.02,2026-03,🏰 高護城河,⚪ 數據不足,-1.63,益航,87.5,2601.TW,109.06,7.9800000191,0.0,-33.6,-7.78
2025,N/A,161.56,-45.51,N/A,0.37,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.73,暉盛-創,270.0,7730.TW,108.44,183.0,54.142011834319526,50.699999999999996,-5.33
2025,N/A,67.27,152.83,N/A,0.66,2026-03,🚀 利潤擴張,⚪ 數據不足,2.15,麗嬰房,163.46,2911.TW,96.19000000000001,7.8400001526,0.0,-40.05,-16.81
2025,87.57%,57.36,-46.91,12.73%,0.3,2026-03,🏰 高護城河,⚠️ 追價風險,0.43,網龍,150.0,3083.TWO,92.64,26.7999992371,30.804596824252872,13.05,-7.4
2025,N/A,990.52,104.41,N/A,0.49,2026-03,🚀 利潤擴張,✅ 穩健價值,1.39,青松健康,1080.0,6931.TW,89.48000000000002,39.75,13.383838383838382,44.550000000000004,14.16
2025,16.92%,486.21,-169.49,-21.33%,0.28,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.84,宏佳騰,575.0,1599.TWO,88.79000000000002,23.2000007629,0.0,-24.299999999999994,-18.58
2025,28.91%,81.97,17.57,-58.34%,0.06,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.61,中裕,166.67,4147.TWO,84.69999999999999,69.5,0.0,-18.3,0.19
2025,33.66%,102.97,-51.9,13.17%,2.78,2026-03,🚀 利潤擴張,💎 強力關注,2.41,昭輝,186.6,1339.TW,83.63,44.7999992371,6.871165527162578,97.8,-14.02
2025,30.84%,309.82,78.06,3.76%,0.7,2026-03,🚀 利潤擴張,✅ 穩健價值,3.02,偉詮電,392.86,2436.TW,83.04000000000002,67.1999969482,12.307691748754578,81.9,15.32
2025,N/A,97.11,-50.67,N/A,0.64,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.11,威鋒電子,178.26,6756.TW,81.14999999999999,99.6999969482,32.90428942184818,45.449999999999996,-8.83
2025,89.44%,62.07,-64.44,20.17%,2.34,2026-03,🏰 高護城河,✅ 穩健價值,1.97,宇峻,136.36,3546.TWO,74.29000000000002,74.4000015259,14.307692601134617,77.99999999999999,2.09
2025,N/A,26.64,96.29,N/A,-0.15,2026-03,🚀 利潤擴張,⚪ 數據不足,-1.49,奧義賽博-KY創,99.93,7823.TW,73.29,88.8000030518,0.0,0.0,22.72
2025,N/A,-97.71,-99.18,N/A,-0.68,2026-03,🌑 雙重衰退,⚪ 數據不足,-2.43,昱泉,-25.93,6169.TWO,71.78,14.5,0.0,-96.44999999999999,19.25
2025,N/A,578.38,-91.14,N/A,0.3,2026-03,🚀 利潤擴張,⚪ 數據不足,0.14,冠好,650.0,8354.TWO,71.62,16.75,0.0,-17.549999999999997,0.63
2025,25.49%,315.9,-5.15,0.20%,1.75,2026-03,🚀 利潤擴張,✅ 穩健價值,2.76,台聯電,386.11,4905.TWO,70.21000000000004,67.1999969482,14.14736777856842,71.25,22.56
2025,N/A,51.84,44.08,N/A,1.02,2026-03,🚀 利潤擴張,⚪ 數據不足,6.33,創新服務,121.74,7828.TWO,69.89999999999999,2115.0,0.0,0.0,76.4
2025,90.85%,58.58,3.28,38.94%,0.25,2026-03,🏰 高護城河,💎 強力關注,0.63,國票金,127.27,2889.TW,68.69,15.8000001907,10.326797510261438,22.95,4.6
2025,82.18%,40.15,24.43,20.98%,1.41,2026-03,🏰 高護城河,💎 強力關注,7.13,麗豐-KY,107.35,4137.TW,67.19999999999999,96.6999969482,5.641773450886814,257.1,-4.63
2025,54.59%,110.52,-31.03,3.73%,0.06,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.38,研勤,175.0,3632.TWO,64.48,8.5900001526,0.0,-15.3,-28.72
2025,N/A,42.91,-24.06,N/A,0.6,2026-03,🚀 利潤擴張,⚪ 數據不足,2.43,和迅,106.9,6986.TWO,63.99000000000001,47.0,0.0,0.0,2.38
2025,31.44%,111.03,-184.44,-45.46%,0.11,2026-03,🔄 轉虧為盈,⚪ 數據不足,-1.28,穎漢,175.0,4562.TW,63.97,34.0,0.0,-38.1,-7.78
2025,93.22%,-1.0,-7120.0,-55.72%,-0.27,2026-03,🏰 高護城河,⚪ 數據不足,-3.51,泰偉,62.5,3064.TWO,63.5,19.2000007629,0.0,-122.4,-29.69
2025,N/A,171.79,17.33,N/A,1.34,2026-03,🚀 利潤擴張,💎 強力關注,2.64,群益證,235.0,6005.TW,63.21000000000001,36.4000015259,5.368731788480826,101.7,12.14
2025,N/A,438.18,152.25,N/A,0.84,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.58,車王電,500.0,1533.TW,61.81999999999999,36.8499984741,54.99999772253732,10.049999999999997,19.69
2025,20.98%,538.23,34.55,7.12%,0.56,2026-03,🚀 利潤擴張,✅ 穩健價值,0.74,正隆,600.0,1904.TW,61.76999999999998,23.3999996185,15.599999745666667,22.5,-4.85
2025,N/A,150.03,-26.32,N/A,1.9,2026-03,🚀 利潤擴張,💎 強力關注,2.52,日揚,206.45,6208.TWO,56.41999999999999,90.3000030518,11.897233603662714,113.85,-4.59
2025,N/A,148.33,-36.9,N/A,1.46,2026-03,🚀 利潤擴張,💎 強力關注,1.19,強生,204.17,4747.TWO,55.839999999999975,50.0,10.373443983402488,72.30000000000001,-6.81
2025,N/A,189.01,49.15,N/A,0.13,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.6,九暘,244.44,8040.TWO,55.43000000000001,92.9000015259,0.0,-18.45,2.65
2025,41.95%,185.42,905.92,-106.23%,2.62,2026-03,🚀 利潤擴張,💎 強力關注,12.33,晟德,239.47,4123.TWO,54.05000000000001,38.9500007629,2.137760744396268,273.29999999999995,-6.28
2025,N/A,-55.48,-48.08,N/A,-1.43,2026-03,🌑 雙重衰退,⚪ 數據不足,-3.92,心誠鎂,-2.96,6934.TW,52.519999999999996,79.6999969482,0.0,0.0,-29.22
2025,N/A,95.63,66.34,N/A,3.29,2026-03,🚀 利潤擴張,💎 強力關注,6.82,霈方,147.37,6574.TWO,51.74000000000001,132.5,7.868171021377672,252.6,6.51
2025,N/A,91.93,38.44,N/A,7.68,2026-03,🚀 利潤擴張,⚪ 數據不足,13.04,永擎,139.49,7711.TW,47.56,0.0,0.0,0.0,182.72
2025,N/A,359.48,-36.17,N/A,1.01,2026-03,🚀 利潤擴張,✅ 穩健價值,1.5,廣寰科,406.06,3287.TWO,46.579999999999984,30.6499996185,14.457546989858491,31.8,23.54
2025,N/A,66.65,544.54,N/A,0.03,2026-03,🚀 利潤擴張,💎 強力關注,5.29,琉園,112.5,9949.TWO,45.849999999999994,29.5,3.0194472876151486,146.54999999999998,-17.0
2025,N/A,15.93,31.64,N/A,0.46,2026-03,🚀 利潤擴張,💎 強力關注,4.85,漢達,55.17,6620.TWO,39.24,99.5,8.65970409051349,172.35,108.17
2025,20.64%,264.14,-93.75,-8.17%,0.08,2026-03,🚀 利潤擴張,⚪ 數據不足,0.12,威盛,300.0,2388.TW,35.860000000000014,73.0999984741,0.0,-30.6,-40.0
2025,50.66%,156.04,-5.7,14.95%,1.19,2026-03,🏰 高護城河,✅ 穩健價值,2.15,禾瑞亞,190.24,3556.TWO,34.20000000000002,75.9000015259,13.901099180567766,81.9,1.24
2025,N/A,10.24,91.67,N/A,0.87,2026-03,🚀 利潤擴張,⚪ 數據不足,2.99,神數,42.62,7821.TW,32.379999999999995,41.0,0.0,0.0,19.28
2025,35.24%,6.33,-17.2,30.89%,11.94,2025-12,🚀 利潤擴張,⚪ 數據不足,7.56,未知,34.92,2072.TWO,28.590000000000003,0.0,0.0,0.0,15.19
2025,N/A,-3.86,-13.21,N/A,-0.36,2026-03,🧐 疑業外收益,⚪ 數據不足,-1.89,向榮生技,23.4,6794.TW,27.259999999999998,82.4000015259,0.0,-70.05,-5.58
2025,23.39%,422.96,-197.83,1.90%,0.11,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.45,南緯,450.0,1467.TW,27.04000000000002,8.4099998474,0.0,-28.950000000000003,2.23
2025,N/A,16.63,-27.83,N/A,1.62,2026-03,🚀 利潤擴張,⚪ 數據不足,3.24,頌勝科技,42.86,7768.TW,26.23,350.5,0.0,0.0,3.08
2025,N/A,16.63,-27.83,N/A,1.62,2026-03,🚀 利潤擴張,⚪ 數據不足,3.24,未知,42.86,7768.TWO,26.23,0.0,0.0,0.0,3.08
2025,21.29%,12.42,11.37,16.93%,4.33,2026-03,🚀 利潤擴張,⚪ 數據不足,13.61,大東電,38.11,1623.TW,25.689999999999998,0.0,0.0,0.0,20.5
2025,80.00%,62.36,-1.08,33.03%,1.08,2026-03,🏰 高護城河,💎 強力關注,2.74,元大金,83.05,2885.TW,20.689999999999998,68.3000030518,9.701704978948865,105.6,6.4
2025,N/A,25.49,-66.0,N/A,0.32,2026-03,🚀 利潤擴張,✅ 穩健價值,0.85,中連,45.45,5604.TWO,19.960000000000004,30.7999992371,13.811658850717489,33.45,0.36
2025,N/A,451.29,-11.63,N/A,0.89,2026-03,🚀 利潤擴張,💎 強力關注,0.76,宏遠證,470.83,6015.TWO,19.539999999999964,17.6499996185,10.762194889329269,24.599999999999998,0.56
2025,N/A,26.81,-134.86,N/A,-0.19,2026-03,🚀 利潤擴張,⚪ 數據不足,-0.61,力新,45.71,5202.TWO,18.900000000000002,14.3999996185,0.0,-30.900000000000002,-8.35
2025,97.25%,22.97,13.1,45.93%,0.55,2026-03,🏰 高護城河,💎 強力關注,1.9,華南金,41.03,2880.TW,18.060000000000002,38.8499984741,8.230931880105933,70.8,4.06
2025,31.93%,216.8,35.0,8.13%,0.31,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.81,博磊,234.78,3581.TWO,17.97999999999999,133.0,204.6153846153846,9.75,13.9
2025,89.95%,16.1,28.3,32.37%,0.2,2026-03,🏰 高護城河,💎 強力關注,0.68,高雄銀,33.33,2836.TW,17.229999999999997,12.4499998093,7.41071417220238,25.200000000000003,14.52
2025,N/A,316.27,107.11,N/A,1.67,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.15,環宇-KY,331.43,4991.TWO,15.160000000000025,461.5,576.875,11.999999999999998,25.43
2025,N/A,-1.82,14.12,N/A,0.42,2026-03,🧐 疑業外收益,⚪ 數據不足,2.91,精誠金融,10.53,7819.TWO,12.35,41.4500007629,0.0,0.0,10.14
2025,78.38%,22.04,-10.99,39.14%,0.69,2026-03,🏰 高護城河,💎 強力關注,1.74,凱基金,34.04,2883.TW,12.0,30.0499992371,7.887138907375329,57.14999999999999,-12.26
2025,N/A,41.94,-14.12,N/A,-0.53,2026-03,🚀 利潤擴張,⚪ 數據不足,-2.92,華安,52.29,6657.TW,10.350000000000001,35.2999992371,0.0,-109.2,-0.97
2025,100.00%,19.99,4.19,60.64%,7.98,2026-03,🏰 高護城河,⚠️ 追價風險,25.6,力旺,29.13,3529.TWO,9.14,2605.0,41.231402342513455,947.7,6.74
2025,24.77%,274.7,-53.57,-4.59%,0.23,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.43,宏亞,283.33,1236.TW,8.629999999999995,24.5499992371,0.0,-14.25,-8.31
2025,27.77%,145.6,-827.91,-13.99%,0.25,2026-03,🔄 轉虧為盈,⚪ 數據不足,-3.35,岱宇,153.49,1598.TW,7.890000000000015,19.1000003815,0.0,-89.10000000000001,-15.19
2025,N/A,48.18,24.93,N/A,0.39,2026-03,🚀 利潤擴張,✅ 穩健價值,4.66,全景軟體,56.0,8272.TWO,7.82,67.5,7.4421168687982355,136.05,15.86
2025,84.77%,30.02,-7.32,20.24%,0.11,2026-03,🏰 高護城河,⚠️ 追價風險,0.38,欣欣,37.5,2901.TW,7.48,23.7999992371,26.444443596777777,13.5,-2.15
2025,N/A,-11.29,14.95,N/A,-0.19,2026-03,🌑 雙重衰退,⚪ 數據不足,-0.92,未知,-5.56,4178.TWO,5.7299999999999995,0.0,0.0,0.0,-3.6
2025,N/A,-11.29,14.95,N/A,-0.19,2026-03,🌑 雙重衰退,⚪ 數據不足,-0.92,永笙-KY,-5.56,4178.TW,5.7299999999999995,19.0,0.0,0.0,-3.6
2025,N/A,109.17,-38.13,N/A,1.5,2026-03,🚀 利潤擴張,✅ 穩健價值,0.99,詩肯,114.29,6195.TWO,5.1200000000000045,25.7000007629,6.0613209346462265,63.6,-3.57
2025,83.45%,12.57,0.85,33.61%,0.63,2026-03,🏰 高護城河,✅ 穩健價值,2.36,兆豐金,16.67,2886.TW,4.100000000000001,46.7000007629,7.61827092380098,91.94999999999999,-1.77
2025,73.82%,12.87,41.18,-7.29%,0.07,2026-03,🏰 高護城河,⚠️ 追價風險,0.25,聯傑,16.67,3094.TW,3.8000000000000025,40.3499984741,82.34693566142857,7.35,13.2
2025,N/A,296.51,-326.32,N/A,0.24,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.43,亞電,300.0,4939.TWO,3.490000000000009,56.5999984741,0.0,-22.2,-8.05
2025,N/A,2.45,18.52,N/A,0.73,2026-03,🚀 利潤擴張,⚪ 數據不足,2.56,達人網,5.8,7839.TWO,3.3499999999999996,45.4500007629,0.0,0.0,8.14
2025,N/A,32.83,-16.92,N/A,-0.25,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.58,能率亞洲,35.9,7777.TWO,3.0700000000000003,40.5999984741,50.123454906296296,12.149999999999999,15.88
2025,64.17%,68.9,-27.47,2.03%,0.89,2026-03,🏰 高護城河,✅ 穩健價值,2.35,米斯特,71.15,2941.TWO,2.25,32.4500007629,4.8505232829446925,100.35000000000001,12.71
2025,91.47%,36.86,-35.48,32.72%,0.28,2026-03,🏰 高護城河,✅ 穩健價值,0.61,王道銀行,38.89,2897.TW,2.030000000000001,10.5500001907,6.063218500402299,26.1,-2.09
2025,N/A,42.24,67.52,N/A,-0.26,2026-03,🚀 利潤擴張,⚪ 數據不足,-1.59,佐登-KY,43.18,4190.TW,0.9399999999999977,25.7999992371,0.0,-73.20000000000002,1.27
