🚀 智能量化選股報告 - 2026-03-19
==========================================================================================

【🚀超級強勢】(數量: 135)
------------------------------------------------------------------------------------------
2360.TW  | 致茂         | B6: 12.79% | DMA:339.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
8926.TW  | 台汽電        | B6:  0.89% | DMA:  2.219 | 💎流入 | 🚀DMA趨勢+多頭強勢
3158.TWO | 嘉實         | B6:  0.87% | DMA:  0.184 | 💎流入 | 🚀DMA趨勢+放量攻擊
9908.TW  | 大台北        | B6:  0.86% | DMA:  0.865 | 💎流入 | 🚀DMA趨勢+多頭強勢
2419.TW  | 仲琦         | B6:  0.85% | DMA:  0.605 | 💸流出 | 🚀DMA趨勢+多頭強勢
3147.TWO | 大綜         | B6:  0.83% | DMA:  8.690 | 💎流入 | 🚀DMA趨勢+多頭強勢
2504.TW  | 國產         | B6:  0.80% | DMA:  0.593 | 💎流入 | 🚀DMA趨勢+放量攻擊
3490.TWO | 單井         | B6:  0.79% | DMA: -0.183 | 💎流入 | 🚀多頭強勢
00864B.TWO | 中信美國公債0-1  | B6:  0.78% | DMA:  0.514 | 💎流入 | 🚀DMA趨勢+多頭強勢
6655.TW  | 科定         | B6:  0.70% | DMA:  5.920 | 💎流入 | 🚀DMA趨勢+多頭強勢
4305.TWO | 世坤         | B6:  0.69% | DMA:  0.906 | 💎流入 | 🚀DMA趨勢+放量攻擊
00671R.TW | 富邦NASDAQ反1 | B6:  0.65% | DMA:  0.059 | 💎流入 | 🚀DMA趨勢+放量攻擊
1256.TW  | 鮮活果汁-KY    | B6:  0.60% | DMA:  3.050 | 💸流出 | 🚀DMA趨勢+多頭強勢
1307.TW  | 三芳         | B6:  0.58% | DMA:  1.261 | 💎流入 | 🚀DMA趨勢+放量攻擊
2022.TW  | 聚亨         | B6:  0.54% | DMA:  0.210 | 💎流入 | 🚀DMA趨勢+多頭強勢
8048.TWO | 德勝         | B6:  0.50% | DMA:  3.578 | 💎流入 | 🚀DMA趨勢+多頭強勢
3234.TWO | 光環         | B6:  0.48% | DMA: 17.400 | 💎流入 | 🚀DMA趨勢+放量攻擊
6133.TW  | 金橋         | B6:  0.41% | DMA:  1.189 | 💸流出 | 🚀DMA趨勢+多頭強勢
8908.TWO | 欣雄         | B6:  0.41% | DMA:  0.530 | 💎流入 | 🚀DMA趨勢+多頭強勢
6598.TW  | ABC-KY     | B6:  0.35% | DMA:  0.612 | 💎流入 | 🚀DMA趨勢+多頭強勢
5348.TWO | 正能量智能      | B6:  0.29% | DMA:  0.046 | 💸流出 | 🚀DMA趨勢+多頭強勢
2444.TW  | 兆勁         | B6:  0.27% | DMA:  0.589 | 💸流出 | 🚀DMA趨勢+多頭強勢
3029.TW  | 零壹         | B6:  0.18% | DMA:  1.255 | 💸流出 | 🚀DMA趨勢+多頭強勢
5514.TWO | 三豐         | B6:  0.15% | DMA: -0.157 | 💎流入 | 🚀多頭強勢
00656R.TW | 國泰中國A50反1  | B6:  0.10% | DMA:  0.100 | 💸流出 | 🚀DMA趨勢+多頭強勢
8917.TWO | 欣泰         | B6:  0.08% | DMA:  1.324 | 💎流入 | 🚀DMA趨勢+多頭強勢
3454.TW  | 晶睿         | B6:  0.07% | DMA:  0.278 | 💎流入 | 🚀DMA趨勢+多頭強勢
00638R.TW | 元大滬深300反1  | B6:  0.06% | DMA:  0.112 | 💸流出 | 🚀DMA趨勢+多頭強勢
4728.TWO | 雙美         | B6:  0.01% | DMA: -0.950 | 💸流出 | 🚀多頭強勢

【❄️跌深反彈】(數量: 95)
------------------------------------------------------------------------------------------
6698.TW  | 旭暉應材       | B6: -5.00% | DMA: -2.206 | 💎流入 | ❄️跌深轉強
4157.TWO | 太景*-KY     | B6: -5.13% | DMA: -1.672 | 💸流出 | ❄️跌深轉強
3483.TWO | 力致         | B6: -5.17% | DMA: -4.928 | 💎流入 | ❄️底部反彈
1563.TW  | 巧新         | B6: -5.21% | DMA: -4.326 | 💸流出 | ❄️底部反彈
3312.TW  | 弘憶股        | B6: -5.27% | DMA: -4.088 | 💎流入 | ❄️底部反彈
1443.TW  | 立益物流       | B6: -5.29% | DMA: -1.705 | 💸流出 | ❄️跌深轉強
8277.TWO | 商丞         | B6: -5.41% | DMA: -0.716 | 💸流出 | ❄️跌深轉強
1477.TW  | 聚陽         | B6: -5.43% | DMA:-16.420 | 💸流出 | ❄️跌深轉強
4541.TWO | 晟田         | B6: -5.49% | DMA: -2.935 | 💎流入 | ❄️跌深轉強
2482.TW  | 連宇         | B6: -5.49% | DMA: -1.245 | 💸流出 | ❄️跌深轉強
6542.TWO | 隆中         | B6: -5.50% | DMA: -0.694 | 💎流入 | ❄️底部反彈
2115.TW  | 六暉-KY      | B6: -5.51% | DMA: -1.840 | 💸流出 | ❄️跌深轉強
1438.TW  | 三地開發       | B6: -5.57% | DMA: -2.232 | 💸流出 | ❄️跌深轉強
6261.TWO | 久元         | B6: -5.69% | DMA: -2.858 | 💎流入 | ❄️跌深轉強
6980.TWO | 鐳洋科技       | B6: -5.78% | DMA:  0.386 | 💎流入 | ❄️跌深轉強
3390.TWO | 旭軟         | B6: -5.86% | DMA: -1.459 | 💸流出 | ❄️底部反彈
7402.TWO | 邑錡         | B6: -5.87% | DMA:-10.990 | 💎流入 | ❄️跌深轉強
6969.TW  | 成信實業*-創    | B6: -5.91% | DMA: -2.457 | 💸流出 | ❄️跌深轉強
3060.TW  | 銘異         | B6: -5.92% | DMA: -2.921 | 💎流入 | ❄️底部反彈
3521.TWO | 台鋼建設       | B6: -5.96% | DMA: -0.555 | 💸流出 | ❄️跌深轉強
2428.TW  | 興勤         | B6: -6.13% | DMA:-10.210 | 💎流入 | ❄️跌深轉強
8099.TWO | 大世科        | B6: -6.16% | DMA: -7.592 | 💸流出 | ❄️底部反彈
2012.TW  | 春雨         | B6: -6.20% | DMA: -1.073 | 💸流出 | ❄️跌深轉強
3528.TW  | 安馳         | B6: -6.21% | DMA: -3.706 | 💸流出 | ❄️跌深轉強
6552.TW  | 易華電        | B6: -6.21% | DMA: -1.084 | 💎流入 | ❄️跌深轉強
3491.TWO | 昇達科        | B6: -6.32% | DMA:174.040 | 💸流出 | ❄️跌深轉強
5321.TWO | 美而快        | B6: -6.33% | DMA: -5.253 | 💎流入 | ❄️跌深轉強
6921.TW  | 嘉雨思-創      | B6: -6.35% | DMA:  0.668 | 💸流出 | ❄️底部反彈
4609.TWO | 唐鋒         | B6: -6.43% | DMA: -0.569 | 💎流入 | ❄️底部反彈
1796.TWO | 金穎生技       | B6: -6.48% | DMA: -4.677 | 💸流出 | ❄️底部反彈
6269.TW  | 台郡         | B6: -6.51% | DMA: -2.978 | 💎流入 | ❄️跌深轉強
1583.TW  | 程泰         | B6: -6.64% | DMA: -2.849 | 💸流出 | ❄️跌深轉強
8084.TWO | 巨虹         | B6: -6.68% | DMA: -7.014 | 💸流出 | ❄️底部反彈
8442.TW  | 威宏-KY      | B6: -6.75% | DMA: -7.518 | 💸流出 | ❄️跌深轉強
2231.TW  | 為升         | B6: -6.76% | DMA: -9.348 | 💸流出 | ❄️跌深轉強
2239.TW  | 英利-KY      | B6: -6.81% | DMA: -4.768 | 💸流出 | ❄️底部反彈
2314.TW  | 台揚         | B6: -7.05% | DMA: -2.250 | 💎流入 | ❄️跌深轉強
3056.TW  | 富華新        | B6: -7.10% | DMA: -1.547 | 💸流出 | ❄️跌深轉強
2252.TWO | 為昇科        | B6: -7.23% | DMA: -1.787 | 💎流入 | ❄️底部反彈
7788.TW  | 松川精密       | B6: -7.28% | DMA: -3.270 | 💸流出 | ❄️跌深轉強
6236.TWO | 中湛         | B6: -7.32% | DMA: -2.019 | 💸流出 | ❄️跌深轉強
7584.TWO | 樂意         | B6: -7.32% | DMA: -3.811 | 💸流出 | ❄️底部反彈
1805.TW  | 寶徠         | B6: -7.33% | DMA: -1.193 | 💎流入 | ❄️底部反彈
6276.TWO | 安鈦克        | B6: -7.48% | DMA: -4.102 | 💎流入 | ❄️底部反彈
6588.TWO | 東典光電       | B6: -7.48% | DMA: 14.259 | 💸流出 | ❄️底部反彈
6126.TWO | 信音         | B6: -7.49% | DMA: -2.580 | 💎流入 | ❄️跌深轉強
3587.TWO | 閎康         | B6: -7.56% | DMA: -6.613 | 💎流入 | ❄️底部反彈
7717.TWO | 萊德光電-KY    | B6: -7.57% | DMA: 66.260 | 💎流入 | ❄️跌深轉強
2371.TW  | 大同         | B6: -7.58% | DMA: -3.253 | 💸流出 | ❄️底部反彈
8437.TWO | 大地-KY      | B6: -7.74% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
6901.TW  | 鑽石投資       | B6: -7.74% | DMA: -1.753 | 💸流出 | ❄️跌深轉強
5278.TWO | 尚凡*        | B6: -8.30% | DMA: -3.578 | 💸流出 | ❄️跌深轉強
6461.TWO | 益得         | B6: -8.40% | DMA: -1.153 | 💸流出 | ❄️底部反彈
5258.TW  | 虹堡         | B6: -8.43% | DMA:-10.121 | 💸流出 | ❄️跌深轉強
4968.TW  | 立積         | B6: -8.45% | DMA:-13.360 | 💸流出 | ❄️跌深轉強
6949.TW  | 沛爾生醫-創     | B6: -8.61% | DMA: 59.880 | 💸流出 | ❄️跌深轉強
7783.TWO | 佳運         | B6: -8.63% | DMA:-16.564 | 💸流出 | ❄️跌深轉強
6412.TW  | 群電         | B6: -8.67% | DMA: -4.394 | 💸流出 | ❄️跌深轉強
1435.TW  | 中福         | B6: -8.70% | DMA: -1.895 | 💸流出 | ❄️跌深轉強
7728.TWO | 光焱科技       | B6: -8.90% | DMA: 10.390 | 💸流出 | ❄️底部反彈
4441.TW  | 振大環球       | B6: -8.92% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
8249.TW  | 菱光         | B6: -9.03% | DMA: -3.787 | 💸流出 | ❄️跌深轉強
5455.TWO | 昇益         | B6: -9.09% | DMA: -3.125 | 💸流出 | ❄️跌深轉強
6180.TWO | 橘子         | B6: -9.19% | DMA: -4.978 | 💸流出 | ❄️跌深轉強
4563.TWO | 百德         | B6: -9.33% | DMA: -6.856 | 💸流出 | ❄️跌深轉強
6671.TW  | 三能-KY      | B6: -9.33% | DMA: -3.318 | 💸流出 | ❄️跌深轉強
8044.TWO | 網家         | B6: -9.48% | DMA: -3.937 | 💸流出 | ❄️底部反彈
7752.TWO | 世紀樺欣       | B6: -9.57% | DMA:-10.544 | 💸流出 | ❄️跌深轉強
1235.TW  | 興泰         | B6: -9.71% | DMA: -4.673 | 💸流出 | ❄️底部反彈
2072.TWO | 世紀風電       | B6: -9.76% | DMA:-23.980 | 💸流出 | ❄️跌深轉強
6442.TW  | 光聖         | B6: -9.91% | DMA:123.100 | 💎流入 | ❄️跌深轉強
7799.TW  | 禾榮科        | B6: -9.97% | DMA:-19.560 | 💸流出 | ❄️跌深轉強
6239.TW  | 力成         | B6:-10.20% | DMA:-21.460 | 💸流出 | ❄️跌深轉強
4154.TWO | 樂威科-KY     | B6:-10.28% | DMA: -2.584 | 💸流出 | ❄️跌深轉強
1522.TW  | 堤維西        | B6:-10.48% | DMA: -7.401 | 💸流出 | ❄️跌深轉強
6863.TW  | 永道-KY      | B6:-10.52% | DMA:-17.802 | 💸流出 | ❄️底部反彈
4439.TW  | 冠星-KY      | B6:-10.84% | DMA:-12.144 | 💸流出 | ❄️跌深轉強
6212.TWO | 理銘         | B6:-11.00% | DMA: -6.126 | 💸流出 | ❄️底部反彈
5301.TWO | 寶得利        | B6:-11.17% | DMA: -1.039 | 💸流出 | ❄️跌深轉強
4804.TWO | 大略-KY      | B6:-11.22% | DMA: -1.132 | 💸流出 | ❄️跌深轉強
6645.TW  | 金萬林-創      | B6:-11.49% | DMA: -2.508 | 💸流出 | ❄️跌深轉強
7722.TW  | LINEPAY    | B6:-11.92% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
1338.TW  | 廣華-KY      | B6:-12.10% | DMA: -3.348 | 💸流出 | ❄️跌深轉強
5546.TW  | 永固-KY      | B6:-12.38% | DMA: -3.272 | 💸流出 | ❄️跌深轉強
6176.TW  | 瑞儀         | B6:-13.05% | DMA:-20.198 | 💸流出 | ❄️跌深轉強
6130.TWO | 上亞科技       | B6:-13.09% | DMA: -7.508 | 💸流出 | ❄️跌深轉強
7780.TW  | 大研生醫*      | B6:-13.35% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
6550.TW  | 北極星藥業-KY   | B6:-13.56% | DMA: -4.341 | 💎流入 | ❄️跌深轉強
2067.TWO | 嘉鋼         | B6:-13.78% | DMA: -1.557 | 💸流出 | ❄️跌深轉強
2923.TW  | 鼎固-KY      | B6:-15.28% | DMA: -1.950 | 💸流出 | ❄️跌深轉強
1538.TW  | 正峰         | B6:-18.55% | DMA: -6.313 | 💎流入 | ❄️跌深轉強
3064.TWO | 泰偉         | B6:-20.27% | DMA:-10.630 | 💸流出 | ❄️跌深轉強
5521.TW  | 工信         | B6:-25.99% | DMA: -6.081 | 💸流出 | ❄️跌深轉強
4416.TWO | 三圓         | B6:-30.76% | DMA:-10.757 | 💸流出 | ❄️跌深轉強
1589.TW  | 永冠-KY      | B6:-31.86% | DMA: -6.760 | 💸流出 | ❄️跌深轉強

【📈趨勢轉折】(數量: 155)
------------------------------------------------------------------------------------------
3354.TWO | 律勝         | B6:  9.29% | DMA:  1.137 | 💎流入 | 📈5日穿20日(金叉)
2406.TW  | 國碩         | B6:  7.13% | DMA:  4.476 | 💸流出 | 📈5日穿20日(金叉)
6213.TW  | 聯茂         | B6:  5.60% | DMA: 14.470 | 💎流入 | 📈5日穿20日(金叉)
6782.TW  | 視陽         | B6:  5.51% | DMA: 16.140 | 💎流入 | 📈5日穿20日(金叉)
8046.TW  | 南電         | B6:  5.43% | DMA:112.820 | 💸流出 | 📈5日穿20日(金叉)
6854.TW  | 錼創科技-KY創   | B6:  3.60% | DMA:  7.830 | 💸流出 | 📈5日穿20日(金叉)
3430.TWO | 奇鈦科        | B6:  3.05% | DMA:  3.098 | 💎流入 | 🔥DMA金叉(起漲)
1721.TW  | 三晃         | B6:  2.82% | DMA:  0.442 | 💸流出 | 🔥DMA金叉(起漲)
1717.TW  | 長興         | B6:  2.46% | DMA:  3.031 | 💸流出 | 📈5日穿20日(金叉)
8996.TW  | 高力         | B6:  2.34% | DMA: 95.980 | 💸流出 | 🔥DMA金叉(起漲)
7556.TWO | 意德士        | B6:  2.29% | DMA:  7.960 | 💸流出 | 📈5日穿20日(金叉)
5536.TWO | 聖暉*        | B6:  2.12% | DMA:-21.724 | 💎流入 | 📈5日穿20日(金叉)
4903.TWO | 聯光通        | B6:  1.77% | DMA:  1.376 | 💸流出 | 📈5日穿20日(金叉)
8477.TWO | 創業家        | B6:  1.76% | DMA:  0.511 | 💎流入 | 🔥DMA金叉(起漲)
2855.TW  | 統一證        | B6:  1.65% | DMA:  2.265 | 💎流入 | 📈5日穿20日(金叉)
6862.TW  | 三集瑞-KY     | B6:  1.44% | DMA:  9.770 | 💎流入 | 📈5日穿20日(金叉)
1471.TW  | 首利         | B6:  1.44% | DMA:  1.093 | 💸流出 | 📈5日穿20日(金叉)
2329.TW  | 華泰         | B6:  1.36% | DMA: -2.633 | 💎流入 | 🔥DMA金叉(起漲)
