股號,名稱,收盤價,隔日勝率%,累積獲利%,交易次數,目前ATR,目前狀態,專家分析原因
00635U.TW,期元大S&P黃金,50.50,50.00,-5.43,4,0.95,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 48.80，建議耐心等待突破。
2408.TW,南亞科,210.00,50.00,-24.75,3,15.82,持股中,📈 趨勢續強。目前防禦位設於 183.79，與現價緩衝空間為 12.5%。
2504.TW,國產,35.85,28.57,-2.54,14,0.64,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 35.30，建議耐心等待突破。
5546.TW,永固-KY,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 14.89，與現價緩衝空間為 nan%。
3086.TWO,華義,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 32.50，與現價緩衝空間為 nan%。
2395.TW,研華,366.00,100.00,2.48,1,12.39,持股中,📈 趨勢續強。目前防禦位設於 322.93，與現價緩衝空間為 11.8%。
3050.TW,鈺德,13.15,42.86,-23.64,13,0.40,持股中,📈 趨勢續強。目前防禦位設於 12.55，與現價緩衝空間為 4.6%。
00984B.TWO,大華優利美A債15,16.39,33.33,-3.03,6,0.11,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 16.32，建議耐心等待突破。
6591.TW,動力-KY,nan,0.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 55.81，與現價緩衝空間為 nan%。
6176.TW,瑞儀,nan,0.00,-12.18,2,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 97.00，建議耐心等待突破。
6811.TWO,宏�硌穈T,nan,0.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 178.18，與現價緩衝空間為 nan%。
9949.TWO,琉園,nan,100.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 32.10，與現價緩衝空間為 nan%。
4510.TWO,高鋒,47.05,52.63,-18.31,37,2.06,建議買入,🚀 今日收盤 47.05 突破關鍵高點 40.90，啟動波段漲勢。
6194.TWO,育富,nan,0.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 32.50，與現價緩衝空間為 nan%。
6124.TWO,業強,nan,75.00,nan,7,nan,持股中,📈 趨勢續強。目前防禦位設於 27.34，與現價緩衝空間為 nan%。
00757.TW,統一FANG+,117.55,25.00,2.25,7,2.47,持股中,📈 趨勢續強。目前防禦位設於 108.77，與現價緩衝空間為 7.5%。
2101.TW,南港,35.65,50.00,-11.33,8,1.37,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 33.18，建議耐心等待突破。
00945B.TW,凱基美國非投等債,14.55,0.00,-2.08,3,0.05,持股中,📈 趨勢續強。目前防禦位設於 14.55，與現價緩衝空間為 0.0%。
4556.TWO,旭然,32.75,50.00,3.67,3,1.05,持股中,📈 趨勢續強。目前防禦位設於 26.10，與現價緩衝空間為 20.3%。
1612.TW,宏泰,35.65,0.00,-7.24,3,0.60,持股中,📈 趨勢續強。目前防禦位設於 34.23，與現價緩衝空間為 4.0%。
6624.TWO,萬年清,nan,33.33,-18.27,6,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 59.50，建議耐心等待突破。
3081.TWO,聯亞,2600.00,0.00,0.00,0,183.57,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
00685L.TW,群益臺灣加權正2,200.20,0.00,-3.95,3,7.94,持股中,📈 趨勢續強。目前防禦位設於 165.65，與現價緩衝空間為 17.3%。
6446.TW,藥華藥,nan,43.75,nan,31,nan,持股中,📈 趨勢續強。目前防禦位設於 685.00，與現價緩衝空間為 nan%。
009813.TW,貝萊德標普卓越50,10.58,0.00,-1.04,3,0.15,持股中,📈 趨勢續強。目前防禦位設於 9.75，與現價緩衝空間為 7.8%。
6485.TWO,點序,nan,100.00,-3.39,2,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 80.10，建議耐心等待突破。
5403.TWO,中菲,nan,0.00,-2.83,2,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 99.90，建議耐心等待突破。
00981D.TWO,主動中信非投等債,10.43,50.00,-1.49,3,0.03,持股中,📈 趨勢續強。目前防禦位設於 10.42，與現價緩衝空間為 0.1%。
5455.TWO,昇益,nan,0.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 22.87，與現價緩衝空間為 nan%。
2374.TW,佳能,72.30,0.00,-0.18,1,2.36,持股中,📈 趨勢續強。目前防禦位設於 66.06，與現價緩衝空間為 8.6%。
6113.TWO,亞矽,nan,0.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 18.11，與現價緩衝空間為 nan%。
1443.TW,立益物流,24.00,33.33,-7.73,5,0.87,持股中,📈 趨勢續強。目前防禦位設於 21.82，與現價緩衝空間為 9.1%。
2025.TW,千興,12.25,50.00,0.57,3,0.45,持股中,📈 趨勢續強。目前防禦位設於 11.25，與現價緩衝空間為 8.2%。
6141.TW,柏承,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 19.80，與現價緩衝空間為 nan%。
5243.TW,乙盛-KY,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 66.79，與現價緩衝空間為 nan%。
2303.TW,聯電,73.00,33.33,3.73,5,3.44,持股中,📈 趨勢續強。目前防禦位設於 54.08，與現價緩衝空間為 25.9%。
3372.TWO,典範,20.05,50.00,-13.28,7,0.79,持股中,📈 趨勢續強。目前防禦位設於 18.32，與現價緩衝空間為 8.6%。
4968.TW,立積,112.00,0.00,-23.99,5,3.89,持股中,📈 趨勢續強。目前防禦位設於 100.11，與現價緩衝空間為 10.6%。
8433.TWO,弘帆,nan,33.33,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 57.38，與現價緩衝空間為 nan%。
00991A.TW,主動復華未來50,14.65,0.00,4.84,1,0.48,持股中,📈 趨勢續強。目前防禦位設於 12.65，與現價緩衝空間為 13.7%。
2417.TW,圓剛,41.40,50.00,-1.58,3,1.60,持股中,📈 趨勢續強。目前防禦位設於 34.60，與現價緩衝空間為 16.4%。
2402.TW,毅嘉,77.70,33.33,25.83,5,4.46,持股中,📈 趨勢續強。目前防禦位設於 51.10，與現價緩衝空間為 34.2%。
2351.TW,順德,129.00,75.00,44.59,23,7.86,持股中,📈 趨勢續強。目前防禦位設於 99.00，與現價緩衝空間為 23.3%。
2420.TW,新巨,55.10,60.00,0.03,9,1.04,持股中,📈 趨勢續強。目前防禦位設於 51.30，與現價緩衝空間為 6.9%。
911622.TW,泰聚亨-DR,nan,60.00,nan,9,nan,持股中,📈 趨勢續強。目前防禦位設於 3.71，與現價緩衝空間為 nan%。
7743.TWO,金利食安,nan,100.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 19.62，與現價緩衝空間為 nan%。
3499.TWO,環天科,16.65,0.00,-9.05,2,0.64,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 18.90，建議耐心等待突破。
6223.TWO,旺矽,nan,0.00,0.00,0,nan,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
6261.TWO,久元,nan,100.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 78.00，與現價緩衝空間為 nan%。
7583.TWO,國際海洋,66.80,40.00,-22.30,10,2.09,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 66.80，建議耐心等待突破。
6658.TW,聯策,nan,100.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 65.00，與現價緩衝空間為 nan%。
2497.TW,怡利電,56.10,0.00,29.23,1,2.80,持股中,📈 趨勢續強。目前防禦位設於 52.50，與現價緩衝空間為 6.4%。
2059.TW,川湖,3640.00,50.00,7.57,15,192.50,持股中,📈 趨勢續強。目前防禦位設於 3515.00，與現價緩衝空間為 3.4%。
3434.TWO,哲固,30.90,20.00,-6.83,9,0.94,持股中,📈 趨勢續強。目前防禦位設於 27.46，與現價緩衝空間為 11.1%。
6913.TWO,鴻呈,nan,100.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 109.79，與現價緩衝空間為 nan%。
00749B.TWO,凱基新興債10+,32.10,12.50,-6.48,15,0.14,持股中,📈 趨勢續強。目前防禦位設於 32.10，與現價緩衝空間為 0.0%。
3030.TW,德律,338.50,50.00,79.88,3,18.71,持股中,📈 趨勢續強。目前防禦位設於 246.00，與現價緩衝空間為 27.3%。
1786.TW,科妍,63.40,33.33,-10.40,5,2.03,持股中,📈 趨勢續強。目前防禦位設於 59.04，與現價緩衝空間為 6.9%。
9802.TW,鈺齊-KY,nan,33.33,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 72.84，與現價緩衝空間為 nan%。
3219.TWO,倚強科,69.60,33.33,-22.39,5,3.32,持股中,📈 趨勢續強。目前防禦位設於 58.31，與現價緩衝空間為 16.2%。
00918.TW,大華優利高填息30,23.41,50.00,-7.65,7,0.29,持股中,📈 趨勢續強。目前防禦位設於 21.61，與現價緩衝空間為 7.7%。
3022.TW,威強電,69.00,57.14,5.72,13,1.78,持股中,📈 趨勢續強。目前防禦位設於 61.80，與現價緩衝空間為 10.4%。
5906.TW,台南-KY,nan,33.33,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 46.48，與現價緩衝空間為 nan%。
4167.TWO,松瑞藥,19.90,50.00,-2.84,8,0.53,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 19.20，建議耐心等待突破。
00641R.TW,富邦日本反1,4.01,0.00,-10.95,8,0.08,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 4.03，建議耐心等待突破。
00912.TW,中信臺灣智慧50,27.60,100.00,6.42,1,0.59,持股中,📈 趨勢續強。目前防禦位設於 24.52，與現價緩衝空間為 11.2%。
2743.TWO,山富,72.90,0.00,-8.62,1,2.57,持股中,📈 趨勢續強。目前防禦位設於 71.32，與現價緩衝空間為 2.2%。
6617.TWO,共信-KY,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 63.23，與現價緩衝空間為 nan%。
2412.TW,中華電,137.50,100.00,-0.46,3,1.29,持股中,📈 趨勢續強。目前防禦位設於 131.96，與現價緩衝空間為 4.0%。
8354.TWO,冠好,nan,33.33,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 14.78，與現價緩衝空間為 nan%。
2428.TW,興勤,182.50,100.00,6.17,3,7.39,持股中,📈 趨勢續強。目前防禦位設於 149.07，與現價緩衝空間為 18.3%。
4536.TW,拓凱,156.50,25.00,-3.02,7,2.61,持股中,📈 趨勢續強。目前防禦位設於 144.54，與現價緩衝空間為 7.6%。
2901.TW,欣欣,23.55,0.00,-5.58,4,0.49,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 23.85，建議耐心等待突破。
4554.TWO,橙的,29.90,75.00,-3.32,7,0.55,持股中,📈 趨勢續強。目前防禦位設於 28.75，與現價緩衝空間為 3.8%。
6173.TWO,信昌電,nan,100.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 56.96，與現價緩衝空間為 nan%。
3224.TWO,三顧,41.50,0.00,-4.60,5,1.55,持股中,📈 趨勢續強。目前防禦位設於 38.68，與現價緩衝空間為 6.8%。
3231.TW,緯創,136.50,66.67,-13.29,5,4.04,持股中,📈 趨勢續強。目前防禦位設於 119.82，與現價緩衝空間為 12.2%。
8930.TWO,青鋼,nan,33.33,nan,11,nan,持股中,📈 趨勢續強。目前防禦位設於 29.53，與現價緩衝空間為 nan%。
2464.TW,盟立,79.00,50.00,-4.58,3,3.55,持股中,📈 趨勢續強。目前防禦位設於 64.86，與現價緩衝空間為 17.9%。
2248.TW,華勝-KY,54.30,25.00,-4.68,7,1.46,持股中,📈 趨勢續強。目前防禦位設於 48.80，與現價緩衝空間為 10.1%。
2884.TW,玉山金,32.75,50.00,0.22,3,0.45,持股中,📈 趨勢續強。目前防禦位設於 32.00，與現價緩衝空間為 2.3%。
2007.TW,燁興,8.00,33.33,-11.35,6,0.15,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 8.11，建議耐心等待突破。
5355.TWO,佳總,nan,0.00,-2.92,2,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 6.50，建議耐心等待突破。
1725.TW,元禎,31.00,50.00,8.25,7,1.43,持股中,📈 趨勢續強。目前防禦位設於 30.60，與現價緩衝空間為 1.3%。
6116.TW,彩晶,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 7.75，與現價緩衝空間為 nan%。
2453.TW,凌群,55.50,66.67,-5.32,5,1.03,持股中,📈 趨勢續強。目前防禦位設於 51.26，與現價緩衝空間為 7.6%。
6735.TWO,美達科技,nan,25.00,nan,7,nan,持股中,📈 趨勢續強。目前防禦位設於 58.00，與現價緩衝空間為 nan%。
3609.TWO,三一東林,25.95,0.00,0.00,0,0.99,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 26.65，建議耐心等待突破。
8923.TWO,時報,nan,37.50,nan,15,nan,持股中,📈 趨勢續強。目前防禦位設於 19.34，與現價緩衝空間為 nan%。
8068.TWO,全達,nan,100.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 20.07，與現價緩衝空間為 nan%。
9958.TW,世紀鋼,nan,0.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 97.64，與現價緩衝空間為 nan%。
1586.TWO,和勤,22.75,66.67,-8.67,5,0.39,持股中,📈 趨勢續強。目前防禦位設於 22.40，與現價緩衝空間為 1.5%。
8932.TWO,智通*,nan,0.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 76.31，與現價緩衝空間為 nan%。
1709.TW,和益,18.95,0.00,0.63,7,0.48,持股中,📈 趨勢續強。目前防禦位設於 17.90，與現價緩衝空間為 5.5%。
8908.TWO,欣雄,nan,100.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 38.76，與現價緩衝空間為 nan%。
00930.TW,永豐ESG低碳高息,18.52,100.00,-5.61,5,0.28,持股中,📈 趨勢續強。目前防禦位設於 17.00，與現價緩衝空間為 8.2%。
6597.TWO,立誠,nan,0.00,-28.19,6,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 60.00，建議耐心等待突破。
3055.TW,蔚華科,68.20,0.00,-4.85,3,3.16,持股中,📈 趨勢續強。目前防禦位設於 55.51，與現價緩衝空間為 18.6%。
5276.TWO,達輝-KY,nan,0.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 15.23，與現價緩衝空間為 nan%。
1584.TWO,精剛,21.15,0.00,-6.41,2,0.52,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 22.05，建議耐心等待突破。
2722.TW,夏都,24.60,0.00,-9.03,5,0.79,持股中,📈 趨勢續強。目前防禦位設於 22.30，與現價緩衝空間為 9.4%。
6240.TWO,松崗,nan,0.00,-15.62,6,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 18.90，建議耐心等待突破。
2885.TW,元大金,50.20,100.00,10.64,1,1.20,持股中,📈 趨勢續強。目前防禦位設於 45.80，與現價緩衝空間為 8.8%。
4119.TW,旭富,48.55,40.00,-18.49,10,1.02,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 52.10，建議耐心等待突破。
8472.TWO,夠麻吉,nan,0.00,nan,9,nan,持股中,📈 趨勢續強。目前防禦位設於 77.00，與現價緩衝空間為 nan%。
3306.TWO,鼎天,47.45,66.67,-23.15,5,1.07,持股中,📈 趨勢續強。目前防禦位設於 44.62，與現價緩衝空間為 6.0%。
2929.TW,淘帝-KY,6.25,50.00,-4.29,3,0.13,持股中,📈 趨勢續強。目前防禦位設於 6.02，與現價緩衝空間為 3.7%。
6645.TW,金萬林-創,nan,0.00,-9.88,2,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 13.45，建議耐心等待突破。
7792.TWO,安葆,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 283.82，與現價緩衝空間為 nan%。
00881.TW,國泰台灣科技龍頭,42.56,100.00,8.12,1,1.06,持股中,📈 趨勢續強。目前防禦位設於 37.30，與現價緩衝空間為 12.4%。
1717.TW,長興,81.00,100.00,36.01,1,5.23,持股中,📈 趨勢續強。目前防禦位設於 56.60，與現價緩衝空間為 30.1%。
6127.TWO,九豪,nan,0.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 38.25，與現價緩衝空間為 nan%。
7556.TWO,意德士,nan,50.00,nan,7,nan,持股中,📈 趨勢續強。目前防禦位設於 167.11，與現價緩衝空間為 nan%。
5206.TWO,坤悅,25.15,50.00,-14.13,4,0.60,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 28.50，建議耐心等待突破。
4763.TW,材料*-KY,47.15,50.00,-9.68,3,1.62,持股中,📈 趨勢續強。目前防禦位設於 40.66，與現價緩衝空間為 13.8%。
2535.TW,達欣工,70.20,60.00,-4.57,9,1.34,持股中,📈 趨勢續強。目前防禦位設於 66.99，與現價緩衝空間為 4.6%。
2013.TW,中鋼構,44.05,33.33,-0.88,5,0.69,持股中,📈 趨勢續強。目前防禦位設於 44.00，與現價緩衝空間為 0.1%。
4528.TWO,江興鍛,nan,100.00,5.49,2,nan,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 17.69，建議耐心等待突破。
1714.TW,和桐,9.63,45.45,-9.85,22,0.32,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 8.97，建議耐心等待突破。
1808.TW,潤隆,30.05,0.00,-5.35,2,0.75,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 31.15，建議耐心等待突破。
3709.TWO,鑫聯大投控,71.30,0.00,-5.25,1,3.49,持股中,📈 趨勢續強。目前防禦位設於 64.13，與現價緩衝空間為 10.1%。
2352.TW,佳世達,25.65,66.67,-13.84,5,0.61,持股中,📈 趨勢續強。目前防禦位設於 22.94，與現價緩衝空間為 10.6%。
1568.TW,倉佑,25.35,0.00,9.83,3,0.60,持股中,📈 趨勢續強。目前防禦位設於 22.45，與現價緩衝空間為 11.4%。
6129.TWO,普誠,nan,33.33,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 15.35，與現價緩衝空間為 nan%。
5475.TWO,德宏,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 186.50，與現價緩衝空間為 nan%。
5289.TWO,宜鼎,nan,100.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 943.21，與現價緩衝空間為 nan%。
5514.TWO,三豐,nan,0.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 15.65，與現價緩衝空間為 nan%。
3587.TWO,閎康,367.00,100.00,58.96,1,20.96,持股中,📈 趨勢續強。目前防禦位設於 215.00，與現價緩衝空間為 41.4%。
5202.TWO,力新,14.15,0.00,-12.86,5,0.36,建議買入,🚀 今日收盤 14.15 突破關鍵高點 12.90，啟動波段漲勢。
2020.TW,美亞,23.15,0.00,2.00,2,0.44,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 22.51，建議耐心等待突破。
6532.TWO,瑞耘,nan,100.00,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 73.60，與現價緩衝空間為 nan%。
00927.TW,群益半導體收益,28.22,100.00,9.75,1,0.65,持股中,📈 趨勢續強。目前防禦位設於 24.33，與現價緩衝空間為 13.8%。
00950B.TWO,凱基A級公司債,14.15,50.00,-3.38,8,0.08,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 14.02，建議耐心等待突破。
3685.TWO,元創精密,34.45,75.00,-6.95,7,2.00,持股中,📈 趨勢續強。目前防禦位設於 26.45，與現價緩衝空間為 23.2%。
4529.TWO,淳紳,3.10,40.00,-13.84,10,0.17,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 3.10，建議耐心等待突破。
3523.TWO,迎輝,12.55,100.00,-9.08,2,0.53,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 12.55，建議耐心等待突破。
4908.TWO,前鼎,170.50,66.67,98.39,5,10.14,持股中,📈 趨勢續強。目前防禦位設於 102.50，與現價緩衝空間為 39.9%。
3029.TW,零壹,97.30,50.00,-13.88,7,2.69,持股中,📈 趨勢續強。目前防禦位設於 88.41，與現價緩衝空間為 9.1%。
7769.TW,鴻勁,nan,0.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 3653.21，與現價緩衝空間為 nan%。
4958.TW,臻鼎-KY,282.00,50.00,26.87,3,18.18,持股中,📈 趨勢續強。目前防禦位設於 210.00，與現價緩衝空間為 25.5%。
6245.TWO,立端,nan,0.00,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 66.80，與現價緩衝空間為 nan%。
3447.TW,展達,39.35,0.00,-26.23,7,1.35,持股中,📈 趨勢續強。目前防禦位設於 35.91，與現價緩衝空間為 8.7%。
00726B.TWO,國泰新興投等債,33.36,33.33,-4.35,11,0.15,持股中,📈 趨勢續強。目前防禦位設於 33.35，與現價緩衝空間為 0.0%。
3583.TW,辛耘,760.00,66.67,100.42,5,42.86,持股中,📈 趨勢續強。目前防禦位設於 459.50，與現價緩衝空間為 39.5%。
00940.TW,元大台灣價值高息,10.30,100.00,-3.98,5,0.14,持股中,📈 趨勢續強。目前防禦位設於 9.51，與現價緩衝空間為 7.7%。
3706.TW,神達,84.10,50.00,-1.48,3,2.62,持股中,📈 趨勢續強。目前防禦位設於 74.07，與現價緩衝空間為 11.9%。
5009.TWO,榮剛,31.30,0.00,0.00,0,0.70,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 32.50，建議耐心等待突破。
5278.TWO,尚凡*,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 22.72，與現價緩衝空間為 nan%。
3054.TW,立萬利,75.70,20.00,100.01,9,7.30,持股中,📈 趨勢續強。目前防禦位設於 64.20，與現價緩衝空間為 15.2%。
6908.TW,宏�砦C戲-創,nan,0.00,0.00,0,nan,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
2031.TW,新光鋼,41.00,75.00,-0.79,7,0.67,持股中,📈 趨勢續強。目前防禦位設於 40.20，與現價緩衝空間為 2.0%。
3317.TWO,尼克森,54.60,66.67,-9.05,5,1.95,持股中,📈 趨勢續強。目前防禦位設於 50.50，與現價緩衝空間為 7.5%。
4416.TWO,三圓,15.10,50.00,-11.40,3,0.84,建議買入,🚀 今日收盤 15.10 突破關鍵高點 14.00，啟動波段漲勢。
4905.TWO,台聯電,90.70,50.00,-1.85,11,4.89,持股中,📈 趨勢續強。目前防禦位設於 81.10，與現價緩衝空間為 10.6%。
8155.TWO,博智,nan,100.00,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 260.50，與現價緩衝空間為 nan%。
6741.TWO,91APP*-KY,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 60.80，與現價緩衝空間為 nan%。
1319.TW,東陽,78.50,0.00,0.00,0,2.09,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 79.90，建議耐心等待突破。
6925.TWO,意藍,nan,0.00,nan,7,nan,持股中,📈 趨勢續強。目前防禦位設於 67.44，與現價緩衝空間為 nan%。
6285.TW,啟��,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 172.00，與現價緩衝空間為 nan%。
4744.TWO,皇將,32.00,0.00,0.00,0,1.97,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
00642U.TW,期元大S&P石油,27.05,0.00,0.00,0,1.52,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
6994.TW,富威電力,nan,33.33,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 62.27，與現價緩衝空間為 nan%。
