🚀 智能量化選股報告 - 2026-03-07
==========================================================================================

【🚀超級強勢】(數量: 202)
------------------------------------------------------------------------------------------
3675.TWO | 德微         | B6: 11.71% | DMA: 25.490 | 💸流出 | 🚀DMA趨勢+多頭強勢
6770.TW  | 力積電        | B6:  7.65% | DMA: 13.813 | 💸流出 | 🚀DMA趨勢+多頭強勢
6903.TWO | 巨漢         | B6:  7.59% | DMA: 32.270 | 💎流入 | 🚀DMA趨勢+放量攻擊
1735.TW  | 日勝化        | B6:  7.40% | DMA:  1.063 | 💸流出 | 🚀DMA趨勢+多頭強勢
8431.TWO | 匯鑽科        | B6:  6.98% | DMA:  0.444 | 💸流出 | 🚀DMA趨勢+多頭強勢
5864.TWO | 致和證        | B6:  6.94% | DMA:  5.094 | 💎流入 | 🚀DMA趨勢+多頭強勢
2387.TW  | 精元         | B6:  6.69% | DMA:  2.403 | 💎流入 | 🚀DMA趨勢+多頭強勢
1582.TW  | 信錦         | B6:  6.61% | DMA:  7.322 | 💎流入 | 🚀DMA趨勢+放量攻擊
1593.TWO | 祺驊         | B6:  6.51% | DMA:  1.835 | 💎流入 | 🚀DMA趨勢+多頭強勢
1313.TW  | 聯成         | B6:  6.46% | DMA:  1.028 | 💎流入 | 🚀DMA趨勢+放量攻擊
2104.TW  | 國際中橡       | B6:  6.33% | DMA:  0.826 | 💎流入 | 🚀DMA趨勢+多頭強勢
2409.TW  | 友達         | B6:  6.32% | DMA:  1.641 | 💎流入 | 🚀DMA趨勢+多頭強勢
3093.TWO | 港建*        | B6:  6.21% | DMA:  1.946 | 💎流入 | 🚀DMA趨勢+放量攻擊
2355.TW  | 敬鵬         | B6:  6.03% | DMA:  5.508 | 💎流入 | 🚀DMA趨勢+多頭強勢
2108.TW  | 南帝         | B6:  6.00% | DMA:  1.867 | 💎流入 | 🚀DMA趨勢+多頭強勢
1307.TW  | 三芳         | B6:  5.90% | DMA:  1.849 | 💎流入 | 🚀DMA趨勢+放量攻擊
4952.TW  | 凌通         | B6:  5.87% | DMA:  5.165 | 💎流入 | 🚀DMA趨勢+放量攻擊
6568.TWO | 宏觀         | B6:  5.71% | DMA: 25.020 | 💎流入 | 🚀DMA趨勢+多頭強勢
6233.TWO | 旺玖         | B6:  5.70% | DMA:  1.861 | 💎流入 | 🚀DMA趨勢+多頭強勢
7805.TWO | 威聯通        | B6:  5.68% | DMA:-13.300 | 💸流出 | 🚀多頭強勢
5340.TWO | 建榮         | B6:  5.59% | DMA: 21.152 | 💎流入 | 🚀DMA趨勢+多頭強勢
00640L.TW | FUBON ASSET MANAGEMENT CO LTD T | B6:  5.55% | DMA:  9.472 | 💸流出 | 🚀DMA趨勢+多頭強勢
3533.TW  | 嘉澤         | B6:  5.51% | DMA:196.600 | 💸流出 | 🚀DMA趨勢+多頭強勢
9918.TW  | 欣天然        | B6:  5.44% | DMA:  3.435 | 💎流入 | 🚀DMA趨勢+放量攻擊
2017.TW  | 官田鋼        | B6:  5.41% | DMA:  0.556 | 💎流入 | 🚀DMA趨勢+多頭強勢
4749.TWO | 新應材        | B6:  5.40% | DMA: 44.240 | 💎流入 | 🚀DMA趨勢+放量攻擊
6225.TW  | 天瀚         | B6:  5.21% | DMA:  1.115 | 💎流入 | 🚀DMA趨勢+多頭強勢
3596.TW  | 智易         | B6:  5.21% | DMA: 12.440 | 💎流入 | 🚀DMA趨勢+多頭強勢
6761.TWO | 穩得         | B6:  5.18% | DMA: 14.890 | 💎流入 | 🚀DMA趨勢+放量攻擊
4956.TW  | 光鋐         | B6:  4.93% | DMA:  2.687 | 💸流出 | 🚀DMA趨勢+多頭強勢
2492.TW  | 華新科        | B6:  4.89% | DMA:  9.070 | 💎流入 | 🚀DMA趨勢+多頭強勢
00985A.TW | NOMURA ASSET MANAGEMENT TAIWAN  | B6:  4.79% | DMA:  1.465 | 💸流出 | 🚀DMA趨勢+多頭強勢
2368.TW  | 金像電        | B6:  4.62% | DMA: 97.080 | 💎流入 | 🚀DMA趨勢+多頭強勢
3308.TW  | 聯德         | B6:  4.51% | DMA:  2.273 | 💎流入 | 🚀DMA趨勢+放量攻擊
2472.TW  | 立隆電        | B6:  4.48% | DMA:  4.070 | 💎流入 | 🚀DMA趨勢+多頭強勢
6477.TW  | 安集         | B6:  4.43% | DMA:  1.095 | 💸流出 | 🚀DMA趨勢+多頭強勢
TXF.TW   | TAIWAN FUTURES EXCHANGE TX | B6:  4.41% | DMA:2989.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
00980A.TW | NOMURA ASSET MANAGEMENT TAIWAN  | B6:  4.38% | DMA:  1.364 | 💸流出 | 🚀DMA趨勢+多頭強勢
1714.TW  | 和桐         | B6:  4.37% | DMA:  0.756 | 💎流入 | 🚀DMA趨勢+放量攻擊
3702.TW  | 大聯大        | B6:  4.26% | DMA:  4.662 | 💎流入 | 🚀DMA趨勢+多頭強勢
00891.TW | 中信關鍵半導體    | B6:  4.22% | DMA:  2.569 | 💸流出 | 🚀DMA趨勢+多頭強勢
1301.TW  | 台塑         | B6:  4.18% | DMA:  5.207 | 💸流出 | 🚀DMA趨勢+多頭強勢
2838.TW  | 聯邦銀        | B6:  4.15% | DMA:  0.707 | 💸流出 | 🚀DMA趨勢+多頭強勢
8996.TW  | 高力         | B6:  4.09% | DMA:147.170 | 💸流出 | 🚀DMA趨勢+多頭強勢
6859.TWO | 伯特光        | B6:  4.09% | DMA:  2.640 | 💎流入 | 🚀DMA趨勢+放量攻擊
3413.TW  | 京鼎         | B6:  4.08% | DMA: 16.060 | 💸流出 | 🚀DMA趨勢+多頭強勢
7556.TWO | 意德士        | B6:  3.77% | DMA:  7.340 | 💎流入 | 🚀DMA趨勢+多頭強勢
1304.TW  | 台聚         | B6:  3.76% | DMA:  0.734 | 💎流入 | 🚀DMA趨勢+放量攻擊
4744.TWO | 皇將         | B6:  3.69% | DMA:  1.934 | 💎流入 | 🚀DMA趨勢+多頭強勢
3029.TW  | 零壹         | B6:  3.58% | DMA:  4.330 | 💎流入 | 🚀DMA趨勢+多頭強勢
3205.TWO | 佰研         | B6:  3.56% | DMA:  1.051 | 💸流出 | 🚀DMA趨勢+多頭強勢
1310.TW  | 台苯         | B6:  3.54% | DMA:  0.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
2347.TW  | 聯強         | B6:  3.49% | DMA:  5.438 | 💎流入 | 🚀DMA趨勢+多頭強勢
8261.TW  | 富鼎         | B6:  3.46% | DMA:  3.892 | 💎流入 | 🚀DMA趨勢+多頭強勢
1529.TW  | 樂事綠能       | B6:  3.37% | DMA:  3.008 | 💎流入 | 🚀DMA趨勢+放量攻擊
8455.TWO | 大拓-KY      | B6:  3.34% | DMA:  0.382 | 💎流入 | 🚀DMA趨勢+多頭強勢
2486.TW  | 一詮         | B6:  3.31% | DMA: 28.148 | 💸流出 | 🚀DMA趨勢+多頭強勢
3714.TW  | 富采         | B6:  3.29% | DMA:  2.238 | 💎流入 | 🚀DMA趨勢+放量攻擊
1599.TWO | 宏佳騰        | B6:  3.25% | DMA:  0.475 | 💸流出 | 🚀DMA趨勢+多頭強勢
2454.TW  | 聯發科        | B6:  3.06% | DMA:227.774 | 💸流出 | 🚀DMA趨勢+多頭強勢
2010.TW  | 春源         | B6:  3.04% | DMA:  1.228 | 💎流入 | 🚀DMA趨勢+多頭強勢
00951.TW | 台新日本半導體    | B6:  3.00% | DMA:  1.676 | 💸流出 | 🚀DMA趨勢+多頭強勢
2323.TW  | 中環         | B6:  3.00% | DMA:  0.104 | 💎流入 | 🚀DMA趨勢+多頭強勢
3135.TW  | 凌航         | B6:  2.99% | DMA: 15.272 | 💎流入 | 🚀DMA趨勢+多頭強勢
6550.TW  | 北極星藥業-KY   | B6:  2.97% | DMA:  0.663 | 💸流出 | 🚀DMA趨勢+多頭強勢
1309.TW  | 台達化        | B6:  2.95% | DMA:  0.789 | 💎流入 | 🚀DMA趨勢+放量攻擊
5289.TWO | 宜鼎         | B6:  2.94% | DMA:108.370 | 💸流出 | 🚀DMA趨勢+多頭強勢
3003.TW  | 健和興        | B6:  2.92% | DMA:  1.722 | 💎流入 | 🚀DMA趨勢+多頭強勢
6223.TWO | 旺矽         | B6:  2.87% | DMA:315.300 | 💎流入 | 🚀DMA趨勢+多頭強勢
2426.TW  | 鼎元         | B6:  2.81% | DMA:  1.537 | 💎流入 | 🚀DMA趨勢+放量攻擊
2820.TW  | 華票         | B6:  2.79% | DMA:  0.473 | 💸流出 | 🚀DMA趨勢+多頭強勢
3042.TW  | 晶技         | B6:  2.77% | DMA:  5.176 | 💎流入 | 🚀DMA趨勢+多頭強勢
2480.TW  | 敦陽科        | B6:  2.76% | DMA:  0.270 | 💎流入 | 🚀DMA趨勢+多頭強勢
3715.TW  | 定穎投控       | B6:  2.73% | DMA: 13.460 | 💎流入 | 🚀DMA趨勢+多頭強勢
1340.TW  | 勝悅-KY      | B6:  2.68% | DMA:  0.032 | 💎流入 | 🚀DMA趨勢+放量攻擊
5426.TWO | 振發         | B6:  2.56% | DMA:  0.569 | 💸流出 | 🚀DMA趨勢+多頭強勢
0056.TW  | 元大高股息      | B6:  2.51% | DMA:  1.843 | 💸流出 | 🚀DMA趨勢+多頭強勢
6274.TWO | 台燿         | B6:  2.43% | DMA: 39.510 | 💸流出 | 🚀DMA趨勢+多頭強勢
00939.TW | 統一台灣高息動能   | B6:  2.39% | DMA:  0.763 | 💸流出 | 🚀DMA趨勢+多頭強勢
2801.TW  | 彰銀         | B6:  2.35% | DMA:  0.508 | 💸流出 | 🚀DMA趨勢+多頭強勢
3587.TWO | 閎康         | B6:  2.35% | DMA: 13.380 | 💎流入 | 🚀DMA趨勢+多頭強勢
6642.TWO | 富致         | B6:  2.34% | DMA:  3.102 | 💸流出 | 🚀DMA趨勢+多頭強勢
1438.TW  | 三地開發       | B6:  2.29% | DMA:  0.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
00949.TW | 復華日本龍頭     | B6:  2.27% | DMA:  0.942 | 💸流出 | 🚀DMA趨勢+多頭強勢
4949.TW  | 有成精密       | B6:  2.26% | DMA:  5.172 | 💎流入 | 🚀DMA趨勢+多頭強勢
1314.TW  | 中石化        | B6:  2.25% | DMA:  0.252 | 💎流入 | 🚀DMA趨勢+放量攻擊
1305.TW  | 華夏         | B6:  2.25% | DMA:  0.628 | 💎流入 | 🚀DMA趨勢+放量攻擊
5355.TWO | 佳總         | B6:  2.24% | DMA:  0.346 | 💸流出 | 🚀DMA趨勢+多頭強勢
3455.TWO | 由田         | B6:  2.23% | DMA:  3.406 | 💎流入 | 🚀DMA趨勢+多頭強勢
6510.TWO | 精測         | B6:  2.20% | DMA:772.500 | 💸流出 | 🚀DMA趨勢+多頭強勢
5009.TWO | 榮剛         | B6:  2.19% | DMA:  1.753 | 💎流入 | 🚀DMA趨勢+多頭強勢
1308.TW  | 亞聚         | B6:  2.15% | DMA:  0.453 | 💎流入 | 🚀DMA趨勢+放量攻擊
5274.TWO | 信驊         | B6:  2.14% | DMA:1191.900 | 💎流入 | 🚀DMA趨勢+多頭強勢
2414.TW  | 精技         | B6:  2.12% | DMA:  0.984 | 💸流出 | 🚀DMA趨勢+多頭強勢
00902.TW | 中信電池及儲能    | B6:  2.11% | DMA:  0.700 | 💸流出 | 🚀DMA趨勢+多頭強勢
6672.TW  | 騰輝電子-KY    | B6:  2.10% | DMA:  3.090 | 💸流出 | 🚀DMA趨勢+多頭強勢
3653.TW  | 健策         | B6:  2.09% | DMA:307.000 | 💎流入 | 🚀DMA趨勢+放量攻擊
8103.TW  | 瀚荃         | B6:  2.06% | DMA:  4.086 | 💎流入 | 🚀DMA趨勢+多頭強勢
3015.TW  | 全漢         | B6:  2.05% | DMA:  0.920 | 💸流出 | 🚀DMA趨勢+多頭強勢
00713.TW | 元大台灣高息低波   | B6:  2.00% | DMA:  1.522 | 💎流入 | 🚀DMA趨勢+多頭強勢
6419.TWO | 京晨科        | B6:  1.99% | DMA: -3.812 | 💸流出 | 🚀多頭強勢
8081.TW  | 致新         | B6:  1.98% | DMA: 17.740 | 💸流出 | 🚀DMA趨勢+多頭強勢
2357.TW  | 華碩         | B6:  1.98% | DMA: -6.970 | 💎流入 | 🚀多頭強勢
4904.TW  | 遠傳         | B6:  1.98% | DMA:  3.072 | 💸流出 | 🚀DMA趨勢+多頭強勢
3090.TW  | 日電貿        | B6:  1.97% | DMA: -1.182 | 💸流出 | 🚀多頭強勢
00882.TW | 中信中國高股息    | B6:  1.96% | DMA:  0.781 | 💸流出 | 🚀DMA趨勢+多頭強勢
4560.TW  | 強信-KY      | B6:  1.81% | DMA:  0.509 | 💎流入 | 🚀DMA趨勢+多頭強勢
00965.TW | 元大航太防衛科技   | B6:  1.81% | DMA:  1.346 | 💎流入 | 🚀DMA趨勢+多頭強勢
4737.TW  | 華廣         | B6:  1.80% | DMA: -0.009 | 💎流入 | 🚀放量攻擊
2834.TW  | 臺企銀        | B6:  1.78% | DMA:  0.015 | 💸流出 | 🚀DMA趨勢+多頭強勢
1762.TW  | 中化生        | B6:  1.76% | DMA:  1.290 | 💎流入 | 🚀DMA趨勢+多頭強勢
6203.TWO | 海韻電        | B6:  1.75% | DMA:  0.094 | 💸流出 | 🚀DMA趨勢+多頭強勢
3661.TW  | 世芯-KY      | B6:  1.75% | DMA: -3.000 | 💎流入 | 🚀多頭強勢
5299.TWO | 杰力         | B6:  1.68% | DMA:  2.440 | 💸流出 | 🚀DMA趨勢+多頭強勢
2812.TW  | 台中銀        | B6:  1.58% | DMA: -0.040 | 💎流入 | 🚀多頭強勢
2022.TW  | 聚亨         | B6:  1.50% | DMA:  0.381 | 💎流入 | 🚀DMA趨勢+多頭強勢
9926.TW  | 新海         | B6:  1.50% | DMA:  0.882 | 💎流入 | 🚀DMA趨勢+放量攻擊
00878.TW | 國泰永續高股息    | B6:  1.50% | DMA:  0.839 | 💸流出 | 🚀DMA趨勢+多頭強勢
2013.TW  | 中鋼構        | B6:  1.48% | DMA:  0.418 | 💎流入 | 🚀DMA趨勢+多頭強勢
4130.TWO | 健亞         | B6:  1.47% | DMA:  1.773 | 💎流入 | 🚀DMA趨勢+多頭強勢
00947.TW | 台新臺灣IC設計   | B6:  1.45% | DMA:  2.198 | 💸流出 | 🚀DMA趨勢+多頭強勢
3010.TW  | 華立         | B6:  1.45% | DMA:  6.080 | 💎流入 | 🚀DMA趨勢+多頭強勢
00900.TW | 富邦特選高股息30  | B6:  1.44% | DMA:  0.445 | 💸流出 | 🚀DMA趨勢+多頭強勢
8271.TW  | 宇瞻         | B6:  1.43% | DMA:  4.104 | 💎流入 | 🚀DMA趨勢+放量攻擊
2353.TW  | 宏��        | B6:  1.42% | DMA:  0.417 | 💎流入 | 🚀DMA趨勢+多頭強勢
2401.TW  | 凌陽         | B6:  1.42% | DMA:  0.807 | 💸流出 | 🚀DMA趨勢+多頭強勢
2634.TW  | 漢翔         | B6:  1.41% | DMA:  1.500 | 💸流出 | 🚀DMA趨勢+多頭強勢
2393.TW  | 億光         | B6:  1.40% | DMA:  2.386 | 💸流出 | 🚀DMA趨勢+多頭強勢
8091.TWO | 翔名         | B6:  1.38% | DMA:  9.990 | 💸流出 | 🚀DMA趨勢+多頭強勢
8930.TWO | 青鋼         | B6:  1.36% | DMA: -0.153 | 💎流入 | 🚀放量攻擊
4938.TW  | 和碩         | B6:  1.35% | DMA:  1.072 | 💎流入 | 🚀DMA趨勢+多頭強勢
2547.TW  | 日勝生        | B6:  1.30% | DMA:  0.156 | 💎流入 | 🚀DMA趨勢+放量攻擊
1312.TW  | 國喬         | B6:  1.27% | DMA:  0.691 | 💎流入 | 🚀DMA趨勢+放量攻擊
00936.TW | 台新永續高息中小   | B6:  1.26% | DMA:  0.683 | 💎流入 | 🚀DMA趨勢+多頭強勢
6166.TW  | 凌華         | B6:  1.25% | DMA: -0.334 | 💸流出 | 🚀多頭強勢
00918.TW | 大華優利高填息30  | B6:  1.24% | DMA:  0.478 | 💸流出 | 🚀DMA趨勢+多頭強勢
2886.TW  | 兆豐金        | B6:  1.19% | DMA: -0.015 | 💸流出 | 🚀多頭強勢
2892.TW  | 第一金        | B6:  1.18% | DMA:  0.148 | 💎流入 | 🚀DMA趨勢+多頭強勢
1402.TW  | 遠東新        | B6:  1.16% | DMA:  0.350 | 💎流入 | 🚀DMA趨勢+多頭強勢
9908.TW  | 大台北        | B6:  1.14% | DMA:  0.441 | 💎流入 | 🚀DMA趨勢+放量攻擊
2597.TW  | 潤弘         | B6:  1.12% | DMA:  0.700 | 💸流出 | 🚀DMA趨勢+多頭強勢
6285.TW  | 啟��        | B6:  1.12% | DMA: 37.602 | 💸流出 | 🚀DMA趨勢+多頭強勢
1726.TW  | 永記         | B6:  1.10% | DMA:  0.846 | 💸流出 | 🚀DMA趨勢+多頭強勢
3014.TW  | 聯陽         | B6:  1.03% | DMA:  3.200 | 💸流出 | 🚀DMA趨勢+多頭強勢
3033.TW  | 威健         | B6:  1.01% | DMA:  0.231 | 💸流出 | 🚀DMA趨勢+多頭強勢
6206.TW  | 飛捷         | B6:  0.99% | DMA:  0.990 | 💸流出 | 🚀DMA趨勢+多頭強勢
00887.TWO | 永豐中國科技50大  | B6:  0.99% | DMA:  0.292 | 💸流出 | 🚀DMA趨勢+多頭強勢
2845.TW  | 遠東銀        | B6:  0.96% | DMA: -0.058 | 💸流出 | 🚀多頭強勢
8463.TW  | 潤泰材        | B6:  0.95% | DMA:  0.167 | 💸流出 | 🚀DMA趨勢+多頭強勢
2301.TW  | 光寶科        | B6:  0.90% | DMA:  6.550 | 💸流出 | 🚀DMA趨勢+多頭強勢
00927.TW | 群益半導體收益    | B6:  0.90% | DMA:  1.698 | 💸流出 | 🚀DMA趨勢+多頭強勢
00940.TW | 元大台灣價值高息   | B6:  0.90% | DMA:  0.275 | 💎流入 | 🚀DMA趨勢+多頭強勢
6491.TW  | 晶碩         | B6:  0.80% | DMA:  3.890 | 💸流出 | 🚀DMA趨勢+多頭強勢
1294.TWO | 漢田生技       | B6:  0.79% | DMA:  1.598 | 💎流入 | 🚀DMA趨勢+放量攻擊
4702.TWO | 中美實        | B6:  0.77% | DMA:  0.076 | 💎流入 | 🚀DMA趨勢+放量攻擊
6921.TW  | 嘉雨思-創      | B6:  0.74% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
1409.TW  | 新纖         | B6:  0.68% | DMA:  0.131 | 💎流入 | 🚀DMA趨勢+放量攻擊
6996.TWO | 力領科技       | B6:  0.67% | DMA:  8.060 | 💎流入 | 🚀DMA趨勢+放量攻擊
1537.TW  | 廣隆         | B6:  0.61% | DMA:  0.210 | 💸流出 | 🚀DMA趨勢+多頭強勢
1256.TW  | 鮮活果汁-KY    | B6:  0.58% | DMA:  6.560 | 💎流入 | 🚀DMA趨勢+多頭強勢
9945.TW  | 潤泰新        | B6:  0.58% | DMA: -0.387 | 💸流出 | 🚀多頭強勢
2948.TWO | 寶陞         | B6:  0.48% | DMA:  0.823 | 💎流入 | 🚀DMA趨勢+多頭強勢
00948B.TWO | CTBC INVESTMENTS CO LTD CT ESG  | B6:  0.48% | DMA:  0.077 | 💎流入 | 🚀DMA趨勢+多頭強勢
00830.TW | 國泰費城半導體    | B6:  0.45% | DMA:  2.507 | 💸流出 | 🚀DMA趨勢+多頭強勢
8016.TW  | 矽創         | B6:  0.43% | DMA:  5.040 | 💎流入 | 🚀DMA趨勢+多頭強勢
8069.TWO | 元太         | B6:  0.41% | DMA: -2.070 | 💸流出 | 🚀多頭強勢
00937B.TWO | CAPITAL INV TRUST CORP ICE ESG  | B6:  0.37% | DMA:  0.117 | 💎流入 | 🚀DMA趨勢+多頭強勢
2903.TW  | 遠百         | B6:  0.35% | DMA:  0.342 | 💸流出 | 🚀DMA趨勢+多頭強勢
6616.TWO | 特昇-KY      | B6:  0.32% | DMA:  0.131 | 💎流入 | 🚀DMA趨勢+多頭強勢
1216.TW  | 統一         | B6:  0.28% | DMA: -1.696 | 💸流出 | 🚀多頭強勢
2740.TWO | 天蔥         | B6:  0.25% | DMA:  7.008 | 💸流出 | 🚀DMA趨勢+多頭強勢
2434.TW  | 統懋         | B6:  0.20% | DMA: -0.408 | 💎流入 | 🚀多頭強勢
3067.TWO | 全域         | B6:  0.15% | DMA: -0.267 | 💎流入 | 🚀放量攻擊
1102.TW  | 亞泥         | B6:  0.13% | DMA: -0.837 | 💸流出 | 🚀多頭強勢
2236.TW  | 百達-KY      | B6:  0.12% | DMA: -0.480 | 💸流出 | 🚀多頭強勢

【❄️跌深反彈】(數量: 83)
------------------------------------------------------------------------------------------
8102.TWO | 傑霖科技       | B6: -5.07% | DMA: -6.214 | 💸流出 | ❄️跌深轉強
2388.TW  | 威盛         | B6: -5.11% | DMA: -3.934 | 💸流出 | ❄️跌深轉強
8349.TWO | �矬�        | B6: -5.17% | DMA: -2.618 | 💸流出 | ❄️跌深轉強
6138.TWO | 茂達         | B6: -5.21% | DMA:  0.780 | 💸流出 | ❄️跌深轉強
6431.TW  | 光麗-KY      | B6: -5.25% | DMA: -2.182 | 💸流出 | ❄️跌深轉強
8070.TW  | 長華*        | B6: -5.25% | DMA: -2.126 | 💸流出 | ❄️跌深轉強
6603.TWO | 富強鑫        | B6: -5.27% | DMA: -3.427 | 💸流出 | ❄️跌深轉強
8099.TWO | 大世科        | B6: -5.28% | DMA: -5.258 | 💸流出 | ❄️跌深轉強
3629.TWO | 地心引力       | B6: -5.28% | DMA: -2.469 | 💸流出 | ❄️跌深轉強
6719.TW  | 力智         | B6: -5.32% | DMA: -9.010 | 💸流出 | ❄️跌深轉強
4583.TW  | 台灣精銳       | B6: -5.38% | DMA:-15.940 | 💸流出 | ❄️跌深轉強
5508.TWO | 永信建        | B6: -5.38% | DMA: -6.150 | 💸流出 | ❄️跌深轉強
3530.TW  | 晶相光        | B6: -5.39% | DMA: -8.878 | 💸流出 | ❄️跌深轉強
4171.TWO | 瑞基         | B6: -5.48% | DMA: -0.195 | 💸流出 | ❄️跌深轉強
1338.TW  | 廣華-KY      | B6: -5.48% | DMA: -1.610 | 💎流入 | ❄️跌深轉強
7783.TWO | 佳運         | B6: -5.58% | DMA:-13.016 | 💎流入 | ❄️跌深轉強
1587.TW  | 吉茂         | B6: -5.60% | DMA: -5.634 | 💸流出 | ❄️跌深轉強
5432.TWO | 新門         | B6: -5.66% | DMA:-17.410 | 💎流入 | ❄️底部反彈
2468.TW  | 華經         | B6: -5.74% | DMA: -4.424 | 💎流入 | ❄️跌深轉強
4510.TWO | 高鋒         | B6: -5.77% | DMA: -0.111 | 💎流入 | ❄️跌深轉強
8422.TW  | 可寧衛*       | B6: -5.77% | DMA: -1.389 | 💸流出 | ❄️跌深轉強
6873.TW  | 泓德能源       | B6: -5.83% | DMA: -1.668 | 💸流出 | ❄️跌深轉強
3552.TWO | 同致         | B6: -5.83% | DMA: -7.656 | 💸流出 | ❄️跌深轉強
7752.TWO | 世紀樺欣       | B6: -5.85% | DMA: -5.852 | 💸流出 | ❄️跌深轉強
8478.TW  | 東哥遊艇       | B6: -5.86% | DMA:-18.360 | 💸流出 | ❄️跌深轉強
4763.TW  | 材料*-KY     | B6: -5.90% | DMA: -4.377 | 💸流出 | ❄️跌深轉強
2442.TW  | 新美齊        | B6: -6.06% | DMA: -3.129 | 💸流出 | ❄️跌深轉強
6245.TWO | 立端         | B6: -6.11% | DMA: -4.936 | 💎流入 | ❄️跌深轉強
3546.TWO | 宇峻         | B6: -6.22% | DMA: -7.556 | 💸流出 | ❄️跌深轉強
00983A.TW | CTBC INVESTMENTS CO LTD CTBC AR | B6: -6.39% | DMA: -0.967 | 💎流入 | ❄️跌深轉強
6163.TWO | 華電網        | B6: -6.47% | DMA: -4.443 | 💸流出 | ❄️跌深轉強
3257.TW  | 虹冠電        | B6: -6.47% | DMA: -6.010 | 💸流出 | ❄️跌深轉強
8279.TWO | 生展         | B6: -6.52% | DMA: -4.440 | 💸流出 | ❄️跌深轉強
00665L.TW | FUBON SECURITIES INVSTMT TRUST  | B6: -6.54% | DMA: -0.641 | 💸流出 | ❄️跌深轉強
6806.TW  | 森崴能源       | B6: -6.57% | DMA: -0.288 | 💸流出 | ❄️跌深轉強
2439.TW  | 美律         | B6: -6.58% | DMA: -7.186 | 💸流出 | ❄️跌深轉強
