status,date,prev_rev_yoy,advice,prev_eps,eps,expansion,name,prev_year,pe,eps_yoy,rev_yoy,prev_eps_yoy,om,gm,price,symbol,est_price
🧐 疑業外收益,2025-12,-12.66,⚠️ 追價風險,0.49,1.43,467.93,吉祥全,2025,138.82353165588222,457.5,-10.43,179.03,-66.51%,43.42%,23.6000003815,2491.TW,2.5500000000000025
🚀 利潤擴張,2025-12,18.74,⚠️ 追價風險,0.54,0.47,440.95000000000005,杭特,2025,25.0,461.54,20.59,2600.0,-18.51%,30.70%,30.25,3297.TWO,18.15
🔄 轉虧為盈,2025-12,310.97,⚪ 數據不足,-0.58,1.28,418.37000000000006,博士旺,2025,0.0,752.94,334.57,7.84,4.44%,18.45%,233.5,3555.TWO,-9.599999999999998
🔄 轉虧為盈,2025-12,-10.45,⚠️ 追價風險,-0.11,1.22,417.34999999999997,宏旭-KY,2025,26.70454545454546,408.33,-9.02,38.89,15.14%,22.27%,23.5,2243.TW,13.199999999999998
🚀 利潤擴張,2025-12,119.15,⚠️ 追價風險,5.45,8.13,379.12,大量,2025,49.91482112436115,474.47,95.35,790.16,18.24%,42.12%,879.0,3167.TW,264.15000000000003
🧐 疑業外收益,2025-12,-6.34,💎 強力關注,0.43,0.45,374.26,宏洲,2025,8.500000346818181,364.71,-9.55,326.32,0.23%,2.52%,9.3500003815,1413.TW,16.499999999999996
🚀 利潤擴張,2025-12,6.23,⚠️ 追價風險,0.62,1.22,371.81,雙鍵,2025,135.90733590733592,377.27,5.46,187.32,7.74%,23.49%,352.0,4764.TW,38.849999999999994
🚀 利潤擴張,2025-12,13.03,💎 強力關注,1.26,1.69,370.34000000000003,同亨,2025,6.513158062039473,382.35,12.01,916.67,N/A,N/A,29.7000007629,5490.TWO,68.4
🧐 疑業外收益,2025-12,-10.3,💎 強力關注,0.02,0.55,364.75,新天地,2025,6.089285441821429,358.33,-6.42,103.23,N/A,N/A,17.0499992371,8940.TW,42.0
🏰 高護城河,2025-12,43.11,⚠️ 追價風險,1.65,1.52,356.99,倚強科,2025,22.939699259246236,406.67,49.68,179.66,-15.39%,69.49%,91.3000030518,3219.TWO,59.699999999999996
🚀 利潤擴張,2025-12,-0.15,💎 強力關注,0.52,0.9,327.09,友達,2025,9.606299062401575,327.5,0.41,185.25,-2.70%,10.73%,24.3999996185,2409.TW,38.1
🚀 利潤擴張,2025-12,30.37,💎 強力關注,7.71,7.73,316.98,冠星-KY,2025,4.3336439888164024,346.24,29.26,114.76,0.97%,15.60%,93.0,4439.TW,321.90000000000003
🔄 轉虧為盈,2025-12,-14.04,⚪ 數據不足,-0.11,0.15,289.09,映泰,2025,0.0,275.0,-14.09,-222.22,-12.67%,8.40%,47.4000015259,2399.TW,-2.7000000000000006
🧐 疑業外收益,2025-12,-0.73,💎 強力關注,7.88,7.21,281.70000000000005,宏達電,2025,1.9290188209979122,275.85,-5.85,352.24,-79.17%,34.44%,46.2000007629,2498.TW,359.25
🧐 疑業外收益,2025-12,-8.55,💎 強力關注,4.81,4.01,281.08,美利達,2025,5.270478898624419,271.37,-9.71,-18.34,N/A,N/A,68.1999969482,9914.TW,194.10000000000002
🚀 利潤擴張,2025-12,12.63,⚪ 數據不足,3.02,4.02,275.27,浪凡,2025,0.0,288.24,12.97,410.34,N/A,N/A,0.0,6165.TW,0.0
🚀 利潤擴張,2025-12,19.84,⚠️ 追價風險,1.26,2.01,273.68,大銀微系統,2025,63.38672768878718,294.12,20.44,447.83,13.23%,38.42%,277.0,4576.TW,65.55
🧐 疑業外收益,2025-12,-6.66,⚪ 數據不足,0.98,0.25,255.45000000000002,冠西電,2025,0.0,241.18,-14.27,230.67,-53.06%,-4.21%,49.8499984741,2466.TW,-8.100000000000001
🚀 利潤擴張,2025-12,-0.36,💎 強力關注,4.75,5.5,254.79,華榮,2025,2.9277729352622535,254.81,0.02,241.94,6.96%,9.17%,34.0499992371,1608.TW,174.45
🧐 疑業外收益,2025-12,4.96,⚠️ 追價風險,0.19,0.09,250.24,中纖,2025,24.615384982307692,250.0,-0.24,-11.76,18.72%,41.46%,6.4000000954,1718.TW,3.9000000000000004
🧐 疑業外收益,2025-12,-1.75,⚠️ 追價風險,1.48,1.91,241.22,有成精密,2025,23.736263736263737,240.74,-0.48,180.87,N/A,N/A,108.0,4949.TW,68.25
🔄 轉虧為盈,2025-12,-98.23,⚪ 數據不足,-0.9,1.74,229.07999999999998,三地開發,2025,0.0,237.01,7.93,10.89,25.89%,29.82%,20.8999996185,1438.TW,-2.4000000000000004
🔄 轉虧為盈,2025-12,-26.31,💎 強力關注,-0.9,3.41,227.67000000000002,怡華,2025,8.809523679795916,207.21,-20.46,15.89,248.16%,46.73%,12.9499998093,1456.TW,22.050000000000004
🚀 利潤擴張,2025-12,-5.41,⚠️ 追價風險,0.47,1.74,224.23000000000002,晶相光,2025,33.92344570617225,230.83,6.6,-50.0,14.09%,31.94%,70.9000015259,3530.TW,31.349999999999998
🧐 疑業外收益,2025-12,-4.98,⚪ 中性觀察,0.33,0.21,213.63,允強,2025,21.666665871979166,200.0,-13.63,94.12,-1.87%,5.45%,20.7999992371,2034.TW,14.399999999999999
🧐 疑業外收益,2025-12,-6.23,💎 強力關注,1.43,1.72,204.79,松瑞藥,2025,3.456678631498195,203.51,-1.28,237.21,9.56%,30.12%,19.1499996185,4167.TWO,83.1
🚀 利潤擴張,2025-12,14.04,💎 強力關注,1.0,2.51,203.79,皇將,2025,7.731376975169301,216.0,12.21,400.0,14.38%,42.43%,34.25,4744.TWO,66.44999999999999
🚀 利潤擴張,2025-12,20.7,⚠️ 追價風險,0.23,1.58,201.66000000000003,GOGOLOOK,2025,66.02870813397129,222.58,20.92,119.47,N/A,N/A,138.0,6902.TW,31.349999999999998
🚀 利潤擴張,2025-12,8.72,💎 強力關注,10.81,13.38,200.22,楠梓電,2025,5.390275111964171,212.47,12.25,260.07,-7.46%,5.71%,168.5,2316.TW,468.90000000000003
🚀 利潤擴張,2025-12,36.52,⚠️ 追價風險,0.31,0.7,199.70999999999998,金穎生技,2025,27.592592592592595,229.63,29.92,150.0,10.64%,31.84%,37.25,1796.TWO,20.249999999999996
🚀 利潤擴張,2025-12,5.51,⚪ 中性觀察,1.18,1.58,197.42,東研信超,2025,18.475073313782993,205.88,8.46,76.12,N/A,N/A,63.0,6840.TWO,51.15
🧐 疑業外收益,2025-12,-1.51,⚠️ 追價風險,0.55,0.51,197.22,雲嘉南,2025,37.81249920520833,189.47,-7.75,219.57,-10.81%,29.43%,18.1499996185,3191.TWO,7.2
🚀 利潤擴張,2025-12,5.31,⚪ 中性觀察,1.14,2.01,193.66,益登,2025,18.143565111831688,195.71,2.05,153.27,1.71%,3.50%,73.3000030518,3048.TW,60.59999999999999
🚀 利潤擴張,2025-12,31.27,⚠️ 追價風險,0.62,0.76,191.41,盛群,2025,26.798244944780702,213.64,22.23,191.04,N/A,N/A,61.0999984741,6202.TW,34.199999999999996
🔄 轉虧為盈,2025-12,8.02,⚪ 數據不足,-0.25,0.41,189.66,環科,2025,0.0,193.18,3.52,62.12,3.38%,17.05%,51.9000015259,2413.TW,-9.6
🧐 疑業外收益,2025-12,-90.58,⚠️ 追價風險,0.1,0.04,187.65,川飛,2025,1049.999999999999,100.65,-87.0,-70.59,-14.33%,5.36%,21.0,1516.TW,0.30000000000000027
🚀 利潤擴張,2025-12,20.56,💎 強力關注,1.2,1.82,184.49,邁達特,2025,11.440000406906668,203.33,18.84,-3.23,N/A,N/A,42.9000015259,6112.TW,56.25
🔄 轉虧為盈,2025-12,11.15,⚪ 中性觀察,-0.04,1.14,179.8,臺龍,2025,21.7567572722973,186.36,6.56,97.79,N/A,N/A,16.1000003815,6246.TWO,11.099999999999998
🚀 利潤擴張,2025-12,4.96,⚪ 數據不足,2.44,3.67,177.61,台耀,2025,0.0,180.15,2.54,39.43,21.37%,41.59%,0.0,4746.TW,0.0
🚀 利潤擴張,2025-12,27.17,💎 強力關注,7.31,6.42,177.55,三一東林,2025,2.7155963652752293,248.27,70.72,314.37,-11.23%,8.05%,29.6000003815,3609.TWO,163.5
🧐 疑業外收益,2025-12,-11.95,💎 強力關注,1.61,1.23,176.83,虹揚-KY,2025,9.710144651086958,163.4,-13.43,228.8,N/A,N/A,13.3999996185,6573.TW,20.7
🚀 利潤擴張,2025-12,22.77,⚪ 中性觀察,4.25,6.58,174.75,力智,2025,17.957746478873236,198.64,23.89,89.73,N/A,N/A,255.0,6719.TW,213.00000000000003
🧐 疑業外收益,2025-12,-0.97,⚠️ 追價風險,0.91,0.47,174.57,九豪,2025,26.000000000000004,173.44,-1.13,275.0,N/A,N/A,52.0,6127.TWO,29.999999999999996
🧐 疑業外收益,2025-12,-8.55,⚠️ 追價風險,0.49,0.92,174.34,旭然,2025,23.818181355818183,170.59,-3.75,172.22,14.30%,42.07%,39.2999992371,4556.TWO,24.750000000000004
🚀 利潤擴張,2025-12,4.04,✅ 穩健價值,0.09,0.53,173.32999999999998,亞都,2025,15.166666242777778,178.95,5.62,175.0,N/A,N/A,13.6499996185,5703.TWO,13.5
🚀 利潤擴張,2025-12,39.08,⚠️ 追價風險,0.49,0.92,172.01999999999998,今國光,2025,56.7105243080263,222.67,50.65,190.57,N/A,N/A,86.1999969482,6209.TW,22.800000000000004
🚀 利潤擴張,2025-12,2.1,⚠️ 追價風險,0.81,0.89,171.64000000000001,長佳智能,2025,26.199095713076918,183.87,12.23,1700.0,N/A,N/A,57.9000015259,6841.TWO,33.150000000000006
🚀 利潤擴張,2025-12,-4.54,⚪ 數據不足,1.75,5.45,166.18,聯友金屬-創,2025,0.0,194.08,27.9,3.33,N/A,N/A,0.0,7610.TW,0.0
🚀 利潤擴張,2025-12,19.92,⚠️ 追價風險,0.24,0.37,164.99,吉茂,2025,41.01449164797102,188.1,23.11,155.81,2.96%,18.05%,28.2999992371,1587.TW,10.35
🚀 利潤擴張,2025-12,13.26,⚠️ 追價風險,0.16,0.22,164.91,一詮,2025,959.6774193548387,175.0,10.09,300.0,1.35%,15.86%,297.5,2486.TW,4.65
🚀 利潤擴張,2025-12,21.0,⚪ 數據不足,1.13,6.34,164.37,富威電力,2025,0.0,328.87,164.5,47.95,N/A,N/A,0.0,6994.TW,0.0
🚀 利潤擴張,2025-12,97.52,💎 強力關注,17.41,18.83,164.31,寬宏藝術,2025,2.1119757230479896,242.99,78.68,241.37,N/A,N/A,97.6999969482,6596.TWO,693.9
🔄 轉虧為盈,2025-12,25.19,⚪ 數據不足,-0.24,0.68,160.96,方土昶,2025,0.0,223.81,62.85,-271.43,N/A,N/A,52.9000015259,6265.TWO,-11.25
🚀 利潤擴張,2025-12,130.37,✅ 穩健價值,9.52,13.74,160.61999999999998,高技,2025,13.271285763529818,291.45,130.83,280.8,N/A,N/A,385.0,5439.TWO,435.15
🧐 疑業外收益,2025-12,-54.34,⚪ 數據不足,-0.13,-0.09,159.73000000000002,森寶,2025,0.0,89.89,-69.84,23.53,3.61%,10.14%,21.8500003815,3489.TWO,-4.95
🧐 疑業外收益,2025-12,-1.22,💎 強力關注,2.61,1.81,157.18,東台,2025,5.667134617148876,150.56,-6.62,271.05,-21.47%,7.66%,40.3499984741,4526.TW,106.8
🚀 利潤擴張,2025-12,18.28,💎 強力關注,2.19,1.86,153.81,新鉅科,2025,4.456342543179572,173.02,19.21,219.44,-22.27%,4.18%,27.0499992371,3630.TWO,91.05
🧐 疑業外收益,2025-12,-15.66,💎 強力關注,3.24,1.57,152.56,安格,2025,3.806324231296442,137.2,-15.36,203.85,N/A,N/A,48.1500015259,6684.TWO,189.75000000000003
🧐 疑業外收益,2025-12,-95.44,⚪ 數據不足,-0.24,-0.55,152.03,台新藥,2025,0.0,58.65,-93.38,77.78,N/A,N/A,25.6499996185,6838.TW,-13.5
🔄 轉虧為盈,2025-12,-79.84,⚪ 數據不足,-0.22,0.06,147.76,太景*-KY,2025,0.0,220.0,72.24,-1000.0,81.17%,98.33%,9.220000267,4157.TWO,-5.8500000000000005
🔄 轉虧為盈,2025-12,-4.86,⚠️ 追價風險,-0.1,0.13,145.65,海灣,2025,115.312504768125,141.94,-3.71,54.55,22.84%,43.11%,18.4500007629,3252.TWO,2.4
🚀 利潤擴張,2025-12,89.71,⚪ 中性觀察,1.25,1.7,143.77999999999997,精確,2025,19.463087248322143,209.26,65.48,292.31,1.68%,11.59%,87.0,3162.TWO,67.05000000000001
🧐 疑業外收益,2025-12,-8.66,💎 強力關注,2.56,2.71,142.39000000000001,TPK-KY,2025,11.134453781512606,133.62,-8.77,55.15,-0.68%,5.83%,79.5,3673.TW,107.1
🧐 疑業外收益,2025-12,-18.24,⚠️ 追價風險,0.05,0.08,140.19,中湛,2025,74.07407407407408,119.51,-20.68,111.11,N/A,N/A,20.0,6236.TWO,4.050000000000001
🚀 利潤擴張,2025-12,48.16,⚠️ 追價風險,0.05,0.25,138.32,天擎,2025,94.65116456488373,180.65,42.33,119.23,N/A,N/A,40.7000007629,6708.TWO,6.449999999999999
🧐 疑業外收益,2025-12,-19.06,⚠️ 追價風險,2.99,0.17,137.15,立凱-KY,2025,40.47619047619045,104.91,-32.24,199.67,N/A,N/A,25.5,5227.TWO,9.450000000000005
🔄 轉虧為盈,2025-12,14.7,⚠️ 追價風險,-0.32,0.71,135.37,點序,2025,92.46031746031746,152.21,16.84,70.64,N/A,N/A,116.5,6485.TWO,18.9
🔄 轉虧為盈,2025-12,32.43,⚪ 數據不足,-1.45,2.13,134.79,南亞科,2025,0.0,229.88,95.09,-28.32,39.15%,49.05%,296.0,2408.TW,-28.5
🚀 利潤擴張,2025-12,55.41,💎 強力關注,3.61,7.11,133.87,鑫聯大投控,2025,6.583941383080291,178.19,44.32,167.46,5.14%,8.09%,90.1999969482,3709.TWO,205.50000000000003
🧐 疑業外收益,2025-12,-68.41,⚪ 數據不足,-0.81,-1.11,131.46,德晉,2025,0.0,58.98,-72.48,65.77,-223.66%,-8.98%,32.9500007629,3466.TWO,-57.45
🏰 高護城河,2026-03,82.29,⚠️ 追價風險,4.66,3.44,130.47000000000003,聯亞,2025,239.75409836065575,645.65,515.18,884.75,41.27%,54.76%,2925.0,3081.TWO,183.0
🧐 疑業外收益,2025-12,-81.44,⚪ 數據不足,-0.67,-0.95,129.82,太極,2025,0.0,54.11,-75.71,16.25,-456.27%,-156.07%,17.8500003815,4934.TW,-35.85
🧐 疑業外收益,2025-12,-19.69,💎 強力關注,2.72,3.56,127.97999999999999,榮運,2025,5.5811277330264675,108.46,-19.52,139.38,6.32%,18.52%,48.5,2607.TW,130.35
🚀 利潤擴張,2025-12,12.38,⚠️ 追價風險,3.03,8.61,126.62,青雲,2025,35.68627450980392,159.21,32.59,103.38,N/A,N/A,546.0,5386.TWO,229.49999999999997
🚀 利潤擴張,2025-12,13.11,💎 強力關注,2.46,3.76,126.13000000000001,美好證,2025,7.268623197042889,161.27,35.14,128.3,N/A,N/A,32.2000007629,6021.TWO,66.44999999999999
🚀 利潤擴張,2025-12,30.74,⚪ 數據不足,0.47,0.74,126.13,曜越,2025,0.0,155.22,29.09,147.47,-3.44%,27.46%,0.0,3540.TWO,0.0
🚀 利潤擴張,2025-12,62.88,💎 強力關注,2.05,2.55,125.85999999999999,山林水,2025,5.9601709140682795,177.17,51.31,130.34,N/A,N/A,41.9000015259,8473.TW,105.44999999999999
🧐 疑業外收益,2025-12,-13.87,⚠️ 追價風險,1.57,4.0,125.67999999999999,穩懋,2025,116.77419354838709,120.99,-4.69,-40.53,13.87%,31.80%,543.0,3105.TWO,69.75
🚀 利潤擴張,2025-12,28.81,💎 強力關注,0.66,0.92,122.4,安鈦克,2025,9.329896776116838,142.59,20.19,128.33,N/A,N/A,27.1499996185,6276.TWO,43.650000000000006
🚀 利潤擴張,2025-12,2.64,⚠️ 追價風險,0.04,0.19,119.85,瑞利,2025,27.8799991608,127.94,8.09,111.76,-3.62%,28.43%,6.9699997902,1512.TW,3.75
🚀 利潤擴張,2025-12,217.33,💎 強力關注,1.04,1.86,117.96000000000001,綠意,2025,6.077777862555555,177.61,59.65,425.0,26.41%,32.97%,27.3500003815,2596.TWO,67.5
🚀 利潤擴張,2025-12,34.06,⚠️ 追價風險,0.2,0.12,116.91,泰霖,2025,40.07246321521739,139.29,22.38,190.91,N/A,N/A,27.6499996185,8080.TWO,10.350000000000001
🔄 轉虧為盈,2025-12,8.77,⚠️ 追價風險,-0.02,0.19,114.62,氣立,2025,1330.0000190724998,122.09,7.47,97.22,2.93%,31.93%,53.2000007629,4555.TW,0.6000000000000001
🧐 疑業外收益,2025-12,-92.7,⚪ 數據不足,-0.12,-0.23,113.42999999999999,瑞築,2025,0.0,23.33,-90.1,55.56,N/A,N/A,21.5,6198.TWO,-7.5
🧐 疑業外收益,2025-12,-60.26,⚠️ 追價風險,0.23,0.88,113.31,中美實,2025,27.714285169428557,51.72,-61.59,-14.81,-88.29%,35.38%,9.6999998093,4702.TWO,5.250000000000002
🚀 利潤擴張,2025-12,22.8,💎 強力關注,10.08,23.18,112.57,威剛,2025,10.324296934380543,144.7,32.13,19.56,35.36%,48.37%,407.5,3260.TWO,592.05
🧐 疑業外收益,2025-12,-15.81,⚪ 數據不足,-0.41,-0.18,109.96,千興,2025,0.0,87.32,-22.64,28.07,14.50%,-19.82%,12.5,2025.TW,-17.700000000000003
🧐 疑業外收益,2025-12,-7.04,⚪ 數據不足,0.02,0.02,109.10000000000001,大拓-KY,2025,0.0,102.7,-6.4,104.35,N/A,N/A,41.0499992371,8455.TWO,-4.95
🔄 轉虧為盈,2025-12,17.8,⚪ 數據不足,-0.37,0.54,108.56,佳龍,2025,0.0,134.62,26.06,50.67,N/A,N/A,28.1499996185,9955.TW,-5.399999999999999
🚀 利潤擴張,2025-12,-15.55,✅ 穩健價值,3.47,13.06,107.85000000000001,十銓,2025,14.55764075067024,110.31,2.46,-46.86,N/A,N/A,271.5,4967.TW,279.75000000000006
🧐 疑業外收益,2025-12,-51.54,⚪ 數據不足,-0.62,-0.92,106.5,創業家,2025,0.0,53.77,-52.73,80.0,N/A,N/A,17.2000007629,8477.TWO,-38.4
🚀 利潤擴張,2025-12,7.39,💎 強力關注,1.91,2.83,106.29,國建,2025,3.4658186386486487,108.09,1.8,127.38,17.13%,26.51%,21.7999992371,2501.TW,94.35
🔄 轉虧為盈,2025-12,5.09,⚪ 數據不足,-0.75,0.86,104.65,威潤,2025,0.0,168.25,63.6,29.25,N/A,N/A,51.2999992371,6465.TWO,-14.549999999999999
🚀 利潤擴張,2025-12,34.74,⚠️ 追價風險,1.5,6.33,103.75999999999999,凌航,2025,24.427917620137304,143.64,39.88,-29.03,16.62%,19.12%,213.5,3135.TW,131.09999999999997
🚀 利潤擴張,2025-12,77.79,✅ 穩健價值,1.55,2.63,102.95,撼訊,2025,12.932331400714288,164.15,61.2,156.36,N/A,N/A,68.8000030518,6150.TWO,79.8
🚀 利潤擴張,2025-12,32.51,⚠️ 追價風險,0.09,0.43,101.99,麗臺,2025,67.34374761578124,107.41,5.42,102.43,2.26%,10.44%,86.1999969482,2465.TW,19.2
🚀 利潤擴張,2025-12,2.58,⚠️ 追價風險,0.34,0.54,98.16,誠品生活,2025,28.385826170944885,100.0,1.84,241.67,-1.48%,40.82%,36.0499992371,2926.TWO,19.05
🚀 利潤擴張,2025-12,28.08,💎 強力關注,1.32,2.32,97.42,錩泰,2025,4.611872320296804,118.87,21.45,41.94,7.07%,19.55%,20.2000007629,1541.TW,65.7
🚀 利潤擴張,2025-12,9.38,💎 強力關注,0.47,0.72,96.7,虹光,2025,3.0154638683505155,110.31,13.61,133.57,0.24%,24.41%,5.8499999046,2380.TW,29.099999999999998
🚀 利潤擴張,2025-12,54.63,⚪ 數據不足,0.09,1.65,96.47999999999999,IET-KY,2025,0.0,146.97,50.49,103.17,N/A,N/A,745.0,4971.TWO,-7.0500000000000025
🚀 利潤擴張,2025-12,7.31,⚪ 數據不足,0.34,0.16,96.02000000000001,雙喜,2025,0.0,104.43,8.41,116.43,N/A,N/A,10.25,5516.TWO,-7.35
🚀 利潤擴張,2025-12,49.52,⚠️ 追價風險,0.37,0.16,95.32,上詮,2025,1191.5492957746478,134.04,38.72,317.65,-9.15%,12.43%,846.0,3363.TWO,10.65
🚀 利潤擴張,2025-12,94.38,⚠️ 追價風險,10.13,16.13,95.30000000000001,竹陞科技,2025,39.06024791006054,191.99,96.69,167.2,N/A,N/A,1355.0,6739.TWO,520.3499999999999
🚀 利潤擴張,2025-12,15.42,⚠️ 追價風險,0.13,0.1,94.49000000000001,廣運,2025,210.96774685774193,118.18,23.69,123.21,N/A,N/A,65.4000015259,6125.TWO,4.65
🚀 利潤擴張,2025-12,5.19,💎 強力關注,4.47,4.67,94.30000000000001,歐買尬,2025,6.431262057608286,100.43,6.13,151.12,12.64%,39.69%,68.3000030518,3687.TWO,159.3
🏰 高護城河,2025-12,4.56,⚪ 數據不足,0.05,0.04,92.73,大將,2025,0.0,100.0,7.27,-58.33,-2853.40%,912.85%,11.3000001907,1453.TW,-2.1
