        股號                         名稱      收盤價        狀態                                  原因
   6525.TW                      捷敏-KY    80.50      均線糾纏      MA5/10/20 乖離率僅 0.43%，移動平均線高度重合
  6877.TWO                        鏵友益   113.50      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
   1802.TW                         台玻    53.90      進入盤整    ADX 指標為 15.28 (低於 20)，市場目前缺乏推升動能
   9938.TW                         百和    46.65      均線糾纏      MA5/10/20 乖離率僅 1.16%，移動平均線高度重合
  4442.TWO                      竣邦-KY    62.40      均線糾纏      MA5/10/20 乖離率僅 1.21%，移動平均線高度重合
 00635U.TW                   期元大S&P黃金    49.42      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2408.TW                        南亞科   211.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2504.TW                         國產    35.90      均線糾纏      MA5/10/20 乖離率僅 1.02%，移動平均線高度重合
   5546.TW                      永固-KY    16.45      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3086.TWO                         華義   295.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2395.TW                         研華   331.00      均線糾纏      MA5/10/20 乖離率僅 1.43%，移動平均線高度重合
   3050.TW                         鈺德    13.25      均線糾纏      MA5/10/20 乖離率僅 1.20%，移動平均線高度重合
00984B.TWO                  大華優利美A債15    16.49      均線糾纏      MA5/10/20 乖離率僅 0.19%，移動平均線高度重合
   6176.TW                         瑞儀    93.50      均線糾纏      MA5/10/20 乖離率僅 1.45%，移動平均線高度重合
  6811.TWO                      宏�硌穈T   186.00      均線糾纏      MA5/10/20 乖離率僅 1.15%，移動平均線高度重合
  9949.TWO                         琉園    32.35      進入盤整    ADX 指標為 17.19 (低於 20)，市場目前缺乏推升動能
  4510.TWO                         高鋒    44.05      均線糾纏      MA5/10/20 乖離率僅 0.64%，移動平均線高度重合
  6194.TWO                         育富    32.55      均線糾纏      MA5/10/20 乖離率僅 0.86%，移動平均線高度重合
  6124.TWO                         業強    29.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00757.TW                    統一FANG+   105.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2101.TW                         南港    35.95      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00945B.TW                   凱基美國非投等債    14.53      均線糾纏      MA5/10/20 乖離率僅 0.03%，移動平均線高度重合
  4556.TWO                         旭然    27.00      均線糾纏      MA5/10/20 乖離率僅 1.44%，移動平均線高度重合
   1612.TW                         宏泰    34.75      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
  6624.TWO                        萬年清    58.40      均線糾纏      MA5/10/20 乖離率僅 0.06%，移動平均線高度重合
  3081.TWO                         聯亞  1730.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00685L.TW                   群益臺灣加權正2   164.20      均線糾纏      MA5/10/20 乖離率僅 1.18%，移動平均線高度重合
   6446.TW                        藥華藥   635.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
 009813.TW                  貝萊德標普卓越50     9.91      均線糾纏      MA5/10/20 乖離率僅 0.94%，移動平均線高度重合
  6485.TWO                         點序    80.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5403.TWO                         中菲    98.30      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
00981D.TWO                   主動中信非投等債    10.34      均線糾纏      MA5/10/20 乖離率僅 0.08%，移動平均線高度重合
  5455.TWO                         昇益    23.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2374.TW                         佳能    67.90      均線糾纏      MA5/10/20 乖離率僅 0.60%，移動平均線高度重合
  6113.TWO                         亞矽    20.45      進入盤整    ADX 指標為 17.30 (低於 20)，市場目前缺乏推升動能
   1443.TW                       立益物流    23.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2025.TW                         千興    11.40      均線糾纏      MA5/10/20 乖離率僅 1.40%，移動平均線高度重合
   6141.TW                         柏承    20.90      進入盤整    ADX 指標為 19.55 (低於 20)，市場目前缺乏推升動能
   5243.TW                      乙盛-KY    88.90      進入盤整    ADX 指標為 10.43 (低於 20)，市場目前缺乏推升動能
   2303.TW                         聯電    57.40      均線糾纏      MA5/10/20 乖離率僅 1.40%，移動平均線高度重合
  3372.TWO                         典範    19.00      進入盤整    ADX 指標為 15.90 (低於 20)，市場目前缺乏推升動能
   4968.TW                         立積   105.00      均線糾纏      MA5/10/20 乖離率僅 0.65%，移動平均線高度重合
  8433.TWO                         弘帆    63.50      進入盤整    ADX 指標為 15.55 (低於 20)，市場目前缺乏推升動能
 00991A.TW                   主動復華未來50    12.54      均線糾纏      MA5/10/20 乖離率僅 0.73%，移動平均線高度重合
   2402.TW                         毅嘉    51.60      均線糾纏      MA5/10/20 乖離率僅 0.48%，移動平均線高度重合
   2351.TW                         順德   103.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2420.TW                         新巨    51.30      均線糾纏      MA5/10/20 乖離率僅 0.40%，移動平均線高度重合
 911622.TW                     泰聚亨-DR     3.97      均線糾纏      MA5/10/20 乖離率僅 0.16%，移動平均線高度重合
  7743.TWO                       金利食安    20.25      均線糾纏      MA5/10/20 乖離率僅 0.38%，移動平均線高度重合
  3499.TWO                        環天科    18.30      均線糾纏      MA5/10/20 乖離率僅 1.14%，移動平均線高度重合
  6223.TWO                         旺矽  3950.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6261.TWO                         久元    74.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  7583.TWO                       國際海洋    70.00      均線糾纏      MA5/10/20 乖離率僅 0.91%，移動平均線高度重合
   6658.TW                         聯策    73.90      進入盤整    ADX 指標為 10.18 (低於 20)，市場目前缺乏推升動能
   2497.TW                        怡利電    50.20 離開盤整 (向上)     收盤價 50.20 強勢突破布林上軌 (48.37)，趨勢轉強
   2059.TW                         川湖  3455.00      均線糾纏      MA5/10/20 乖離率僅 1.38%，移動平均線高度重合
  6913.TWO                         鴻呈   106.50      均線糾纏      MA5/10/20 乖離率僅 0.91%，移動平均線高度重合
00749B.TWO                   凱基新興債10+    31.89      均線糾纏      MA5/10/20 乖離率僅 0.42%，移動平均線高度重合
   3030.TW                         德律   256.50      均線糾纏      MA5/10/20 乖離率僅 0.84%，移動平均線高度重合
   1786.TW                         科妍    59.40      均線糾纏      MA5/10/20 乖離率僅 1.50%，移動平均線高度重合
   9802.TW                      鈺齊-KY    78.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3219.TWO                        倚強科    64.10      均線糾纏      MA5/10/20 乖離率僅 1.43%，移動平均線高度重合
  00918.TW                  大華優利高填息30    22.05      均線糾纏      MA5/10/20 乖離率僅 0.67%，移動平均線高度重合
   3022.TW                        威強電    61.40      均線糾纏      MA5/10/20 乖離率僅 1.28%，移動平均線高度重合
   5906.TW                      台南-KY    47.00      均線糾纏      MA5/10/20 乖離率僅 0.97%，移動平均線高度重合
  4167.TWO                        松瑞藥    21.35      均線糾纏      MA5/10/20 乖離率僅 0.88%，移動平均線高度重合
 00641R.TW                     富邦日本反1     4.18      均線糾纏      MA5/10/20 乖離率僅 0.31%，移動平均線高度重合
  2743.TWO                         山富    74.00      均線糾纏      MA5/10/20 乖離率僅 0.13%，移動平均線高度重合
  6617.TWO                      共信-KY    67.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2412.TW                        中華電   134.00      均線糾纏      MA5/10/20 乖離率僅 0.43%，移動平均線高度重合
   2428.TW                         興勤   155.50      均線糾纏      MA5/10/20 乖離率僅 1.39%，移動平均線高度重合
   4536.TW                         拓凱   151.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2901.TW                         欣欣    23.35      均線糾纏      MA5/10/20 乖離率僅 0.16%，移動平均線高度重合
  4554.TWO                         橙的    29.05      進入盤整     ADX 指標為 9.91 (低於 20)，市場目前缺乏推升動能
  6173.TWO                        信昌電    59.60      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
  3224.TWO                         三顧    41.40      均線糾纏      MA5/10/20 乖離率僅 1.45%，移動平均線高度重合
   3231.TW                         緯創   127.00      均線糾纏      MA5/10/20 乖離率僅 1.09%，移動平均線高度重合
  8930.TWO                         青鋼    29.80      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
   2464.TW                         盟立    68.10      均線糾纏      MA5/10/20 乖離率僅 1.17%，移動平均線高度重合
   2248.TW                      華勝-KY    48.65      均線糾纏      MA5/10/20 乖離率僅 0.29%，移動平均線高度重合
   2884.TW                        玉山金    32.30      均線糾纏      MA5/10/20 乖離率僅 0.76%，移動平均線高度重合
   2007.TW                         燁興     8.10      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
  5355.TWO                         佳總     6.57      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1725.TW                         元禎    29.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6116.TW                         彩晶     8.25      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2453.TW                         凌群    52.90      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
  6735.TWO                       美達科技    56.80      均線糾纏      MA5/10/20 乖離率僅 0.67%，移動平均線高度重合
  3609.TWO                       三一東林    27.60      均線糾纏      MA5/10/20 乖離率僅 1.39%，移動平均線高度重合
  8923.TWO                         時報    19.95      均線糾纏      MA5/10/20 乖離率僅 0.17%，移動平均線高度重合
  8068.TWO                         全達    20.75      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
   9958.TW                        世紀鋼   112.50 離開盤整 (向下)     收盤價 112.50 跌破布林下軌 (112.71)，趨勢轉弱
  1586.TWO                         和勤    22.65      均線糾纏      MA5/10/20 乖離率僅 0.81%，移動平均線高度重合
  8932.TWO                        智通*    82.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1709.TW                         和益    18.10      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
  8908.TWO                         欣雄    40.50      均線糾纏      MA5/10/20 乖離率僅 0.79%，移動平均線高度重合
  6597.TWO                         立誠    60.40      均線糾纏      MA5/10/20 乖離率僅 0.42%，移動平均線高度重合
  5276.TWO                      達輝-KY    15.10      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
  1584.TWO                         精剛    22.00      均線糾纏      MA5/10/20 乖離率僅 1.20%，移動平均線高度重合
   2885.TW                        元大金    47.10      均線糾纏      MA5/10/20 乖離率僅 0.65%，移動平均線高度重合
  8472.TWO                        夠麻吉    79.30      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3306.TWO                         鼎天    46.80      均線糾纏      MA5/10/20 乖離率僅 0.84%，移動平均線高度重合
   2929.TW                      淘帝-KY     6.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6645.TW                      金萬林-創    13.65      趨勢運行                    股價具備方向性，未達盤整過濾標準
  7792.TWO                         安葆   312.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00881.TW                   國泰台灣科技龍頭    36.86      均線糾纏      MA5/10/20 乖離率僅 0.19%，移動平均線高度重合
   1717.TW                         長興    60.00      均線糾纏      MA5/10/20 乖離率僅 1.13%，移動平均線高度重合
  6127.TWO                         九豪    43.50      進入盤整    ADX 指標為 11.46 (低於 20)，市場目前缺乏推升動能
  7556.TWO                        意德士   171.00      均線糾纏      MA5/10/20 乖離率僅 0.66%，移動平均線高度重合
   4763.TW                     材料*-KY    42.90      均線糾纏      MA5/10/20 乖離率僅 0.85%，移動平均線高度重合
   2535.TW                        達欣工    70.90      均線糾纏      MA5/10/20 乖離率僅 0.50%，移動平均線高度重合
   2013.TW                        中鋼構    44.05      均線糾纏      MA5/10/20 乖離率僅 0.37%，移動平均線高度重合
   1714.TW                         和桐     9.70      均線糾纏      MA5/10/20 乖離率僅 0.29%，移動平均線高度重合
   1808.TW                         潤隆    30.85      均線糾纏      MA5/10/20 乖離率僅 0.33%，移動平均線高度重合
  3709.TWO                      鑫聯大投控    65.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2352.TW                        佳世達    23.30      均線糾纏      MA5/10/20 乖離率僅 0.71%，移動平均線高度重合
   1568.TW                         倉佑    22.55      均線糾纏      MA5/10/20 乖離率僅 0.61%，移動平均線高度重合
  6129.TWO                         普誠    14.90      均線糾纏      MA5/10/20 乖離率僅 1.32%，移動平均線高度重合
  5475.TWO                         德宏   224.50      進入盤整    ADX 指標為 12.51 (低於 20)，市場目前缺乏推升動能
  5289.TWO                         宜鼎   931.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5514.TWO                         三豐    16.20      均線糾纏      MA5/10/20 乖離率僅 0.22%，移動平均線高度重合
  3587.TWO                         閎康   227.00      進入盤整    ADX 指標為 15.53 (低於 20)，市場目前缺乏推升動能
   2020.TW                         美亞    24.95      均線糾纏      MA5/10/20 乖離率僅 0.45%，移動平均線高度重合
  6532.TWO                         瑞耘    75.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00927.TW                    群益半導體收益    24.20      均線糾纏      MA5/10/20 乖離率僅 0.52%，移動平均線高度重合
00950B.TWO                    凱基A級公司債    14.22      均線糾纏      MA5/10/20 乖離率僅 0.10%，移動平均線高度重合
  3685.TWO                       元創精密    29.75      進入盤整    ADX 指標為 16.79 (低於 20)，市場目前缺乏推升動能
  4529.TWO                         淳紳     3.13      均線糾纏      MA5/10/20 乖離率僅 1.28%，移動平均線高度重合
  3523.TWO                         迎輝    14.20      進入盤整    ADX 指標為 14.26 (低於 20)，市場目前缺乏推升動能
  4908.TWO                         前鼎   101.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3029.TW                         零壹    95.90      進入盤整    ADX 指標為 18.49 (低於 20)，市場目前缺乏推升動能
   7769.TW                         鴻勁  3855.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   4958.TW                      臻鼎-KY   219.50      進入盤整    ADX 指標為 13.33 (低於 20)，市場目前缺乏推升動能
  6245.TWO                         立端    69.60      均線糾纏      MA5/10/20 乖離率僅 1.46%，移動平均線高度重合
   3447.TW                         展達    38.70      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
   3583.TW                         辛耘   465.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00940.TW                   元大台灣價值高息     9.58      均線糾纏      MA5/10/20 乖離率僅 0.31%，移動平均線高度重合
   3706.TW                         神達    76.40      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5009.TWO                         榮剛    32.60      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
  5278.TWO                        尚凡*    24.80      均線糾纏      MA5/10/20 乖離率僅 1.25%，移動平均線高度重合
   3054.TW                        立萬利    74.30      進入盤整     ADX 指標為 9.36 (低於 20)，市場目前缺乏推升動能
   6908.TW                    宏�砦C戲-創    41.05      資料不足                   缺少 MA5/10/20 指標數據
   2031.TW                        新光鋼    39.90      均線糾纏      MA5/10/20 乖離率僅 0.69%，移動平均線高度重合
  3317.TWO                        尼克森    50.40      進入盤整     ADX 指標為 9.55 (低於 20)，市場目前缺乏推升動能
  4416.TWO                         三圓    13.75      進入盤整    ADX 指標為 14.73 (低於 20)，市場目前缺乏推升動能
  4905.TWO                        台聯電    80.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8155.TWO                         博智   244.50      進入盤整    ADX 指標為 19.42 (低於 20)，市場目前缺乏推升動能
  6741.TWO                  91APP*-KY    62.00      均線糾纏      MA5/10/20 乖離率僅 0.16%，移動平均線高度重合
   1319.TW                         東陽    82.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6925.TWO                         意藍    74.30      均線糾纏      MA5/10/20 乖離率僅 1.26%，移動平均線高度重合
   6285.TW                        啟��   178.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4744.TWO                         皇將    37.40      進入盤整    ADX 指標為 11.20 (低於 20)，市場目前缺乏推升動能
 00642U.TW                   期元大S&P石油    27.72      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6994.TW                       富威電力    72.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3576.TW                       聯合再生    21.30      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
   8112.TW                         至上    76.60      進入盤整    ADX 指標為 13.88 (低於 20)，市場目前缺乏推升動能
 00633L.TW                     富邦上証正2    46.78      均線糾纏      MA5/10/20 乖離率僅 0.40%，移動平均線高度重合
  4121.TWO                         優盛    16.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
00773B.TWO                    中信優先金融債    36.11      均線糾纏      MA5/10/20 乖離率僅 0.28%，移動平均線高度重合
  8042.TWO                        金山電    54.10      均線糾纏      MA5/10/20 乖離率僅 0.42%，移動平均線高度重合
 020012.TW                    富邦行動通訊N    17.72      資料不足                   缺少 MA5/10/20 指標數據
   1535.TW                         中宇    53.00      均線糾纏      MA5/10/20 乖離率僅 0.64%，移動平均線高度重合
  6642.TWO                         富致    53.80      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
  4402.TWO                       郡都開發    17.45      均線糾纏      MA5/10/20 乖離率僅 1.27%，移動平均線高度重合
  00885.TW                       富邦越南    17.57      均線糾纏      MA5/10/20 乖離率僅 1.00%，移動平均線高度重合
  8034.TWO                         榮群    23.35      進入盤整    ADX 指標為 17.12 (低於 20)，市場目前缺乏推升動能
   6589.TW                       台康生技    57.00      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
   4306.TW                         炎洲    13.70      均線糾纏      MA5/10/20 乖離率僅 0.93%，移動平均線高度重合
  4109.TWO                       加捷生醫    12.75      均線糾纏      MA5/10/20 乖離率僅 0.89%，移動平均線高度重合
   8105.TW                         凌巨    12.90      均線糾纏      MA5/10/20 乖離率僅 0.70%，移動平均線高度重合
   1721.TW                         三晃    17.35      均線糾纏      MA5/10/20 乖離率僅 0.81%，移動平均線高度重合
  8024.TWO                         佑華    12.60      均線糾纏      MA5/10/20 乖離率僅 0.30%，移動平均線高度重合
   7722.TW                    LINEPAY   306.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1434.TW                         福懋    16.65      均線糾纏      MA5/10/20 乖離率僅 0.33%，移動平均線高度重合
   6902.TW                   GOGOLOOK    74.80      均線糾纏      MA5/10/20 乖離率僅 0.81%，移動平均線高度重合
   2461.TW                        光群雷    18.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6461.TWO                         益得    18.20      進入盤整    ADX 指標為 18.65 (低於 20)，市場目前缺乏推升動能
  7805.TWO                        威聯通   690.00      進入盤整    ADX 指標為 17.80 (低於 20)，市場目前缺乏推升動能
  6961.TWO                        旅天下    56.90      均線糾纏      MA5/10/20 乖離率僅 0.70%，移動平均線高度重合
  3339.TWO                         泰谷    39.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
   8131.TW                        福懋科    61.10      均線糾纏      MA5/10/20 乖離率僅 1.18%，移動平均線高度重合
  7752.TWO                       世紀樺欣    49.00      均線糾纏      MA5/10/20 乖離率僅 1.45%，移動平均線高度重合
  6026.TWO                        福邦證    14.80      均線糾纏      MA5/10/20 乖離率僅 0.64%，移動平均線高度重合
 00637L.TW                  元大滬深300正2    19.34      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
  4538.TWO                        大詠城    18.95      均線糾纏      MA5/10/20 乖離率僅 0.16%，移動平均線高度重合
  6492.TWO                        生華科    50.30      均線糾纏      MA5/10/20 乖離率僅 1.31%，移動平均線高度重合
   6962.TW                      奕力-KY    33.30      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3323.TWO                        加百裕    33.05      均線糾纏      MA5/10/20 乖離率僅 1.00%，移動平均線高度重合
 00664R.TW                   國泰臺灣加權反1     2.29      均線糾纏      MA5/10/20 乖離率僅 0.37%，移動平均線高度重合
  8091.TWO                         翔名   157.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  2064.TWO                         晉椿    12.15      均線糾纏      MA5/10/20 乖離率僅 0.45%，移動平均線高度重合
  7810.TWO                       捷創科技   246.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2434.TW                         統懋    29.15      均線糾纏      MA5/10/20 乖離率僅 0.55%，移動平均線高度重合
   7610.TW                     聯友金屬-創   366.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
00870B.TWO                 元大15年EM主權債    28.60      均線糾纏      MA5/10/20 乖離率僅 0.47%，移動平均線高度重合
   4952.TW                         凌通    40.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1219.TW                         福壽    13.95      均線糾纏      MA5/10/20 乖離率僅 0.84%，移動平均線高度重合
   1623.TW                        大東電   181.50      均線糾纏      MA5/10/20 乖離率僅 1.26%，移動平均線高度重合
  6187.TWO                         萬潤   891.00      進入盤整    ADX 指標為 10.76 (低於 20)，市場目前缺乏推升動能
 00980A.TW                   主動野村臺灣優選    17.57      均線糾纏      MA5/10/20 乖離率僅 0.53%，移動平均線高度重合
  00929.TW                   復華台灣科技優息    19.00      均線糾纏      MA5/10/20 乖離率僅 0.60%，移動平均線高度重合
   8249.TW                         菱光    47.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
  2252.TWO                        為昇科    19.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2034.TW                         允強    20.30      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
  00947.TW                   台新臺灣IC設計    23.11      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
   2483.TW                         百容    20.85      均線糾纏      MA5/10/20 乖離率僅 0.42%，移動平均線高度重合
  3285.TWO                         微端    28.20      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
  3581.TWO                         博磊    67.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3380.TW                         明泰    36.70      均線糾纏      MA5/10/20 乖離率僅 0.71%，移動平均線高度重合
  5301.TWO                        寶得利     9.57      均線糾纏      MA5/10/20 乖離率僅 1.04%，移動平均線高度重合
  6875.TWO                        國邑*    39.00      均線糾纏      MA5/10/20 乖離率僅 1.00%，移動平均線高度重合
  5310.TWO                         天剛    26.05      均線糾纏      MA5/10/20 乖離率僅 0.90%，移動平均線高度重合
   1795.TW                         美時   214.00      進入盤整    ADX 指標為 15.66 (低於 20)，市場目前缺乏推升動能
   2406.TW                         國碩    32.50      均線糾纏      MA5/10/20 乖離率僅 0.97%，移動平均線高度重合
  4401.TWO                        東隆興    14.80      均線糾纏      MA5/10/20 乖離率僅 0.53%，移動平均線高度重合
  6147.TWO                         頎邦    76.40      進入盤整    ADX 指標為 13.29 (低於 20)，市場目前缺乏推升動能
  8032.TWO                         光菱    33.95      均線糾纏      MA5/10/20 乖離率僅 0.90%，移動平均線高度重合
  6667.TWO                        信紘科   239.50      均線糾纏      MA5/10/20 乖離率僅 1.35%，移動平均線高度重合
  6231.TWO                         系微   267.50      進入盤整    ADX 指標為 11.44 (低於 20)，市場目前缺乏推升動能
 00674R.TW                 期元大S&P黃金反1     5.28      趨勢運行                    股價具備方向性，未達盤整過濾標準
00751B.TWO                 元大AAA至A公司債    32.00      均線糾纏      MA5/10/20 乖離率僅 0.13%，移動平均線高度重合
  5015.TWO                         華祺    25.85      均線糾纏      MA5/10/20 乖離率僅 1.02%，移動平均線高度重合
   6657.TW                         華安    41.50      進入盤整    ADX 指標為 14.73 (低於 20)，市場目前缺乏推升動能
   6799.TW                         來頡    74.70      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
   6689.TW                        伊雲谷    76.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2427.TW                        三商電    23.15      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1536.TW                         和大    49.45      均線糾纏      MA5/10/20 乖離率僅 1.49%，移動平均線高度重合
   2528.TW                         皇普    24.65      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
  6716.TWO                         應廣    66.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5344.TWO                         立衛    13.65      均線糾纏      MA5/10/20 乖離率僅 1.20%，移動平均線高度重合
  3664.TWO                      安瑞-KY     9.05 離開盤整 (向下)         收盤價 9.05 跌破布林下軌 (9.91)，趨勢轉弱
   3665.TW                      貿聯-KY  1910.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3714.TW                         富采    49.30      進入盤整    ADX 指標為 15.60 (低於 20)，市場目前缺乏推升動能
  3218.TWO                        大學光   136.00      均線糾纏      MA5/10/20 乖離率僅 0.19%，移動平均線高度重合
   6698.TW                       旭暉應材    29.80      均線糾纏      MA5/10/20 乖離率僅 1.04%，移動平均線高度重合
  5228.TWO                         鈺鎧    24.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
   5880.TW                        合庫金    23.80      均線糾纏      MA5/10/20 乖離率僅 0.55%，移動平均線高度重合
   2243.TW                      宏旭-KY    22.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2349.TW                         錸德    13.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4161.TWO                        聿新科    24.35      均線糾纏      MA5/10/20 乖離率僅 0.35%，移動平均線高度重合
  5452.TWO                         佶優    33.40      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4923.TWO                         力士    34.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3591.TW                        艾笛森    20.55      進入盤整     ADX 指標為 8.92 (低於 20)，市場目前缺乏推升動能
  7734.TWO                       印能科技  2330.00 離開盤整 (向上) 收盤價 2330.00 強勢突破布林上軌 (2180.97)，趨勢轉強
   2401.TW                         凌陽    19.90      均線糾纏      MA5/10/20 乖離率僅 1.20%，移動平均線高度重合
  3259.TWO                         鑫創    17.80      進入盤整    ADX 指標為 16.86 (低於 20)，市場目前缺乏推升動能
