🚀 智能量化選股報告 - 2026-03-23
==========================================================================================

【🚀超級強勢】(數量: 61)
------------------------------------------------------------------------------------------
3663.TWO | 鑫科         | B6: 12.24% | DMA:  8.318 | 💎流入 | 🚀DMA趨勢+放量攻擊
7402.TWO | 邑錡         | B6: -5.47% | DMA:-10.170 | 💎流入 | ❄️底部反彈
3207.TWO | 耀勝         | B6: -5.61% | DMA: -2.658 | 💎流入 | ❄️底部反彈
6969.TW  | 成信實業*-創    | B6: -5.79% | DMA: -2.865 | 💸流出 | ❄️底部反彈
8213.TW  | 志超         | B6: -5.82% | DMA: -1.111 | 💸流出 | ❄️跌深轉強
8444.TWO | 綠河-KY      | B6: -6.01% | DMA: -1.272 | 💸流出 | ❄️跌深轉強
6921.TW  | 嘉雨思-創      | B6: -6.16% | DMA:  0.182 | 💸流出 | ❄️底部反彈
3528.TW  | 安馳         | B6: -6.21% | DMA: -4.336 | 💸流出 | ❄️跌深轉強
2115.TW  | 六暉-KY      | B6: -6.26% | DMA: -2.123 | 💸流出 | ❄️跌深轉強
2231.TW  | 為升         | B6: -6.34% | DMA: -8.736 | 💎流入 | ❄️底部反彈
2515.TW  | 中工         | B6: -6.39% | DMA:  0.459 | 💸流出 | ❄️跌深轉強
8932.TWO | 智通*        | B6: -6.71% | DMA: -4.979 | 💸流出 | ❄️跌深轉強
6431.TW  | 光麗-KY      | B6: -7.02% | DMA: -3.269 | 💸流出 | ❄️跌深轉強
3149.TW  | 正達         | B6: -7.15% | DMA: -2.587 | 💸流出 | ❄️跌深轉強
7719.TWO | 碳基         | B6: -7.26% | DMA: -5.184 | 💸流出 | ❄️底部反彈
6533.TW  | 晶心科        | B6: -7.40% | DMA:-34.430 | 💎流入 | ❄️底部反彈
2371.TW  | 大同         | B6: -7.49% | DMA: -3.692 | 💸流出 | ❄️跌深轉強
9921.TW  | 巨大         | B6: -7.54% | DMA:-12.846 | 💎流入 | ❄️跌深轉強
6535.TWO | 順藥         | B6: -7.60% | DMA:-22.140 | 💸流出 | ❄️跌深轉強
1536.TW  | 和大         | B6: -7.64% | DMA: -5.996 | 💎流入 | ❄️跌深轉強
1616.TW  | 億泰         | B6: -7.88% | DMA: -2.655 | 💸流出 | ❄️跌深轉強
5258.TW  | 虹堡         | B6: -7.91% | DMA: -9.903 | 💸流出 | ❄️跌深轉強
8437.TWO | 大地-KY      | B6: -8.00% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
8291.TWO | 尚茂         | B6: -8.01% | DMA: -2.140 | 💎流入 | ❄️跌深轉強
6757.TW  | 台灣虎航       | B6: -8.08% | DMA: -9.616 | 💎流入 | ❄️跌深轉強
6988.TW  | 威力暘-創      | B6: -8.09% | DMA: -1.961 | 💎流入 | ❄️跌深轉強
4438.TW  | 廣越         | B6: -8.10% | DMA: -8.292 | 💸流出 | ❄️跌深轉強
7752.TWO | 世紀樺欣       | B6: -8.17% | DMA:-10.309 | 💸流出 | ❄️跌深轉強
5278.TWO | 尚凡*        | B6: -8.30% | DMA: -3.990 | 💸流出 | ❄️底部反彈
6409.TW  | 旭隼         | B6: -8.34% | DMA:  0.000 | 💎流入 | ❄️跌深轉強
4561.TWO | 健椿         | B6: -8.44% | DMA: -4.287 | 💸流出 | ❄️跌深轉強
6461.TWO | 益得         | B6: -8.74% | DMA: -1.534 | 💸流出 | ❄️跌深轉強
3609.TWO | 三一東林       | B6: -8.84% | DMA: -5.999 | 💸流出 | ❄️跌深轉強
1319.TW  | 東陽         | B6: -8.89% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
4441.TW  | 振大環球       | B6: -9.03% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
7823.TW  | 奧義賽博-KY創   | B6: -9.04% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
8084.TWO | 巨虹         | B6: -9.10% | DMA: -7.884 | 💸流出 | ❄️跌深轉強
1435.TW  | 中福         | B6: -9.26% | DMA: -2.101 | 💸流出 | ❄️跌深轉強
8044.TWO | 網家         | B6: -9.36% | DMA: -4.148 | 💸流出 | ❄️跌深轉強
6863.TW  | 永道-KY      | B6: -9.43% | DMA:-17.412 | 💸流出 | ❄️跌深轉強
5455.TWO | 昇益         | B6: -9.58% | DMA: -3.414 | 💸流出 | ❄️跌深轉強
2072.TWO | 世紀風電       | B6: -9.68% | DMA:-25.050 | 💸流出 | ❄️跌深轉強
6180.TWO | 橘子         | B6: -9.82% | DMA: -5.868 | 💸流出 | ❄️跌深轉強
1235.TW  | 興泰         | B6: -9.92% | DMA: -4.631 | 💸流出 | ❄️底部反彈
4804.TWO | 大略-KY      | B6:-10.29% | DMA: -1.160 | 💸流出 | ❄️底部反彈
2258.TW  | 鴻華先進-創     | B6:-10.30% | DMA: -5.397 | 💸流出 | ❄️跌深轉強
6645.TW  | 金萬林-創      | B6:-10.71% | DMA: -2.633 | 💸流出 | ❄️跌深轉強
5301.TWO | 寶得利        | B6:-11.16% | DMA: -1.201 | 💸流出 | ❄️跌深轉強
6671.TW  | 三能-KY      | B6:-11.24% | DMA: -4.311 | 💸流出 | ❄️跌深轉強
6212.TWO | 理銘         | B6:-11.49% | DMA: -6.453 | 💸流出 | ❄️跌深轉強
7722.TW  | LINEPAY    | B6:-11.70% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
6176.TW  | 瑞儀         | B6:-11.87% | DMA:-20.522 | 💸流出 | ❄️跌深轉強
1522.TW  | 堤維西        | B6:-12.71% | DMA: -8.485 | 💸流出 | ❄️跌深轉強
5546.TW  | 永固-KY      | B6:-13.06% | DMA: -3.740 | 💸流出 | ❄️跌深轉強
6130.TWO | 上亞科技       | B6:-13.15% | DMA: -7.985 | 💸流出 | ❄️跌深轉強
2923.TW  | 鼎固-KY      | B6:-15.76% | DMA: -2.318 | 💸流出 | ❄️跌深轉強
6550.TW  | 北極星藥業-KY   | B6:-18.80% | DMA: -5.898 | 💸流出 | ❄️跌深轉強
3064.TWO | 泰偉         | B6:-20.97% | DMA:-11.799 | 💸流出 | ❄️跌深轉強
5521.TW  | 工信         | B6:-28.23% | DMA: -7.056 | 💸流出 | ❄️底部反彈

【📈趨勢轉折】(數量: 187)
------------------------------------------------------------------------------------------
6877.TWO | 鏵友益        | B6: 11.19% | DMA: 17.030 | 💸流出 | 📈5日穿20日(金叉)
2367.TW  | 燿華         | B6: 10.72% | DMA: 19.335 | 💸流出 | 📈5日穿20日(金叉)
4908.TWO | 前鼎         | B6: 10.53% | DMA: 18.994 | 💎流入 | 📈5日穿20日(金叉)
4989.TW  | 榮科         | B6: 10.03% | DMA: 10.624 | 💎流入 | 🔥DMA金叉(起漲)
8046.TW  | 南電         | B6:  8.88% | DMA:119.190 | 💸流出 | 🔥DMA金叉(起漲)
3701.TW  | 大眾控        | B6:  7.01% | DMA:  5.561 | 💎流入 | 🔥DMA金叉(起漲)
4991.TWO | 環宇-KY      | B6:  6.46% | DMA: 80.030 | 💎流入 | 🔥DMA金叉(起漲)
6831.TW  | 邁科         | B6:  6.29% | DMA: 39.470 | 💎流入 | 📈5日穿20日(金叉)
7734.TWO | 印能科技       | B6:  6.23% | DMA:404.580 | 💎流入 | 📈5日穿20日(金叉)
4768.TWO | 晶呈科技       | B6:  6.04% | DMA: 39.580 | 💸流出 | 🔥DMA金叉(起漲)
3105.TWO | 穩懋         | B6:  5.09% | DMA: 55.460 | 💸流出 | 📈5日穿20日(金叉)
2308.TW  | 台達電        | B6:  4.91% | DMA:174.040 | 💎流入 | 🔥DMA金叉(起漲)
1802.TW  | 台玻         | B6:  4.25% | DMA:  8.324 | 💸流出 | 📈5日穿20日(金叉)
6432.TWO | 今展科        | B6:  3.97% | DMA:  0.796 | 💸流出 | 🔥DMA金叉(起漲)
3028.TW  | 增你強        | B6:  3.87% | DMA:  6.418 | 💎流入 | 📈5日穿20日(金叉)
2855.TW  | 統一證        | B6:  3.25% | DMA:  2.386 | 💎流入 | 🔥DMA金叉(起漲)
4958.TW  | 臻鼎-KY      | B6:  3.20% | DMA: 15.370 | 💎流入 | 🔥DMA金叉(起漲)
3543.TW  | 州巧         | B6:  2.84% | DMA:  3.117 | 💸流出 | 🔥DMA金叉(起漲)
8299.TWO | 群聯         | B6:  2.66% | DMA:  2.100 | 💸流出 | 🔥DMA金叉(起漲)
1815.TWO | 富喬         | B6:  2.34% | DMA:  7.634 | 💸流出 | 📈5日穿20日(金叉)
00980A.TW | 主動野村臺灣優選   | B6:  2.18% | DMA:  1.096 | 💸流出 | 🔥DMA金叉(起漲)
4979.TWO | 華星光        | B6:  1.75% | DMA: 48.510 | 💸流出 | 📈5日穿20日(金叉)
3234.TWO | 光環         | B6:  1.73% | DMA: 19.148 | 💎流入 | 📈5日穿20日(金叉)
009805.TW | 新光美國電力基建   | B6:  1.66% | DMA:  1.069 | 💎流入 | 📈5日穿20日(金叉)
2444.TW  | 兆勁         | B6:  1.44% | DMA:  0.579 | 💸流出 | 📈5日穿20日(金叉)
2233.TW  | 宇隆         | B6:  1.43% | DMA: -3.990 | 💎流入 | 🔥DMA金叉(起漲)
3169.TWO | 亞信         | B6:  1.15% | DMA:  1.030 | 💸流出 | 🔥DMA金叉(起漲)
3003.TW  | 健和興        | B6:  1.09% | DMA:  1.403 | 💎流入 | 🔥DMA金叉(起漲)
4933.TWO | 友輝         | B6:  1.02% | DMA:  0.080 | 💸流出 | 📈5日穿20日(金叉)
8926.TW  | 台汽電        | B6:  0.93% | DMA:  2.146 | 💸流出 | 📈5日穿20日(金叉)
3221.TWO | 台嘉碩        | B6:  0.90% | DMA:  2.694 | 💸流出 | 📈5日穿20日(金叉)
3526.TWO | 凡甲         | B6:  0.86% | DMA: 21.420 | 💎流入 | 📈5日穿20日(金叉)
3691.TWO | 碩禾         | B6:  0.80% | DMA:  6.178 | 💸流出 | 📈5日穿20日(金叉)
2022.TW  | 聚亨         | B6:  0.76% | DMA:  0.274 | 💎流入 | 🔥DMA金叉(起漲)
4766.TW  | 南寶         | B6:  0.69% | DMA:  3.130 | 💎流入 | 📈5日穿20日(金叉)
3045.TW  | 台灣大        | B6:  0.61% | DMA:  0.780 | 💎流入 | 📈5日穿20日(金叉)
2420.TW  | 新巨         | B6:  0.57% | DMA:  0.153 | 💎流入 | 🔥DMA金叉(起漲)
009803.TW | 保德信市值動能50  | B6:  0.50% | DMA:  0.832 | 💸流出 | 📈5日穿20日(金叉)
5864.TWO | 致和證        | B6:  0.39% | DMA:  2.533 | 💎流入 | 📈5日穿20日(金叉)
3236.TWO | 千如         | B6:  0.24% | DMA: -1.363 | 💎流入 | 🔥DMA金叉(起漲)
3450.TW  | 聯鈞         | B6:  0.22% | DMA:  9.190 | 💎流入 | 📈5日穿20日(金叉)
1466.TW  | 聚隆         | B6:  0.21% | DMA:  1.669 | 💎流入 | 📈5日穿20日(金叉)
6282.TW  | 康舒         | B6:  0.13% | DMA: -2.071 | 💎流入 | 🔥DMA金叉(起漲)
4916.TW  | 事欣科        | B6:  0.12% | DMA: -0.810 | 💸流出 | 🔥DMA金叉(起漲)
3289.TWO | 宜特         | B6:  0.12% | DMA:  4.679 | 💎流入 | 🔥DMA金叉(起漲)
3324.TWO | 雙鴻         | B6:  0.11% | DMA: 33.180 | 💸流出 | 🔥DMA金叉(起漲)
2211.TW  | 長榮鋼        | B6:  0.08% | DMA:  0.038 | 💎流入 | 🔥DMA金叉(起漲)
4551.TW  | 智伸科        | B6:  0.02% | DMA:  1.890 | 💎流入 | 🔥DMA金叉(起漲)
2014.TW  | 中鴻         | B6:  0.01% | DMA:  0.399 | 💸流出 | 🔥DMA金叉(起漲)
6762.TWO | 達亞         | B6:  0.01% | DMA: -3.580 | 💸流出 | 📈5日穿20日(金叉)
3227.TWO | 原相         | B6: -0.02% | DMA: -6.050 | 💸流出 | 🔥DMA金叉(起漲)
4526.TW  | 東台         | B6: -0.12% | DMA: -0.897 | 💎流入 | 🔥DMA金叉(起漲)
^TWII    | Unknown    | B6: -0.28% | DMA:1140.884 | 💸流出 | 📈5日穿20日(金叉)
5234.TW  | 達興材料       | B6: -0.28% | DMA: 17.130 | 💸流出 | 📈5日穿20日(金叉)
6821.TWO | 聯寶         | B6: -0.33% | DMA: -0.257 | 💎流入 | 🔥DMA金叉(起漲)
2480.TW  | 敦陽科        | B6: -0.33% | DMA: -0.690 | 💸流出 | 🔥DMA金叉(起漲)
3504.TW  | 揚明光        | B6: -0.34% | DMA:  1.696 | 💸流出 | 📈5日穿20日(金叉)
6955.TW  | 邦睿生技-創     | B6: -0.38% | DMA:  3.374 | 💎流入 | 📈5日穿20日(金叉)
00713.TW | 元大台灣高息低波   | B6: -0.39% | DMA:  0.189 | 💸流出 | 📈5日穿20日(金叉)
00923.TW | 群益台ESG低碳50 | B6: -0.42% | DMA:  1.129 | 💸流出 | 📈5日穿20日(金叉)
6203.TWO | 海韻電        | B6: -0.50% | DMA: -1.230 | 💎流入 | 🔥DMA金叉(起漲)
6664.TWO | 群翊         | B6: -0.52% | DMA:-10.630 | 💸流出 | 🔥DMA金叉(起漲)
2105.TW  | 正新         | B6: -0.58% | DMA: -0.746 | 💎流入 | 🔥DMA金叉(起漲)
6720.TWO | 久昌         | B6: -0.65% | DMA: 14.069 | 💸流出 | 📈5日穿20日(金叉)
8068.TWO | 全達         | B6: -0.73% | DMA: -1.915 | 💎流入 | 🔥DMA金叉(起漲)
6104.TWO | 創惟         | B6: -0.76% | DMA: -2.834 | 💎流入 | 🔥DMA金叉(起漲)
4580.TWO | 捷流閥業       | B6: -0.77% | DMA: -1.002 | 💸流出 | 📈5日穿20日(金叉)
3588.TW  | 通嘉         | B6: -0.79% | DMA: -1.828 | 💸流出 | 🔥DMA金叉(起漲)
8111.TWO | 立��        | B6: -0.84% | DMA: -1.670 | 💸流出 | 🔥DMA金叉(起漲)
6274.TWO | 台燿         | B6: -0.90% | DMA:  6.580 | 💎流入 | 🔥DMA金叉(起漲)
2441.TW  | 超豐         | B6: -0.90% | DMA: -3.300 | 💸流出 | 🔥DMA金叉(起漲)
2637.TW  | 慧洋-KY      | B6: -0.91% | DMA: -0.768 | 💸流出 | 📈5日穿20日(金叉)
9105.TW  | 泰金寶-DR     | B6: -0.99% | DMA: -0.242 | 💸流出 | 🔥DMA金叉(起漲)
6218.TWO | 豪勉         | B6: -0.99% | DMA: -0.645 | 💎流入 | 🔥DMA金叉(起漲)
1773.TW  | 勝一         | B6: -1.01% | DMA: -4.220 | 💎流入 | 📈5日穿20日(金叉)
4726.TWO | 永昕         | B6: -1.07% | DMA: -1.293 | 💸流出 | 📈5日穿20日(金叉)
6270.TWO | 倍微         | B6: -1.07% | DMA: -0.768 | 💸流出 | 🔥DMA金叉(起漲)
1102.TW  | 亞泥         | B6: -1.10% | DMA: -1.146 | 💸流出 | 🔥DMA金叉(起漲)
2801.TW  | 彰銀         | B6: -1.11% | DMA: -0.010 | 💸流出 | 📈5日穿20日(金叉)
2889.TW  | 國票金        | B6: -1.11% | DMA: -0.218 | 💎流入 | 🔥DMA金叉(起漲)
8110.TW  | 華東         | B6: -1.18% | DMA: -9.718 | 💎流入 | 🔥DMA金叉(起漲)
7737.TWO | 凱鈿         | B6: -1.30% | DMA: -0.282 | 💸流出 | 🔥DMA金叉(起漲)
3444.TWO | 利機         | B6: -1.36% | DMA: -5.828 | 💸流出 | 🔥DMA金叉(起漲)
4166.TWO | 友霖         | B6: -1.39% | DMA: -1.716 | 💸流出 | 🔥DMA金叉(起漲)
3443.TW  | 創意         | B6: -1.40% | DMA:-66.600 | 💎流入 | 🔥DMA金叉(起漲)
2033.TW  | 佳大         | B6: -1.42% | DMA: -0.284 | 💸流出 | 📈5日穿20日(金叉)
2352.TW  | 佳世達        | B6: -1.52% | DMA: -0.798 | 💎流入 | 🔥DMA金叉(起漲)
6582.TW  | 申豐         | B6: -1.57% | DMA: -0.425 | 💎流入 | 🔥DMA金叉(起漲)
3661.TW  | 世芯-KY      | B6: -1.61% | DMA:-127.300 | 💎流入 | 🔥DMA金叉(起漲)
912000.TW | 晨訊科-DR     | B6: -1.62% | DMA: -0.103 | 💸流出 | 🔥DMA金叉(起漲)
00685L.TW | 群益臺灣加權正2   | B6: -1.72% | DMA:  7.380 | 💸流出 | 📈5日穿20日(金叉)
3035.TW  | 智原         | B6: -1.72% | DMA: -9.420 | 💸流出 | 🔥DMA金叉(起漲)
00955.TWO | 中信日本商社     | B6: -1.72% | DMA:  0.535 | 💸流出 | 📈5日穿20日(金叉)
5481.TWO | 新華         | B6: -1.72% | DMA: -0.945 | 💸流出 | 📈5日穿20日(金叉)
00675L.TW | 富邦臺灣加權正2   | B6: -1.79% | DMA:  7.895 | 💸流出 | 📈5日穿20日(金叉)
00631L.TW | 元大台灣50正2   | B6: -1.79% | DMA: 20.056 | 💸流出 | 📈5日穿20日(金叉)
6134.TWO | 萬旭         | B6: -1.79% | DMA:  0.150 | 💸流出 | 📈5日穿20日(金叉)
2032.TW  | 新鋼         | B6: -1.80% | DMA: -0.531 | 💸流出 | 🔥DMA金叉(起漲)
00663L.TW | 國泰臺灣加權正2   | B6: -1.81% | DMA:  2.634 | 💸流出 | 📈5日穿20日(金叉)
5880.TW  | 合庫金        | B6: -1.85% | DMA: -0.640 | 💸流出 | 📈5日穿20日(金叉)
5474.TWO | 聰泰         | B6: -1.86% | DMA:-12.080 | 💸流出 | 🔥DMA金叉(起漲)
3515.TW  | 華擎         | B6: -1.87% | DMA:-10.830 | 💸流出 | 🔥DMA金叉(起漲)
5244.TW  | 弘凱         | B6: -1.88% | DMA: -1.916 | 💎流入 | 🔥DMA金叉(起漲)
4590.TW  | 富田-創       | B6: -1.92% | DMA: -9.906 | 💎流入 | 🔥DMA金叉(起漲)
6275.TWO | 元山         | B6: -1.92% | DMA: -2.168 | 💸流出 | 🔥DMA金叉(起漲)
6143.TWO | 振曜         | B6: -2.06% | DMA: -6.840 | 💎流入 | 🔥DMA金叉(起漲)
1216.TW  | 統一         | B6: -2.14% | DMA: -2.920 | 💸流出 | 📈5日穿20日(金叉)
6472.TW  | 保瑞         | B6: -2.16% | DMA:-40.230 | 💎流入 | 🔥DMA金叉(起漲)
3712.TW  | 永崴投控       | B6: -2.16% | DMA: -1.823 | 💸流出 | 🔥DMA金叉(起漲)
6933.TW  | AMAX-KY    | B6: -2.17% | DMA: -7.830 | 💸流出 | 🔥DMA金叉(起漲)
3141.TWO | 晶宏         | B6: -2.20% | DMA: -2.637 | 💸流出 | 🔥DMA金叉(起漲)
1418.TW  | 東華         | B6: -2.21% | DMA: -0.800 | 💎流入 | 📈5日穿20日(金叉)
5608.TW  | 四維航        | B6: -2.22% | DMA: -0.630 | 💎流入 | 📈5日穿20日(金叉)
2301.TW  | 光寶科        | B6: -2.28% | DMA: -5.010 | 💸流出 | 🔥DMA金叉(起漲)
7749.TW  | 意騰-KY      | B6: -2.29% | DMA:-17.340 | 💸流出 | 🔥DMA金叉(起漲)
6284.TWO | 佳邦         | B6: -2.30% | DMA: -5.276 | 💎流入 | 🔥DMA金叉(起漲)
3631.TWO | 晟楠         | B6: -2.41% | DMA:  0.585 | 💎流入 | 📈5日穿20日(金叉)
4924.TWO | 欣厚-KY      | B6: -2.42% | DMA: -0.519 | 💎流入 | 📈5日穿20日(金叉)
2250.TW  | IKKA-KY    | B6: -2.46% | DMA: -5.562 | 💸流出 | 🔥DMA金叉(起漲)
6906.TW  | 現觀科        | B6: -2.62% | DMA: -5.468 | 💸流出 | 🔥DMA金叉(起漲)
3060.TW  | 銘異         | B6: -2.65% | DMA: -2.010 | 💎流入 | 🔥DMA金叉(起漲)
4161.TWO | 聿新科        | B6: -2.69% | DMA: -0.680 | 💸流出 | 📈5日穿20日(金叉)
6191.TW  | 精成科        | B6: -2.73% | DMA: -9.492 | 💸流出 | 🔥DMA金叉(起漲)
3002.TW  | 歐格         | B6: -2.73% | DMA: -1.714 | 💸流出 | 📈5日穿20日(金叉)
