rev_yoy,gm,om,prev_year,prev_rev_yoy,date,advice,prev_eps_yoy,name,eps,status,est_price,eps_yoy,pe,prev_eps,expansion,symbol,price
1383.79,9.25%,2.06%,2025,0.12,2026-03,⚠️ 追價風險,35.71,南亞,1.8,🚀 利潤擴張,27.900000000000006,2900.0,74.73118279569891,0.57,1516.21,1303.TW,139.0
1031.36,8.40%,-12.67%,2025,-14.09,2026-03,⚠️ 追價風險,275.0,映泰,1.48,🚀 利潤擴張,18.599999999999998,2366.67,38.74999938475808,0.15,1335.3100000000002,2399.TW,48.0499992371
974.97,14.61%,2.47%,2025,-4.5,2026-03,⚠️ 追價風險,50.0,永純,0.23,🚀 利潤擴張,7.65,2200.0,33.13725415392157,0.15,1225.03,4711.TWO,16.8999996185
142.36,41.46%,18.72%,2025,-0.24,2026-03,⚠️ 追價風險,250.0,中纖,0.17,🚀 利潤擴張,6.15,1300.0,24.048779650487802,0.09,1157.6399999999999,1718.TW,9.8599996567
120.91,69.49%,-15.39%,2025,49.68,2026-03,⚪ 中性觀察,406.67,倚強科,0.48,🏰 高護城河,67.5,1275.0,16.555555555555557,1.52,1154.09,3219.TWO,74.5
536.39,N/A,N/A,2025,9.81,2026-03,⚠️ 追價風險,-17.95,邑昇,0.17,🚀 利潤擴張,11.1,1600.0,88.2432473672973,0.31,1063.6100000000001,5291.TWO,65.3000030518
117.67,68.55%,43.45%,2025,4.27,2026-03,✅ 穩健價值,-6.25,星通,0.6,🏰 高護城河,78.44999999999999,1100.0,13.575525812619505,3.45,982.33,3025.TW,71.0
1792.89,N/A,N/A,2025,2.46,2026-03,💎 強力關注,110.31,十銓,27.0,🚀 利潤擴張,669.75,2600.0,6.237402015677492,13.06,807.1099999999999,4967.TW,278.5
280.55,24.10%,2.82%,2025,21.27,2026-03,⚠️ 追價風險,46.43,所羅門,0.78,🚀 利潤擴張,17.699999999999996,1014.29,113.55932203389833,1.23,733.74,2359.TW,134.0
496.76,-78.82%,-143.69%,2025,-40.26,2026-03,⚪ 數據不足,-566.18,中化生,1.64,🔄 轉虧為盈,-85.05,1211.11,0.0,-4.39,714.3499999999999,1762.TW,35.5
2018.02,32.33%,20.25%,2025,8.08,2026-03,⚠️ 追價風險,-51.41,晶豪科,7.22,🚀 利潤擴張,36.29999999999999,2666.67,98.14049586776862,0.87,648.6500000000001,3006.TW,237.5
510.23,17.62%,-3.37%,2025,-10.95,2026-03,⚪ 數據不足,-266.0,盟立,0.24,🔄 轉虧為盈,-26.55,1100.0,0.0,-0.84,589.77,2464.TW,172.0
1484.6,61.62%,55.59%,2025,69.84,2026-03,💎 強力關注,140.33,創見,18.93,🏰 高護城河,586.95,2067.82,7.960644007155635,12.98,583.2200000000003,2451.TW,311.5
224.53,-40.24%,-147.39%,2025,58.31,2026-03,💎 強力關注,89.09,台鋼建設,2.12,🔄 轉虧為盈,29.400000000000006,806.67,6.403061321785713,-0.07,582.14,3521.TWO,12.5500001907
1184.49,20.96%,4.39%,2025,-44.61,2026-03,✅ 穩健價值,-68.84,南港,1.86,🚀 利潤擴張,30.6,1763.64,15.906863119068625,1.01,579.1500000000001,2101.TW,32.4500007629
543.13,14.87%,-1.97%,2025,-2.21,2026-03,⚪ 數據不足,-197.14,高鋒,0.2,🔄 轉虧為盈,-36.6,1100.0,0.0,-1.02,556.87,4510.TWO,45.2999992371
688.27,28.61%,8.69%,2025,-19.66,2026-03,⚠️ 追價風險,-40.68,微端,0.26,🚀 利潤擴張,15.75,1200.0,48.76190548847619,0.7,511.73,3285.TWO,51.2000007629
43.25,N/A,N/A,2025,20.92,2026-03,⚠️ 追價風險,222.58,GOGOLOOK,1.64,🚀 利潤擴張,52.05,530.77,38.328530259366,1.58,487.52,6902.TW,133.0
335.75,N/A,N/A,2025,5.06,2026-03,⚪ 數據不足,74.6,鑫永洋,0.46,🔄 轉虧為盈,-7.499999999999999,820.0,0.0,-0.16,484.25,6241.TWO,14.3500003815
727.58,N/A,N/A,2025,-6.1,2026-03,⚠️ 追價風險,-42.59,綠電,0.22,🚀 利潤擴張,8.850000000000001,1200.0,37.711864406779654,0.31,472.41999999999996,8440.TWO,22.25
-25.82,30.54%,-0.34%,2025,-41.11,2026-03,⚪ 數據不足,-1.45,富田-創,1.21,🧐 疑業外收益,0.0,418.92,0.0,2.72,444.74,4590.TW,78.0
187.7,36.04%,11.05%,2025,11.66,2026-03,⚠️ 追價風險,-34.67,麗正,0.25,🚀 利潤擴張,17.400000000000002,600.0,40.51724137931034,0.49,412.3,2302.TW,47.0
646.87,41.86%,15.37%,2025,9.55,2026-03,⚠️ 追價風險,576.92,華邦電,2.25,🚀 利潤擴張,40.8,1037.5,80.33088235294119,0.88,390.63,2344.TW,218.5
6.45,N/A,N/A,2025,28.36,2026-03,⚪ 數據不足,5.88,宏�砦C戲-創,0.41,🚀 利潤擴張,0.0,387.5,0.0,1.44,381.05,6908.TW,38.75
359.78,N/A,N/A,2025,-15.3,2026-03,⚪ 中性觀察,-49.65,應廣,1.59,🚀 利潤擴張,81.60000000000001,715.79,18.84191176470588,2.19,356.01,6716.TWO,102.5
37.41,N/A,N/A,2025,9.95,2026-03,⚠️ 追價風險,207.35,寶碩,0.24,🚀 利潤擴張,19.499999999999996,380.0,23.07692307692308,0.73,342.59000000000003,5210.TWO,30.0
750.53,N/A,N/A,2025,25.85,2026-03,⚪ 數據不足,90.52,鈺鎧,0.99,🔄 轉虧為盈,-8.4,1090.0,0.0,-0.2,339.47,5228.TWO,75.5
179.43,N/A,N/A,2025,5.96,2026-03,💎 強力關注,1.73,亞洲藏壽司,1.42,🚀 利潤擴張,92.55,517.65,11.021069692058347,2.35,338.21999999999997,2754.TWO,68.0
237.41,42.07%,14.30%,2025,-3.75,2026-03,⚠️ 追價風險,170.59,旭然,0.13,🚀 利潤擴張,26.4,550.0,43.69318268517045,0.92,312.59000000000003,4556.TWO,76.9000015259
343.32,30.11%,7.94%,2025,-5.82,2026-03,⚪ 中性觀察,-29.63,協禧,0.15,🚀 利潤擴張,25.95,650.0,19.190751886069364,0.57,306.68,3071.TWO,33.2000007629
849.86,N/A,N/A,2025,23.29,2026-03,⚪ 中性觀察,3.78,群聯,68.8,🚀 利潤擴張,2097.2999999999997,1143.3,18.09469317694178,41.98,293.43999999999994,8299.TWO,2530.0
270.3,N/A,N/A,2025,-14.91,2026-03,⚪ 數據不足,-150.59,慧智,0.67,🔄 轉虧為盈,-2.2499999999999996,546.67,0.0,-0.43,276.36999999999995,6615.TWO,34.5
371.03,N/A,N/A,2025,0.1,2026-03,⚪ 數據不足,550.0,康舒,0.27,🚀 利潤擴張,-9.150000000000002,640.0,0.0,0.18,268.97,6282.TW,58.0999984741
186.87,N/A,N/A,2025,5.03,2026-03,⚪ 數據不足,55.83,三貝德,0.38,🔄 轉虧為盈,-20.1,445.45,0.0,-0.76,258.58,8489.TWO,22.1499996185
473.51,18.73%,8.07%,2025,0.89,2026-03,✅ 穩健價值,8050.0,事欣科,4.49,🚀 利潤擴張,120.3,701.79,12.905236907730673,1.77,228.27999999999997,4916.TW,103.5
292.4,N/A,N/A,2025,-3.15,2026-03,💎 強力關注,-66.67,銘旺實,2.97,🚀 利潤擴張,44.1,518.75,5.5272108843537415,0.88,226.35000000000002,4432.TWO,16.25
132.31,35.38%,-88.29%,2025,-61.59,2026-03,💎 強力關注,51.72,中美實,0.45,🚀 利潤擴張,14.700000000000001,350.0,10.357142467857143,0.88,217.69,4702.TWO,10.1499996185
297.67,N/A,N/A,2025,5.83,2026-03,💎 強力關注,33.97,東哥遊艇,3.8,🚀 利潤擴張,493.65000000000003,512.9,4.588271042236402,13.25,215.22999999999996,8478.TW,151.0
713.51,13.61%,8.70%,2025,3.39,2026-03,💎 強力關注,-21.15,大亞,0.66,🚀 利潤擴張,76.65,925.0,7.465753723268102,1.65,211.49,1609.TW,38.1500015259
26.54,19.34%,7.12%,2025,3.55,2026-03,⚪ 數據不足,-80.0,聯嘉投控,0.47,🚀 利潤擴張,0.0,213.33,0.0,0.08,186.79000000000002,3717.TW,22.5499992371
80.73,N/A,N/A,2025,-10.9,2026-03,⚪ 數據不足,-280.2,巨虹,0.33,🔄 轉虧為盈,-43.199999999999996,266.67,0.0,-1.82,185.94,8084.TWO,47.2000007629
542.69,30.40%,14.85%,2025,18.23,2026-03,💎 強力關注,25.64,東浦,2.65,🚀 利潤擴張,94.05,728.13,11.132376882264754,2.02,185.43999999999994,3290.TWO,69.8000030518
116.02,N/A,N/A,2025,32.98,2026-03,⚪ 數據不足,1640.0,未知,0.53,🚀 利潤擴張,0.0,276.67,0.0,1.54,160.65000000000003,4582.TWO,0.0
116.02,N/A,N/A,2025,32.98,2026-03,⚪ 數據不足,1640.0,聚恆-創,0.53,🚀 利潤擴張,0.0,276.67,0.0,1.54,160.65000000000003,4582.TW,26.5499992371
542.01,10.78%,-2.91%,2025,-2.43,2026-03,⚪ 數據不足,-219.05,鼎元,0.06,🔄 轉虧為盈,-6.6,700.0,0.0,-0.25,157.99,2426.TW,81.8000030518
108.24,56.31%,8.42%,2025,2.69,2026-03,⚪ 數據不足,54.55,圓剛,0.28,🔄 轉虧為盈,-25.049999999999997,264.29,0.0,-0.19,156.05,2417.TW,46.0999984741
214.33,N/A,N/A,2025,-4.25,2026-03,⚠️ 追價風險,-125.22,成霖,0.28,🔄 轉虧為盈,1.050000000000001,366.67,145.71428298999987,-0.29,152.34,9934.TW,10.1999998093
307.94,N/A,N/A,2025,5.8,2026-03,⚪ 中性觀察,-38.68,醫揚,1.03,🚀 利潤擴張,96.15,442.11,17.940717628705148,2.88,134.17000000000002,6569.TWO,115.0
273.28,N/A,N/A,2025,17.09,2026-03,⚠️ 追價風險,921.74,凌華,1.57,🚀 利潤擴張,85.05,406.45,27.42504409171076,2.35,133.17000000000002,6166.TW,155.5
515.18,54.76%,41.27%,2025,82.29,2026-03,⚠️ 追價風險,884.75,聯亞,3.44,🏰 高護城河,183.0,645.65,200.0,4.66,130.47000000000003,3081.TWO,2440.0
113.17,N/A,N/A,2025,-14.96,2026-03,💎 強力關注,-20.59,奇偶,2.21,🚀 利潤擴張,172.05,228.49,5.265911205396687,6.21,115.32000000000001,3356.TW,60.4000015259
268.59,N/A,N/A,2025,-4.81,2026-03,⚪ 數據不足,-84.51,美達科技,0.29,🚀 利潤擴張,-7.200000000000001,383.33,0.0,0.33,114.74000000000001,6735.TWO,94.4000015259
-21.56,102.69%,-12.62%,2025,-7.78,2026-03,⚪ 數據不足,-365.71,益航,-0.02,🏰 高護城河,-33.6,87.5,0.0,-1.63,109.06,2601.TW,5.8099999428
161.56,N/A,N/A,2025,-5.33,2026-03,⚠️ 追價風險,-45.51,暉盛-創,0.37,🚀 利潤擴張,50.699999999999996,270.0,53.40236686390533,1.73,108.44,7730.TW,180.5
67.27,N/A,N/A,2025,-16.81,2026-03,⚪ 數據不足,152.83,麗嬰房,0.66,🚀 利潤擴張,-40.05,163.46,0.0,2.15,96.19000000000001,2911.TW,8.0100002289
57.36,87.57%,12.73%,2025,-7.4,2026-03,⚠️ 追價風險,-46.91,網龍,0.3,🏰 高護城河,13.05,150.0,33.96551636448276,0.43,92.64,3083.TWO,29.5499992371
990.52,N/A,N/A,2025,14.16,2026-03,✅ 穩健價值,104.41,青松健康,0.49,🚀 利潤擴張,44.550000000000004,1080.0,13.73737348050505,1.39,89.48000000000002,6931.TW,40.7999992371
486.21,16.92%,-21.33%,2025,-18.58,2026-03,⚪ 數據不足,-169.49,宏佳騰,0.28,🔄 轉虧為盈,-24.299999999999994,575.0,0.0,-0.84,88.79000000000002,1599.TWO,23.3999996185
81.97,28.91%,-58.34%,2025,0.19,2026-03,⚪ 數據不足,17.57,中裕,0.06,🔄 轉虧為盈,-18.3,166.67,0.0,-0.61,84.69999999999999,4147.TWO,57.2000007629
102.97,33.66%,13.17%,2025,-14.02,2026-03,💎 強力關注,-51.9,昭輝,2.78,🚀 利潤擴張,97.8,186.6,6.740797663021472,2.41,83.63,1339.TW,43.9500007629
309.82,30.84%,3.76%,2025,15.32,2026-03,✅ 穩健價值,78.06,偉詮電,0.7,🚀 利潤擴張,81.9,392.86,13.443223722692307,3.02,83.04000000000002,2436.TW,73.4000015259
97.11,N/A,N/A,2025,-8.83,2026-03,⚠️ 追價風險,-50.67,威鋒電子,0.64,🚀 利潤擴張,45.449999999999996,178.26,34.15841584158416,1.11,81.14999999999999,6756.TW,103.5
62.07,89.44%,20.17%,2025,2.09,2026-03,⚪ 中性觀察,-64.44,宇峻,2.34,🏰 高護城河,77.99999999999999,136.36,16.51923106267308,1.97,74.29000000000002,3546.TWO,85.9000015259
26.64,N/A,N/A,2025,22.72,2026-03,⚪ 數據不足,96.29,奧義賽博-KY創,-0.15,🚀 利潤擴張,0.0,99.93,0.0,-1.49,73.29,7823.TW,82.0999984741
-97.71,N/A,N/A,2025,19.25,2026-03,⚪ 數據不足,-99.18,昱泉,-0.68,🌑 雙重衰退,-96.44999999999999,-25.93,0.0,-2.43,71.78,6169.TWO,15.1999998093
578.38,N/A,N/A,2025,0.63,2026-03,⚪ 數據不足,-91.14,冠好,0.3,🚀 利潤擴張,-17.549999999999997,650.0,0.0,0.14,71.62,8354.TWO,16.4500007629
315.9,25.49%,0.20%,2025,22.56,2026-03,✅ 穩健價值,-5.15,台聯電,1.75,🚀 利潤擴張,71.25,386.11,15.136842426505263,2.76,70.21000000000004,4905.TWO,71.9000015259
51.84,N/A,N/A,2025,76.4,2026-03,⚪ 數據不足,44.08,創新服務,1.02,🚀 利潤擴張,0.0,121.74,0.0,6.33,69.89999999999999,7828.TWO,2000.0
58.58,90.85%,38.94%,2025,4.6,2026-03,💎 強力關注,3.28,國票金,0.25,🏰 高護城河,22.95,127.27,9.967320261437909,0.63,68.69,2889.TW,15.25
40.15,82.18%,20.98%,2025,-4.63,2026-03,💎 強力關注,24.43,麗豐-KY,1.41,🏰 高護城河,257.1,107.35,6.359393232205368,7.13,67.19999999999999,4137.TW,109.0
110.52,54.59%,3.73%,2025,-28.72,2026-03,⚪ 數據不足,-31.03,研勤,0.06,🔄 轉虧為盈,-15.3,175.0,0.0,-0.38,64.48,3632.TWO,8.1199998856
111.03,31.44%,-45.46%,2025,-7.78,2026-03,⚪ 數據不足,-184.44,穎漢,0.11,🔄 轉虧為盈,-38.1,175.0,0.0,-1.28,63.97,4562.TW,35.25
-1.0,93.22%,-55.72%,2025,-29.69,2026-03,⚪ 數據不足,-7120.0,泰偉,-0.27,🏰 高護城河,-122.4,62.5,0.0,-3.51,63.5,3064.TWO,19.2999992371
171.79,N/A,N/A,2025,12.14,2026-03,💎 強力關注,17.33,群益證,1.34,🚀 利潤擴張,101.7,235.0,5.8480828209292035,2.64,63.21000000000001,6005.TW,39.6500015259
438.18,N/A,N/A,2025,19.69,2026-03,⚠️ 追價風險,152.25,車王電,0.84,🚀 利潤擴張,10.049999999999997,500.0,57.01492651179105,0.58,61.81999999999999,1533.TW,38.2000007629
538.23,20.98%,7.12%,2025,-4.85,2026-03,✅ 穩健價值,34.55,正隆,0.56,🚀 利潤擴張,22.5,600.0,15.400000254333333,0.74,61.76999999999998,1904.TW,23.1000003815
150.03,N/A,N/A,2025,-4.59,2026-03,✅ 穩健價值,-26.32,日揚,1.9,🚀 利潤擴張,113.85,206.45,13.043478260869566,2.52,56.41999999999999,6208.TWO,99.0
148.33,N/A,N/A,2025,-6.81,2026-03,💎 強力關注,-36.9,強生,1.46,🚀 利潤擴張,72.30000000000001,204.17,10.954356688195022,1.19,55.839999999999975,4747.TWO,52.7999992371
189.01,N/A,N/A,2025,2.65,2026-03,⚪ 數據不足,49.15,九暘,0.13,🔄 轉虧為盈,-18.45,244.44,0.0,-0.6,55.43000000000001,8040.TWO,94.8000030518
185.42,41.95%,-106.23%,2025,-6.28,2026-03,💎 強力關注,905.92,晟德,2.62,🚀 利潤擴張,273.29999999999995,239.47,2.041712445823271,12.33,54.05000000000001,4123.TWO,37.2000007629
-55.48,N/A,N/A,2025,-29.22,2026-03,⚪ 數據不足,-48.08,心誠鎂,-1.43,🌑 雙重衰退,0.0,-2.96,0.0,-3.92,52.519999999999996,6934.TW,71.3000030518
95.63,N/A,N/A,2025,6.51,2026-03,💎 強力關注,66.34,霈方,3.29,🚀 利潤擴張,252.6,147.37,6.472684085510689,6.82,51.74000000000001,6574.TWO,109.0
91.93,N/A,N/A,2025,182.72,2026-03,⚪ 數據不足,38.44,永擎,7.68,🚀 利潤擴張,0.0,139.49,0.0,13.04,47.56,7711.TW,0.0
359.48,N/A,N/A,2025,23.54,2026-03,✅ 穩健價值,-36.17,廣寰科,1.01,🚀 利潤擴張,31.8,406.06,15.825471338254717,1.5,46.579999999999984,3287.TWO,33.5499992371
66.65,N/A,N/A,2025,-17.0,2026-03,💎 強力關注,544.54,琉園,0.03,🚀 利潤擴張,146.54999999999998,112.5,2.5076765609007166,5.29,45.849999999999994,9949.TWO,24.5
15.93,N/A,N/A,2025,108.17,2026-03,💎 強力關注,31.64,漢達,0.46,🚀 利潤擴張,172.35,55.17,7.119234382228025,4.85,39.24,6620.TWO,81.8000030518
264.14,20.64%,-8.17%,2025,-40.0,2026-03,⚪ 數據不足,-93.75,威盛,0.08,🚀 利潤擴張,-30.6,300.0,0.0,0.12,35.860000000000014,2388.TW,81.4000015259
156.04,50.66%,14.95%,2025,1.24,2026-03,✅ 穩健價值,-5.7,禾瑞亞,1.19,🏰 高護城河,81.9,190.24,13.553113553113553,2.15,34.20000000000002,3556.TWO,74.0
10.24,N/A,N/A,2025,19.28,2026-03,⚪ 數據不足,91.67,神數,0.87,🚀 利潤擴張,0.0,42.62,0.0,2.99,32.379999999999995,7821.TW,43.9000015259
6.33,35.24%,30.89%,2025,15.19,2025-12,⚪ 數據不足,-17.2,未知,11.94,🚀 利潤擴張,0.0,34.92,0.0,7.56,28.590000000000003,2072.TWO,0.0
-3.86,N/A,N/A,2025,-5.58,2026-03,⚪ 數據不足,-13.21,向榮生技,-0.36,🧐 疑業外收益,-70.05,23.4,0.0,-1.89,27.259999999999998,6794.TW,79.4000015259
422.96,23.39%,1.90%,2025,2.23,2026-03,⚪ 數據不足,-197.83,南緯,0.11,🔄 轉虧為盈,-28.950000000000003,450.0,0.0,-0.45,27.04000000000002,1467.TW,7.2800002098
16.63,N/A,N/A,2025,3.08,2026-03,⚪ 數據不足,-27.83,頌勝科技,1.62,🚀 利潤擴張,0.0,42.86,0.0,3.24,26.23,7768.TW,373.0
16.63,N/A,N/A,2025,3.08,2026-03,⚪ 數據不足,-27.83,未知,1.62,🚀 利潤擴張,0.0,42.86,0.0,3.24,26.23,7768.TWO,0.0
12.42,21.29%,16.93%,2025,20.5,2026-03,⚪ 數據不足,11.37,大東電,4.33,🚀 利潤擴張,0.0,38.11,0.0,13.61,25.689999999999998,1623.TW,0.0
62.36,80.00%,33.03%,2025,6.4,2026-03,💎 強力關注,-1.08,元大金,1.08,🏰 高護城河,105.6,83.05,9.659090909090908,2.74,20.689999999999998,2885.TW,68.0
25.49,N/A,N/A,2025,0.36,2026-03,✅ 穩健價值,-66.0,中連,0.32,🚀 利潤擴張,33.45,45.45,13.946188511883408,0.85,19.960000000000004,5604.TWO,31.1000003815
451.29,N/A,N/A,2025,0.56,2026-03,💎 強力關注,-11.63,宏遠證,0.89,🚀 利潤擴張,24.599999999999998,470.83,11.189024622865853,0.76,19.539999999999964,6015.TWO,18.3500003815
26.81,N/A,N/A,2025,-8.35,2026-03,⚪ 數據不足,-134.86,力新,-0.19,🚀 利潤擴張,-30.900000000000002,45.71,0.0,-0.61,18.900000000000002,5202.TWO,15.8000001907
22.97,97.25%,45.93%,2025,4.06,2026-03,💎 強力關注,13.1,華南金,0.55,🏰 高護城河,70.8,41.03,8.1249996767161,1.9,18.060000000000002,2880.TW,38.3499984741
216.8,31.93%,8.13%,2025,13.9,2026-03,⚠️ 追價風險,35.0,博磊,0.31,🚀 利潤擴張,9.75,234.78,276.15384615384613,0.81,17.97999999999999,3581.TWO,179.5
16.1,89.95%,32.37%,2025,14.52,2026-03,💎 強力關注,28.3,高雄銀,0.2,🏰 高護城河,25.200000000000003,33.33,7.351190703273808,0.68,17.229999999999997,2836.TW,12.3500003815
316.27,N/A,N/A,2025,25.43,2026-03,⚠️ 追價風險,107.11,環宇-KY,1.67,🚀 利潤擴張,11.999999999999998,331.43,707.5000000000001,0.15,15.160000000000025,4991.TWO,566.0
-1.82,N/A,N/A,2025,10.14,2026-03,⚪ 數據不足,14.12,精誠金融,0.42,🧐 疑業外收益,0.0,10.53,0.0,2.91,12.35,7819.TWO,43.1500015259
22.04,78.38%,39.14%,2025,-12.26,2026-03,💎 強力關注,-10.99,凱基金,0.69,🏰 高護城河,57.14999999999999,34.04,8.070866141732285,1.74,12.0,2883.TW,30.75
41.94,N/A,N/A,2025,-0.97,2026-03,⚪ 數據不足,-14.12,華安,-0.53,🚀 利潤擴張,-109.2,52.29,0.0,-2.92,10.350000000000001,6657.TW,36.5999984741
19.99,100.00%,60.64%,2025,6.74,2026-03,⚠️ 追價風險,4.19,力旺,7.98,🏰 高護城河,947.7,29.13,51.756885090218425,25.6,9.14,3529.TWO,3270.0
274.7,24.77%,-4.59%,2025,-8.31,2026-03,⚪ 數據不足,-53.57,宏亞,0.23,🔄 轉虧為盈,-14.25,283.33,0.0,-0.43,8.629999999999995,1236.TW,25.7999992371
145.6,27.77%,-13.99%,2025,-15.19,2026-03,⚪ 數據不足,-827.91,岱宇,0.25,🔄 轉虧為盈,-89.10000000000001,153.49,0.0,-3.35,7.890000000000015,1598.TW,20.2000007629
48.18,N/A,N/A,2025,15.86,2026-03,✅ 穩健價值,24.93,全景軟體,0.39,🚀 利潤擴張,136.05,56.0,7.883131201764057,4.66,7.82,8272.TWO,71.5
30.02,84.77%,20.24%,2025,-2.15,2026-03,⚠️ 追價風險,-7.32,欣欣,0.11,🏰 高護城河,13.5,37.5,26.50000042388889,0.38,7.48,2901.TW,23.8500003815
-11.29,N/A,N/A,2025,-3.6,2026-03,⚪ 數據不足,14.95,未知,-0.19,🌑 雙重衰退,0.0,-5.56,0.0,-0.92,5.7299999999999995,4178.TWO,0.0
-11.29,N/A,N/A,2025,-3.6,2026-03,⚪ 數據不足,14.95,永笙-KY,-0.19,🌑 雙重衰退,0.0,-5.56,0.0,-0.92,5.7299999999999995,4178.TW,17.6499996185
109.17,N/A,N/A,2025,-3.57,2026-03,✅ 穩健價值,-38.13,詩肯,1.5,🚀 利潤擴張,63.6,114.29,6.485849056603773,0.99,5.1200000000000045,6195.TWO,27.5
12.57,83.45%,33.61%,2025,-1.77,2026-03,✅ 穩健價值,0.85,兆豐金,0.63,🏰 高護城河,91.94999999999999,16.67,7.422512234910278,2.36,4.100000000000001,2886.TW,45.5
12.87,73.82%,-7.29%,2025,13.2,2026-03,⚠️ 追價風險,41.18,聯傑,0.07,🏰 高護城河,7.35,16.67,78.06122448979592,0.25,3.8000000000000025,3094.TW,38.25
296.51,N/A,N/A,2025,-8.05,2026-03,⚪ 數據不足,-326.32,亞電,0.24,🔄 轉虧為盈,-22.2,300.0,0.0,-0.43,3.490000000000009,4939.TWO,64.9000015259
2.45,N/A,N/A,2025,8.14,2026-03,⚪ 數據不足,18.52,達人網,0.73,🚀 利潤擴張,0.0,5.8,0.0,2.56,3.3499999999999996,7839.TWO,47.2000007629
32.83,N/A,N/A,2025,15.88,2026-03,⚠️ 追價風險,-16.92,能率亞洲,-0.25,🚀 利潤擴張,12.149999999999999,35.9,52.09876637395062,0.58,3.0700000000000003,7777.TWO,42.2000007629
68.9,64.17%,2.03%,2025,12.71,2026-03,✅ 穩健價值,-27.47,米斯特,0.89,🏰 高護城河,100.35000000000001,71.15,5.381165919282511,2.35,2.25,2941.TWO,36.0
36.86,91.47%,32.72%,2025,-2.09,2026-03,✅ 穩健價值,-35.48,王道銀行,0.28,🏰 高護城河,26.1,38.89,6.0344827586206895,0.61,2.030000000000001,2897.TW,10.5
42.24,N/A,N/A,2025,1.27,2026-03,⚪ 數據不足,67.52,佐登-KY,-0.26,🚀 利潤擴張,-73.20000000000002,43.18,0.0,-1.59,0.9399999999999977,4190.TW,24.7999992371
35.11,N/A,N/A,2025,4.88,2026-03,✅ 穩健價值,40.71,精拓科,1.71,🚀 利潤擴張,210.45,35.71,7.020669992872417,5.98,0.6000000000000014,4951.TWO,98.5
17.29,94.34%,35.36%,2025,4.5,2026-03,✅ 穩健價值,8.94,聯邦銀,0.35,🏰 高護城河,45.6,17.86,7.483552631578947,1.29,0.5700000000000003,2838.TW,22.75
19.67,97.58%,59.33%,2025,19.01,2026-03,✅ 穩健價值,19.82,鈊象,11.18,🏰 高護城河,1433.8500000000001,19.96,8.295846845904382,38.51,0.28999999999999915,3293.TWO,793.0
