短線策略回測報告  (20260322)
================================================================================

=== 6831.TW (DMA:5) ===
買 2025-12-22 @261.50 | 賣 2026-01-05 @306.00 | 44.50 (17.02%)
買 2016-12-07 @15.94 | 賣 2016-12-26 @15.59 | -0.35 (-2.18%)
買 2017-02-06 @16.07 | 賣 2017-03-13 @16.59 | 0.52 (3.24%)
買 2017-04-10 @18.54 | 賣 2017-04-11 @17.94 | -0.61 (-3.28%)
買 2017-04-13 @19.11 | 賣 2017-04-14 @18.15 | -0.96 (-5.00%)
買 2017-05-22 @17.72 | 賣 2017-05-26 @17.11 | -0.61 (-3.43%)
買 2017-06-08 @17.59 | 賣 2017-06-29 @17.76 | 0.17 (0.99%)
買 2017-10-03 @21.38 | 賣 2017-10-11 @25.15 | 3.78 (17.67%)
買 2017-11-14 @34.26 | 賣 2017-11-27 @41.33 | 7.07 (20.62%)
買 2017-11-28 @41.24 | 賣 2017-12-05 @39.86 | -1.38 (-3.34%)
買 2017-12-06 @36.49 | 賣 2017-12-11 @39.46 | 2.98 (8.16%)
買 2018-01-05 @41.46 | 賣 2018-01-08 @40.00 | -1.47 (-3.54%)
買 2018-01-12 @40.84 | 賣 2018-01-30 @39.55 | -1.29 (-3.16%)
買 2018-03-23 @36.18 | 賣 2018-04-11 @37.26 | 1.08 (2.99%)
買 2018-04-19 @39.47 | 賣 2018-04-27 @38.07 | -1.40 (-3.54%)
買 2018-05-02 @40.33 | 賣 2018-05-04 @46.59 | 6.26 (15.53%)
買 2018-06-04 @62.18 | 賣 2018-06-05 @59.48 | -2.70 (-4.35%)
買 2018-06-11 @63.98 | 賣 2018-06-20 @58.58 | -5.41 (-8.45%)
買 2018-08-01 @50.29 | 賣 2018-08-02 @48.03 | -2.25 (-4.48%)
買 2018-08-08 @50.74 | 賣 2018-08-21 @48.84 | -1.89 (-3.73%)
買 2019-06-20 @27.55 | 賣 2019-07-25 @32.17 | 4.63 (16.79%)
買 2019-07-31 @30.67 | 賣 2019-08-02 @27.52 | -3.15 (-10.28%)
買 2019-08-22 @32.12 | 賣 2019-08-28 @32.74 | 0.61 (1.90%)
買 2019-08-30 @31.51 | 賣 2019-09-12 @30.85 | -0.66 (-2.09%)
買 2019-09-23 @36.50 | 賣 2019-09-27 @34.38 | -2.12 (-5.80%)
買 2019-10-04 @33.96 | 賣 2019-10-14 @34.10 | 0.14 (0.42%)
買 2019-10-21 @36.69 | 賣 2019-11-11 @33.96 | -2.73 (-7.44%)
買 2019-12-20 @33.96 | 賣 2019-12-26 @32.83 | -1.13 (-3.32%)
買 2020-01-03 @34.52 | 賣 2020-01-08 @32.74 | -1.79 (-5.18%)
買 2020-09-15 @27.73 | 賣 2020-09-22 @26.86 | -0.87 (-3.12%)
買 2020-10-19 @27.20 | 賣 2020-11-13 @31.38 | 4.18 (15.37%)
買 2020-12-07 @35.75 | 賣 2020-12-11 @33.93 | -1.83 (-5.11%)
買 2021-01-08 @35.03 | 賣 2021-01-20 @33.16 | -1.87 (-5.35%)
買 2021-02-22 @34.55 | 賣 2021-03-05 @33.50 | -1.06 (-3.06%)
買 2021-03-11 @34.41 | 賣 2021-04-09 @35.37 | 0.96 (2.79%)
買 2021-04-12 @35.90 | 賣 2021-04-22 @34.60 | -1.30 (-3.61%)
買 2022-08-26 @25.09 | 賣 2022-08-29 @24.26 | -0.83 (-3.31%)
買 2022-08-30 @25.53 | 賣 2022-09-23 @25.04 | -0.49 (-1.92%)
買 2022-10-04 @27.98 | 賣 2022-10-06 @27.00 | -0.98 (-3.50%)
買 2023-02-01 @24.31 | 賣 2023-02-10 @23.28 | -1.03 (-4.23%)
買 2023-04-19 @23.97 | 賣 2023-04-21 @22.99 | -0.98 (-4.08%)
買 2024-02-15 @21.60 | 賣 2024-02-27 @20.95 | -0.65 (-3.01%)
買 2024-07-18 @24.50 | 賣 2024-07-19 @23.50 | -1.00 (-4.08%)
買 2025-08-29 @15.40 | 賣 2025-09-01 @14.75 | -0.65 (-4.22%)
買 2025-09-19 @15.50 | 賣 2025-09-26 @14.75 | -0.75 (-4.84%)
買 2025-10-02 @15.15 | 賣 2025-10-13 @14.45 | -0.70 (-4.62%)
買 2025-10-22 @16.65 | 賣 2025-10-23 @15.90 | -0.75 (-4.50%)
買 2025-11-27 @15.75 | 賣 2025-12-11 @15.05 | -0.70 (-4.44%)
買 2026-01-19 @16.20 | 賣 2026-02-06 @15.60 | -0.60 (-3.70%)
小計: -21.94  交易次數: 55

=== 8261.TW (DMA:240) ===
買 2015-04-17 @42.21 | 賣 2015-05-18 @43.04 | 0.82 (1.95%)
買 2017-01-19 @17.76 | 賣 2017-02-02 @17.06 | -0.71 (-3.97%)
買 2017-03-20 @20.31 | 賣 2017-04-12 @19.37 | -0.94 (-4.63%)
買 2017-06-02 @19.61 | 賣 2017-06-05 @18.94 | -0.67 (-3.40%)
買 2017-06-09 @18.94 | 賣 2017-06-14 @18.04 | -0.90 (-4.76%)
買 2017-07-27 @19.61 | 賣 2017-08-10 @18.43 | -1.18 (-6.00%)
買 2017-10-12 @19.96 | 賣 2017-10-19 @22.08 | 2.12 (10.61%)
買 2017-11-09 @25.88 | 賣 2017-11-14 @25.06 | -0.82 (-3.18%)
買 2017-12-27 @25.53 | 賣 2018-01-09 @23.92 | -1.61 (-6.30%)
買 2018-01-18 @24.86 | 賣 2018-02-06 @22.12 | -2.75 (-11.04%)
買 2018-04-19 @22.71 | 賣 2018-04-24 @20.82 | -1.88 (-8.29%)
買 2018-05-11 @21.33 | 賣 2018-05-24 @25.25 | 3.92 (18.38%)
買 2018-06-26 @38.80 | 賣 2018-07-05 @37.22 | -1.58 (-4.08%)
買 2018-07-16 @43.95 | 賣 2018-07-17 @39.91 | -4.04 (-9.19%)
買 2018-07-18 @38.73 | 賣 2018-07-20 @37.14 | -1.58 (-4.09%)
買 2018-10-04 @29.38 | 賣 2018-10-05 @26.45 | -2.93 (-9.97%)
買 2018-11-27 @24.95 | 賣 2018-12-20 @23.24 | -1.70 (-6.83%)
買 2019-02-11 @24.67 | 賣 2019-03-07 @24.95 | 0.28 (1.12%)
買 2019-12-27 @24.66 | 賣 2020-01-03 @24.04 | -0.62 (-2.50%)
買 2020-05-20 @20.72 | 賣 2020-06-01 @20.64 | -0.08 (-0.40%)
買 2020-06-04 @21.29 | 賣 2020-07-06 @25.11 | 3.82 (17.92%)
買 2020-07-07 @24.25 | 賣 2020-07-10 @23.22 | -1.03 (-4.23%)
買 2020-08-06 @23.18 | 賣 2020-08-17 @24.08 | 0.90 (3.89%)
買 2020-08-24 @24.45 | 賣 2020-08-25 @23.96 | -0.49 (-2.01%)
買 2020-08-26 @25.81 | 賣 2020-08-28 @24.62 | -1.19 (-4.61%)
買 2020-09-03 @24.57 | 賣 2020-09-07 @23.84 | -0.74 (-3.01%)
買 2020-09-18 @26.85 | 賣 2020-09-22 @30.98 | 4.13 (15.40%)
買 2020-10-16 @34.57 | 賣 2020-10-30 @33.48 | -1.09 (-3.14%)
買 2020-11-12 @35.53 | 賣 2020-11-16 @34.28 | -1.25 (-3.53%)
買 2020-11-24 @35.07 | 賣 2020-12-14 @41.25 | 6.18 (17.62%)
買 2020-12-15 @37.28 | 賣 2020-12-21 @44.17 | 6.89 (18.48%)
買 2020-12-22 @42.42 | 賣 2021-01-18 @43.59 | 1.17 (2.76%)
買 2021-01-19 @44.09 | 賣 2021-01-20 @41.83 | -2.25 (-5.11%)
買 2021-02-22 @43.25 | 賣 2021-03-05 @41.50 | -1.75 (-4.05%)
買 2021-03-09 @39.83 | 賣 2021-03-10 @40.29 | 0.46 (1.15%)
買 2021-03-15 @48.43 | 賣 2021-03-17 @46.84 | -1.59 (-3.28%)
買 2021-03-25 @47.51 | 賣 2021-04-16 @58.12 | 10.60 (22.32%)
買 2021-05-04 @61.79 | 賣 2021-05-05 @58.45 | -3.34 (-5.41%)
買 2021-05-31 @57.03 | 賣 2021-06-02 @54.69 | -2.34 (-4.10%)
買 2021-06-23 @61.37 | 賣 2021-07-05 @75.23 | 13.86 (22.59%)
買 2021-07-30 @102.29 | 賣 2021-08-09 @90.18 | -12.11 (-11.84%)
買 2021-08-10 @90.18 | 賣 2021-08-11 @86.42 | -3.76 (-4.17%)
買 2021-09-01 @93.94 | 賣 2021-09-02 @88.51 | -5.43 (-5.78%)
買 2021-10-19 @77.86 | 賣 2021-11-01 @91.53 | 13.67 (17.55%)
買 2021-11-11 @91.10 | 賣 2021-11-26 @86.89 | -4.22 (-4.63%)
買 2021-12-20 @94.06 | 賣 2021-12-27 @91.10 | -2.95 (-3.14%)
買 2021-12-28 @94.48 | 賣 2022-01-07 @86.89 | -7.59 (-8.04%)
買 2022-02-10 @91.10 | 賣 2022-02-22 @86.46 | -4.64 (-5.09%)
買 2022-02-23 @88.57 | 賣 2022-02-24 @84.36 | -4.22 (-4.76%)
買 2022-03-16 @88.57 | 賣 2022-04-08 @90.68 | 2.11 (2.38%)
買 2022-06-16 @111.09 | 賣 2022-06-20 @104.87 | -6.22 (-5.60%)
買 2022-07-21 @98.65 | 賣 2022-07-26 @95.54 | -3.11 (-3.15%)
買 2022-08-18 @101.76 | 賣 2022-09-06 @96.43 | -5.33 (-5.24%)
買 2022-09-23 @99.98 | 賣 2022-09-26 @96.43 | -3.55 (-3.56%)
買 2022-09-27 @95.54 | 賣 2022-09-28 @90.65 | -4.89 (-5.12%)
買 2022-11-23 @95.10 | 賣 2022-11-30 @101.76 | 6.67 (7.01%)
買 2023-01-12 @95.10 | 賣 2023-01-16 @92.87 | -2.22 (-2.34%)
買 2023-01-30 @98.65 | 賣 2023-02-23 @97.76 | -0.89 (-0.90%)
買 2023-04-13 @100.87 | 賣 2023-04-20 @97.32 | -3.56 (-3.52%)
買 2023-12-11 @95.10 | 賣 2023-12-18 @91.74 | -3.36 (-3.53%)
買 2024-09-24 @79.64 | 賣 2024-10-08 @75.80 | -3.84 (-4.82%)
買 2025-02-06 @87.12 | 賣 2025-02-11 @88.85 | 1.73 (1.98%)
買 2025-02-27 @88.27 | 賣 2025-03-03 @85.20 | -3.07 (-3.48%)
買 2025-03-25 @87.03 | 賣 2025-03-28 @83.38 | -3.65 (-4.19%)
買 2025-06-06 @77.91 | 賣 2025-06-25 @79.93 | 2.01 (2.59%)
買 2025-06-27 @80.89 | 賣 2025-06-30 @78.10 | -2.78 (-3.44%)
買 2025-07-30 @82.40 | 賣 2025-08-04 @79.40 | -3.00 (-3.64%)
買 2025-09-01 @83.30 | 賣 2025-09-18 @96.00 | 12.70 (15.25%)
買 2025-10-01 @95.90 | 賣 2025-10-08 @92.50 | -3.40 (-3.55%)
買 2025-10-22 @101.50 | 賣 2025-10-30 @97.20 | -4.30 (-4.24%)
買 2025-10-31 @102.50 | 賣 2025-11-04 @97.50 | -5.00 (-4.88%)
買 2025-11-07 @96.70 | 賣 2025-11-11 @95.90 | -0.80 (-0.83%)
買 2025-12-24 @90.90 | 賣 2026-01-13 @88.50 | -2.40 (-2.64%)
買 2026-01-19 @94.80 | 賣 2026-02-02 @88.80 | -6.00 (-6.33%)
買 2026-02-26 @98.40 | 賣 2026-03-04 @94.60 | -3.80 (-3.86%)
買 2026-03-06 @101.00 | 賣 2026-03-09 @96.50 | -4.50 (-4.46%)
小計: -71.6  交易次數: 76

=== 6205.TW (DMA:60) ===
買 2014-06-09 @21.90 | 賣 2014-06-13 @21.19 | -0.71 (-3.24%)
買 2014-06-30 @22.92 | 賣 2014-07-02 @21.59 | -1.33 (-5.82%)
買 2014-07-21 @22.61 | 賣 2014-08-08 @21.87 | -0.74 (-3.27%)
買 2014-12-04 @19.48 | 賣 2015-03-17 @22.46 | 2.98 (15.28%)
買 2015-03-19 @22.43 | 賣 2015-03-25 @21.64 | -0.80 (-3.55%)
買 2015-10-14 @18.00 | 賣 2015-11-12 @18.45 | 0.45 (2.49%)
買 2016-03-03 @19.09 | 賣 2016-03-24 @18.64 | -0.45 (-2.35%)
買 2016-07-28 @18.71 | 賣 2016-08-12 @18.61 | -0.10 (-0.55%)
買 2016-08-19 @18.95 | 賣 2016-08-30 @21.41 | 2.46 (12.96%)
買 2016-09-09 @21.13 | 賣 2016-09-27 @21.20 | 0.07 (0.33%)
買 2016-09-29 @21.06 | 賣 2016-10-14 @20.85 | -0.21 (-0.99%)
買 2017-02-06 @20.75 | 賣 2017-02-15 @22.41 | 1.66 (8.00%)
買 2017-02-16 @21.72 | 賣 2017-02-20 @26.11 | 4.39 (20.22%)
買 2017-03-14 @27.74 | 賣 2017-03-21 @26.84 | -0.90 (-3.24%)
買 2017-04-26 @28.22 | 賣 2017-04-28 @27.18 | -1.04 (-3.68%)
買 2017-05-03 @28.43 | 賣 2017-05-05 @27.11 | -1.31 (-4.62%)
買 2017-05-10 @27.22 | 賣 2017-05-23 @26.63 | -0.59 (-2.16%)
買 2017-06-07 @28.43 | 賣 2017-06-14 @26.80 | -1.63 (-5.72%)
買 2017-07-20 @26.28 | 賣 2017-08-11 @25.82 | -0.47 (-1.78%)
買 2017-09-20 @26.55 | 賣 2017-09-25 @25.42 | -1.13 (-4.26%)
買 2017-10-02 @27.02 | 賣 2017-10-06 @26.15 | -0.88 (-3.24%)
買 2019-01-07 @17.05 | 賣 2019-01-14 @16.63 | -0.42 (-2.47%)
買 2019-01-30 @16.90 | 賣 2019-02-14 @17.55 | 0.65 (3.85%)
買 2019-03-15 @19.04 | 賣 2019-03-21 @21.30 | 2.26 (11.85%)
買 2019-04-03 @21.72 | 賣 2019-04-29 @21.26 | -0.46 (-2.11%)
買 2019-05-30 @20.57 | 賣 2019-06-03 @20.61 | 0.04 (0.19%)
買 2019-08-21 @20.98 | 賣 2019-09-10 @20.65 | -0.32 (-1.54%)
買 2019-11-04 @20.77 | 賣 2019-11-06 @20.61 | -0.16 (-0.78%)
買 2019-12-25 @20.81 | 賣 2020-01-09 @20.53 | -0.28 (-1.36%)
買 2020-06-24 @27.36 | 賣 2020-07-06 @31.69 | 4.32 (15.81%)
買 2020-07-07 @32.66 | 賣 2020-07-10 @30.46 | -2.20 (-6.74%)
買 2020-07-17 @31.66 | 賣 2020-07-20 @30.50 | -1.17 (-3.68%)
買 2020-07-22 @31.46 | 賣 2020-07-24 @29.83 | -1.62 (-5.17%)
買 2020-08-28 @31.50 | 賣 2020-09-01 @30.21 | -1.29 (-4.10%)
買 2020-11-18 @31.37 | 賣 2020-11-23 @35.21 | 3.83 (12.22%)
買 2020-12-15 @39.33 | 賣 2020-12-18 @38.37 | -0.96 (-2.44%)
買 2021-01-04 @43.83 | 賣 2021-01-05 @40.29 | -3.54 (-8.08%)
買 2021-02-18 @36.37 | 賣 2021-03-08 @34.75 | -1.62 (-4.47%)
買 2021-09-06 @26.55 | 賣 2021-09-10 @26.25 | -0.31 (-1.15%)
買 2021-09-16 @26.90 | 賣 2021-10-05 @26.46 | -0.44 (-1.63%)
買 2022-01-03 @61.15 | 賣 2022-01-07 @57.65 | -3.50 (-5.72%)
買 2022-01-20 @69.81 | 賣 2022-01-21 @66.66 | -3.15 (-4.51%)
買 2022-02-08 @70.69 | 賣 2022-03-03 @83.46 | 12.77 (18.07%)
買 2022-03-04 @81.10 | 賣 2022-03-07 @74.45 | -6.65 (-8.20%)
買 2022-05-05 @78.21 | 賣 2022-05-06 @72.61 | -5.60 (-7.16%)
買 2022-08-12 @69.75 | 賣 2022-08-19 @73.36 | 3.61 (5.18%)
買 2022-09-23 @70.74 | 賣 2022-09-26 @68.30 | -2.44 (-3.45%)
買 2022-09-27 @71.83 | 賣 2022-09-28 @69.02 | -2.80 (-3.90%)
買 2022-09-29 @68.75 | 賣 2022-09-30 @68.66 | -0.09 (-0.13%)
買 2022-10-03 @70.74 | 賣 2022-10-04 @71.55 | 0.81 (1.15%)
買 2022-10-06 @72.73 | 賣 2022-10-11 @66.40 | -6.32 (-8.70%)
買 2022-10-19 @78.60 | 賣 2022-10-24 @75.71 | -2.89 (-3.68%)
買 2022-10-28 @74.54 | 賣 2022-11-07 @71.37 | -3.16 (-4.24%)
買 2022-11-08 @74.63 | 賣 2022-11-09 @74.08 | -0.54 (-0.73%)
買 2022-12-05 @74.90 | 賣 2022-12-06 @71.10 | -3.79 (-5.07%)
買 2023-03-08 @83.84 | 賣 2023-03-10 @77.07 | -6.78 (-8.08%)
買 2023-09-21 @64.78 | 賣 2023-10-16 @65.35 | 0.57 (0.88%)
買 2023-11-07 @64.59 | 賣 2023-12-05 @64.12 | -0.47 (-0.73%)
買 2023-12-07 @64.97 | 賣 2023-12-11 @75.00 | 10.02 (15.43%)
買 2023-12-22 @70.46 | 賣 2023-12-28 @68.47 | -1.99 (-2.82%)
買 2024-01-16 @74.81 | 賣 2024-01-22 @76.60 | 1.80 (2.40%)
買 2024-02-16 @76.23 | 賣 2024-02-20 @74.43 | -1.80 (-2.36%)
買 2024-03-07 @83.79 | 賣 2024-03-08 @80.48 | -3.31 (-3.95%)
買 2024-03-25 @77.08 | 賣 2024-03-26 @74.33 | -2.74 (-3.56%)
買 2024-07-11 @73.07 | 賣 2024-07-19 @70.08 | -2.99 (-4.10%)
買 2024-09-23 @70.37 | 賣 2024-09-27 @68.15 | -2.22 (-3.16%)
買 2024-11-07 @67.37 | 賣 2024-11-08 @65.73 | -1.64 (-2.44%)
買 2024-11-12 @67.95 | 賣 2024-11-14 @65.73 | -2.22 (-3.27%)
買 2024-11-25 @72.59 | 賣 2024-11-28 @69.88 | -2.70 (-3.72%)
買 2024-12-02 @72.88 | 賣 2024-12-10 @70.66 | -2.22 (-3.05%)
買 2024-12-23 @77.70 | 賣 2024-12-24 @75.19 | -2.51 (-3.23%)
買 2025-01-03 @70.95 | 賣 2025-01-06 @69.59 | -1.35 (-1.90%)
買 2025-02-12 @72.10 | 賣 2025-03-03 @68.15 | -3.96 (-5.49%)
買 2026-01-16 @57.80 | 賣 2026-01-22 @57.70 | -0.10 (-0.17%)
買 2026-03-04 @53.90 | 賣 2026-03-09 @49.95 | -3.95 (-7.33%)
買 2026-03-13 @57.00 | 賣 2026-03-16 @54.50 | -2.50 (-4.39%)
買 2026-03-17 @59.00 | 賣 2026-03-18 @56.80 | -2.20 (-3.73%)
小計: -62.97  交易次數: 77

=== 1789.TW (DMA:120) ===
買 2015-11-10 @34.49 | 賣 2015-11-12 @40.16 | 5.67 (16.43%)
買 2015-12-08 @49.21 | 賣 2015-12-09 @44.30 | -4.90 (-9.97%)
買 2016-02-03 @40.44 | 賣 2016-02-18 @45.10 | 4.66 (11.53%)
買 2016-03-03 @44.62 | 賣 2016-03-07 @42.93 | -1.69 (-3.78%)
買 2016-03-08 @42.21 | 賣 2016-03-10 @43.26 | 1.05 (2.48%)
買 2017-03-15 @37.03 | 賣 2017-03-17 @37.45 | 0.42 (1.14%)
買 2017-05-25 @34.76 | 賣 2017-06-19 @35.18 | 0.42 (1.21%)
買 2017-06-21 @35.56 | 賣 2017-07-04 @34.21 | -1.35 (-3.79%)
買 2017-08-02 @34.55 | 賣 2017-08-08 @33.33 | -1.22 (-3.53%)
買 2018-03-27 @29.11 | 賣 2018-04-18 @28.58 | -0.53 (-1.82%)
買 2018-08-10 @28.66 | 賣 2018-08-15 @28.35 | -0.31 (-1.09%)
買 2019-06-27 @22.17 | 賣 2019-07-25 @22.97 | 0.80 (3.61%)
買 2019-11-11 @21.46 | 賣 2019-11-13 @21.23 | -0.23 (-1.06%)
買 2019-12-10 @24.66 | 賣 2019-12-12 @24.16 | -0.50 (-2.04%)
買 2020-01-17 @24.57 | 賣 2020-01-31 @23.79 | -0.78 (-3.16%)
買 2020-02-06 @25.43 | 賣 2020-03-05 @28.31 | 2.88 (11.31%)
買 2020-04-07 @25.57 | 賣 2020-04-14 @26.85 | 1.28 (5.00%)
買 2020-04-21 @25.71 | 賣 2020-05-07 @29.59 | 3.88 (15.10%)
買 2020-05-14 @28.77 | 賣 2020-05-28 @27.63 | -1.14 (-3.97%)
買 2020-06-10 @29.22 | 賣 2020-06-18 @35.80 | 6.58 (22.50%)
買 2020-07-08 @33.42 | 賣 2020-07-10 @32.19 | -1.23 (-3.69%)
買 2020-08-07 @31.39 | 賣 2020-08-10 @30.43 | -0.97 (-3.08%)
買 2020-08-19 @30.66 | 賣 2020-08-20 @28.72 | -1.93 (-6.31%)
買 2020-09-07 @30.47 | 賣 2020-09-10 @29.55 | -0.92 (-3.02%)
買 2021-05-03 @27.21 | 賣 2021-05-04 @25.78 | -1.43 (-5.25%)
買 2021-08-02 @24.12 | 賣 2021-08-09 @23.48 | -0.64 (-2.67%)
買 2021-09-13 @23.64 | 賣 2021-09-28 @23.40 | -0.23 (-0.99%)
買 2022-04-14 @23.21 | 賣 2022-04-18 @25.37 | 2.16 (9.31%)
買 2022-04-19 @24.29 | 賣 2022-04-26 @23.35 | -0.94 (-3.87%)
買 2022-06-28 @23.96 | 賣 2022-07-08 @23.18 | -0.79 (-3.28%)
買 2022-07-25 @26.00 | 賣 2022-07-27 @25.04 | -0.96 (-3.68%)
買 2022-08-12 @25.43 | 賣 2022-08-23 @26.05 | 0.62 (2.45%)
買 2022-09-01 @27.44 | 賣 2022-09-06 @26.53 | -0.91 (-3.32%)
買 2022-11-09 @23.08 | 賣 2022-11-30 @23.13 | 0.05 (0.21%)
買 2022-12-05 @23.85 | 賣 2023-01-03 @24.13 | 0.29 (1.20%)
買 2023-01-31 @25.38 | 賣 2023-02-16 @24.71 | -0.67 (-2.64%)
買 2023-04-06 @25.38 | 賣 2023-04-17 @26.58 | 1.20 (4.72%)
買 2023-04-25 @26.00 | 賣 2023-05-11 @25.28 | -0.72 (-2.76%)
買 2023-06-07 @25.76 | 賣 2023-06-19 @27.77 | 2.01 (7.81%)
買 2023-07-10 @28.60 | 賣 2023-08-09 @29.82 | 1.21 (4.24%)
買 2023-09-18 @26.86 | 賣 2023-09-26 @26.13 | -0.73 (-2.71%)
買 2023-10-02 @26.52 | 賣 2023-10-18 @25.60 | -0.92 (-3.47%)
買 2023-11-07 @26.62 | 賣 2023-11-08 @25.26 | -1.36 (-5.10%)
買 2023-11-27 @25.79 | 賣 2023-12-13 @25.21 | -0.58 (-2.26%)
買 2024-04-08 @27.44 | 賣 2024-04-12 @26.62 | -0.82 (-3.00%)
