🚀 智能量化選股報告 - 2026-03-25
==========================================================================================

【🚀超級強勢】(數量: 270)
------------------------------------------------------------------------------------------
6739.TWO | 竹陞科技       | B6: 12.70% | DMA:261.960 | 💸流出 | 🚀DMA趨勢+多頭強勢
2406.TW  | 國碩         | B6:  7.66% | DMA:  4.770 | 💸流出 | 🚀DMA趨勢+多頭強勢
6909.TW  | 創控         | B6:  7.64% | DMA:  0.956 | 💎流入 | 🚀DMA趨勢+多頭強勢
2305.TW  | 全友         | B6:  7.48% | DMA:  1.058 | 💎流入 | 🚀DMA趨勢+多頭強勢
6937.TW  | 天虹         | B6:  7.43% | DMA: 29.830 | 💸流出 | 🚀DMA趨勢+多頭強勢
6679.TWO | 鈺太         | B6:  7.38% | DMA: 44.210 | 💎流入 | 🚀DMA趨勢+多頭強勢
9933.TW  | 中鼎         | B6:  7.32% | DMA:  2.731 | 💎流入 | 🚀DMA趨勢+放量攻擊
7810.TWO | 捷創科技       | B6:  7.29% | DMA: -6.840 | 💎流入 | 🚀放量攻擊
3717.TW  | 聯嘉投控       | B6:  7.21% | DMA:  1.590 | 💎流入 | 🚀DMA趨勢+多頭強勢
2481.TW  | 強茂         | B6:  7.09% | DMA:  8.120 | 💎流入 | 🚀DMA趨勢+放量攻擊
6805.TW  | 富世達        | B6:  6.92% | DMA:282.000 | 💎流入 | 🚀DMA趨勢+多頭強勢
5468.TWO | 凱鈺         | B6:  6.86% | DMA: -0.255 | 💎流入 | 🚀多頭強勢
4577.TWO | 達航科技       | B6:  6.80% | DMA: 23.144 | 💸流出 | 🚀DMA趨勢+多頭強勢
3030.TW  | 德律         | B6:  6.72% | DMA: 49.220 | 💸流出 | 🚀DMA趨勢+多頭強勢
6788.TWO | 華景電        | B6:  6.69% | DMA: 24.980 | 💎流入 | 🚀DMA趨勢+放量攻擊
6139.TW  | 亞翔         | B6:  6.53% | DMA: 18.980 | 💎流入 | 🚀DMA趨勢+放量攻擊
4768.TWO | 晶呈科技       | B6:  6.40% | DMA: 45.150 | 💸流出 | 🚀DMA趨勢+多頭強勢
2851.TW  | 中再保        | B6:  6.37% | DMA:  2.398 | 💎流入 | 🚀DMA趨勢+放量攻擊
8047.TWO | 星雲         | B6:  6.33% | DMA:  4.338 | 💎流入 | 🚀DMA趨勢+放量攻擊
3455.TWO | 由田         | B6:  6.18% | DMA:  8.430 | 💎流入 | 🚀DMA趨勢+多頭強勢
4958.TW  | 臻鼎-KY      | B6:  6.11% | DMA: 19.130 | 💎流入 | 🚀DMA趨勢+多頭強勢
2467.TW  | 志聖         | B6:  6.09% | DMA: 73.260 | 💎流入 | 🚀DMA趨勢+放量攻擊
8433.TWO | 弘帆         | B6:  6.06% | DMA:  3.592 | 💎流入 | 🚀DMA趨勢+放量攻擊
3081.TWO | 聯亞         | B6:  6.05% | DMA:392.140 | 💎流入 | 🚀DMA趨勢+多頭強勢
2345.TW  | 智邦         | B6:  6.03% | DMA:214.100 | 💎流入 | 🚀DMA趨勢+多頭強勢
7734.TWO | 印能科技       | B6:  5.96% | DMA:390.980 | 💎流入 | 🚀DMA趨勢+多頭強勢
2010.TW  | 春源         | B6:  5.81% | DMA:  2.307 | 💎流入 | 🚀DMA趨勢+多頭強勢
3105.TWO | 穩懋         | B6:  5.79% | DMA: 58.240 | 💸流出 | 🚀DMA趨勢+多頭強勢
2355.TW  | 敬鵬         | B6:  5.75% | DMA:  5.308 | 💎流入 | 🚀DMA趨勢+多頭強勢
2313.TW  | 華通         | B6:  5.69% | DMA: 40.724 | 💸流出 | 🚀DMA趨勢+多頭強勢
3701.TW  | 大眾控        | B6:  5.64% | DMA:  5.703 | 💎流入 | 🚀DMA趨勢+多頭強勢
2464.TW  | 盟立         | B6:  5.49% | DMA:  4.482 | 💎流入 | 🚀DMA趨勢+多頭強勢
2338.TW  | 光罩         | B6:  5.42% | DMA:  7.196 | 💸流出 | 🚀DMA趨勢+多頭強勢
8383.TWO | 千附         | B6:  5.34% | DMA:  2.231 | 💎流入 | 🚀DMA趨勢+多頭強勢
00981A.TW | 主動統一台股增長   | B6:  5.22% | DMA:  2.584 | 💸流出 | 🚀DMA趨勢+多頭強勢
7610.TW  | 聯友金屬-創     | B6:  5.16% | DMA: 81.670 | 💎流入 | 🚀DMA趨勢+多頭強勢
5484.TW  | 慧友         | B6:  5.11% | DMA:  0.761 | 💸流出 | 🚀DMA趨勢+多頭強勢
3615.TWO | 安可         | B6:  5.07% | DMA:  4.827 | 💎流入 | 🚀DMA趨勢+多頭強勢
00994A.TW | 主動第一金台股優   | B6:  5.06% | DMA:  1.204 | 💸流出 | 🚀DMA趨勢+多頭強勢
6206.TW  | 飛捷         | B6:  5.06% | DMA:  7.286 | 💸流出 | 🚀DMA趨勢+多頭強勢
2308.TW  | 台達電        | B6:  5.05% | DMA:181.400 | 💎流入 | 🚀DMA趨勢+多頭強勢
6438.TW  | 迅得         | B6:  4.98% | DMA: 10.160 | 💎流入 | 🚀DMA趨勢+多頭強勢
00995A.TW | 主動中信台灣卓越   | B6:  4.96% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
3707.TWO | 漢磊         | B6:  4.92% | DMA:  1.116 | 💸流出 | 🚀DMA趨勢+多頭強勢
2458.TW  | 義隆         | B6:  4.80% | DMA: 13.550 | 💸流出 | 🚀DMA趨勢+多頭強勢
6190.TWO | 萬泰科        | B6:  4.77% | DMA:  2.709 | 💎流入 | 🚀DMA趨勢+多頭強勢
8289.TWO | 泰藝         | B6:  4.70% | DMA:  7.080 | 💎流入 | 🚀DMA趨勢+放量攻擊
3581.TWO | 博磊         | B6:  4.67% | DMA:  1.892 | 💎流入 | 🚀DMA趨勢+多頭強勢
2455.TW  | 全新         | B6:  4.60% | DMA: 40.550 | 💎流入 | 🚀DMA趨勢+多頭強勢
2755.TWO | 揚秦         | B6:  4.55% | DMA: 17.810 | 💸流出 | 🚀DMA趨勢+多頭強勢
3028.TW  | 增你強        | B6:  4.53% | DMA:  6.640 | 💎流入 | 🚀DMA趨勢+多頭強勢
6761.TWO | 穩得         | B6:  4.53% | DMA: 18.480 | 💎流入 | 🚀DMA趨勢+放量攻擊
8028.TW  | 昇陽半導體      | B6:  4.52% | DMA:  6.900 | 💎流入 | 🚀DMA趨勢+放量攻擊
6415.TW  | 矽力*-KY     | B6:  4.48% | DMA: 18.580 | 💎流入 | 🚀DMA趨勢+多頭強勢
5292.TW  | 華懋         | B6:  4.47% | DMA:  3.070 | 💎流入 | 🚀DMA趨勢+放量攻擊
4903.TWO | 聯光通        | B6:  4.46% | DMA:  3.830 | 💎流入 | 🚀DMA趨勢+多頭強勢
3010.TW  | 華立         | B6:  4.43% | DMA:  9.760 | 💎流入 | 🚀DMA趨勢+多頭強勢
6903.TWO | 巨漢         | B6:  4.37% | DMA: 33.880 | 💎流入 | 🚀DMA趨勢+多頭強勢
3580.TWO | 友威科        | B6:  4.33% | DMA:  2.792 | 💎流入 | 🚀DMA趨勢+多頭強勢
2059.TW  | 川湖         | B6:  4.33% | DMA:138.700 | 💎流入 | 🚀DMA趨勢+多頭強勢
3026.TW  | 禾伸堂        | B6:  4.30% | DMA:  7.510 | 💎流入 | 🚀DMA趨勢+多頭強勢
9917.TW  | 中保科        | B6:  4.21% | DMA:  5.130 | 💎流入 | 🚀DMA趨勢+多頭強勢
6199.TWO | 天品         | B6:  4.13% | DMA: -1.786 | 💎流入 | 🚀放量攻擊
00991A.TW | 主動復華未來50   | B6:  4.09% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
1529.TW  | 樂事綠能       | B6:  4.05% | DMA:  2.854 | 💸流出 | 🚀DMA趨勢+多頭強勢
2855.TW  | 統一證        | B6:  3.96% | DMA:  2.366 | 💎流入 | 🚀DMA趨勢+多頭強勢
3380.TW  | 明泰         | B6:  3.96% | DMA:  1.922 | 💎流入 | 🚀DMA趨勢+多頭強勢
3206.TWO | 志豐         | B6:  3.89% | DMA:  3.662 | 💎流入 | 🚀DMA趨勢+多頭強勢
7805.TWO | 威聯通        | B6:  3.87% | DMA: 43.820 | 💸流出 | 🚀DMA趨勢+多頭強勢
5475.TWO | 德宏         | B6:  3.85% | DMA: 57.784 | 💸流出 | 🚀DMA趨勢+多頭強勢
1762.TW  | 中化生        | B6:  3.83% | DMA:  2.332 | 💎流入 | 🚀DMA趨勢+多頭強勢
3354.TWO | 律勝         | B6:  3.81% | DMA:  1.420 | 💸流出 | 🚀DMA趨勢+多頭強勢
6026.TWO | 福邦證        | B6:  3.75% | DMA:  0.347 | 💎流入 | 🚀DMA趨勢+多頭強勢
3219.TWO | 倚強科        | B6:  3.69% | DMA:  0.970 | 💎流入 | 🚀DMA趨勢+多頭強勢
6859.TWO | 伯特光        | B6:  3.68% | DMA:  8.640 | 💸流出 | 🚀DMA趨勢+多頭強勢
6432.TWO | 今展科        | B6:  3.68% | DMA:  1.017 | 💸流出 | 🚀DMA趨勢+多頭強勢
3293.TWO | 鈊象         | B6:  3.65% | DMA: 16.160 | 💎流入 | 🚀DMA趨勢+多頭強勢
8021.TW  | 尖點         | B6:  3.62% | DMA: 20.565 | 💎流入 | 🚀DMA趨勢+多頭強勢
1597.TW  | 直得         | B6:  3.62% | DMA:  1.846 | 💎流入 | 🚀DMA趨勢+放量攻擊
4556.TWO | 旭然         | B6:  3.60% | DMA:  1.281 | 💎流入 | 🚀DMA趨勢+多頭強勢
6443.TW  | 元晶         | B6:  3.57% | DMA:  6.824 | 💸流出 | 🚀DMA趨勢+多頭強勢
3406.TW  | 玉晶光        | B6:  3.53% | DMA:  0.380 | 💎流入 | 🚀DMA趨勢+放量攻擊
1456.TW  | 怡華         | B6:  3.40% | DMA:  0.662 | 💎流入 | 🚀DMA趨勢+多頭強勢
6967.TWO | 汎瑋材料       | B6:  3.35% | DMA:  0.560 | 💎流入 | 🚀DMA趨勢+多頭強勢
2603.TW  | 長榮         | B6:  3.23% | DMA: 14.130 | 💸流出 | 🚀DMA趨勢+多頭強勢
4755.TW  | 三福化        | B6:  3.06% | DMA: 18.790 | 💸流出 | 🚀DMA趨勢+多頭強勢
7740.TW  | 熙特爾-創      | B6:  3.05% | DMA: 21.290 | 💸流出 | 🚀DMA趨勢+多頭強勢
2548.TW  | 華固         | B6:  3.05% | DMA:  6.250 | 💎流入 | 🚀DMA趨勢+多頭強勢
3234.TWO | 光環         | B6:  2.93% | DMA: 20.173 | 💎流入 | 🚀DMA趨勢+多頭強勢
6613.TWO | 朋億*        | B6:  2.92% | DMA:  4.443 | 💎流入 | 🚀DMA趨勢+放量攻擊
00952.TW | 凱基台灣AI50   | B6:  2.90% | DMA:  0.491 | 💸流出 | 🚀DMA趨勢+多頭強勢
4720.TW  | 德淵         | B6:  2.86% | DMA: -0.019 | 💎流入 | 🚀放量攻擊
6534.TW  | 正瀚-創       | B6:  2.85% | DMA:  0.030 | 💎流入 | 🚀DMA趨勢+多頭強勢
5706.TW  | 鳳凰         | B6:  2.84% | DMA:  1.182 | 💎流入 | 🚀DMA趨勢+多頭強勢
6823.TWO | 濾能         | B6:  2.78% | DMA: -0.442 | 💎流入 | 🚀放量攻擊
8936.TWO | 國統         | B6:  2.76% | DMA:  1.326 | 💎流入 | 🚀DMA趨勢+多頭強勢
6152.TW  | 百一         | B6:  2.71% | DMA:  3.390 | 💸流出 | 🚀DMA趨勢+多頭強勢
8431.TWO | 匯鑽科        | B6:  2.70% | DMA:  1.800 | 💎流入 | 🚀DMA趨勢+多頭強勢
2302.TW  | 麗正         | B6:  2.66% | DMA: -0.116 | 💎流入 | 🚀多頭強勢
5284.TW  | jpp-KY     | B6:  2.64% | DMA:  5.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
6754.TW  | 匯僑設計       | B6:  2.58% | DMA:  0.038 | 💎流入 | 🚀DMA趨勢+多頭強勢
00993A.TW | 主動安聯台灣     | B6:  2.58% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
2419.TW  | 仲琦         | B6:  2.55% | DMA:  0.438 | 💸流出 | 🚀DMA趨勢+多頭強勢
8086.TWO | 宏捷科        | B6:  2.54% | DMA:  9.850 | 💸流出 | 🚀DMA趨勢+多頭強勢
6016.TWO | 康和證        | B6:  2.47% | DMA:  1.094 | 💎流入 | 🚀DMA趨勢+多頭強勢
6854.TW  | 錼創科技-KY創   | B6:  2.44% | DMA: 11.870 | 💎流入 | 🚀DMA趨勢+放量攻擊
3416.TW  | 融程電        | B6:  2.40% | DMA:  2.350 | 💎流入 | 🚀DMA趨勢+多頭強勢
00988A.TW | 主動統一全球創新   | B6:  2.33% | DMA:  1.643 | 💸流出 | 🚀DMA趨勢+多頭強勢
3492.TWO | 長盛         | B6:  2.33% | DMA: -0.148 | 💸流出 | 🚀多頭強勢
2248.TW  | 華勝-KY      | B6:  2.32% | DMA:  0.994 | 💎流入 | 🚀DMA趨勢+多頭強勢
00980A.TW | 主動野村臺灣優選   | B6:  2.32% | DMA:  1.105 | 💸流出 | 🚀DMA趨勢+多頭強勢
00909.TW | 國泰數位支付服務   | B6:  2.27% | DMA: -0.936 | 💎流入 | 🚀多頭強勢
6290.TWO | 良維         | B6:  2.27% | DMA: 28.210 | 💸流出 | 🚀DMA趨勢+多頭強勢
3577.TWO | 泓格         | B6:  2.25% | DMA:  0.852 | 💎流入 | 🚀DMA趨勢+多頭強勢
3158.TWO | 嘉實         | B6:  2.23% | DMA:  1.840 | 💎流入 | 🚀DMA趨勢+多頭強勢
8093.TWO | 保銳         | B6:  2.23% | DMA: -0.091 | 💎流入 | 🚀放量攻擊
8016.TW  | 矽創         | B6:  2.16% | DMA:  6.570 | 💎流入 | 🚀DMA趨勢+多頭強勢
2501.TW  | 國建         | B6:  2.16% | DMA:  0.468 | 💎流入 | 🚀DMA趨勢+多頭強勢
4760.TWO | 勤凱         | B6:  2.12% | DMA:  2.090 | 💎流入 | 🚀DMA趨勢+多頭強勢
6961.TWO | 旅天下        | B6:  2.09% | DMA: -3.008 | 💸流出 | 🚀多頭強勢
4766.TW  | 南寶         | B6:  2.08% | DMA:  7.910 | 💎流入 | 🚀DMA趨勢+多頭強勢
3543.TW  | 州巧         | B6:  2.07% | DMA:  3.071 | 💸流出 | 🚀DMA趨勢+多頭強勢
5299.TWO | 杰力         | B6:  2.04% | DMA:  2.434 | 💎流入 | 🚀DMA趨勢+放量攻擊
00985A.TW | 主動野村台灣50   | B6:  2.02% | DMA:  0.997 | 💸流出 | 🚀DMA趨勢+多頭強勢
6142.TW  | 友勁         | B6:  2.02% | DMA:  0.146 | 💎流入 | 🚀DMA趨勢+多頭強勢
6146.TWO | 耕興         | B6:  1.99% | DMA: 16.800 | 💎流入 | 🚀DMA趨勢+多頭強勢
8070.TW  | 長華*        | B6:  1.98% | DMA: -0.904 | 💎流入 | 🚀放量攻擊
2233.TW  | 宇隆         | B6:  1.97% | DMA: -1.480 | 💎流入 | 🚀多頭強勢
4564.TW  | 元翎         | B6:  1.96% | DMA:  1.815 | 💸流出 | 🚀DMA趨勢+多頭強勢
5536.TWO | 聖暉*        | B6:  1.93% | DMA:  7.192 | 💎流入 | 🚀DMA趨勢+放量攻擊
6525.TW  | 捷敏-KY      | B6:  1.92% | DMA:  3.398 | 💎流入 | 🚀DMA趨勢+多頭強勢
3264.TWO | 欣銓         | B6:  1.89% | DMA:  4.000 | 💸流出 | 🚀DMA趨勢+多頭強勢
3708.TW  | 上緯投控       | B6:  1.89% | DMA:  5.260 | 💎流入 | 🚀DMA趨勢+多頭強勢
1460.TW  | 宏遠         | B6:  1.88% | DMA:  0.293 | 💎流入 | 🚀DMA趨勢+多頭強勢
00936.TW | 台新永續高息中小   | B6:  1.86% | DMA:  0.462 | 💎流入 | 🚀DMA趨勢+多頭強勢
3706.TW  | 神達         | B6:  1.84% | DMA: -0.154 | 💎流入 | 🚀多頭強勢
2013.TW  | 中鋼構        | B6:  1.83% | DMA:  1.430 | 💎流入 | 🚀DMA趨勢+多頭強勢
8255.TWO | 朋程         | B6:  1.82% | DMA:  2.510 | 💎流入 | 🚀DMA趨勢+放量攻擊
1802.TW  | 台玻         | B6:  1.80% | DMA:  7.278 | 💎流入 | 🚀DMA趨勢+多頭強勢
4551.TW  | 智伸科        | B6:  1.80% | DMA:  3.590 | 💎流入 | 🚀DMA趨勢+多頭強勢
7795.TW  | 長廣         | B6:  1.76% | DMA: 35.990 | 💎流入 | 🚀DMA趨勢+多頭強勢
3594.TWO | 磐儀         | B6:  1.74% | DMA:  2.421 | 💸流出 | 🚀DMA趨勢+多頭強勢
3490.TWO | 單井         | B6:  1.74% | DMA:  0.246 | 💎流入 | 🚀DMA趨勢+多頭強勢
00910.TW | 第一金太空衛星    | B6:  1.73% | DMA:  1.876 | 💎流入 | 🚀DMA趨勢+多頭強勢
1595.TWO | 川寶         | B6:  1.69% | DMA:  1.068 | 💎流入 | 🚀DMA趨勢+多頭強勢
5871.TW  | 中租-KY      | B6:  1.68% | DMA:  0.530 | 💎流入 | 🚀DMA趨勢+多頭強勢
3211.TWO | 順達         | B6:  1.64% | DMA:  6.590 | 💎流入 | 🚀DMA趨勢+放量攻擊
1808.TW  | 潤隆         | B6:  1.61% | DMA:  0.000 | 💎流入 | 🚀放量攻擊
2014.TW  | 中鴻         | B6:  1.61% | DMA:  0.483 | 💸流出 | 🚀DMA趨勢+多頭強勢
00904.TW | 新光臺灣半導體30  | B6:  1.57% | DMA:  1.526 | 💸流出 | 🚀DMA趨勢+多頭強勢
3090.TW  | 日電貿        | B6:  1.53% | DMA: -1.792 | 💸流出 | 🚀多頭強勢
5328.TWO | 華容         | B6:  1.53% | DMA:  0.607 | 💸流出 | 🚀DMA趨勢+多頭強勢
00935.TW | 野村臺灣新科技50  | B6:  1.51% | DMA:  2.530 | 💸流出 | 🚀DMA趨勢+多頭強勢
6612.TWO | 奈米醫材       | B6:  1.48% | DMA: -3.898 | 💎流入 | 🚀多頭強勢
1593.TWO | 祺驊         | B6:  1.46% | DMA:  2.459 | 💎流入 | 🚀DMA趨勢+多頭強勢
5548.TWO | 安倉         | B6:  1.45% | DMA:  0.290 | 💎流入 | 🚀DMA趨勢+放量攻擊
8923.TWO | 時報         | B6:  1.44% | DMA:  0.284 | 💎流入 | 🚀DMA趨勢+放量攻擊
00929.TW | 復華台灣科技優息   | B6:  1.43% | DMA:  0.352 | 💎流入 | 🚀DMA趨勢+多頭強勢
6789.TW  | 采鈺         | B6:  1.39% | DMA: 34.000 | 💎流入 | 🚀DMA趨勢+多頭強勢
6488.TWO | 環球晶        | B6:  1.34% | DMA:-17.320 | 💸流出 | 🚀多頭強勢
6965.TW  | 中傑-KY      | B6:  1.29% | DMA: -0.262 | 💎流入 | 🚀多頭強勢
2727.TW  | 王品         | B6:  1.27% | DMA:  7.610 | 💎流入 | 🚀DMA趨勢+放量攻擊
2395.TW  | 研華         | B6:  1.26% | DMA: 29.120 | 💎流入 | 🚀DMA趨勢+多頭強勢
3042.TW  | 晶技         | B6:  1.26% | DMA:  4.338 | 💸流出 | 🚀DMA趨勢+多頭強勢
1717.TW  | 長興         | B6:  1.26% | DMA:  2.190 | 💎流入 | 🚀DMA趨勢+多頭強勢
5498.TWO | 凱崴         | B6:  1.26% | DMA:  0.516 | 💸流出 | 🚀DMA趨勢+多頭強勢
2379.TW  | 瑞昱         | B6:  1.22% | DMA:-13.440 | 💎流入 | 🚀多頭強勢
2739.TW  | 寒舍         | B6:  1.18% | DMA: -0.102 | 💎流入 | 🚀放量攻擊
1294.TWO | 漢田生技       | B6:  1.16% | DMA:  4.590 | 💸流出 | 🚀DMA趨勢+多頭強勢
00877.TWO | 復華中國5G     | B6:  1.12% | DMA:  0.890 | 💸流出 | 🚀DMA趨勢+多頭強勢
8476.TW  | 台境*        | B6:  1.12% | DMA: -0.080 | 💎流入 | 🚀多頭強勢
6423.TWO | 億而得        | B6:  1.11% | DMA:  1.064 | 💸流出 | 🚀DMA趨勢+多頭強勢
009805.TW | 新光美國電力基建   | B6:  1.11% | DMA:  0.984 | 💎流入 | 🚀DMA趨勢+多頭強勢
3481.TW  | 群創         | B6:  1.09% | DMA:  2.713 | 💸流出 | 🚀DMA趨勢+多頭強勢
4934.TW  | 太極         | B6:  1.09% | DMA:  1.825 | 💸流出 | 🚀DMA趨勢+多頭強勢
4576.TW  | 大銀微系統      | B6:  1.05% | DMA:  3.710 | 💎流入 | 🚀DMA趨勢+放量攻擊
3703.TW  | 欣陸         | B6:  1.03% | DMA: -0.186 | 💎流入 | 🚀多頭強勢
3313.TWO | 斐成         | B6:  1.00% | DMA: -0.581 | 💸流出 | 🚀多頭強勢
1815.TWO | 富喬         | B6:  0.99% | DMA:  7.280 | 💎流入 | 🚀DMA趨勢+放量攻擊
3217.TWO | 優群         | B6:  0.99% | DMA: -1.010 | 💎流入 | 🚀多頭強勢
2897.TW  | 王道銀行       | B6:  0.99% | DMA:  0.441 | 💸流出 | 🚀DMA趨勢+多頭強勢
00946.TW | 群益科技高息成長   | B6:  0.97% | DMA:  0.058 | 💎流入 | 🚀DMA趨勢+多頭強勢
00990A.TW | 主動元大AI新經濟  | B6:  0.97% | DMA:  0.726 | 💎流入 | 🚀DMA趨勢+多頭強勢
6862.TW  | 三集瑞-KY     | B6:  0.88% | DMA:  6.730 | 💸流出 | 🚀DMA趨勢+多頭強勢
2535.TW  | 達欣工        | B6:  0.88% | DMA:  3.084 | 💸流出 | 🚀DMA趨勢+多頭強勢
00891.TW | 中信關鍵半導體    | B6:  0.87% | DMA:  1.245 | 💸流出 | 🚀DMA趨勢+多頭強勢
5864.TWO | 致和證        | B6:  0.84% | DMA:  2.270 | 💎流入 | 🚀DMA趨勢+多頭強勢
2838.TW  | 聯邦銀        | B6:  0.83% | DMA:  0.794 | 💎流入 | 🚀DMA趨勢+放量攻擊
3548.TWO | 兆利         | B6:  0.80% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
00881.TW | 國泰台灣科技龍頭   | B6:  0.79% | DMA:  1.973 | 💸流出 | 🚀DMA趨勢+多頭強勢
5514.TWO | 三豐         | B6:  0.78% | DMA:  0.038 | 💎流入 | 🚀DMA趨勢+放量攻擊
00637L.TW | 元大滬深300正2  | B6:  0.77% | DMA: -0.483 | 💸流出 | 🚀多頭強勢
2617.TW  | 台航         | B6:  0.67% | DMA:  0.000 | 💸流出 | 🚀多頭強勢
2601.TW  | 益航         | B6:  0.65% | DMA:  0.381 | 💸流出 | 🚀DMA趨勢+多頭強勢
00655L.TW | CATHAY SECS INV TRUST CO LTD FT | B6:  0.65% | DMA: -0.911 | 💸流出 | 🚀多頭強勢
8091.TWO | 翔名         | B6:  0.65% | DMA:  5.240 | 💸流出 | 🚀DMA趨勢+多頭強勢
2752.TWO | 豆府         | B6:  0.65% | DMA:  2.700 | 💸流出 | 🚀DMA趨勢+多頭強勢
5227.TWO | 立凱-KY      | B6:  0.62% | DMA: -0.658 | 💸流出 | 🚀多頭強勢
6136.TW  | 富爾特        | B6:  0.61% | DMA:  0.028 | 💎流入 | 🚀DMA趨勢+多頭強勢
7556.TWO | 意德士        | B6:  0.60% | DMA:  6.630 | 💎流入 | 🚀DMA趨勢+放量攻擊
