# ==============================================================================
# 台灣股市 - 電網/重電、AI核心、低軌道衛星關鍵技術與重要股票清單
# 更新日期: 2026-05-24
# ==============================================================================

# ------------------------------------------------------------------------------
# 一、 電網/強韌電力與重電關鍵技術 (AI資料中心與缺電轉型剛需)
# ------------------------------------------------------------------------------
# 關鍵技術：高壓/特高壓變壓器、GIS氣體絕緣開關、伺服器備用電池模組(BBU)、儲能與充電樁
1519.TW # 華城, 外銷特高壓變壓器龍頭/美系AI資料中心電網訂單
3481.TW # 群創, 面板廠轉型先進封裝/強攻FOPLP面板級封裝與台積電深度合作\

# [先進封裝設備與材料 - CoWoS / 面板級封裝供應鏈]
3131.TW # 弘塑, 半導體濕製程設備龍頭/CoWoS擴產核心受益者
1787.TW # 辛耘, 半導體設備及再生晶圓/濕製程機台大廠
6187.TW # 萬潤, 半導體點膠機與點檢機/點點吃下先進封裝擴產紅利
5443.TW # 大量, 面板級封裝與PCB高階檢測設備/受惠SK海力士與台廠擴產
5607.TW # 鈦昇, TGV雷射鑽孔技術/玻璃基板與先進封裝關鍵關鍵設備
2467.TW # 志聖, 烘烤與熱處理設備/打入台積電CoWoS與FOPLP供應鏈
2404.TW # 均豪, 半導體自動化設備/與均華、志聖結盟通吃先進封裝
6640.TW # 均華, 精密挑晶機(Die Bonder)大廠/CoWoS重要設備商

# [高速傳輸、高頻材料與高層PCB - 包含大摩VR200報告與AMD供應鏈]
2454.TW # 聯發科, AI最大轉折點/自研ASIC晶片/客製化AI晶片設計服務雙雄
3661.TW # 世芯-KY, 高階ASIC/美系CSP(雲端服務商)AI晶片後端設計服務
5274.TWO # 信驊, 全球伺服器遠端管理晶片(BMC)龍頭/每台AI伺服器標配
2383.TW # 台光電, 全球高速銅箔基板(CCL)龍頭/大摩點名NVIDIA次世代機櫃受惠廠
6213.TW # 聯茂, 高階銅箔基板/受惠AI伺服器與高頻高速傳輸需求
2368.TW # 金像電, AI伺服器超高層數PCB主板(20層以上)/高難度工藝
3037.TW # 欣興, ABF載板與HDI大廠/名列大摩Rubin供應鏈9強/打入AMD與海力士玻璃基板
8046.TW # 南電, IC載板三雄/受惠先進封裝外包與高階ASIC晶片復甦
4958.TW # 臻鼎-KY, 全球PCB龍頭/大摩點名Rubin機櫃PCB價值量暴增233%之主要受益者
3189.TW # 景碩, ABF/BT載板供應商/切入網通與AI先進封裝載板
1802.TW # 台玻, PCB上游關鍵材料/高階電子級玻璃纖維布
8358.TWO # 金居, 高階伺服器專用銅箔/受惠高速傳輸材料升級

# [散熱管理與系統組裝 - NVIDIA Rubin & AMD Helios 機架]
3017.TW # 奇鋐, AI伺服器高功耗3D VC散熱模組/水冷板及冷卻分流(CDU)
3324.TW # 雙鴻, 液冷散熱台股代表廠/深耕水冷技術10年迎來營收爆發期
2059.TW # 川湖, 高階伺服器導軌全球龍頭/AI機櫃與液冷機架規格升級標配
6117.TW # 迎廣, 伺服器機殼與系統組裝/積極布局AI高密度機櫃散熱機殼
2417.TW # 圓剛, 邊緣運算影音擷取方案/切入AI智慧零售與工廠檢測
3013.TW # 晟銘電, AI伺服器機殼與液冷機櫃/與各大ODM廠緊密合作
6669.TW # 緯穎, 超大規模資料中心伺服器組裝/大摩點名Rubin首選/吃下AMD機架訂單
2317.TW # 鴻海, 全球伺服器代工龍頭/與NVIDIA深度綁定/GB與Rubin系列機櫃垂直整合
2382.TW # 廣達, 全球雲端伺服器研發與系統整合龍體/大摩首選一線CSP大廠
2312.TW # 金寶, 網通與電子代工大廠/積極爭取邊緣運算與伺服器外包訂單
3231.TW # 緯創, AI伺服器基板代工龍頭/通吃英偉達與超微(AMD)Helios機架代工

# [邊緣運算 Edge AI 落地]
2395.TW # 研華, 全球工業電腦(IPC)龍頭/Edge AI方案整合商/Q1業績創新高
6166.TW # 凌華, 嵌入式與邊緣運算平台/內建NPU晶片之機器視覺與自動化
3006.TW # 晶豪科, 邊緣運算特殊DRAM記憶體支援

# ------------------------------------------------------------------------------
# 三、 低軌道衛星 (LEO) 關鍵技術 (SpaceX上市效能帶動、高頻元件、航太級板)
# ------------------------------------------------------------------------------
# 關鍵技術：微波/毫米波高頻射頻元件、衛星星鏈PCB太空板、地面接收設備(UT)、砷化鎵/高頻PA
3491.TW # 昇達科, 台股最純衛星股/微波高頻通訊元件與濾波器/毛利率極高
2313.TW # 華通, 全球低軌衛星PCB太空板龍頭/星鏈(Starlink)市占約9成
2367.TW # 燿華, SpaceX新世代衛星HDI板放量/高階通訊高頻板
6285.TW # 啟碁, 衛星地面接收站設備(UT)主力量產廠/客戶訂閱數大增受惠
2485.TW # 兆赫, 衛星訊號傳輸與地面射頻接收器
2314.TW # 台揚, 衛星地面接收站及微波通訊設備/老牌低軌衛星概念股
3062.TW # 建漢, 鴻海集團網通廠/布局低軌衛星地面接收設備
2455.TW # 全新, 衛星通訊砷化鎵磊晶/高頻無線訊號傳輸
3105.TWO # 穩懋, 衛星射頻砷化鎵晶圓代工/高頻PA發射模組
6271.TW # 同欣電, 衛星通訊高頻無線封裝模組/車用與太空影像感測封裝
6443.TW # 元晶, 與SpaceX獨家合作之衛星級太陽能電池與模組
