symbol,om,price,gm,date,advice,eps,pe,prev_eps,eps_yoy,prev_year,prev_rev_yoy,status,est_price,name,prev_eps_yoy,rev_yoy,expansion
2034.TW,-1.87%,20.25,5.45%,2025-12,⚪ 中性觀察,0.21,21.09375,0.33,200.0,2025,-4.98,🧐 疑業外收益,14.399999999999999,允強,94.12,-13.63,213.63
4167.TWO,9.56%,19.8500003815,30.12%,2025-12,💎 強力關注,1.72,3.583032559837545,1.43,203.51,2025,-6.23,🧐 疑業外收益,83.1,松瑞藥,237.21,-1.28,204.79
4744.TWO,14.38%,30.3999996185,42.43%,2025-12,💎 強力關注,2.51,6.862302396952597,1.0,216.0,2025,14.04,🚀 利潤擴張,66.44999999999999,皇將,400.0,12.21,203.79
6902.TW,N/A,133.0,N/A,2025-12,⚠️ 追價風險,1.58,63.63636363636364,0.23,222.58,2025,20.7,🚀 利潤擴張,31.349999999999998,GOGOLOOK,119.47,20.92,201.66000000000003
2316.TW,-7.46%,156.0,5.71%,2025-12,💎 強力關注,13.38,4.990403071017274,10.81,212.47,2025,8.72,🚀 利潤擴張,468.90000000000003,楠梓電,260.07,12.25,200.22
1796.TWO,10.64%,34.5999984741,31.84%,2025-12,⚠️ 追價風險,0.7,25.629628499333336,0.31,229.63,2025,36.52,🚀 利潤擴張,20.249999999999996,金穎生技,150.0,29.92,199.70999999999998
6840.TWO,N/A,66.9000015259,N/A,2025-12,⚪ 中性觀察,1.58,19.618768775923755,1.18,205.88,2025,5.51,🚀 利潤擴張,51.15,東研信超,76.12,8.46,197.42
3191.TWO,-10.81%,19.5,29.43%,2025-12,⚠️ 追價風險,0.51,40.625,0.55,189.47,2025,-1.51,🧐 疑業外收益,7.2,雲嘉南,219.57,-7.75,197.22
3048.TW,1.71%,73.0,3.50%,2025-12,⚪ 中性觀察,2.01,18.069306930693074,1.14,195.71,2025,5.31,🚀 利潤擴張,60.59999999999999,益登,153.27,2.05,193.66
6202.TW,N/A,59.4000015259,N/A,2025-12,⚠️ 追價風險,0.76,26.052632248201757,0.62,213.64,2025,31.27,🚀 利潤擴張,34.199999999999996,盛群,191.04,22.23,191.41
2413.TW,3.38%,61.2000007629,17.05%,2025-12,⚪ 數據不足,0.41,0.0,-0.25,193.18,2025,8.02,🔄 轉虧為盈,-9.6,環科,62.12,3.52,189.66
1516.TW,-14.33%,21.5,5.36%,2025-12,⚠️ 追價風險,0.04,1074.999999999999,0.1,100.65,2025,-90.58,🧐 疑業外收益,0.30000000000000027,川飛,-70.59,-87.0,187.65
6112.TW,N/A,46.9000015259,N/A,2025-12,✅ 穩健價值,1.82,12.506667073573334,1.2,203.33,2025,20.56,🚀 利潤擴張,56.25,邁達特,-3.23,18.84,184.49
6246.TWO,N/A,15.3500003815,N/A,2025-12,⚪ 中性觀察,1.14,20.743243758783787,-0.04,186.36,2025,11.15,🔄 轉虧為盈,11.099999999999998,臺龍,97.79,6.56,179.8
4746.TW,21.37%,51.5,41.59%,2025-12,💎 強力關注,3.67,7.50728862973761,2.44,180.15,2025,4.96,🚀 利潤擴張,102.89999999999999,台耀,39.43,2.54,177.61
3609.TWO,-11.23%,27.6000003815,8.05%,2025-12,💎 強力關注,6.42,2.532110126743119,7.31,248.27,2025,27.17,🚀 利潤擴張,163.5,三一東林,314.37,70.72,177.55
6573.TW,N/A,14.6999998093,N/A,2025-12,💎 強力關注,1.23,10.652173774855074,1.61,163.4,2025,-11.95,🧐 疑業外收益,20.7,虹揚-KY,228.8,-13.43,176.83
6719.TW,N/A,219.0,N/A,2025-12,✅ 穩健價值,6.58,15.422535211267604,4.25,198.64,2025,22.77,🚀 利潤擴張,213.00000000000003,力智,89.73,23.89,174.75
6127.TWO,N/A,75.9000015259,N/A,2025-12,⚠️ 追價風險,0.47,37.950000762950005,0.91,173.44,2025,-0.97,🧐 疑業外收益,29.999999999999996,九豪,275.0,-1.13,174.57
4556.TWO,14.30%,66.8000030518,42.07%,2025-12,⚠️ 追價風險,0.92,40.484850334424245,0.49,170.59,2025,-8.55,🧐 疑業外收益,24.750000000000004,旭然,172.22,-3.75,174.34
5703.TWO,N/A,0.0,N/A,2025-12,⚪ 數據不足,0.53,0.0,0.09,178.95,2025,4.04,🚀 利潤擴張,0.0,亞都,175.0,5.62,173.32999999999998
6209.TW,N/A,82.4000015259,N/A,2025-12,⚠️ 追價風險,0.92,54.210527319671044,0.49,222.67,2025,39.08,🚀 利潤擴張,22.800000000000004,今國光,190.57,50.65,172.01999999999998
6841.TWO,N/A,60.7999992371,N/A,2025-12,⚠️ 追價風險,0.89,27.511311871990948,0.81,183.87,2025,2.1,🚀 利潤擴張,33.150000000000006,長佳智能,1700.0,12.23,171.64000000000001
7610.TW,N/A,1590.0,N/A,2025-12,⚠️ 追價風險,5.45,222.68907563025212,1.75,194.08,2025,-4.54,🚀 利潤擴張,107.1,聯友金屬-創,3.33,27.9,166.18
1587.TW,2.96%,27.7000007629,18.05%,2025-12,⚠️ 追價風險,0.37,40.144928641884064,0.24,188.1,2025,19.92,🚀 利潤擴張,10.35,吉茂,155.81,23.11,164.99
2486.TW,1.35%,251.5,15.86%,2025-12,⚠️ 追價風險,0.22,811.2903225806451,0.16,175.0,2025,13.26,🚀 利潤擴張,4.65,一詮,300.0,10.09,164.91
6994.TW,N/A,0.0,N/A,2025-12,⚪ 數據不足,6.34,0.0,1.13,328.87,2025,21.0,🚀 利潤擴張,0.0,富威電力,47.95,164.5,164.37
6596.TWO,N/A,94.5999984741,N/A,2025-12,💎 強力關注,18.83,2.0449632182036317,17.41,242.99,2025,97.52,🚀 利潤擴張,693.9,寬宏藝術,241.37,78.68,164.31
6265.TWO,N/A,58.9000015259,N/A,2025-12,⚪ 數據不足,0.68,0.0,-0.24,223.81,2025,25.19,🔄 轉虧為盈,-11.25,方土昶,-271.43,62.85,160.96
5439.TWO,N/A,327.0,N/A,2025-12,💎 強力關注,13.74,11.27197518097208,9.52,291.45,2025,130.37,🚀 利潤擴張,435.15,高技,280.8,130.83,160.61999999999998
3489.TWO,3.61%,22.7999992371,10.14%,2025-12,⚪ 數據不足,-0.09,0.0,-0.13,89.89,2025,-54.34,🧐 疑業外收益,-4.95,森寶,23.53,-69.84,159.73000000000002
4526.TW,-21.47%,38.7999992371,7.66%,2025-12,💎 強力關注,1.81,5.449438095098315,2.61,150.56,2025,-1.22,🧐 疑業外收益,106.8,東台,271.05,-6.62,157.18
3630.TWO,-22.27%,29.1000003815,4.18%,2025-12,💎 強力關注,1.86,4.794069255601318,2.19,173.02,2025,18.28,🚀 利潤擴張,91.05,新鉅科,219.44,19.21,153.81
6684.TWO,N/A,49.7000007629,N/A,2025-12,💎 強力關注,1.57,3.928853815249011,3.24,137.2,2025,-15.66,🧐 疑業外收益,189.75000000000003,安格,203.85,-15.36,152.56
6838.TW,N/A,24.7999992371,N/A,2025-12,⚪ 數據不足,-0.55,0.0,-0.24,58.65,2025,-95.44,🧐 疑業外收益,-13.5,台新藥,77.78,-93.38,152.03
4157.TWO,81.17%,8.8400001526,98.33%,2025-12,⚪ 數據不足,0.06,0.0,-0.22,220.0,2025,-79.84,🔄 轉虧為盈,-5.8500000000000005,太景*-KY,-1000.0,72.24,147.76
3252.TWO,22.84%,17.7999992371,43.11%,2025-12,⚠️ 追價風險,0.13,111.24999523187499,-0.1,141.94,2025,-4.86,🔄 轉虧為盈,2.4,海灣,54.55,-3.71,145.65
3162.TWO,1.68%,83.5,11.59%,2025-12,⚪ 中性觀察,1.7,18.68008948545861,1.25,209.26,2025,89.71,🚀 利潤擴張,67.05000000000001,精確,292.31,65.48,143.77999999999997
3673.TW,-0.68%,79.8000030518,5.83%,2025-12,💎 強力關注,2.71,11.176471015658265,2.56,133.62,2025,-8.66,🧐 疑業外收益,107.1,TPK-KY,55.15,-8.77,142.39000000000001
6236.TWO,N/A,0.0,N/A,2025-12,⚪ 數據不足,0.08,0.0,0.05,119.51,2025,-18.24,🧐 疑業外收益,0.0,中湛,111.11,-20.68,140.19
6708.TWO,N/A,39.2000007629,N/A,2025-12,⚠️ 追價風險,0.25,91.16279247186047,0.05,180.65,2025,48.16,🚀 利潤擴張,6.449999999999999,天擎,119.23,42.33,138.32
5227.TWO,N/A,30.8999996185,N/A,2025-12,⚠️ 追價風險,0.17,49.04761844206347,2.99,104.91,2025,-19.06,🧐 疑業外收益,9.450000000000005,立凱-KY,199.67,-32.24,137.15
6485.TWO,N/A,88.0,N/A,2025-12,⚠️ 追價風險,0.71,69.84126984126983,-0.32,152.21,2025,14.7,🔄 轉虧為盈,18.9,點序,70.64,16.84,135.37
2408.TW,39.15%,374.0,49.05%,2025-12,⚪ 數據不足,2.13,0.0,-1.45,229.88,2025,32.43,🔄 轉虧為盈,-28.5,南亞科,-28.32,95.09,134.79
3709.TWO,5.14%,73.3000030518,8.09%,2025-12,💎 強力關注,7.11,5.350365186262773,3.61,178.19,2025,55.41,🚀 利潤擴張,205.50000000000003,鑫聯大投控,167.46,44.32,133.87
3466.TWO,-223.66%,30.5499992371,-8.98%,2025-12,⚪ 數據不足,-1.11,0.0,-0.81,58.98,2025,-68.41,🧐 疑業外收益,-57.45,德晉,65.77,-72.48,131.46
3081.TWO,41.27%,2195.0,54.76%,2026-03,⚠️ 追價風險,3.44,179.91803278688525,4.66,645.65,2025,82.29,🏰 高護城河,183.0,聯亞,884.75,515.18,130.47000000000003
4934.TW,-456.27%,17.7000007629,-156.07%,2025-12,⚪ 數據不足,-0.95,0.0,-0.67,54.11,2025,-81.44,🧐 疑業外收益,-35.85,太極,16.25,-75.71,129.82
2607.TW,6.32%,49.75,18.52%,2025-12,💎 強力關注,3.56,5.724971231300345,2.72,108.46,2025,-19.69,🧐 疑業外收益,130.35,榮運,139.38,-19.52,127.97999999999999
5386.TWO,N/A,485.5,N/A,2025-12,⚠️ 追價風險,8.61,31.73202614379085,3.03,159.21,2025,12.38,🚀 利潤擴張,229.49999999999997,青雲,103.38,32.59,126.62
6021.TWO,N/A,40.6500015259,N/A,2025-12,💎 強力關注,3.76,9.176072579209933,2.46,161.27,2025,13.11,🚀 利潤擴張,66.44999999999999,美好證,128.3,35.14,126.13000000000001
3540.TWO,-3.44%,25.3999996185,27.46%,2025-12,✅ 穩健價值,0.74,13.879781212295082,0.47,155.22,2025,30.74,🚀 利潤擴張,27.450000000000003,曜越,147.47,29.09,126.13
8473.TW,N/A,51.7999992371,N/A,2025-12,💎 強力關注,2.55,7.368420944110954,2.05,177.17,2025,62.88,🚀 利潤擴張,105.44999999999999,山林水,130.34,51.31,125.85999999999999
3105.TWO,13.87%,505.0,31.80%,2025-12,⚠️ 追價風險,4.0,108.6021505376344,1.57,120.99,2025,-13.87,🧐 疑業外收益,69.75,穩懋,-40.53,-4.69,125.67999999999999
6276.TWO,N/A,25.0,N/A,2025-12,💎 強力關注,0.92,8.59106529209622,0.66,142.59,2025,28.81,🚀 利潤擴張,43.650000000000006,安鈦克,128.33,20.19,122.4
1512.TW,-3.62%,6.8600001335,28.43%,2025-12,⚠️ 追價風險,0.19,27.440000534,0.04,127.94,2025,2.64,🚀 利潤擴張,3.75,瑞利,111.76,8.09,119.85
2596.TWO,26.41%,30.7999992371,32.97%,2025-12,💎 強力關注,1.86,6.844444274911111,1.04,177.61,2025,217.33,🚀 利潤擴張,67.5,綠意,425.0,59.65,117.96000000000001
8080.TWO,N/A,28.0,N/A,2025-12,⚠️ 追價風險,0.12,40.57971014492753,0.2,139.29,2025,34.06,🚀 利潤擴張,10.350000000000001,泰霖,190.91,22.38,116.91
4555.TW,2.93%,45.3499984741,31.93%,2025-12,⚠️ 追價風險,0.19,1133.7499618524996,-0.02,122.09,2025,8.77,🔄 轉虧為盈,0.6000000000000001,氣立,97.22,7.47,114.62
6198.TWO,N/A,20.7999992371,N/A,2025-12,⚪ 數據不足,-0.23,0.0,-0.12,23.33,2025,-92.7,🧐 疑業外收益,-7.5,瑞築,55.56,-90.1,113.42999999999999
4702.TWO,-88.29%,10.0500001907,35.38%,2025-12,⚠️ 追價風險,0.88,28.714286259142845,0.23,51.72,2025,-60.26,🧐 疑業外收益,5.250000000000002,中美實,-14.81,-61.59,113.31
3260.TWO,35.36%,405.5,48.37%,2025-12,💎 強力關注,23.18,10.273625538383582,10.08,144.7,2025,22.8,🚀 利潤擴張,592.05,威剛,19.56,32.13,112.57
2025.TW,14.50%,14.1000003815,-19.82%,2025-12,⚪ 數據不足,-0.18,0.0,-0.41,87.32,2025,-15.81,🧐 疑業外收益,-17.700000000000003,千興,28.07,-22.64,109.96
8455.TWO,N/A,30.0,N/A,2025-12,⚪ 數據不足,0.02,0.0,0.02,102.7,2025,-7.04,🧐 疑業外收益,-4.95,大拓-KY,104.35,-6.4,109.10000000000001
9955.TW,N/A,26.7999992371,N/A,2025-12,⚪ 數據不足,0.54,0.0,-0.37,134.62,2025,17.8,🔄 轉虧為盈,-5.399999999999999,佳龍,50.67,26.06,108.56
4967.TW,N/A,272.0,N/A,2025-12,✅ 穩健價值,13.06,14.584450402144771,3.47,110.31,2025,-15.55,🚀 利潤擴張,279.75000000000006,十銓,-46.86,2.46,107.85000000000001
8477.TWO,N/A,16.7999992371,N/A,2025-12,⚪ 數據不足,-0.92,0.0,-0.62,53.77,2025,-51.54,🧐 疑業外收益,-38.4,創業家,80.0,-52.73,106.5
2501.TW,17.13%,26.5,26.51%,2025-12,💎 強力關注,2.83,4.213036565977743,1.91,108.09,2025,7.39,🚀 利潤擴張,94.35,國建,127.38,1.8,106.29
6465.TWO,N/A,60.9000015259,N/A,2025-12,⚪ 數據不足,0.86,0.0,-0.75,168.25,2025,5.09,🔄 轉虧為盈,-14.549999999999999,威潤,29.25,63.6,104.65
3135.TW,16.62%,192.5,19.12%,2025-12,⚠️ 追價風險,6.33,22.025171624713963,1.5,143.64,2025,34.74,🚀 利潤擴張,131.09999999999997,凌航,-29.03,39.88,103.75999999999999
6150.TWO,N/A,64.0,N/A,2025-12,✅ 穩健價值,2.63,12.030075187969926,1.55,164.15,2025,77.79,🚀 利潤擴張,79.8,撼訊,156.36,61.2,102.95
2465.TW,2.26%,76.5,10.44%,2025-12,⚠️ 追價風險,0.43,59.765625,0.09,107.41,2025,32.51,🚀 利潤擴張,19.2,麗臺,102.43,5.42,101.99
2926.TWO,-1.48%,34.7999992371,40.82%,2025-12,⚠️ 追價風險,0.54,27.401574202440948,0.34,100.0,2025,2.58,🚀 利潤擴張,19.05,誠品生活,241.67,1.84,98.16
1541.TW,7.07%,20.7999992371,19.55%,2025-12,💎 強力關注,2.32,4.7488582733105025,1.32,118.87,2025,28.08,🚀 利潤擴張,65.7,錩泰,41.94,21.45,97.42
2380.TW,0.24%,6.4299998283,24.41%,2025-12,💎 強力關注,0.72,3.314432901185567,0.47,110.31,2025,9.38,🚀 利潤擴張,29.099999999999998,虹光,133.57,13.61,96.7
4971.TWO,N/A,538.0,N/A,2025-12,⚪ 數據不足,1.65,0.0,0.09,146.97,2025,54.63,🚀 利潤擴張,-7.0500000000000025,IET-KY,103.17,50.49,96.47999999999999
5516.TWO,N/A,11.0,N/A,2025-12,⚪ 數據不足,0.16,0.0,0.34,104.43,2025,7.31,🚀 利潤擴張,-7.35,雙喜,116.43,8.41,96.02000000000001
3363.TWO,-9.15%,737.0,12.43%,2025-12,⚠️ 追價風險,0.16,1038.0281690140844,0.37,134.04,2025,49.52,🚀 利潤擴張,10.65,上詮,317.65,38.72,95.32
6739.TWO,N/A,1170.0,N/A,2025-12,⚠️ 追價風險,16.13,33.727298933410204,10.13,191.99,2025,94.38,🚀 利潤擴張,520.3499999999999,竹陞科技,167.2,96.69,95.30000000000001
6125.TWO,N/A,60.5,N/A,2025-12,⚠️ 追價風險,0.1,195.16129032258064,0.13,118.18,2025,15.42,🚀 利潤擴張,4.65,廣運,123.21,23.69,94.49000000000001
3687.TWO,12.64%,79.3000030518,39.69%,2025-12,💎 強力關注,4.67,7.467043601864407,4.47,100.43,2025,5.19,🚀 利潤擴張,159.3,歐買尬,151.12,6.13,94.30000000000001
1453.TW,-2853.40%,11.6000003815,912.85%,2025-12,⚪ 數據不足,0.04,0.0,0.05,100.0,2025,4.56,🏰 高護城河,-2.1,大將,-58.33,7.27,92.73
