=== 短線 5-10-20 扣抵精選 (20260306) ===
代號         |     最佳策略     |      勝率 |     期望報酬 | 今日狀態
00940.TW   | fast_attack  |   46.3% |   -0.39% | ⏱️ 短線止盈
3706.TW    | monthly_trend |   44.5% |    0.30% | 觀望
5009.TWO   | ten_day_support |   47.9% |    0.09% | 🛡️ 十日撐買
3054.TW    | ten_day_support |   34.4% |   -0.10% | 觀望
2031.TW    | monthly_trend |   42.7% |    0.43% | 🚪 趨勢結束
3317.TWO   | monthly_trend |   46.5% |    0.20% | 🚪 趨勢結束
4416.TWO   | fast_attack  |   36.1% |   -0.40% | ⏱️ 短線止盈
6925.TWO   | monthly_trend |   38.1% |    1.94% | 🚪 趨勢結束
6285.TW    | ten_day_support |   45.4% |    0.01% | 觀望
4744.TWO   | fast_attack  |   41.4% |    0.29% | ⏱️ 短線止盈
00642U.TW  | fast_attack  |   48.2% |    0.01% | ⚡ 五日攻擊
6994.TW    | monthly_trend |   41.2% |    1.11% | 🚀 月線轉強
3576.TW    | fast_attack  |   38.5% |   -0.13% | 觀望
8112.TW    | monthly_trend |   47.9% |    0.24% | 🚪 趨勢結束
00633L.TW  | ten_day_support |   53.5% |    0.57% | 觀望
6642.TWO   | ten_day_support |   41.2% |    0.20% | 觀望
00885.TW   | fast_attack  |   44.9% |   -0.17% | ⏱️ 短線止盈
1721.TW    | monthly_trend |   33.7% |    0.18% | 🚪 趨勢結束
6902.TW    | ten_day_support |   29.0% |   -1.55% | 觀望
2461.TW    | ten_day_support |   44.8% |   -0.35% | 觀望
6461.TWO   | ten_day_support |   32.6% |   -0.19% | 觀望
7805.TWO   | ten_day_support |   45.2% |   -0.00% | 觀望
8131.TW    | ten_day_support |   48.0% |    0.20% | 觀望
7752.TWO   | ten_day_support |   24.0% |   -1.66% | 觀望
00637L.TW  | ten_day_support |   54.5% |    0.62% | 觀望
4538.TWO   | ten_day_support |   38.3% |   -0.21% | 觀望
6962.TW    | fast_attack  |   41.0% |    0.41% | ⏱️ 短線止盈
3323.TWO   | ten_day_support |   41.9% |    0.11% | 觀望
00664R.TW  | fast_attack  |   30.6% |   -0.90% | ⚡ 五日攻擊
8091.TWO   | ten_day_support |   47.8% |    0.18% | 觀望
7810.TWO   | fast_attack  |   46.0% |    2.82% | ⏱️ 短線止盈
2434.TW    | ten_day_support |   34.6% |    0.64% | 觀望
7610.TW    | fast_attack  |   66.7% |    5.63% | ⏱️ 短線止盈
4952.TW    | ten_day_support |   46.9% |    0.01% | 觀望
6187.TWO   | monthly_trend |   44.3% |    0.63% | 觀望
00980A.TW  | ten_day_support |   67.5% |    0.79% | 觀望
00929.TW   | monthly_trend |   54.5% |    0.14% | 🚪 趨勢結束
2252.TWO   | monthly_trend |   40.8% |    0.25% | 觀望
2034.TW    | ten_day_support |   42.6% |   -0.02% | 觀望
00947.TW   | fast_attack  |   49.0% |    0.29% | ⏱️ 短線止盈
3581.TWO   | monthly_trend |   45.9% |    0.97% | 🚪 趨勢結束
3380.TW    | ten_day_support |   45.8% |    0.14% | 🛡️ 十日撐買
5301.TWO   | fast_attack  |   36.2% |    1.65% | ⏱️ 短線止盈
1795.TW    | fast_attack  |   45.5% |    0.63% | ⏱️ 短線止盈
2406.TW    | monthly_trend |   42.1% |    0.25% | 🚀 月線轉強
6147.TWO   | ten_day_support |   48.4% |   -0.17% | 觀望
6667.TWO   | monthly_trend |   44.6% |    0.53% | 觀望
6231.TWO   | monthly_trend |   42.8% |    0.49% | 🚪 趨勢結束
00674R.TW  | fast_attack  |   34.0% |   -0.79% | 觀望
00751B.TWO | fast_attack  |   43.0% |   -0.52% | ⚡ 五日攻擊
6657.TW    | monthly_trend |   43.1% |    1.29% | 🚪 趨勢結束
6799.TW    | fast_attack  |   45.6% |    0.36% | ⏱️ 短線止盈
6689.TW    | ten_day_support |   41.8% |    1.12% | 觀望
1536.TW    | ten_day_support |   42.7% |   -0.06% | 觀望
6716.TWO   | monthly_trend |   39.8% |    0.96% | 觀望
3664.TWO   | fast_attack  |   40.6% |    0.31% | ⏱️ 短線止盈
3665.TW    | ten_day_support |   48.5% |    0.21% | 觀望
3714.TW    | ten_day_support |   39.9% |   -0.72% | 觀望
3218.TWO   | ten_day_support |   42.5% |    0.45% | 觀望
6698.TW    | monthly_trend |   44.5% |    0.32% | 🚪 趨勢結束
5228.TWO   | ten_day_support |   30.0% |   -0.41% | 觀望
5880.TW    | fast_attack  |   37.5% |   -0.33% | ⏱️ 短線止盈
2349.TW    | fast_attack  |   36.9% |    0.56% | ⏱️ 短線止盈
4161.TWO   | ten_day_support |   30.5% |   -0.61% | 觀望
7734.TWO   | ten_day_support |   40.5% |    1.07% | 🛡️ 十日撐買
2401.TW    | ten_day_support |   47.9% |   -0.02% | 觀望
6906.TW    | fast_attack  |   42.4% |    0.11% | ⏱️ 短線止盈
3563.TW    | monthly_trend |   50.7% |    1.01% | 🚀 月線轉強
6279.TWO   | ten_day_support |   44.4% |   -0.21% | 觀望
3324.TWO   | monthly_trend |   50.1% |    0.43% | 🚪 趨勢結束
3577.TWO   | ten_day_support |   45.2% |    0.45% | 觀望
3357.TWO   | monthly_trend |   38.5% |    0.44% | 觀望
2254.TW    | monthly_trend |   29.7% |   -0.41% | 🚀 月線轉強
2369.TW    | ten_day_support |   45.8% |   -0.06% | 觀望
7751.TWO   | monthly_trend |   57.4% |    3.58% | 觀望
8489.TWO   | fast_attack  |   46.1% |    0.50% | ⏱️ 短線止盈
1773.TW    | ten_day_support |   44.2% |    0.28% | 觀望
6844.TWO   | monthly_trend |   39.1% |    0.30% | 觀望
6931.TW    | monthly_trend |   37.3% |    0.59% | 🚪 趨勢結束
4956.TW    | fast_attack  |   34.3% |   -0.12% | ⏱️ 短線止盈
5876.TW    | fast_attack  |   43.1% |   -0.27% | ⏱️ 短線止盈
4977.TW    | fast_attack  |   45.4% |    0.03% | ⏱️ 短線止盈
00632R.TW  | monthly_trend |   30.8% |    3.80% | 觀望
8935.TWO   | monthly_trend |   39.6% |    0.10% | 🚪 趨勢結束
5227.TWO   | ten_day_support |   36.1% |   -1.26% | 觀望
3521.TWO   | monthly_trend |   37.1% |    0.37% | 🚪 趨勢結束
3564.TWO   | ten_day_support |   46.7% |    0.65% | 觀望
6419.TWO   | monthly_trend |   36.9% |    0.15% | 🚪 趨勢結束
2845.TW    | fast_attack  |   38.6% |   -0.16% | ⏱️ 短線止盈
3266.TW    | ten_day_support |   33.9% |    0.05% | 觀望
2812.TW    | fast_attack  |   41.4% |   -0.04% | ⏱️ 短線止盈
2867.TW    | fast_attack  |   41.8% |    0.10% | ⏱️ 短線止盈
4906.TW    | ten_day_support |   45.7% |   -0.32% | 觀望
1203.TW    | fast_attack  |   33.1% |   -0.61% | ⏱️ 短線止盈
2002.TW    | fast_attack  |   42.6% |    0.09% | ⏱️ 短線止盈
2478.TW    | monthly_trend |   41.8% |    0.30% | 觀望
8291.TWO   | ten_day_support |   30.3% |   -0.60% | 觀望
6865.TWO   | fast_attack  |   37.4% |   -0.46% | ⏱️ 短線止盈
6988.TW    | ten_day_support |   30.8% |    0.01% | 觀望
5543.TWO   | ten_day_support |   40.4% |    0.40% | 觀望
6668.TW    | ten_day_support |   43.3% |    0.39% | 觀望
3691.TWO   | monthly_trend |   44.4% |    0.12% | 觀望
2897.TW    | fast_attack  |   38.6% |   -0.23% | ⏱️ 短線止盈
3592.TW    | fast_attack  |   46.2% |   -0.08% | ⏱️ 短線止盈
4806.TWO   | ten_day_support |   40.5% |    0.90% | 觀望
1718.TW    | ten_day_support |   41.4% |   -0.17% | 觀望
6491.TW    | ten_day_support |   41.5% |    0.18% | 觀望
00955.TWO  | monthly_trend |   49.6% |    0.44% | 🚪 趨勢結束
3078.TWO   | ten_day_support |   49.5% |    0.17% | 觀望
2484.TW    | ten_day_support |   42.0% |   -0.35% | 觀望
6166.TW    | ten_day_support |   42.2% |   -0.28% | 觀望
1338.TW    | ten_day_support |   39.7% |   -0.43% | 觀望
3023.TW    | ten_day_support |   45.9% |   -0.05% | 觀望
00738U.TW  | ten_day_support |   44.7% |   -0.54% | 觀望
6672.TW    | ten_day_support |   44.4% |    0.16% | 觀望
3694.TW    | monthly_trend |   41.6% |    0.34% | 🚪 趨勢結束
6160.TWO   | monthly_trend |   39.8% |    0.07% | 🚪 趨勢結束
5426.TWO   | fast_attack  |   43.8% |    0.83% | ⏱️ 短線止盈
8048.TWO   | monthly_trend |   44.1% |    0.39% | 🚀 月線轉強
2312.TW    | ten_day_support |   45.2% |    0.24% | 觀望
2208.TW    | fast_attack  |   37.7% |    0.04% | ⏱️ 短線止盈
009803.TW  | ten_day_support |   71.7% |    1.38% | 觀望
7584.TWO   | monthly_trend |   30.5% |   -0.44% | 觀望
8050.TWO   | ten_day_support |   40.6% |   -0.27% | 觀望
3455.TWO   | monthly_trend |   42.1% |   -0.10% | 觀望
2104.TW    | fast_attack  |   39.4% |   -0.26% | ⏱️ 短線止盈
6122.TWO   | monthly_trend |   46.3% |    0.56% | 🚪 趨勢結束
2880.TW    | fast_attack  |   44.7% |   -0.16% | ⏱️ 短線止盈
6435.TWO   | fast_attack  |   46.3% |    0.36% | ⏱️ 短線止盈
8476.TW    | ten_day_support |   41.1% |   -0.04% | 觀望
6530.TWO   | ten_day_support |   43.2% |    0.54% | 觀望
6806.TW    | monthly_trend |   42.8% |    0.93% | 🚪 趨勢結束
2755.TWO   | ten_day_support |   43.7% |    1.24% | 觀望
1605.TW    | monthly_trend |   46.6% |    0.33% | 🚪 趨勢結束
8038.TWO   | ten_day_support |   40.0% |   -0.03% | 觀望
3006.TW    | fast_attack  |   43.7% |    0.46% | ⏱️ 短線止盈
1442.TW    | fast_attack  |   45.7% |    0.20% | ⏱️ 短線止盈
1303.TW    | fast_attack  |   46.8% |    0.13% | ⏱️ 短線止盈
00715L.TW  | fast_attack  |   55.3% |    1.30% | ⚡ 五日攻擊
8349.TWO   | monthly_trend |   43.5% |    0.30% | 🚪 趨勢結束
2633.TW    | fast_attack  |   33.6% |   -0.05% | ⏱️ 短線止盈
4530.TWO   | ten_day_support |   37.5% |   -0.35% | 觀望
3693.TWO   | monthly_trend |   45.1% |    1.46% | 🚀 月線轉強
6290.TWO   | ten_day_support |   50.4% |    0.47% | 觀望
2543.TW    | fast_attack  |   39.2% |    0.47% | ⚡ 五日攻擊
1762.TW    | ten_day_support |   44.6% |   -0.15% | 觀望
2388.TW    | fast_attack  |   41.9% |    0.76% | ⏱️ 短線止盈
3360.TWO   | ten_day_support |   42.9% |    0.03% | 觀望
3260.TWO   | monthly_trend |   43.8% |    0.66% | 🚪 趨勢結束
2035.TWO   | fast_attack  |   31.8% |   -0.71% | ⚡ 五日攻擊
6418.TWO   | ten_day_support |   30.7% |   -0.07% | 觀望
5230.TWO   | fast_attack  |   46.1% |   -0.12% | ⏱️ 短線止盈
3169.TWO   | monthly_trend |   41.8% |    0.05% | 觀望
1516.TW    | ten_day_support |   37.9% |    0.08% | 觀望
3413.TW    | monthly_trend |   48.8% |    0.47% | 🚪 趨勢結束
2201.TW    | fast_attack  |   39.5% |   -0.01% | ⏱️ 短線止盈
1323.TW    | fast_attack  |   31.8% |   -0.50% | 觀望
3071.TWO   | ten_day_support |   49.4% |    0.72% | 觀望
00662.TW   | fast_attack  |   52.5% |   -0.16% | ⏱️ 短線止盈
8046.TW    | monthly_trend |   50.4% |    0.77% | 🚪 趨勢結束
00931B.TWO | fast_attack  |   42.3% |   -0.94% | ⚡ 五日攻擊
2948.TWO   | fast_attack  |   34.8% |    0.30% | 觀望
2419.TW    | monthly_trend |   40.6% |   -0.10% | 🚪 趨勢結束
2392.TW    | fast_attack  |   44.1% |    0.29% | ⏱️ 短線止盈
4966.TWO   | fast_attack  |   43.5% |   -0.19% | ⏱️ 短線止盈
6186.TWO   | monthly_trend |   49.3% |    0.26% | 🚪 趨勢結束
3045.TW    | fast_attack  |   30.8% |   -0.64% | ⏱️ 短線止盈
6515.TW    | fast_attack  |   50.6% |    1.26% | ⏱️ 短線止盈
8102.TWO   | ten_day_support |   36.8% |    0.22% | 觀望
8416.TWO   | fast_attack  |   36.0% |   -0.29% | ⏱️ 短線止盈
3715.TW    | fast_attack  |   45.2% |    1.62% | ⏱️ 短線止盈
3444.TWO   | monthly_trend |   41.5% |    0.53% | 🚪 趨勢結束
8027.TWO   | ten_day_support |   40.6% |    0.59% | 觀望
4991.TWO   | ten_day_support |   48.9% |    0.74% | 觀望
4542.TWO   | fast_attack  |   41.3% |    0.63% | ⏱️ 短線止盈
6415.TW    | ten_day_support |   48.6% |    0.49% | 觀望
6573.TW    | ten_day_support |   38.9% |   -0.03% | 觀望
3597.TWO   | monthly_trend |   35.0% |    0.02% | 🚪 趨勢結束
5536.TWO   | monthly_trend |   52.1% |    0.72% | 觀望
6104.TWO   | fast_attack  |   44.2% |    0.36% | ⏱️ 短線止盈
2211.TW    | monthly_trend |   45.6% |    0.68% | 🚪 趨勢結束
00949.TW   | fast_attack  |   52.9% |   -0.01% | ⏱️ 短線止盈
2542.TW    | monthly_trend |   42.4% |   -0.01% | 🚪 趨勢結束
6431.TW    | monthly_trend |   43.7% |    0.88% | 🚪 趨勢結束
7721.TW    | fast_attack  |   40.0% |    0.69% | ⏱️ 短線止盈
4192.TWO   | fast_attack  |   34.3% |   -0.36% | ⏱️ 短線止盈
9917.TW    | fast_attack  |   31.5% |   -0.69% | ⏱️ 短線止盈
8271.TW    | monthly_trend |   46.3% |    0.20% | 🚪 趨勢結束
7455.TWO   | monthly_trend |   38.9% |   -0.30% | 觀望
8047.TWO   | fast_attack  |   30.4% |   -0.19% | 觀望
4540.TW    | monthly_trend |   43.2% |    0.66% | 🚪 趨勢結束
00904.TW   | monthly_trend |   48.3% |    0.21% | 🚪 趨勢結束
6756.TW    | ten_day_support |   33.7% |    0.47% | 觀望
6919.TW    | fast_attack  |   63.0% |    4.54% | ⏱️ 短線止盈
3211.TWO   | ten_day_support |   45.8% |    0.18% | 觀望
2360.TW    | ten_day_support |   55.5% |    0.95% | 觀望
8016.TW    | ten_day_support |   45.1% |   -0.07% | 觀望
3094.TW    | ten_day_support |   42.3% |   -0.06% | 觀望
5484.TW    | ten_day_support |   39.8% |    0.70% | 觀望
6284.TWO   | ten_day_support |   47.9% |    0.50% | 觀望
7783.TWO   | fast_attack  |   36.4% |    0.03% | ⏱️ 短線止盈
3014.TW    | monthly_trend |   46.8% |    0.07% | 🚪 趨勢結束
3558.TWO   | ten_day_support |   42.8% |    0.07% | 觀望
3406.TW    | monthly_trend |   45.9% |    1.12% | 🚪 趨勢結束
6794.TW    | monthly_trend |   44.1% |    1.37% | 🚪 趨勢結束
2383.TW    | ten_day_support |   54.4% |    0.77% | 觀望
7402.TWO   | monthly_trend |   41.9% |    1.04% | 觀望
6235.TW    | monthly_trend |   43.3% |    0.27% | 🚪 趨勢結束
3149.TW    | monthly_trend |   42.7% |    0.72% | 🚪 趨勢結束
7717.TWO   | ten_day_support |  100.0% |   14.49% | 觀望
4580.TWO   | ten_day_support |   37.9% |    0.01% | 觀望
6739.TWO   | monthly_trend |   51.8% |    3.79% | 🚪 趨勢結束
7702.TWO   | monthly_trend |   59.5% |    1.20% | 🚪 趨勢結束
2023.TW    | fast_attack  |   34.4% |   -0.03% | ⏱️ 短線止盈
3454.TW    | ten_day_support |   42.3% |   -0.02% | 🛡️ 十日撐買
3543.TW    | monthly_trend |   42.4% |    0.40% | 觀望
2345.TW    | fast_attack  |   50.1% |    0.41% | ⏱️ 短線止盈
3018.TW    | fast_attack  |   42.5% |    0.56% | 觀望
6526.TW    | monthly_trend |   38.3% |   -0.09% | 🚀 月線轉強
6843.TWO   | fast_attack  |   46.8% |   -0.07% | ⏱️ 短線止盈
3686.TW    | fast_attack  |   37.7% |    0.29% | ⏱️ 短線止盈
6933.TW    | monthly_trend |   30.0% |   -0.27% | 🚪 趨勢結束
1337.TW    | monthly_trend |   34.2% |   -0.40% | 🚪 趨勢結束
7719.TWO   | fast_attack  |   33.3% |    0.99% | ⏱️ 短線止盈
3663.TWO   | monthly_trend |   40.3% |    0.23% | 🚪 趨勢結束
6588.TWO   | fast_attack  |   45.9% |    0.99% | ⏱️ 短線止盈
4563.TWO   | fast_attack  |   39.4% |   -0.06% | ⏱️ 短線止盈
3707.TWO   | monthly_trend |   50.9% |    0.69% | 🚪 趨勢結束
8103.TW    | ten_day_support |   48.3% |    0.13% | 觀望
3498.TWO   | ten_day_support |   43.8% |    0.44% | 觀望
2883.TW    | fast_attack  |   43.6% |    0.11% | ⏱️ 短線止盈
6788.TWO   | monthly_trend |   53.3% |    1.83% | 觀望
6793.TWO   | monthly_trend |   33.1% |   -0.34% | 🚪 趨勢結束
2308.TW    | fast_attack  |   44.9% |   -0.03% | ⏱️ 短線止盈
6903.TWO   | fast_attack  |   44.9% |    1.18% | ⏱️ 短線止盈
2324.TW    | monthly_trend |   44.8% |   -0.08% | 🚪 趨勢結束
00764B.TWO | fast_attack  |   37.2% |   -0.49% | 觀望
00965.TW   | monthly_trend |   58.4% |    0.50% | 🚪 趨勢結束
4513.TWO   | fast_attack  |   46.5% |    0.73% | ⏱️ 短線止盈
6805.TW    | fast_attack  |   57.7% |    3.13% | ⏱️ 短線止盈
5292.TW    | monthly_trend |   47.2% |    0.81% | 🚪 趨勢結束
3013.TW    | fast_attack  |   40.9% |   -0.14% | ⏱️ 短線止盈
3529.TWO   | monthly_trend |   45.3% |    0.64% | 🚪 趨勢結束
8436.TWO   | fast_attack  |   42.9% |    0.14% | ⏱️ 短線止盈
6182.TWO   | monthly_trend |   43.8% |    0.38% | 🚪 趨勢結束
6598.TW    | fast_attack  |   40.9% |    0.46% | ⏱️ 短線止盈
4931.TWO   | monthly_trend |   42.2% |    0.36% | 🚪 趨勢結束
2387.TW    | fast_attack  |   46.5% |    0.15% | ⏱️ 短線止盈
00968B.TWO | fast_attack  |   39.4% |   -0.39% | ⚡ 五日攻擊
2609.TW    | fast_attack  |   46.5% |    0.86% | ⚡ 五日攻擊
3057.TW    | ten_day_support |   39.2% |    0.10% | 觀望
3632.TWO   | ten_day_support |   32.7% |   -0.08% | 觀望
5013.TWO   | ten_day_support |   40.0% |   -0.15% | 🛡️ 十日撐買
6548.TWO   | fast_attack  |   51.1% |    1.06% | ⏱️ 短線止盈
5314.TWO   | ten_day_support |   42.3% |    0.61% | 觀望
00713.TW   | fast_attack  |   44.7% |   -0.07% | ⏱️ 短線止盈
4764.TW    | fast_attack  |   40.6% |    0.72% | ⏱️ 短線止盈
2887I.TW   | fast_attack  |   15.8% |   -0.38% | ⏱️ 短線止盈
6472.TW    | monthly_trend |   42.8% |    1.28% | 🚪 趨勢結束
6863.TW    | monthly_trend |   42.4% |    0.23% | 🚪 趨勢結束
2365.TW    | fast_attack  |   41.4% |    0.40% | ⏱️ 短線止盈
2425.TW    | monthly_trend |   44.1% |    0.56% | 🚪 趨勢結束
3594.TWO   | ten_day_support |   46.0% |    0.11% | 觀望
6128.TW    | ten_day_support |   39.8% |   -0.12% | 觀望
3008.TW    | monthly_trend |   48.7% |    0.07% | 🚪 趨勢結束
2313.TW    | monthly_trend |   49.3% |    0.25% | 🚪 趨勢結束
5321.TWO   | fast_attack  |   42.3% |    1.88% | ⏱️ 短線止盈
3379.TWO   | ten_day_support |   41.0% |    0.18% | 觀望
2723.TW    | fast_attack  |   43.6% |    0.25% | ⏱️ 短線止盈
3625.TWO   | ten_day_support |   40.8% |    0.37% | 觀望
3141.TWO   | ten_day_support |   45.8% |    0.47% | 觀望
7740.TW    | ten_day_support |   66.7% |    4.96% | 觀望
6708.TWO   | ten_day_support |   35.9% |    0.75% | 觀望
1589.TW    | fast_attack  |   41.7% |    0.03% | ⏱️ 短線止盈
6291.TWO   | fast_attack  |   40.2% |    0.64% | ⏱️ 短線止盈
9945.TW    | fast_attack  |   45.8% |    0.02% | ⏱️ 短線止盈
6140.TWO   | ten_day_support |   38.8% |   -0.21% | 觀望
4949.TW    | monthly_trend |   41.4% |    2.10% | 🚪 趨勢結束
00988A.TW  | monthly_trend |   72.7% |   11.64% | 🚪 趨勢結束
6282.TW    | ten_day_support |   45.7% |   -0.19% | 觀望
1312.TW    | fast_attack  |   46.4% |   -0.45% | ⏱️ 短線止盈
3049.TW    | monthly_trend |   46.0% |    0.60% | 🚀 月線轉強
1537.TW    | ten_day_support |   38.7% |   -0.29% | 觀望
2515.TW    | monthly_trend |   41.6% |    0.22% | 🚪 趨勢結束
