=== 明日扣抵生死線報告 (20260306) ===
        代號 最佳MA     今日收盤     明日扣抵  安全邊際%                  操作建議
   3036.TW MA60   195.50   142.00  37.68        🔥 強勢：扣抵極低，穩定助漲
   2338.TW MA60    48.65    35.45  37.24        🔥 強勢：扣抵極低，穩定助漲
  3693.TWO MA60   419.50   306.00  37.09        🔥 強勢：扣抵極低，穩定助漲
 00642U.TW MA20    22.00    16.05  37.07        🔥 強勢：扣抵極低，穩定助漲
   4755.TW MA60   138.00   101.00  36.63        🔥 強勢：扣抵極低，穩定助漲
  3491.TWO MA20  1530.00  1120.00  36.61        🔥 強勢：扣抵極低，穩定助漲
 00715L.TW  MA5    36.91    27.05  36.45        🔥 強勢：扣抵極低，穩定助漲
  6640.TWO MA60   741.00   544.00  36.21        🔥 強勢：扣抵極低，穩定助漲
   4927.TW MA10    43.25    31.90  35.58        🔥 強勢：扣抵極低，穩定助漲
   3054.TW MA10    41.50    30.75  34.96        🔥 強勢：扣抵極低，穩定助漲
   2455.TW MA20   226.50   168.00  34.82        🔥 強勢：扣抵極低，穩定助漲
   7750.TW MA20  1240.00   920.00  34.78        🔥 強勢：扣抵極低，穩定助漲
  7744.TWO MA20   429.00   320.00  34.06        🔥 強勢：扣抵極低，穩定助漲
  6233.TWO MA60    25.45    19.00  33.95        🔥 強勢：扣抵極低，穩定助漲
   3049.TW MA10    12.30     9.22  33.41        🔥 強勢：扣抵極低，穩定助漲
   4540.TW MA60    47.00    35.25  33.33        🔥 強勢：扣抵極低，穩定助漲
   2308.TW MA60  1255.00   942.00  33.23        🔥 強勢：扣抵極低，穩定助漲
   2485.TW MA20    49.80    37.50  32.80        🔥 強勢：扣抵極低，穩定助漲
   4977.TW MA20   159.50   120.50  32.37        🔥 強勢：扣抵極低，穩定助漲
  6546.TWO MA60    81.50    61.70  32.09        🔥 強勢：扣抵極低，穩定助漲
   2360.TW MA20  1340.00  1015.00  32.02        🔥 強勢：扣抵極低，穩定助漲
   1326.TW MA60    43.55    33.15  31.37        🔥 強勢：扣抵極低，穩定助漲
  7751.TWO MA10  1105.00   843.00  31.08        🔥 強勢：扣抵極低，穩定助漲
   2486.TW MA60   125.00    95.50  30.89        🔥 強勢：扣抵極低，穩定助漲
   2303.TW MA60    60.00    45.95  30.58        🔥 強勢：扣抵極低，穩定助漲
   2330.TW MA60  1865.00  1430.23  30.40        🔥 強勢：扣抵極低，穩定助漲
  8096.TWO MA60    61.00    46.80  30.34        🔥 強勢：扣抵極低，穩定助漲
  5274.TWO MA60  8655.00  6650.00  30.15        🔥 強勢：扣抵極低，穩定助漲
  5291.TWO MA10    50.00    38.50  29.87        🔥 強勢：扣抵極低，穩定助漲
   1313.TW MA60    12.80     9.86  29.82        🔥 強勢：扣抵極低，穩定助漲
   2887.TW MA60    24.15    18.65  29.49        🔥 強勢：扣抵極低，穩定助漲
   3030.TW MA20   237.50   183.50  29.43        🔥 強勢：扣抵極低，穩定助漲
  8086.TWO MA60   126.50    98.00  29.08        🔥 強勢：扣抵極低，穩定助漲
   3563.TW MA10   640.00   496.50  28.90        🔥 強勢：扣抵極低，穩定助漲
   2337.TW MA20    98.00    76.20  28.61        🔥 強勢：扣抵極低，穩定助漲
   3550.TW MA60    16.65    13.00  28.08        🔥 強勢：扣抵極低，穩定助漲
   6152.TW MA10    19.85    15.50  28.06        🔥 強勢：扣抵極低，穩定助漲
  3081.TWO MA10  1390.00  1095.00  26.94        🔥 強勢：扣抵極低，穩定助漲
  4534.TWO MA10    27.85    21.95  26.88        🔥 強勢：扣抵極低，穩定助漲
   6691.TW MA60   616.00   486.00  26.75        🔥 強勢：扣抵極低，穩定助漲
   1735.TW MA60    18.50    14.60  26.71        🔥 強勢：扣抵極低，穩定助漲
   2345.TW MA60  1305.00  1030.00  26.70        🔥 強勢：扣抵極低，穩定助漲
   6225.TW MA60    20.80    16.45  26.44        🔥 強勢：扣抵極低，穩定助漲
   2404.TW MA60  1000.00   791.00  26.42        🔥 強勢：扣抵極低，穩定助漲
  4123.TWO MA10    49.35    39.05  26.38        🔥 強勢：扣抵極低，穩定助漲
   2383.TW MA20  2190.00  1740.00  25.86        🔥 強勢：扣抵極低，穩定助漲
  3675.TWO MA60   168.00   133.50  25.84        🔥 強勢：扣抵極低，穩定助漲
   3017.TW MA60  1750.00  1395.00  25.45        🔥 強勢：扣抵極低，穩定助漲
   2883.TW MA60    19.90    15.90  25.16        🔥 強勢：扣抵極低，穩定助漲
  3498.TWO MA10    63.00    50.50  24.75        🔥 強勢：扣抵極低，穩定助漲
   1519.TW MA60   908.00   729.00  24.55        🔥 強勢：扣抵極低，穩定助漲
   3535.TW MA20   128.00   103.00  24.27        🔥 強勢：扣抵極低，穩定助漲
  3105.TWO MA10   293.50   236.50  24.10        🔥 強勢：扣抵極低，穩定助漲
  4979.TWO MA10   418.50   338.50  23.63        🔥 強勢：扣抵極低，穩定助漲
   6655.TW MA60   131.00   106.00  23.58        🔥 強勢：扣抵極低，穩定助漲
   6456.TW MA10    52.00    42.15  23.37        🔥 強勢：扣抵極低，穩定助漲
   2885.TW MA60    45.00    36.50  23.29        🔥 強勢：扣抵極低，穩定助漲
   1590.TW MA60  1105.00   897.00  23.19        🔥 強勢：扣抵極低，穩定助漲
   6994.TW  MA5   101.50    82.40  23.18        🔥 強勢：扣抵極低，穩定助漲
   3715.TW MA60   145.00   118.00  22.88        🔥 強勢：扣抵極低，穩定助漲
   3450.TW MA60   301.00   245.00  22.86        🔥 強勢：扣抵極低，穩定助漲
 00635U.TW MA60    54.70    44.65  22.51        🔥 強勢：扣抵極低，穩定助漲
  6530.TWO MA60    74.80    61.10  22.42        🔥 強勢：扣抵極低，穩定助漲
   3701.TW MA20    64.00    52.30  22.37        🔥 強勢：扣抵極低，穩定助漲
   2313.TW MA10   211.00   172.50  22.32        🔥 強勢：扣抵極低，穩定助漲
   2436.TW MA60    54.70    44.75  22.23        🔥 強勢：扣抵極低，穩定助漲
   2609.TW MA60    63.60    52.10  22.07        🔥 強勢：扣抵極低，穩定助漲
   2605.TW MA10    35.00    28.70  21.95        🔥 強勢：扣抵極低，穩定助漲
   5292.TW MA60   178.00   146.00  21.92        🔥 強勢：扣抵極低，穩定助漲
  3455.TWO MA60   110.50    90.70  21.83        🔥 強勢：扣抵極低，穩定助漲
   6715.TW MA10   176.00   144.50  21.80        🔥 強勢：扣抵極低，穩定助漲
  6761.TWO MA60   149.00   122.50  21.63        🔥 強勢：扣抵極低，穩定助漲
  8048.TWO MA20    65.30    53.70  21.60        🔥 強勢：扣抵極低，穩定助漲
   6789.TW MA10   347.00   285.50  21.54        🔥 強勢：扣抵極低，穩定助漲
   2441.TW MA60    84.60    69.80  21.20        🔥 強勢：扣抵極低，穩定助漲
   2367.TW  MA5    71.00    58.70  20.95        🔥 強勢：扣抵極低，穩定助漲
  3131.TWO MA60  1730.00  1435.00  20.56        🔥 強勢：扣抵極低，穩定助漲
  6793.TWO MA60     6.20     5.15  20.39        🔥 強勢：扣抵極低，穩定助漲
   2880.TW MA60    35.00    29.10  20.27        🔥 強勢：扣抵極低，穩定助漲
  3529.TWO MA10  2255.00  1875.00  20.27        🔥 強勢：扣抵極低，穩定助漲
   2444.TW MA60    13.40    11.15  20.18        🔥 強勢：扣抵極低，穩定助漲
  2072.TWO MA60   280.00   233.00  20.17        🔥 強勢：扣抵極低，穩定助漲
   3037.TW MA10   417.00   347.50  20.00        🔥 強勢：扣抵極低，穩定助漲
   6526.TW MA10   535.00   446.50  19.82        🔥 強勢：扣抵極低，穩定助漲
  4768.TWO MA20   454.50   381.50  19.13        🔥 強勢：扣抵極低，穩定助漲
   2413.TW MA10    47.20    39.70  18.89        🔥 強勢：扣抵極低，穩定助漲
  6190.TWO MA60    47.65    40.30  18.24        🔥 強勢：扣抵極低，穩定助漲
 00981A.TW MA20    18.63    15.76  18.21        🔥 強勢：扣抵極低，穩定助漲
  6488.TWO MA60   448.50   379.65  18.13        🔥 強勢：扣抵極低，穩定助漲
   1714.TW MA60     9.62     8.15  18.04        🔥 強勢：扣抵極低，穩定助漲
   4989.TW MA20    67.60    57.30  17.98        🔥 強勢：扣抵極低，穩定助漲
   4764.TW MA10   121.50   103.00  17.96        🔥 強勢：扣抵極低，穩定助漲
   1503.TW MA60   198.50   168.50  17.80        🔥 強勢：扣抵極低，穩定助漲
   3338.TW MA60    57.30    48.70  17.66        🔥 強勢：扣抵極低，穩定助漲
   1312.TW MA60    12.70    10.80  17.59        🔥 強勢：扣抵極低，穩定助漲
  6679.TWO MA60   216.50   184.50  17.34        🔥 強勢：扣抵極低，穩定助漲
   3481.TW MA10    24.75    21.10  17.30        🔥 強勢：扣抵極低，穩定助漲
  6859.TWO MA60   114.00    97.40  17.04        🔥 強勢：扣抵極低，穩定助漲
   2006.TW MA60    79.30    67.80  16.96        🔥 強勢：扣抵極低，穩定助漲
   1711.TW MA20    26.25    22.45  16.93        🔥 強勢：扣抵極低，穩定助漲
  6290.TWO MA60   215.00   184.00  16.85        🔥 強勢：扣抵極低，穩定助漲
   2923.TW MA60    23.65    20.25  16.79        🔥 強勢：扣抵極低，穩定助漲
   6805.TW MA20  1645.00  1410.00  16.67        🔥 強勢：扣抵極低，穩定助漲
   5234.TW MA20   382.00   328.50  16.29        🔥 強勢：扣抵極低，穩定助漲
  1815.TWO MA10   103.50    89.00  16.29        🔥 強勢：扣抵極低，穩定助漲
   6412.TW MA20    97.10    83.50  16.29        🔥 強勢：扣抵極低，穩定助漲
  6509.TWO MA10    39.65    34.10  16.28        🔥 強勢：扣抵極低，穩定助漲
   6706.TW MA10   125.50   108.00  16.20        🔥 強勢：扣抵極低，穩定助漲
   2254.TW MA60    69.70    60.00  16.17        🔥 強勢：扣抵極低，穩定助漲
   2603.TW MA60   209.50   180.50  16.07        🔥 強勢：扣抵極低，穩定助漲
   6005.TW MA60    29.30    25.25  16.04        🔥 強勢：扣抵極低，穩定助漲
   6505.TW MA60    60.30    52.00  15.96        🔥 強勢：扣抵極低，穩定助漲
  2755.TWO MA20   135.00   116.50  15.88        🔥 強勢：扣抵極低，穩定助漲
   8081.TW MA60   237.50   205.50  15.57        🔥 強勢：扣抵極低，穩定助漲
   4934.TW MA10    18.40    16.00  15.00        🔥 強勢：扣抵極低，穩定助漲
  3207.TWO MA60    79.20    68.90  14.95        🔥 強勢：扣抵極低，穩定助漲
  8358.TWO MA60   262.00   228.00  14.91        🔥 強勢：扣抵極低，穩定助漲
   2890.TW MA60    31.30    27.25  14.86        🔥 強勢：扣抵極低，穩定助漲
   2891.TW MA60    50.50    44.00  14.77        🔥 強勢：扣抵極低，穩定助漲
   3533.TW MA60  1495.00  1305.00  14.56        🔥 強勢：扣抵極低，穩定助漲
   1304.TW MA60    12.30    10.75  14.42        🔥 強勢：扣抵極低，穩定助漲
   1789.TW MA60    20.05    17.55  14.25        🔥 強勢：扣抵極低，穩定助漲
  4806.TWO MA20    11.15     9.77  14.12        🔥 強勢：扣抵極低，穩定助漲
   3454.TW MA60    99.40    87.20  13.99        🔥 強勢：扣抵極低，穩定助漲
  6568.TWO MA20   155.50   136.50  13.92        🔥 強勢：扣抵極低，穩定助漲
   2478.TW MA10    67.30    59.20  13.68        🔥 強勢：扣抵極低，穩定助漲
  6419.TWO MA60    67.90    59.80  13.55        🔥 強勢：扣抵極低，穩定助漲
   3044.TW MA60   350.00   308.50  13.45        🔥 強勢：扣抵極低，穩定助漲
  8088.TWO MA60    46.10    40.75  13.13        🔥 強勢：扣抵極低，穩定助漲
   1301.TW MA60    46.95    41.55  13.00        🔥 強勢：扣抵極低，穩定助漲
   2233.TW MA60   223.00   197.50  12.91        🔥 強勢：扣抵極低，穩定助漲
   2543.TW MA60    70.00    62.00  12.90        🔥 強勢：扣抵極低，穩定助漲
   6139.TW MA60   504.00   447.00  12.75        🔥 強勢：扣抵極低，穩定助漲
   3167.TW MA20   266.00   236.00  12.71        🔥 強勢：扣抵極低，穩定助漲
  4523.TWO MA10    32.50    28.85  12.65        🔥 強勢：扣抵極低，穩定助漲
  6182.TWO MA60    32.25    28.65  12.57        🔥 強勢：扣抵極低，穩定助漲
  6486.TWO MA60    86.40    76.80  12.50        🔥 強勢：扣抵極低，穩定助漲
  4538.TWO MA60    18.95    16.85  12.46        🔥 強勢：扣抵極低，穩定助漲
  3526.TWO MA20   281.50   251.00  12.15        🔥 強勢：扣抵極低，穩定助漲
   7610.TW MA10   270.00   241.00  12.03        🔥 強勢：扣抵極低，穩定助漲
   3018.TW MA60    13.40    12.00  11.67        🔥 強勢：扣抵極低，穩定助漲
   6689.TW MA60    71.10    63.70  11.62        🔥 強勢：扣抵極低，穩定助漲
  3205.TWO MA60    51.40    46.05  11.62        🔥 強勢：扣抵極低，穩定助漲
  4556.TWO MA60    26.60    23.85  11.53        🔥 強勢：扣抵極低，穩定助漲
  3594.TWO MA10    41.10    36.90  11.38        🔥 強勢：扣抵極低，穩定助漲
   2515.TW MA10    16.65    14.95  11.37        🔥 強勢：扣抵極低，穩定助漲
  3680.TWO MA60   373.00   335.13  11.30        🔥 強勢：扣抵極低，穩定助漲
  6727.TWO MA10   202.50   182.00  11.26        🔥 強勢：扣抵極低，穩定助漲
   2882.TW MA60    73.20    65.80  11.25        🔥 強勢：扣抵極低，穩定助漲
   2355.TW MA10    41.60    37.40  11.23        🔥 強勢：扣抵極低，穩定助漲
   1809.TW MA10    25.45    22.90  11.14        🔥 強勢：扣抵極低，穩定助漲
  1593.TWO MA60    30.95    27.85  11.13        🔥 強勢：扣抵極低，穩定助漲
   6205.TW MA10    53.90    48.55  11.02        🔥 強勢：扣抵極低，穩定助漲
  3684.TWO MA20    62.50    56.30  11.01        🔥 強勢：扣抵極低，穩定助漲
   6213.TW MA60   121.50   109.50  10.96        🔥 強勢：扣抵極低，穩定助漲
   8033.TW MA60   157.00   141.50  10.95        🔥 強勢：扣抵極低，穩定助漲
 009805.TW MA20    14.46    13.04  10.89        🔥 強勢：扣抵極低，穩定助漲
  8091.TWO MA60   127.50   115.00  10.87        🔥 強勢：扣抵極低，穩定助漲
  8477.TWO MA60    12.85    11.60  10.78        🔥 強勢：扣抵極低，穩定助漲
  3221.TWO MA20    30.90    27.90  10.75        🔥 強勢：扣抵極低，穩定助漲
   2884.TW MA60    33.65    30.40  10.69        🔥 強勢：扣抵極低，穩定助漲
   5471.TW MA20    41.15    37.20  10.62        🔥 強勢：扣抵極低，穩定助漲
   8271.TW MA60   107.00    96.80  10.54        🔥 強勢：扣抵極低，穩定助漲
  7712.TWO MA10    94.20    85.30  10.43        🔥 強勢：扣抵極低，穩定助漲
   1310.TW MA60     9.62     8.73  10.19        🔥 強勢：扣抵極低，穩定助漲
   6443.TW MA20    45.50    41.35  10.04        🔥 強勢：扣抵極低，穩定助漲
  5009.TWO MA60    35.15    32.00   9.84        🔥 強勢：扣抵極低，穩定助漲
   2014.TW MA60    16.75    15.25   9.84        🔥 強勢：扣抵極低，穩定助漲
   2867.TW MA60     7.96     7.25   9.79        🔥 強勢：扣抵極低，穩定助漲
   2327.TW MA60   259.00   236.00   9.75        🔥 強勢：扣抵極低，穩定助漲
   8926.TW MA60    45.75    41.70   9.71        🔥 強勢：扣抵極低，穩定助漲
   9103.TW MA20     5.13     4.68   9.62        🔥 強勢：扣抵極低，穩定助漲
  8431.TWO MA10    65.60    60.00   9.33        🔥 強勢：扣抵極低，穩定助漲
  5272.TWO MA10    22.05    20.20   9.16        🔥 強勢：扣抵極低，穩定助漲
   2104.TW MA10    12.00    11.00   9.09        🔥 強勢：扣抵極低，穩定助漲
  6122.TWO MA60    49.70    45.60   8.99        🔥 強勢：扣抵極低，穩定助漲
   2010.TW MA60    22.20    20.40   8.82        🔥 強勢：扣抵極低，穩定助漲
   8039.TW MA20   101.50    93.40   8.67        🔥 強勢：扣抵極低，穩定助漲
   3419.TW MA10    15.75    14.50   8.62        🔥 強勢：扣抵極低，穩定助漲
   1717.TW MA10    59.40    54.70   8.59        🔥 強勢：扣抵極低，穩定助漲
   1308.TW MA60    14.05    12.95   8.49        🔥 強勢：扣抵極低，穩定助漲
  7734.TWO MA10  1615.00  1490.00   8.39        🔥 強勢：扣抵極低，穩定助漲
  5340.TWO MA20   100.50    92.80   8.30        🔥 強勢：扣抵極低，穩定助漲
  3324.TWO MA60   972.00   898.00   8.24        🔥 強勢：扣抵極低，穩定助漲
   2548.TW MA60   112.00   103.50   8.21        🔥 強勢：扣抵極低，穩定助漲
   7721.TW MA20    52.10    48.15   8.20        🔥 強勢：扣抵極低，穩定助漲
   2395.TW MA60   311.50   288.00   8.16        🔥 強勢：扣抵極低，穩定助漲
   3645.TW MA10    62.50    57.80   8.13        🔥 強勢：扣抵極低，穩定助漲
   3305.TW MA60   104.00    96.20   8.11        🔥 強勢：扣抵極低，穩定助漲
   6451.TW MA10   187.00   173.00   8.09        🔥 強勢：扣抵極低，穩定助漲
  3615.TWO  MA5    32.65    30.25   7.93        🔥 強勢：扣抵極低，穩定助漲
   6806.TW MA60    43.60    40.40   7.92        🔥 強勢：扣抵極低，穩定助漲
  5223.TWO MA60    29.40    27.25   7.89        🔥 強勢：扣抵極低，穩定助漲
   5521.TW MA20    24.00    22.25   7.87        🔥 強勢：扣抵極低，穩定助漲
  5498.TWO MA10    58.40    54.20   7.75        🔥 強勢：扣抵極低，穩定助漲
   2606.TW MA10    66.00    61.30   7.67        🔥 強勢：扣抵極低，穩定助漲
  8183.TWO MA60    35.90    33.35   7.65        🔥 強勢：扣抵極低，穩定助漲
  7402.TWO MA10   128.00   119.00   7.56        🔥 強勢：扣抵極低，穩定助漲
   2012.TW MA60    16.55    15.40   7.47        🔥 強勢：扣抵極低，穩定助漲
   3583.TW MA60   339.50   316.00   7.44        🔥 強勢：扣抵極低，穩定助漲
   2009.TW MA60    42.10    39.20   7.40        🔥 強勢：扣抵極低，穩定助漲
   2017.TW MA60     9.50     8.85   7.34        🔥 強勢：扣抵極低，穩定助漲
   6405.TW MA10    31.45    29.35   7.16        🔥 強勢：扣抵極低，穩定助漲
  2237.TWO MA60    29.95    27.95   7.16        🔥 強勢：扣抵極低，穩定助漲
   3138.TW MA20   195.50   182.50   7.12        🔥 強勢：扣抵極低，穩定助漲
  00735.TW MA20    64.65    60.40   7.04        🔥 強勢：扣抵極低，穩定助漲
  00900.TW MA60    14.00    13.09   6.96        🔥 強勢：扣抵極低，穩定助漲
  3360.TWO MA20    15.45    14.45   6.92        🔥 強勢：扣抵極低，穩定助漲
  3206.TWO MA20    33.90    31.75   6.77        🔥 強勢：扣抵極低，穩定助漲
  5381.TWO MA60    25.80    24.20   6.61        🔥 強勢：扣抵極低，穩定助漲
   4576.TW MA10   121.00   113.50   6.61        🔥 強勢：扣抵極低，穩定助漲
  4749.TWO MA10   879.00   825.00   6.55        🔥 強勢：扣抵極低，穩定助漲
   3543.TW MA60    47.90    45.00   6.44        🔥 強勢：扣抵極低，穩定助漲
  4131.TWO MA60    37.25    35.00   6.43        🔥 強勢：扣抵極低，穩定助漲
   1337.TW MA60     5.23     4.92   6.30        🔥 強勢：扣抵極低，穩定助漲
   8476.TW MA10    18.80    17.70   6.21        🔥 強勢：扣抵極低，穩定助漲
   7799.TW MA10   470.00   443.00   6.09        🔥 強勢：扣抵極低，穩定助漲
  3632.TWO MA60     9.99     9.42   6.05        🔥 強勢：扣抵極低，穩定助漲
  8436.TWO MA60   123.00   116.00   6.03        🔥 強勢：扣抵極低，穩定助漲
  3372.TWO MA10    21.80    20.60   5.83        🔥 強勢：扣抵極低，穩定助漲
   2897.TW MA60     9.63     9.10   5.82        🔥 強勢：扣抵極低，穩定助漲
   2406.TW MA20    31.65    29.95   5.68        🔥 強勢：扣抵極低，穩定助漲
   4952.TW MA10    42.10    39.90   5.51        🔥 強勢：扣抵極低，穩定助漲
   2002.TW MA60    19.20    18.20   5.49        🔥 強勢：扣抵極低，穩定助漲
  6667.TWO MA10   252.00   239.00   5.44        🔥 強勢：扣抵極低，穩定助漲
   2108.TW MA60    24.55    23.30   5.36        🔥 強勢：扣抵極低，穩定助漲
  3141.TWO MA60    44.15    41.95   5.24        🔥 強勢：扣抵極低，穩定助漲
  6560.TWO MA20    44.20    42.00   5.24        🔥 強勢：扣抵極低，穩定助漲
  3709.TWO MA10    66.50    63.20   5.22        🔥 強勢：扣抵極低，穩定助漲
   6128.TW MA60    24.20    23.00   5.22        🔥 強勢：扣抵極低，穩定助漲
  6532.TWO MA60    54.10    51.50   5.05        🔥 強勢：扣抵極低，穩定助漲
   2492.TW MA10   128.00   122.00   4.92        🔥 強勢：扣抵極低，穩定助漲
   6782.TW MA20   184.50   176.00   4.83        🔥 強勢：扣抵極低，穩定助漲
  5443.TWO MA60    87.00    83.00   4.82        🔥 強勢：扣抵極低，穩定助漲
   3042.TW MA60    88.00    84.00   4.76        🔥 強勢：扣抵極低，穩定助漲
   4585.TW MA60   317.00   303.00   4.62        🔥 強勢：扣抵極低，穩定助漲
   3665.TW MA60  1610.00  1540.00   4.55        🔥 強勢：扣抵極低，穩定助漲
   8261.TW MA10    94.60    90.60   4.42        🔥 強勢：扣抵極低，穩定助漲
   0052.TW MA20    44.74    42.85   4.41        🔥 強勢：扣抵極低，穩定助漲
   6854.TW MA10   131.00   125.50   4.38        🔥 強勢：扣抵極低，穩定助漲
  6683.TWO MA10   750.00   719.00   4.31        🔥 強勢：扣抵極低，穩定助漲
  00713.TW MA60    51.85    49.73   4.26        🔥 強勢：扣抵極低，穩定助漲
  3252.TWO MA60    19.80    19.00   4.21        🔥 強勢：扣抵極低，穩定助漲
  5328.TWO MA10    24.95    23.95   4.18        🔥 強勢：扣抵極低，穩定助漲
   1563.TW MA60    42.90    41.20   4.13        🔥 強勢：扣抵極低，穩定助漲
  6461.TWO MA10    22.80    21.90   4.11        🔥 強勢：扣抵極低，穩定助漲
   1773.TW MA60   145.50   140.00   3.93        🔥 強勢：扣抵極低，穩定助漲
   1529.TW MA10    23.90    23.00   3.91        🔥 強勢：扣抵極低，穩定助漲
  4702.TWO MA10     9.91     9.54   3.88        🔥 強勢：扣抵極低，穩定助漲
   2387.TW MA60    41.70    40.15   3.86        🔥 強勢：扣抵極低，穩定助漲
  8067.TWO MA60    14.85    14.30   3.85        🔥 強勢：扣抵極低，穩定助漲
  6903.TWO MA10   260.50   251.00   3.78        🔥 強勢：扣抵極低，穩定助漲
   2385.TW MA60   124.00   119.50   3.77        🔥 強勢：扣抵極低，穩定助漲
   1583.TW MA60    46.85    45.15   3.77        🔥 強勢：扣抵極低，穩定助漲
  6664.TWO MA60   265.00   255.50   3.72        🔥 強勢：扣抵極低，穩定助漲
   1762.TW MA10    26.55    25.60   3.71        🔥 強勢：扣抵極低，穩定助漲
  3623.TWO MA10    25.30    24.40   3.69        🔥 強勢：扣抵極低，穩定助漲
  6616.TWO MA60    10.05     9.70   3.61        🔥 強勢：扣抵極低，穩定助漲
 00680L.TW MA20     7.54     7.28   3.57        🔥 強勢：扣抵極低，穩定助漲
  3236.TWO MA60    28.25    27.30   3.48        🔥 強勢：扣抵極低，穩定助漲
   2412.TW MA60   135.50   131.00   3.44        🔥 強勢：扣抵極低，穩定助漲
 00688L.TW MA20     7.52     7.27   3.44        🔥 強勢：扣抵極低，穩定助漲
   2461.TW MA60    15.65    15.15   3.30        🔥 強勢：扣抵極低，穩定助漲
00679B.TWO MA20    27.90    27.02   3.27        🔥 強勢：扣抵極低，穩定助漲
00857B.TWO MA20    24.39    23.62   3.26        🔥 強勢：扣抵極低，穩定助漲
00696B.TWO MA20    30.39    29.43   3.26        🔥 強勢：扣抵極低，穩定助漲
00795B.TWO MA20    28.13    27.25   3.25        🔥 強勢：扣抵極低，穩定助漲
