eps_yoy,advice,prev_year,price,prev_eps,prev_rev_yoy,pe,expansion,gm,name,om,symbol,status,rev_yoy,eps,prev_eps_yoy,est_price,date
213.33,⚪ 數據不足,2025,23.4500007629,0.08,3.55,0.0,186.79000000000002,19.34%,聯嘉投控,7.12%,3717.TW,🚀 利潤擴張,26.54,0.47,-80.0,0.0,2026-03
266.67,⚪ 數據不足,2025,48.0,-1.82,-10.9,0.0,185.94,N/A,巨虹,N/A,8084.TWO,🔄 轉虧為盈,80.73,0.33,-280.2,-43.199999999999996,2026-03
728.13,💎 強力關注,2025,54.9000015259,2.02,18.23,8.755981104609251,185.43999999999994,30.40%,東浦,14.85%,3290.TWO,🚀 利潤擴張,542.69,2.65,25.64,94.05,2026-03
550.0,⚪ 數據不足,2025,16.3999996185,-0.17,-15.68,0.0,164.05,N/A,同協,N/A,5460.TWO,🔄 轉虧為盈,385.95,0.09,-177.27,-7.95,2026-03
276.67,⚪ 數據不足,2025,0.0,1.54,32.98,0.0,160.65000000000003,N/A,未知,N/A,4582.TWO,🚀 利潤擴張,116.02,0.53,1640.0,0.0,2026-03
276.67,⚪ 數據不足,2025,28.9500007629,1.54,32.98,0.0,160.65000000000003,N/A,聚恆-創,N/A,4582.TW,🚀 利潤擴張,116.02,0.53,1640.0,0.0,2026-03
700.0,⚪ 數據不足,2025,67.5999984741,-0.25,-2.43,0.0,157.99,10.78%,鼎元,-2.91%,2426.TW,🔄 轉虧為盈,542.01,0.06,-219.05,-6.6,2026-03
264.29,⚪ 數據不足,2025,44.5499992371,-0.19,2.69,0.0,156.05,56.31%,圓剛,8.42%,2417.TW,🔄 轉虧為盈,108.24,0.28,54.55,-25.049999999999997,2026-03
366.67,⚠️ 追價風險,2025,12.0,-0.29,-4.25,171.42857142857127,152.34,N/A,成霖,N/A,9934.TW,🔄 轉虧為盈,214.33,0.28,-125.22,1.050000000000001,2026-03
323.08,⚠️ 追價風險,2025,64.4000015259,1.09,7.13,29.95348908181394,142.32,N/A,六角,N/A,2732.TWO,🚀 利潤擴張,180.76,1.1,-77.02,32.250000000000014,2026-03
442.11,✅ 穩健價值,2025,95.0,2.88,5.8,14.820592823712948,134.17000000000002,N/A,醫揚,N/A,6569.TWO,🚀 利潤擴張,307.94,1.03,-38.68,96.15,2026-03
406.45,⚠️ 追價風險,2025,143.0,2.35,17.09,25.220458553791886,133.17000000000002,N/A,凌華,N/A,6166.TW,🚀 利潤擴張,273.28,1.57,921.74,85.05,2026-03
645.65,⚠️ 追價風險,2025,2535.0,4.66,82.29,207.78688524590166,130.47000000000003,54.76%,聯亞,41.27%,3081.TWO,🏰 高護城河,515.18,3.44,884.75,183.0,2026-03
228.49,💎 強力關注,2025,57.5999984741,6.21,-14.96,5.021795856503923,115.32000000000001,N/A,奇偶,N/A,3356.TW,🚀 利潤擴張,113.17,2.21,-20.59,172.05,2026-03
383.33,⚪ 數據不足,2025,65.4000015259,0.33,-4.81,0.0,114.74000000000001,N/A,美達科技,N/A,6735.TWO,🚀 利潤擴張,268.59,0.29,-84.51,-7.200000000000001,2026-03
87.5,⚪ 數據不足,2025,6.3200001717,-1.63,-7.78,0.0,109.06,102.69%,益航,-12.62%,2601.TW,🏰 高護城河,-21.56,-0.02,-365.71,-33.6,2026-03
270.0,⚠️ 追價風險,2025,156.0,1.73,-5.33,46.15384615384615,108.44,N/A,暉盛-創,N/A,7730.TW,🚀 利潤擴張,161.56,0.37,-45.51,50.699999999999996,2026-03
163.46,⚪ 數據不足,2025,7.0900001526,2.15,-16.81,0.0,96.19000000000001,N/A,麗嬰房,N/A,2911.TW,🚀 利潤擴張,67.27,0.66,152.83,-40.05,2026-03
150.0,⚠️ 追價風險,2025,25.4500007629,0.43,-7.4,29.252874440114944,92.64,87.57%,網龍,12.73%,3083.TWO,🏰 高護城河,57.36,0.3,-46.91,13.05,2026-03
1080.0,✅ 穩健價值,2025,38.5999984741,1.39,14.16,12.996632482861951,89.48000000000002,N/A,青松健康,N/A,6931.TW,🚀 利潤擴張,990.52,0.49,104.41,44.550000000000004,2026-03
575.0,⚪ 數據不足,2025,23.6000003815,-0.84,-18.58,0.0,88.79000000000002,16.92%,宏佳騰,-21.33%,1599.TWO,🔄 轉虧為盈,486.21,0.28,-169.49,-24.299999999999994,2026-03
166.67,⚪ 數據不足,2025,61.0,-0.61,0.19,0.0,84.69999999999999,28.91%,中裕,-58.34%,4147.TWO,🔄 轉虧為盈,81.97,0.06,17.57,-18.3,2026-03
186.6,💎 強力關注,2025,45.0,2.41,-14.02,6.901840490797547,83.63,33.66%,昭輝,13.17%,1339.TW,🚀 利潤擴張,102.97,2.78,-51.9,97.8,2026-03
392.86,✅ 穩健價值,2025,67.4000015259,3.02,15.32,12.344322623791207,83.04000000000002,30.84%,偉詮電,3.76%,2436.TW,🚀 利潤擴張,309.82,0.7,78.06,81.9,2026-03
178.26,⚠️ 追價風險,2025,99.9000015259,1.11,-8.83,32.97029753330033,81.14999999999999,N/A,威鋒電子,N/A,6756.TW,🚀 利潤擴張,97.11,0.64,-50.67,45.449999999999996,2026-03
136.36,✅ 穩健價值,2025,76.0,1.97,2.09,14.615384615384617,74.29000000000002,89.44%,宇峻,20.17%,3546.TWO,🏰 高護城河,62.07,2.34,-64.44,77.99999999999999,2026-03
99.93,⚪ 數據不足,2025,83.6999969482,-1.49,22.72,0.0,73.29,N/A,奧義賽博-KY創,N/A,7823.TW,🚀 利潤擴張,26.64,-0.15,96.29,0.0,2026-03
-25.93,⚪ 數據不足,2025,12.9499998093,-2.43,19.25,0.0,71.78,N/A,昱泉,N/A,6169.TWO,🌑 雙重衰退,-97.71,-0.68,-99.18,-96.44999999999999,2026-03
650.0,⚪ 數據不足,2025,16.6499996185,0.14,0.63,0.0,71.62,N/A,冠好,N/A,8354.TWO,🚀 利潤擴張,578.38,0.3,-91.14,-17.549999999999997,2026-03
386.11,✅ 穩健價值,2025,68.1999969482,2.76,22.56,14.357894094357894,70.21000000000004,25.49%,台聯電,0.20%,4905.TWO,🚀 利潤擴張,315.9,1.75,-5.15,71.25,2026-03
121.74,⚪ 數據不足,2025,1655.0,6.33,76.4,0.0,69.89999999999999,N/A,創新服務,N/A,7828.TWO,🚀 利潤擴張,51.84,1.02,44.08,0.0,2026-03
127.27,💎 強力關注,2025,15.3500003815,0.63,4.6,10.032679987908496,68.69,90.85%,國票金,38.94%,2889.TW,🏰 高護城河,58.58,0.25,3.28,22.95,2026-03
107.35,💎 強力關注,2025,95.9000015259,7.13,-4.63,5.59509927222287,67.19999999999999,82.18%,麗豐-KY,20.98%,4137.TW,🏰 高護城河,40.15,1.41,24.43,257.1,2026-03
175.0,⚪ 數據不足,2025,8.0,-0.38,-28.72,0.0,64.48,54.59%,研勤,3.73%,3632.TWO,🔄 轉虧為盈,110.52,0.06,-31.03,-15.3,2026-03
106.9,⚪ 數據不足,2025,44.5,2.43,2.38,0.0,63.99000000000001,N/A,和迅,N/A,6986.TWO,🚀 利潤擴張,42.91,0.6,-24.06,0.0,2026-03
175.0,⚪ 數據不足,2025,32.5,-1.28,-7.78,0.0,63.97,31.44%,穎漢,-45.46%,4562.TW,🔄 轉虧為盈,111.03,0.11,-184.44,-38.1,2026-03
62.5,⚪ 數據不足,2025,0.0,-3.51,-29.69,0.0,63.5,93.22%,泰偉,-55.72%,3064.TWO,🏰 高護城河,-1.0,-0.27,-7120.0,0.0,2026-03
235.0,💎 強力關注,2025,33.7999992371,2.64,12.14,4.985250624941004,63.21000000000001,N/A,群益證,N/A,6005.TW,🚀 利潤擴張,171.79,1.34,17.33,101.7,2026-03
500.0,⚠️ 追價風險,2025,33.0999984741,0.58,19.69,49.40298279716419,61.81999999999999,N/A,車王電,N/A,1533.TW,🚀 利潤擴張,438.18,0.84,152.25,10.049999999999997,2026-03
600.0,⚪ 中性觀察,2025,24.2000007629,0.74,-4.85,16.133333841933332,61.76999999999998,20.98%,正隆,7.12%,1904.TW,🚀 利潤擴張,538.23,0.56,34.55,22.5,2026-03
206.45,💎 強力關注,2025,81.6999969482,2.52,-4.59,10.764162970777338,56.41999999999999,N/A,日揚,N/A,6208.TWO,🚀 利潤擴張,150.03,1.9,-26.32,113.85,2026-03
204.17,💎 強力關注,2025,54.0999984741,1.19,-6.81,11.22406607346473,55.839999999999975,N/A,強生,N/A,4747.TWO,🚀 利潤擴張,148.33,1.46,-36.9,72.30000000000001,2026-03
244.44,⚪ 數據不足,2025,76.0,-0.6,2.65,0.0,55.43000000000001,N/A,九暘,N/A,8040.TWO,🔄 轉虧為盈,189.01,0.13,49.15,-18.45,2026-03
239.47,💎 強力關注,2025,39.4000015259,12.33,-6.28,2.1624589201920967,54.05000000000001,41.95%,晟德,-106.23%,4123.TWO,🚀 利潤擴張,185.42,2.62,905.92,273.29999999999995,2026-03
-2.96,⚪ 數據不足,2025,72.0,-3.92,-29.22,0.0,52.519999999999996,N/A,心誠鎂,N/A,6934.TW,🌑 雙重衰退,-55.48,-1.43,-48.08,0.0,2026-03
147.37,💎 強力關注,2025,154.0,6.82,6.51,9.144893111638956,51.74000000000001,N/A,霈方,N/A,6574.TWO,🚀 利潤擴張,95.63,3.29,66.34,252.6,2026-03
139.49,⚪ 數據不足,2025,0.0,13.04,182.72,0.0,47.56,N/A,永擎,N/A,7711.TW,🚀 利潤擴張,91.93,7.68,38.44,0.0,2026-03
406.06,✅ 穩健價值,2025,31.1499996185,1.5,23.54,14.693396046462263,46.579999999999984,N/A,廣寰科,N/A,3287.TWO,🚀 利潤擴張,359.48,1.01,-36.17,31.8,2026-03
112.5,💎 強力關注,2025,24.0499992371,5.29,-17.0,2.4616171174104404,45.849999999999994,N/A,琉園,N/A,9949.TWO,🚀 利潤擴張,66.65,0.03,544.54,146.54999999999998,2026-03
55.17,💎 強力關注,2025,78.5999984741,4.85,108.17,6.840730937693647,39.24,N/A,漢達,N/A,6620.TWO,🚀 利潤擴張,15.93,0.46,31.64,172.35,2026-03
300.0,⚪ 數據不足,2025,80.6999969482,0.12,-40.0,0.0,35.860000000000014,20.64%,威盛,-8.17%,2388.TW,🚀 利潤擴張,264.14,0.08,-93.75,-30.6,2026-03
190.24,💎 強力關注,2025,64.1999969482,2.15,1.24,11.75824119930403,34.20000000000002,50.66%,禾瑞亞,14.95%,3556.TWO,🏰 高護城河,156.04,1.19,-5.7,81.9,2026-03
42.62,⚪ 數據不足,2025,41.5999984741,2.99,19.28,0.0,32.379999999999995,N/A,神數,N/A,7821.TW,🚀 利潤擴張,10.24,0.87,91.67,0.0,2026-03
34.92,⚪ 數據不足,2025,0.0,7.56,15.19,0.0,28.590000000000003,35.24%,未知,30.89%,2072.TWO,🚀 利潤擴張,6.33,11.94,-17.2,0.0,2025-12
23.4,⚪ 數據不足,2025,74.6999969482,-1.89,-5.58,0.0,27.259999999999998,N/A,向榮生技,N/A,6794.TW,🧐 疑業外收益,-3.86,-0.36,-13.21,-70.05,2026-03
450.0,⚪ 數據不足,2025,9.7899999619,-0.45,2.23,0.0,27.04000000000002,23.39%,南緯,1.90%,1467.TW,🔄 轉虧為盈,422.96,0.11,-197.83,-28.950000000000003,2026-03
42.86,⚪ 數據不足,2025,261.5,3.24,3.08,0.0,26.23,N/A,頌勝科技,N/A,7768.TW,🚀 利潤擴張,16.63,1.62,-27.83,0.0,2026-03
42.86,⚪ 數據不足,2025,0.0,3.24,3.08,0.0,26.23,N/A,未知,N/A,7768.TWO,🚀 利潤擴張,16.63,1.62,-27.83,0.0,2026-03
38.11,⚪ 數據不足,2025,0.0,13.61,20.5,0.0,25.689999999999998,21.29%,大東電,16.93%,1623.TW,🚀 利潤擴張,12.42,4.33,11.37,0.0,2026-03
83.05,💎 強力關注,2025,68.1999969482,2.74,6.4,9.68749956650568,20.689999999999998,80.00%,元大金,33.03%,2885.TW,🏰 高護城河,62.36,1.08,-1.08,105.6,2026-03
45.45,✅ 穩健價值,2025,30.3999996185,0.85,0.36,13.632286824439463,19.960000000000004,N/A,中連,N/A,5604.TWO,🚀 利潤擴張,25.49,0.32,-66.0,33.45,2026-03
470.83,💎 強力關注,2025,14.9499998093,0.76,0.56,9.115853542256097,19.539999999999964,N/A,宏遠證,N/A,6015.TWO,🚀 利潤擴張,451.29,0.89,-11.63,24.599999999999998,2026-03
45.71,⚪ 數據不足,2025,12.3500003815,-0.61,-8.35,0.0,18.900000000000002,N/A,力新,N/A,5202.TWO,🚀 利潤擴張,26.81,-0.19,-134.86,-30.900000000000002,2026-03
41.03,💎 強力關注,2025,44.0,1.9,4.06,9.322033898305085,18.060000000000002,97.25%,華南金,45.93%,2880.TW,🏰 高護城河,22.97,0.55,13.1,70.8,2026-03
234.78,⚠️ 追價風險,2025,114.0,0.81,13.9,175.3846153846154,17.97999999999999,31.93%,博磊,8.13%,3581.TWO,🚀 利潤擴張,216.8,0.31,35.0,9.75,2026-03
33.33,💎 強力關注,2025,11.8999996185,0.68,14.52,7.08333310625,17.229999999999997,89.95%,高雄銀,32.37%,2836.TW,🏰 高護城河,16.1,0.2,28.3,25.200000000000003,2026-03
331.43,⚠️ 追價風險,2025,511.0,0.15,25.43,638.75,15.160000000000025,N/A,環宇-KY,N/A,4991.TWO,🚀 利潤擴張,316.27,1.67,107.11,11.999999999999998,2026-03
10.53,⚪ 數據不足,2025,34.5999984741,2.91,10.14,0.0,12.35,N/A,精誠金融,N/A,7819.TWO,🧐 疑業外收益,-1.82,0.42,14.12,0.0,2026-03
34.04,💎 強力關注,2025,31.0499992371,1.74,-12.26,8.14960609897638,12.0,78.38%,凱基金,39.14%,2883.TW,🏰 高護城河,22.04,0.69,-10.99,57.14999999999999,2026-03
52.29,⚪ 數據不足,2025,31.0,-2.92,-0.97,0.0,10.350000000000001,N/A,華安,N/A,6657.TW,🚀 利潤擴張,41.94,-0.53,-14.12,-109.2,2026-03
29.13,⚠️ 追價風險,2025,2835.0,25.6,6.74,44.87179487179487,9.14,100.00%,力旺,60.64%,3529.TWO,🏰 高護城河,19.99,7.98,4.19,947.7,2026-03
283.33,⚪ 數據不足,2025,25.5499992371,-0.43,-8.31,0.0,8.629999999999995,24.77%,宏亞,-4.59%,1236.TW,🔄 轉虧為盈,274.7,0.23,-53.57,-14.25,2026-03
153.49,⚪ 數據不足,2025,20.3500003815,-3.35,-15.19,0.0,7.890000000000015,27.77%,岱宇,-13.99%,1598.TW,🔄 轉虧為盈,145.6,0.25,-827.91,-89.10000000000001,2026-03
56.0,✅ 穩健價值,2025,64.5999984741,4.66,15.86,7.122381309162073,7.82,N/A,全景軟體,N/A,8272.TWO,🚀 利潤擴張,48.18,0.39,24.93,136.05,2026-03
37.5,⚠️ 追價風險,2025,23.8999996185,0.38,-2.15,26.555555131666665,7.48,84.77%,欣欣,20.24%,2901.TW,🏰 高護城河,30.02,0.11,-7.32,13.5,2026-03
-5.56,⚪ 數據不足,2025,0.0,-0.92,-3.6,0.0,5.7299999999999995,N/A,未知,N/A,4178.TWO,🌑 雙重衰退,-11.29,-0.19,14.95,0.0,2026-03
-5.56,⚪ 數據不足,2025,17.7000007629,-0.92,-3.6,0.0,5.7299999999999995,N/A,永笙-KY,N/A,4178.TW,🌑 雙重衰退,-11.29,-0.19,14.95,0.0,2026-03
114.29,✅ 穩健價值,2025,29.0,0.99,-3.57,6.839622641509433,5.1200000000000045,N/A,詩肯,N/A,6195.TWO,🚀 利潤擴張,109.17,1.5,-38.13,63.6,2026-03
16.67,✅ 穩健價值,2025,51.0,2.36,-1.77,8.319738988580752,4.100000000000001,83.45%,兆豐金,33.61%,2886.TW,🏰 高護城河,12.57,0.63,0.85,91.94999999999999,2026-03
16.67,⚠️ 追價風險,2025,36.9500007629,0.25,13.2,75.4081648222449,3.8000000000000025,73.82%,聯傑,-7.29%,3094.TW,🏰 高護城河,12.87,0.07,41.18,7.35,2026-03
300.0,⚪ 數據不足,2025,61.2999992371,-0.43,-8.05,0.0,3.490000000000009,N/A,亞電,N/A,4939.TWO,🔄 轉虧為盈,296.51,0.24,-326.32,-22.2,2026-03
5.8,⚪ 數據不足,2025,45.5,2.56,8.14,0.0,3.3499999999999996,N/A,達人網,N/A,7839.TWO,🚀 利潤擴張,2.45,0.73,18.52,0.0,2026-03
35.9,⚠️ 追價風險,2025,40.2999992371,0.58,15.88,49.753085477901244,3.0700000000000003,N/A,能率亞洲,N/A,7777.TWO,🚀 利潤擴張,32.83,-0.25,-16.92,12.149999999999999,2026-03
71.15,✅ 穩健價值,2025,31.7000007629,2.35,12.71,4.738415659626308,2.25,64.17%,米斯特,2.03%,2941.TWO,🏰 高護城河,68.9,0.89,-27.47,100.35000000000001,2026-03
38.89,✅ 穩健價值,2025,10.1499996185,0.61,-2.09,5.83333311408046,2.030000000000001,91.47%,王道銀行,32.72%,2897.TW,🏰 高護城河,36.86,0.28,-35.48,26.1,2026-03
43.18,⚪ 數據不足,2025,25.3999996185,-1.59,1.27,0.0,0.9399999999999977,N/A,佐登-KY,N/A,4190.TW,🚀 利潤擴張,42.24,-0.26,67.52,-73.20000000000002,2026-03
